Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol5	G5	349	349	1	8	303	95	96	ARANAĞME	0.111111
2	9	Fa5#3	F5#4	343	344	1	8	303	95	96	.	0.222222
3	9	Sol5	G5	349	349	1	8	303	95	96	.	0.333333
4	9	Fa5#3	F5#4	343	344	1	8	303	95	96	.	0.444444
5	9	Mi5	E5	336	336	1	4	606	95	96	.	0.666667
6	9	Mi5	E5	336	336	1	4	606	95	96	.	0.888889
7	9	Re5	D5	327	327	1	8	303	95	96	.	1.000000
8	9	Mi5	E5	336	336	1	8	303	95	96	.	1.111111
9	9	Re5	D5	327	327	1	8	303	95	96	.	1.222222
10	9	Mi5	E5	336	336	1	8	303	95	96	.	1.333333
11	9	Do5	C5	318	318	1	8	303	95	96	.	1.444444
12	9	Re5	D5	327	327	1	4	606	95	96	.	1.666667
13	9	Re5	D5	327	327	1	4	606	95	96	.	1.888889
14	9	Es	Es	-1	-1	1	8	303	100	0		2.000000
15	9	Sol5	G5	349	349	1	8	303	95	96	ARANAĞME	2.111111
16	9	Fa5#3	F5#4	343	344	1	8	303	95	96	.	2.222222
17	9	Sol5	G5	349	349	1	8	303	95	96	.	2.333333
18	9	Fa5#3	F5#4	343	344	1	8	303	95	96	.	2.444444
19	9	Mi5	E5	336	336	1	4	606	95	96	.	2.666667
20	9	Mi5	E5	336	336	1	4	606	95	96	.	2.888889
21	9	Re5	D5	327	327	1	8	303	95	96	.	3.000000
22	9	Mi5	E5	336	336	1	8	303	95	96	.	3.111111
23	9	Re5	D5	327	327	1	8	303	95	96	.	3.222222
24	9	Mi5	E5	336	336	1	8	303	95	96	.	3.333333
25	9	Do5	C5	318	318	1	8	303	95	96	.	3.444444
26	9	Re5	D5	327	327	1	4	606	95	96	.	3.666667
27	9	Re5	D5	327	327	1	4	606	95	96	.	3.888889
28	9	Es	Es	-1	-1	1	8	303	100	0		4.000000
29	9	Re5	D5	327	327	1	8	303	95	96	.	4.111111
30	9	Do5	C5	318	318	1	8	303	95	96	.	4.222222
31	9	Re5	D5	327	327	1	8	303	95	96	.	4.333333
32	9	Sol5	G5	349	349	1	8	303	95	96	.	4.444445
33	9	Fa5	F5	340	340	1	8	303	95	96	.	4.555555
34	9	Mi5	E5	336	336	1	8	303	95	96	.	4.666667
35	9	Re5	D5	327	327	1	8	303	95	96	.	4.777778
36	9	Do5	C5	318	318	1	8	303	95	96	.	4.888889
37	9	Si4b2	B4b1	312	313	1	8	303	95	96	.	5.000000
38	9	Do5	C5	318	318	1	8	303	95	96	.	5.111111
39	9	Re5	D5	327	327	1	8	303	95	96	.	5.222222
40	9	Si4b2	B4b1	312	313	1	8	303	95	96	.	5.333333
41	9	Sol4	G4	296	296	1	8	303	95	96	.	5.444445
42	9	La4	A4	305	305	1	4	606	95	96	.	5.666667
43	9	La4	A4	305	305	1	4	606	95	96	.	5.888889
44	9	Es	Es	-1	-1	1	8	303	100	0		6.000000
45	9	Re5	D5	327	327	1	8	303	95	96	.	6.111111
46	9	Do5	C5	318	318	1	8	303	95	96	.	6.222222
47	9	Re5	D5	327	327	1	8	303	95	96	.	6.333333
48	9	Sol5	G5	349	349	1	8	303	95	96	.	6.444445
49	9	Fa5	F5	340	340	1	8	303	95	96	.	6.555555
50	9	Mi5	E5	336	336	1	8	303	95	96	.	6.666667
51	9	Re5	D5	327	327	1	8	303	95	96	.	6.777778
52	9	Do5	C5	318	318	1	8	303	95	96	.	6.888889
53	9	Si4b2	B4b1	312	313	1	8	303	95	96	.	7.000000
54	9	Do5	C5	318	318	1	8	303	95	96	.	7.111111
55	9	Re5	D5	327	327	1	8	303	95	96	.	7.222222
56	9	Si4b2	B4b1	312	313	1	8	303	95	96	.	7.333333
57	9	Sol4	G4	296	296	1	8	303	95	96	.	7.444445
58	9	La4	A4	305	305	1	4	606	95	96	.	7.666667
59	9	La4	A4	305	305	1	4	606	95	96	.	7.888889
60	9	Es	Es	-1	-1	1	8	303	100	0		8.000000
61	9	Es	Es	-1	-1	1	4	606	100	0		8.222222
62	9	La4	A4	305	305	1	8	303	95	96	A 	8.333333
63	9	La4	A4	305	305	1	8	303	95	96	Fa	8.444445
64	9	La4	A4	305	305	1	4	606	95	96	di	8.666667
65	9	Mi5	E5	336	336	3	8	909	95	96	mem 	9.000000
66	9	Es	Es	-1	-1	1	4	606	100	0		9.222222
67	9	Mi5	E5	336	336	1	8	303	95	96	ha	9.333333
68	9	Mi5	E5	336	336	1	8	303	95	96	di 	9.444445
69	9	Mi5	E5	336	336	1	4	606	95	96	sen	9.666667
70	9	Mi5	E5	336	336	1	4	606	99	96	le 	9.888889
71	9	Re5	D5	327	327	1	8	303	95	96		10.000000
72	9	Re5	D5	327	327	1	8	303	95	96	ka	10.111110
73	9	Re5	D5	327	327	1	8	303	99	96	ça	10.222220
74	9	Do5	C5	318	318	1	8	303	99	96		10.333330
75	9	Mi5	E5	336	336	1	8	303	95	96		10.444440
76	9	Re5	D5	327	327	1	8	303	99	96	lım  	10.555560
77	9	Do5	C5	318	318	1	8	303	99	96		10.666670
78	9	Re5	D5	327	327	1	4	606	95	96		10.888890
79	9	Es	Es	-1	-1	1	8	303	100	0		11.000000
80	9	Es	Es	-1	-1	1	4	606	100	0		11.222220
81	9	La4	A4	305	305	1	8	303	95	96	A 	11.333330
