Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol5	G5	349	349	1	8	417	95	78	ARANAĞME	0.071429
2	9	Fa5	F5	340	340	1	16	208	95	114	.	0.107143
3	9	Mi5	E5	336	336	1	16	208	95	114	.	0.142857
4	9	Re5	D5	327	327	1	8	417	95	115	.	0.214286
5	9	Mi5	E5	336	336	1	16	208	95	115	.	0.250000
6	9	Fa5	F5	340	340	1	16	208	95	116	.	0.285714
7	9	Mi5	E5	336	336	1	16	208	95	116	.	0.321429
8	9	Fa5	F5	340	340	1	16	208	95	116	.	0.357143
9	9	Re5	D5	327	327	1	8	417	95	117	.	0.428571
10	9	Do5	C5	318	318	1	8	417	95	117	.	0.500000
11	9	Re5	D5	327	327	1	16	208	95	117	.	0.535714
12	9	Mi5	E5	336	336	1	16	208	95	118	.	0.571429
13	9	Do5	C5	318	318	1	16	208	95	118	.	0.607143
14	9	Re5	D5	327	327	1	16	208	95	118	.	0.642857
15	9	Si4b2	B4b1	312	313	1	8	417	95	119	.	0.714286
16	9	La4	A4	305	305	1	4	833	95	119	.	0.857143
17	9	Mi5	E5	336	336	1	4	833	95	120	.	1.000000
18	9	Sol5	G5	349	349	1	8	417	95	120	.	1.071429
19	9	Fa5	F5	340	340	1	16	208	95	114	.	1.107143
20	9	Mi5	E5	336	336	1	16	208	95	112	.	1.142857
21	9	Re5	D5	327	327	1	8	417	95	110	.	1.214286
22	9	Mi5	E5	336	336	1	16	208	95	107	.	1.250000
23	9	Fa5	F5	340	340	1	16	208	95	105	.	1.285714
24	9	Mi5	E5	336	336	1	16	208	95	103	.	1.321429
25	9	Fa5	F5	340	340	1	16	208	95	100	.	1.357143
26	9	Re5	D5	327	327	1	8	417	95	98	.	1.428571
27	9	Do5	C5	318	318	1	8	417	95	96	.	1.500000
28	9	Re5	D5	327	327	1	16	208	95	94	.	1.535714
29	9	Mi5	E5	336	336	1	16	208	95	92	.	1.571429
30	9	Do5	C5	318	318	1	16	208	95	89	.	1.607143
31	9	Re5	D5	327	327	1	16	208	95	87	.	1.642857
32	9	Si4b2	B4b1	312	313	1	8	417	95	85	.	1.714286
33	9	La4	A4	305	305	1	4	833	95	82	.	1.857143
34	9	La4	A4	305	305	1	4	833	95	80	.	2.000000
35	9	Sol5	G5	349	349	1	8	417	95	78	ARANAĞME	2.071429
36	9	Fa5	F5	340	340	1	16	208	95	114	.	2.107143
37	9	Mi5	E5	336	336	1	16	208	95	114	.	2.142857
38	9	Re5	D5	327	327	1	8	417	95	115	.	2.214286
39	9	Mi5	E5	336	336	1	16	208	95	115	.	2.250000
40	9	Fa5	F5	340	340	1	16	208	95	116	.	2.285714
41	9	Mi5	E5	336	336	1	16	208	95	116	.	2.321429
42	9	Fa5	F5	340	340	1	16	208	95	116	.	2.357143
43	9	Re5	D5	327	327	1	8	417	95	117	.	2.428571
44	9	Do5	C5	318	318	1	8	417	95	117	.	2.500000
45	9	Re5	D5	327	327	1	16	208	95	117	.	2.535714
46	9	Mi5	E5	336	336	1	16	208	95	118	.	2.571429
47	9	Do5	C5	318	318	1	16	208	95	118	.	2.607143
48	9	Re5	D5	327	327	1	16	208	95	118	.	2.642857
49	9	Si4b2	B4b1	312	313	1	8	417	95	119	.	2.714286
50	9	La4	A4	305	305	1	4	833	95	119	.	2.857143
51	9	Mi5	E5	336	336	1	4	833	95	120	.	3.000000
52	9	Sol5	G5	349	349	1	8	417	95	120	.	3.071429
53	9	Fa5	F5	340	340	1	16	208	95	96	.	3.107143
54	9	Mi5	E5	336	336	1	16	208	95	96	.	3.142857
55	9	Re5	D5	327	327	1	8	417	95	96	.	3.214286
56	9	Mi5	E5	336	336	1	16	208	95	96	.	3.250000
57	9	Fa5	F5	340	340	1	16	208	95	96	.	3.285714
58	9	Mi5	E5	336	336	1	16	208	95	96	.	3.321429
59	9	Fa5	F5	340	340	1	16	208	95	96	.	3.357143
60	9	Re5	D5	327	327	1	8	417	95	96	.	3.428571
61	9	Do5	C5	318	318	1	8	417	95	96	.	3.500000
62	9	Re5	D5	327	327	1	16	208	95	96	.	3.535714
63	9	Mi5	E5	336	336	1	16	208	95	96	.	3.571429
64	9	Do5	C5	318	318	1	16	208	95	96	.	3.607143
65	9	Re5	D5	327	327	1	16	208	95	96	.	3.642857
66	9	Si4b2	B4b1	312	313	1	8	417	95	96	.	3.714286
67	9	La4	A4	305	305	1	4	833	95	96	.	3.857143
68	9	La4	A4	305	305	1	4	833	95	96	.	4.000000
69	9	Re5	D5	327	327	1	8	417	95	96	Şem	4.071429
70	9	Mi5	E5	336	336	1	8	417	95	96	si	4.142857
71	9	Re5	D5	327	327	1	8	417	95	96	ye	4.214286
72	9	Mi5	E5	336	336	3	8	1250	95	114	min 	4.428571
73	9	Fa5#3	F5#4	343	344	1	8	417	95	107	u	4.500000
74	9	Sol5	G5	349	349	1	8	417	99	100	cu 	4.571429
75	9	Fa5	F5	340	340	1	8	417	99	92		4.642857
76	9	Mi5	E5	336	336	1	8	417	95	85		4.714286
77	9	Fa5	F5	340	340	1	16	208	99	78	ka	4.750000
78	9	Mi5	E5	336	336	1	16	208	99	96		4.785714
79	9	Fa5	F5	340	340	1	16	208	99	96		4.821429
80	9	Sol5	G5	349	349	1	16	208	95	96		4.857143
81	9	Mi5	E5	336	336	1	8	417	99	96	re  	4.928571
82	9	Re5	D5	327	327	1	8	417	95	96		5.000000
83	9	Re5	D5	327	327	1	8	417	95	96	Şem	5.071429
84	9	Mi5	E5	336	336	1	8	417	95	96	si	5.142857
85	9	Re5	D5	327	327	1	8	417	95	114	ye	5.214286
86	9	Mi5	E5	336	336	3	8	1250	95	115	min 	5.428571
87	9	Fa5#3	F5#4	343	344	1	8	417	95	116	u	5.500000
88	9	Sol5	G5	349	349	1	8	417	99	117	cu 	5.571429
89	9	Fa5	F5	340	340	1	8	417	99	118		5.642857
90	9	Mi5	E5	336	336	1	8	417	95	119		5.714286
91	9	Fa5	F5	340	340	1	16	208	99	120	ka	5.750000
92	9	Mi5	E5	336	336	1	16	208	99	96		5.785714
93	9	Fa5	F5	340	340	1	16	208	99	96		5.821429
94	9	Sol5	G5	349	349	1	16	208	95	96		5.857143
95	10	Mi5	E5	336	336	1	8	417	99	96	re  	5.928571
96	8	Fa5	F5	340	340	0	0	0	99	96		5.928571
97	9	Re5	D5	327	327	1	8	417	95	96		6.000000
98	9	Sol5	G5	349	349	1	8	417	95	84	Yok 	6.071429
99	9	Fa5	F5	340	340	1	16	208	99	84	mu 	6.107143
100	9	Mi5	E5	336	336	1	16	208	95	84		6.142857
101	9	Re5	D5	327	327	1	8	417	95	96	şu 	6.214286
102	9	Mi5	E5	336	336	1	16	208	99	96	der	6.250000
103	9	Fa5	F5	340	340	1	16	208	99	96		6.285714
104	9	Mi5	E5	336	336	1	16	208	99	96		6.321429
105	9	Fa5	F5	340	340	1	16	208	99	96		6.357143
106	9	Re5	D5	327	327	1	8	417	95	96		6.428571
107	9	Do5	C5	318	318	1	8	417	95	96	di	6.500000
108	9	Re5	D5	327	327	1	16	208	99	96	me 	6.535714
109	9	Mi5	E5	336	336	1	16	208	99	96		6.571429
110	9	Do5	C5	318	318	1	16	208	99	96		6.607143
111	9	Re5	D5	327	327	1	16	208	99	96		6.642857
112	9	Si4b2	B4b1	312	313	1	8	417	95	96		6.714286
113	9	La4	A4	305	305	1	4	833	95	108	ça	6.857143
114	9	Mi5	E5	336	336	1	4	833	95	108	re  	7.000000
115	9	Sol5	G5	349	349	1	8	417	95	96	Yok 	7.071429
116	9	Fa5	F5	340	340	1	16	208	99	96	mu 	7.107143
117	9	Mi5	E5	336	336	1	16	208	95	96		7.142857
118	9	Re5	D5	327	327	1	8	417	95	96	şu 	7.214286
119	9	Mi5	E5	336	336	1	16	208	99	96	der	7.250000
120	9	Fa5	F5	340	340	1	16	208	99	96		7.285714
121	9	Mi5	E5	336	336	1	16	208	99	96		7.321429
122	9	Fa5	F5	340	340	1	16	208	99	96		7.357143
123	9	Re5	D5	327	327	1	8	417	95	96		7.428571
124	9	Do5	C5	318	318	1	8	417	95	96	di	7.500000
125	9	Re5	D5	327	327	1	16	208	99	96	me 	7.535714
126	9	Mi5	E5	336	336	1	16	208	99	96		7.571429
127	9	Do5	C5	318	318	1	16	208	99	114		7.607143
128	9	Re5	D5	327	327	1	16	208	99	110		7.642857
129	9	Si4b2	B4b1	312	313	1	8	417	95	106		7.714286
130	9	La4	A4	305	305	1	4	833	95	102	ça	7.857143
131	9	La4	A4	305	305	1	4	833	95	98	re  	8.000000
132	9	Re5	D5	327	327	1	8	417	95	94	O 	8.071428
133	9	Mi5	E5	336	336	1	8	417	95	90	yâr 	8.142858
134	9	Re5	D5	327	327	1	8	417	95	86	gü	8.214286
135	9	Mi5	E5	336	336	3	8	1250	95	82	zel 	8.428572
136	9	Fa5#3	F5#4	343	344	1	8	417	95	78	ben 	8.500000
137	9	Sol5	G5	349	349	1	8	417	99	96	bî	8.571428
138	9	Fa5	F5	340	340	1	8	417	99	96		8.642858
139	9	Mi5	E5	336	336	1	8	417	95	96		8.714286
140	9	Fa5	F5	340	340	1	16	208	99	114	ça	8.750000
141	9	Mi5	E5	336	336	1	16	208	99	115		8.785714
142	9	Fa5	F5	340	340	1	16	208	99	115		8.821428
143	9	Sol5	G5	349	349	1	16	208	95	116		8.857142
144	9	Mi5	E5	336	336	1	8	417	99	116	re  	8.928572
145	9	Re5	D5	327	327	1	8	417	95	114		9.000000
146	9	Re5	D5	327	327	1	8	417	95	112	O 	9.071428
147	9	Mi5	E5	336	336	1	8	417	95	110	yâr 	9.142858
148	9	Re5	D5	327	327	1	8	417	95	107	gü	9.214286
149	9	Mi5	E5	336	336	3	8	1250	95	105	zel 	9.428572
150	9	Fa5#3	F5#4	343	344	1	8	417	95	103	ben 	9.500000
151	9	Sol5	G5	349	349	1	8	417	99	100	bî	9.571428
152	9	Fa5	F5	340	340	1	8	417	99	98		9.642858
153	9	Mi5	E5	336	336	1	8	417	95	96		9.714286
154	9	Fa5	F5	340	340	1	16	208	99	94	ça	9.750000
155	9	Mi5	E5	336	336	1	16	208	99	92		9.785714
156	9	Fa5	F5	340	340	1	16	208	99	89		9.821428
