Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
1	9	Re5  	D5	327	327	3	16	608	95	96	
2	9	Do5  	C5	318	318	1	16	203	95	90	
3	9	Re5  	D5	327	327	1	8	405	95	96	
4	9	Si4b2	B4b1	312	313	1	8	405	95	96	
5	9	Re5  	D5	327	327	3	16	608	95	96	
6	9	Do5  	C5	318	318	1	16	203	95	90	
7	9	Re5  	D5	327	327	1	8	405	95	96	
8	9	Si4b2	B4b1	312	313	1	8	405	95	96	
9	9	Do5  	C5	318	318	3	16	608	95	96	
10	9	Re5  	D5	327	327	1	16	203	95	90	
11	9	Si4b2	B4b1	312	313	1	16	203	95	96	
12	9	La4  	A4	305	305	1	16	203	95	90	
13	9	So4  	G	296	296	1	8	405	95	96	
14	9	La4  	A4	305	305	1	4	811	50	96	
15	9	La4  	A4	305	305	1	4	811	50	96	
16	9	La4  	A4	305	305	1	4	811	50	96	
17	9	Re5  	D5	327	327	3	16	608	95	96	
18	9	Do5  	C5	318	318	1	16	203	95	90	
19	9	Re5  	D5	327	327	1	8	405	95	96	
20	9	Si4b2	B4b1	312	313	1	8	405	95	96	
21	9	Re5  	D5	327	327	3	16	608	95	96	
22	9	Do5  	C5	318	318	1	16	203	95	90	
23	9	Re5  	D5	327	327	1	8	405	95	96	
24	9	Si4b2	B4b1	312	313	1	8	405	95	96	
25	9	Do5  	C5	318	318	3	16	608	95	96	
26	9	Re5  	D5	327	327	1	16	203	95	90	
27	9	Si4b2	B4b1	312	313	1	16	203	95	96	
28	9	La4  	A4	305	305	1	16	203	95	90	
29	9	So4  	G	296	296	1	8	405	95	96	
30	9	La4  	A4	305	305	1	4	811	95	96	
31	9	La4  	A4	305	305	1	4	811	50	96	
32	9	La4  	A4	305	305	1	8	405	50	96	
33	9	Si4b2	B4b1	312	313	1	8	405	95	96	
34	9	Do5  	C5	318	318	3	16	608	95	96	
35	9	Re5  	D5	327	327	1	16	203	95	90	
36	9	Si4b2	B4b1	312	313	1	16	203	95	96	
37	9	La4  	A4	305	305	1	16	203	95	90	
38	9	So4  	G	296	296	1	8	405	95	96	
39	9	La4  	A4	305	305	1	4	811	95	96	
40	9	La4  	A4	305	305	1	8	405	95	96	
41	9	Si4b2	B4b1	312	313	1	8	405	95	96	
42	9	Do5  	C5	318	318	3	16	608	95	96	
43	9	Re5  	D5	327	327	1	16	203	95	90	
44	9	Si4b2	B4b1	312	313	1	16	203	95	96	
45	9	La4  	A4	305	305	1	16	203	95	90	
46	9	So4  	G	296	296	1	8	405	95	96	
47	9	La4  	A4	305	305	1	4	811	95	96	
48	9	La4  	A4	305	305	1	4	811	50	96	
49	9	La4  	A4	305	305	1	8	405	50	96	
50	9	Si4b2	B4b1	312	313	1	8	405	95	96	
51	9	Do5  	C5	318	318	3	16	608	95	96	
52	9	Re5  	D5	327	327	1	16	203	95	90	
53	9	Si4b2	B4b1	312	313	1	16	203	95	96	
54	9	La4  	A4	305	305	1	16	203	95	90	
55	9	So4  	G	296	296	1	8	405	95	96	
56	9	La4  	A4	305	305	1	4	811	95	96	
57	9	Mi5  	E5	336	336	1	16	203	95	96	
58	9	Re5  	D5	327	327	1	16	203	95	90	
59	9	Mi5  	E5	336	336	1	8	405	95	96	
60	9	Do5  	C5	318	318	3	16	608	95	96	
61	9	Re5  	D5	327	327	1	16	203	95	90	
62	9	Si4b2	B4b1	312	313	1	16	203	95	96	
63	9	La4  	A4	305	305	1	16	203	95	90	
64	9	So4  	G	296	296	1	8	405	95	96	
65	9	La4  	A4	305	305	1	4	811	50	96	
66	9	La4  	A4	305	305	1	4	811	50	96	
67	9	La4  	A4	305	305	1	4	811	50	96	
68	9	Re5  	D5	327	327	3	16	608	95	96	
69	9	Do5  	C5	318	318	1	16	203	95	90	
70	9	Re5  	D5	327	327	1	8	405	95	96	
71	9	Si4b2	B4b1	312	313	1	8	405	95	96	
72	9	Re5  	D5	327	327	3	16	608	95	96	
73	9	Do5  	C5	318	318	1	16	203	95	90	
74	9	Re5  	D5	327	327	1	8	405	95	96	
75	9	Si4b2	B4b1	312	313	1	8	405	95	96	
76	9	Do5  	C5	318	318	3	16	608	95	96	
77	9	Re5  	D5	327	327	1	16	203	95	90	
78	9	Si4b2	B4b1	312	313	1	16	203	95	96	
79	9	La4  	A4	305	305	1	16	203	95	90	
80	9	So4  	G	296	296	1	8	405	95	96	
81	9	La4  	A4	305	305	1	4	811	50	96	
82	9	La4  	A4	305	305	1	4	811	50	96	
83	9	La4  	A4	305	305	1	4	811	50	96	
84	9	Re5  	D5	327	327	3	16	608	95	96	
85	9	Do5  	C5	318	318	1	16	203	95	90	
86	9	Re5  	D5	327	327	1	8	405	95	96	
87	9	Si4b2	B4b1	312	313	1	8	405	95	96	
88	9	Re5  	D5	327	327	3	16	608	95	96	
89	9	Do5  	C5	318	318	1	16	203	95	90	
90	9	Re5  	D5	327	327	1	8	405	95	96	
91	9	Si4b2	B4b1	312	313	1	8	405	95	96	
92	9	Do5  	C5	318	318	3	16	608	95	96	
93	9	Re5  	D5	327	327	1	16	203	95	90	
94	9	Si4b2	B4b1	312	313	1	16	203	95	96	
95	9	La4  	A4	305	305	1	16	203	95	90	
96	9	So4  	G	296	296	1	8	405	95	96	
97	9	La4  	A4	305	305	1	4	811	95	96	
98	9	La4  	A4	305	305	1	4	811	50	96	
99	9	La4  	A4	305	305	1	8	405	50	96	
100	9	Si4b2	B4b1	312	313	1	8	405	95	96	
101	9	Do5  	C5	318	318	3	16	608	95	96	
102	9	Re5  	D5	327	327	1	16	203	95	90	
103	9	Si4b2	B4b1	312	313	1	16	203	95	96	
104	9	La4  	A4	305	305	1	16	203	95	90	
105	9	So4  	G	296	296	1	8	405	95	96	
106	9	La4  	A4	305	305	1	4	811	95	96	
107	9	La4  	A4	305	305	1	8	405	95	96	
108	9	Si4b2	B4b1	312	313	1	8	405	95	96	
109	9	Do5  	C5	318	318	3	16	608	95	96	
110	9	Re5  	D5	327	327	1	16	203	95	90	
