Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	7	Do5	C5	318	318	2	8	870	95	96	1. HANE	0.0357142857143
2	7	Re5	D5	327	327	2	8	870	95	96		0.0714285714286
3	9	Do5	C5	318	318	1	8	435	95	96		0.0892857142857
4	9	Si4b1	B4b1	313	313	1	8	435	95	96		0.107142857143
5	9	Fa5#3	F5#4	343	344	2	16	435	95	96		0.125
6	9	Mi5b3	E5b4	333	332	1	8	435	95	96		0.142857142857
7	9	Fa5#3	F5#4	343	344	1	16	217	95	96		0.151785714286
8	9	Mi5b3	E5b4	333	332	1	16	217	95	96		0.160714285714
9	9	Re5	D5	327	327	1	4	870	95	96		0.196428571429
10	9	Si4b1	B4b1	313	313	1	8	435	95	96		0.214285714286
11	9	Do5	C5	318	318	1	16	217	95	96		0.223214285714
12	9	Re5	D5	327	327	1	16	217	95	96		0.232142857143
13	9	Do5	C5	318	318	1	16	217	95	96		0.241071428571
14	9	Si4b1	B4b1	313	313	1	16	217	95	96		0.25
15	9	Do5	C5	318	318	1	8	435	95	96		0.267857142857
16	9	Re5	D5	327	327	1	16	217	95	96		0.276785714286
17	11	Mi5b1	E5b1	335	335	1	16	217	95	96		0.285714285714
18	9	Re5	D5	327	327	1	16	217	95	96		0.294642857143
19	9	Do5	C5	318	318	1	16	217	95	96		0.303571428571
20	9	Si4b1	B4b1	313	313	1	16	217	95	96		0.3125
21	9	La4#4	A4#4	309	309	1	16	217	95	96		0.321428571429
22	9	Si4b1	B4b1	313	313	1	8	435	95	96		0.339285714286
23	9	Do5	C5	318	318	1	8	435	95	96		0.357142857143
24	9	Si4b1	B4b1	313	313	1	4	870	95	96		0.392857142857
25	9	Re5	D5	327	327	1	8	435	95	96		0.410714285714
26	9	Mi5b3	E5b4	333	332	1	16	217	95	96		0.419642857143
27	9	Re5	D5	327	327	1	16	217	95	96		0.428571428571
28	9	Fa5#3	F5#4	343	344	1	16	217	95	96		0.4375
29	12	Sol5	G5	349	349	2	16	435	95	96		0.455357142857
30	9	Fa5#3	F5#4	343	344	1	16	217	95	96		0.464285714286
31	9	Mi5b3	E5b4	333	332	1	8	435	95	96		0.482142857143
32	9	Re5	D5	327	327	1	8	435	95	96		0.5
33	9	Re5	D5	327	327	1	16	217	95	96		0.508928571429
34	9	Do5	C5	318	318	1	16	217	95	96		0.517857142857
35	9	Do5	C5	318	318	1	16	217	95	96		0.526785714286
36	9	Si4b1	B4b1	313	313	1	16	217	95	96		0.535714285714
37	9	Do5	C5	318	318	1	8	435	95	96		0.553571428571
38	9	Re5	D5	327	327	1	8	435	95	96		0.571428571429
39	9	Do5	C5	318	318	1	4	870	95	96		0.607142857143
40	9	Re5	D5	327	327	1	8	435	95	96		0.625
41	9	Mi5b3	E5b4	333	332	1	8	435	95	96		0.642857142857
42	9	Re5	D5	327	327	3	32	326	95	96		0.65625
43	9	Mi5b3	E5b4	333	332	1	32	109	95	96		0.660714285714
44	9	Fa5#3	F5#4	343	344	1	16	217	95	96		0.669642857143
45	9	Sol5	G5	349	349	1	16	217	95	96		0.678571428571
46	9	La5	A5	358	358	1	16	217	95	96		0.6875
47	9	Si5b5	B5b5	362	362	1	16	217	95	96		0.696428571429
48	9	La5	A5	358	358	1	16	217	95	96		0.705357142857
49	9	Sol5	G5	349	349	1	16	217	95	96		0.714285714286
50	9	La5	A5	358	358	1	16	217	95	96		0.723214285714
51	9	Sol5	G5	349	349	1	16	217	95	96		0.732142857143
52	9	Fa5#3	F5#4	343	344	1	4	870	95	96		0.767857142857
53	9	Re5	D5	327	327	1	8	435	95	96		0.785714285714
54	9	Mi5b3	E5b4	333	332	1	16	217	95	96		0.794642857143
55	9	Re5	D5	327	327	1	16	217	95	96		0.803571428571
56	9	Mi5b3	E5b4	333	332	1	16	217	95	96		0.8125
57	9	Fa5#3	F5#4	343	344	1	16	217	95	96		0.821428571429
58	9	Mi5b3	E5b4	333	332	1	16	217	95	96		0.830357142857
59	9	Re5	D5	327	327	1	16	217	95	96		0.839285714286
60	9	Do5#4	C5#4	322	322	1	8	435	95	96		0.857142857143
61	9	Re5	D5	327	327	3	8	1304	95	96		0.910714285714
62	9	Do5#4	C5#4	322	322	1	8	435	95	96		0.928571428571
63	9	Re5	D5	327	327	1	16	217	95	96		0.9375
64	9	Mi5b3	E5b4	333	332	1	16	217	95	96		0.946428571429
65	9	Re5	D5	327	327	1	16	217	95	96		0.955357142857
66	9	Do5#4	C5#4	322	322	1	16	217	95	96		0.964285714286
67	9	Re5	D5	327	327	1	8	435	95	96		0.982142857143
68	9	Mi5b3	E5b4	333	332	1	8	435	95	96		1.0
69	9	Re5	D5	327	327	1	8	435	95	96		1.01785714286
70	9	Fa5#3	F5#4	343	344	1	8	435	95	96		1.03571428571
71	12	Mi5b3	E5b4	333	332	6	16	1304	95	96		1.08928571429
72	9	Mi5b3	E5b4	333	332	1	16	217	95	96		1.09821428571
73	9	Re5	D5	327	327	1	16	217	95	96		1.10714285714
74	9	Re5	D5	327	327	1	8	435	95	96		1.125
75	9	Mi5b3	E5b4	333	332	1	16	217	95	96		1.13392857143
76	9	Re5	D5	327	327	1	16	217	95	96		1.14285714286
77	9	Fa5#3	F5#4	343	344	1	16	217	95	96		1.15178571429
78	12	Sol5	G5	349	349	2	16	435	95	96		1.16964285714
79	9	Fa5#3	F5#4	343	344	1	16	217	95	96		1.17857142857
80	9	Mi5b3	E5b4	333	332	1	8	435	95	96		1.19642857143
81	9	Re5	D5	327	327	1	8	435	95	96		1.21428571429
82	9	Mi5b3	E5b4	333	332	1	16	217	95	96		1.22321428571
83	9	Fa5#3	F5#4	343	344	1	16	217	95	96		1.23214285714
84	9	Mi5b3	E5b4	333	332	1	16	217	95	96		1.24107142857
85	9	Re5	D5	327	327	1	16	217	95	96		1.25
86	9	Mi5b3	E5b4	333	332	1	8	435	95	96		1.26785714286
87	9	Fa5#3	F5#4	343	344	1	16	217	95	96		1.27678571429
88	9	Sol5	G5	349	349	1	16	217	95	96		1.28571428571
89	9	Fa5#3	F5#4	343	344	1	16	217	95	96		1.29464285714
90	9	Mi5b3	E5b4	333	332	1	16	217	95	96		1.30357142857
91	9	Re5	D5	327	327	1	16	217	95	96		1.3125
92	9	Do5	C5	318	318	1	16	217	95	96		1.32142857143
93	9	Re5	D5	327	327	1	16	217	95	96		1.33035714286
94	9	Re5	D5	327	327	1	8	435	95	96		1.34821428571
95	9	Mi5b3	E5b4	333	332	1	16	217	95	96		1.35714285714
96	9	Fa5#3	F5#4	343	344	1	8	435	95	96		1.375
97	9	Sol5	G5	349	349	1	8	435	95	96		1.39285714286
98	9	La5	A5	358	358	1	16	217	95	96		1.40178571429
99	9	Si5b5	B5b5	362	362	1	16	217	95	96		1.41071428571
100	9	La5	A5	358	358	1	16	217	95	96		1.41964285714
101	9	Sol5	G5	349	349	1	16	217	95	96		1.42857142857
102	9	La5	A5	358	358	1	16	217	95	96		1.4375
103	9	Sol5	G5	349	349	1	16	217	95	96		1.44642857143
104	9	Fa5#3	F5#4	343	344	1	4	870	95	96		1.48214285714
105	9	Re5	D5	327	327	1	8	435	95	96		1.5
106	9	Mi5b3	E5b4	333	332	1	16	217	95	96		1.50892857143
107	9	Re5	D5	327	327	1	16	217	95	96		1.51785714286
