Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Es	Es	-1	-1	1	4	909	100	0		0.125
2	9	Si4b1	B4b1	313	313	1	4	909	95	96		0.25
3	9	Si4b1	B4b1	313	313	1	4	909	95	96		0.375
4	9	Re5	D5	327	327	1	4	909	95	96		0.5
5	9	Do5	C5	318	318	1	8	455	95	96		0.5625
6	9	Re5	D5	327	327	1	16	227	95	96		0.59375
7	9	Mi5b1	E5b1	335	335	1	16	227	95	96		0.625
8	9	Re5	D5	327	327	1	8	455	95	96		0.6875
9	9	Do5	C5	318	318	1	8	455	95	96		0.75
10	9	Si4b1	B4b1	313	313	1	8	455	95	96		0.8125
11	9	La4	A4	305	305	1	8	455	95	96		0.875
12	9	Sol4	G4	296	296	1	4	909	95	96		1.0
13	9	Sol4	G4	296	296	1	4	909	95	96		1.125
14	9	Si4b1	B4b1	313	313	1	8	455	95	96		1.1875
15	9	Do5	C5	318	318	1	8	455	95	96		1.25
16	9	Re5	D5	327	327	1	4	909	95	96		1.375
17	9	Do5	C5	318	318	1	8	455	95	96		1.4375
18	9	Si4b1	B4b1	313	313	1	8	455	95	96		1.5
19	9	Mi5b4	E5b4	332	332	1	16	227	95	96		1.53125
20	9	Re5	D5	327	327	1	16	227	95	96		1.5625
21	9	Mi5b4	E5b4	332	332	1	16	227	95	96		1.59375
22	9	Fa5#4	F5#4	344	344	1	16	227	95	96		1.625
23	9	Mi5b4	E5b4	332	332	1	8	455	95	96		1.6875
24	9	Re5	D5	327	327	1	8	455	95	96		1.75
25	9	Re5	D5	327	327	1	2	1818	95	96		2.0
26	9	Es	Es	-1	-1	1	4	909	100	0		2.125
27	9	Re5	D5	327	327	1	8	455	95	96		2.1875
28	9	Mi5b4	E5b4	332	332	1	8	455	95	96		2.25
29	9	Re5	D5	327	327	1	4	909	95	96		2.375
30	9	Fa5#4	F5#4	344	344	1	4	909	95	96		2.5
31	9	Sol5	G5	349	349	1	4	909	95	96		2.625
32	9	Fa5#4	F5#4	344	344	1	8	455	95	96		2.6875
33	9	Mi5b4	E5b4	332	332	1	8	455	95	96		2.75
34	9	Fa5#4	F5#4	344	344	1	4	909	95	96		2.875
