Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	3	16	789	95	96	ARANAĞME	0.166667
2	9	La4	A4	305	305	1	16	263	95	96	.	0.222222
3	9	Si4b1	B4b1	313	313	1	8	526	95	96	.	0.333333
4	9	Do5	C5	318	318	1	8	526	95	96	.	0.444444
5	9	La4	A4	305	305	3	16	789	95	96	.	0.611111
6	9	Si4b1	B4b1	313	313	1	16	263	95	96	.	0.666667
7	9	Do5	C5	318	318	1	8	526	95	96	.	0.777778
8	9	Re5	D5	327	327	1	8	526	95	96	.	0.888889
9	9	Mi5b3	E5b4	333	332	1	8	526	95	96	.	1.000000
10	9	Do5	C5	318	318	3	16	789	95	96	.	1.166667
11	9	Re5	D5	327	327	1	16	263	95	96	.	1.222222
12	9	Mi5b3	E5b4	333	332	1	8	526	95	96	.	1.333333
13	9	Fa5#3	F5#4	343	344	1	8	526	95	96	.	1.444444
14	9	Re5	D5	327	327	3	16	789	95	96	.	1.611111
15	9	Mi5b3	E5b4	333	332	1	16	263	95	96	.	1.666667
16	9	Fa5#3	F5#4	343	344	1	8	526	95	96	.	1.777778
17	9	Sol5	G5	349	349	1	8	526	95	96	.	1.888889
18	9	La5	A5	358	358	1	8	526	95	96	.	2.000000
19	9	Sol5	G5	349	349	3	16	789	95	96	.	2.166667
20	9	Do6	C6	371	371	1	16	263	95	96	.	2.222222
21	9	Si5b1	B5b1	366	366	1	16	263	95	96	.	2.277778
22	9	Do6	C6	371	371	1	16	263	95	96	.	2.333333
23	9	La5	A5	358	358	1	16	263	95	96	.	2.388889
24	9	Si5b5	B5b5	362	362	1	16	263	95	96	.	2.444444
25	9	Sol5	G5	349	349	1	16	263	95	96	.	2.500000
26	9	La5	A5	358	358	1	16	263	95	96	.	2.555556
27	9	Fa5#3	F5#4	343	344	1	16	263	95	96	.	2.611111
28	9	Sol5	G5	349	349	1	16	263	95	96	.	2.666667
29	9	Mi5b3	E5b4	333	332	1	16	263	95	96	.	2.722222
30	9	Fa5#3	F5#4	343	344	1	16	263	95	96	.	2.777778
31	9	Re5	D5	327	327	1	16	263	95	96	.	2.833333
32	9	Mi5b3	E5b4	333	332	1	16	263	95	96	.	2.888889
33	9	Re5	D5	327	327	1	16	263	95	96	.	2.944444
34	9	Do5	C5	318	318	1	16	263	95	96	.	3.000000
35	9	Si4b1	B4b1	313	313	1	16	263	95	96	.	3.055556
36	9	Do5	C5	318	318	1	16	263	95	96	.	3.111111
37	9	Re5	D5	327	327	1	16	263	95	96	.	3.166667
38	9	Mi5b3	E5b4	333	332	1	16	263	95	96	.	3.222222
39	9	Fa5#3	F5#4	343	344	1	8	526	95	96	.	3.333333
40	9	Mi5b3	E5b4	333	332	1	16	263	95	96	.	3.388889
41	9	Re5	D5	327	327	1	16	263	95	96	.	3.444444
42	9	Re5	D5	327	327	1	16	263	95	96	.	3.500000
