Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
1	9	Sol4	G4	296	296	1	8	385	95	96	SAZ
2	9	Si4b1	B4b1	313	313	3	8	1154	95	96	.
3	9	Sol4	G4	296	296	1	4	769	95	96	.
4	9	Si4b1	B4b1	313	313	3	8	1154	95	96	.
5	9	Sol4	G4	296	296	1	4	769	95	96	.
6	9	Si4b1	B4b1	313	313	1	4	769	95	96	.
7	9	Do5	C5	318	318	1	16	192	95	96	.
8	9	Si4b1	B4b1	313	313	1	16	192	95	96	.
9	9	Do5	C5	318	318	1	16	192	95	96	.
10	9	Re5	D5	327	327	1	16	192	95	96	.
11	9	Si4b1	B4b1	313	313	4	8	1539	95	96	.
12	9	Si4b1	B4b1	313	313	1	4	769	95	96	Sev
13	9	Do5	C5	318	318	1	8	385	95	96	di
14	9	Re5	D5	327	327	1	4	769	95	96	ðin 
15	9	Re5	D5	327	327	3	8	1154	95	96	dün
16	9	Si4b1	B4b1	313	313	1	4	769	95	96	ya
17	9	Do5	C5	318	318	1	8	385	99	96	lar 
18	9	Re5	D5	327	327	1	8	385	95	96	
19	9	Do5	C5	318	318	1	8	385	99	96	ka
20	9	Re5	D5	327	327	1	8	385	95	96	
21	9	Si4b1	B4b1	313	313	3	8	1154	95	96	dar 
22	9	Si4b1	B4b1	313	313	3	16	577	99	96	Gel 
23	9	La4	A4	305	305	1	16	192	95	96	
24	9	Si4b1	B4b1	313	313	1	8	385	95	96	de
25	9	Do5	C5	318	318	1	8	385	95	96	se 
26	9	Re5	D5	327	327	1	4	769	95	96	bir 
27	8	Fa5#3	F5#4	343	344	1	64	48	95	96	
28	9	Mi5b3	E5b4	333	332	1	8	385	99	96	gün 
29	9	Re5	D5	327	327	1	8	385	99	96	
30	9	Do5	C5	318	318	1	8	385	95	96	
31	9	Si4b1	B4b1	313	313	3	16	577	99	96	gel 
32	9	La4	A4	305	305	1	16	192	99	96	
33	9	Si4b1	B4b1	313	313	1	8	385	95	96	
34	9	Do5	C5	318	318	1	8	385	95	96	de
35	9	Re5	D5	327	327	1	4	769	99	96	se  
36	9	Si4b1	B4b1	313	313	3	8	1154	95	96	
37	9	Re5	D5	327	327	1	8	385	95	96	Ne
38	9	Mi5b3	E5b4	333	332	1	8	385	95	96	si 
39	9	Fa5#3	F5#4	343	344	1	4	769	95	96	var 
40	9	Fa5#3	F5#4	343	344	1	4	769	95	96	öm
