Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Do5	C5	318	318	1	4	833	95	96	ARANAĞME	0.2
2	9	Re5	D5	327	327	1	8	417	95	96	.	0.3
3	9	Re5	D5	327	327	1	4	833	95	96	.	0.5
4	9	Re5	D5	327	327	1	16	208	95	96	.	0.55
5	9	Do5	C5	318	318	1	16	208	95	96	.	0.6
6	9	Si4b1	B4b1	313	313	1	16	208	95	96	.	0.65
7	9	Do5	C5	318	318	1	16	208	95	96	.	0.7
8	9	Re5	D5	327	327	1	4	833	95	96	.	0.9
9	9	Es	Es	-1	-1	1	8	417	100	0	.	1.0
10	9	Mi5b3	E5b4	333	332	1	4	833	95	96	.	1.2
11	9	Mi5b3	E5b4	333	332	1	8	417	95	96	.	1.3
12	9	Mi5b3	E5b4	333	332	1	4	833	95	96	.	1.5
13	9	Mi5b3	E5b4	333	332	1	16	208	95	96	.	1.55
14	9	Re5	D5	327	327	1	16	208	95	96	.	1.6
15	9	Do5	C5	318	318	1	16	208	95	96	.	1.65
16	9	Re5	D5	327	327	1	16	208	95	96	.	1.7
17	9	Mi5b3	E5b4	333	332	1	4	833	95	96	.	1.9
18	9	Es	Es	-1	-1	1	8	417	100	0	.	2.0
19	9	Re5	D5	327	327	1	4	833	95	96	.	2.2
20	9	Mi5b3	E5b4	333	332	1	8	417	95	96	.	2.3
21	9	Fa5#3	F5#4	343	344	1	4	833	95	96	.	2.5
22	9	Sol5	G5	349	349	1	4	833	95	96	.	2.7
23	9	Fa5#3	F5#4	343	344	1	8	417	95	96	.	2.8
24	9	Mi5b3	E5b4	333	332	1	4	833	95	96	.	3.0
25	9	Re5	D5	327	327	1	4	833	95	96	.	3.2
26	9	Si4b1	B4b1	313	313	1	8	417	95	96	.	3.3
27	9	Do5	C5	318	318	1	4	833	95	96	.	3.5
28	9	Re5	D5	327	327	1	8	417	95	96	.	3.6
29	9	Do5	C5	318	318	1	8	417	95	96	.	3.7
30	9	Si4b1	B4b1	313	313	1	4	833	95	96	.	3.9
31	9	Es	Es	-1	-1	1	8	417	100	0		4.0
32	9	Do5	C5	318	318	1	4	833	95	96	ARANAĞME	4.2
33	9	Re5	D5	327	327	1	8	417	95	96	.	4.3
34	9	Re5	D5	327	327	1	4	833	95	96	.	4.5
35	9	Re5	D5	327	327	1	16	208	95	96	.	4.55
36	9	Do5	C5	318	318	1	16	208	95	96	.	4.6
37	9	Si4b1	B4b1	313	313	1	16	208	95	96	.	4.65
38	9	Do5	C5	318	318	1	16	208	95	96	.	4.7
39	9	Re5	D5	327	327	1	4	833	95	96	.	4.9
40	9	Es	Es	-1	-1	1	8	417	100	0	.	5.0
41	9	Mi5b3	E5b4	333	332	1	4	833	95	96	.	5.2
42	9	Mi5b3	E5b4	333	332	1	8	417	95	96	.	5.3
43	9	Mi5b3	E5b4	333	332	1	4	833	95	96	.	5.5
44	9	Mi5b3	E5b4	333	332	1	16	208	95	96	.	5.55
45	9	Re5	D5	327	327	1	16	208	95	96	.	5.6
46	9	Do5	C5	318	318	1	16	208	95	96	.	5.65
47	9	Re5	D5	327	327	1	16	208	95	96	.	5.7
48	9	Mi5b3	E5b4	333	332	1	4	833	95	96	.	5.9
49	9	Es	Es	-1	-1	1	8	417	100	0	.	6.0
50	9	Re5	D5	327	327	1	4	833	95	96	.	6.2
51	9	Mi5b3	E5b4	333	332	1	8	417	95	96	.	6.3
52	9	Fa5#3	F5#4	343	344	1	4	833	95	96	.	6.5
53	9	Sol5	G5	349	349	1	4	833	95	96	.	6.7
54	9	Fa5#3	F5#4	343	344	1	8	417	95	96	.	6.8
55	9	Mi5b3	E5b4	333	332	1	4	833	95	96	.	7.0
56	9	Re5	D5	327	327	1	4	833	95	96	.	7.2
57	9	Si4b1	B4b1	313	313	1	8	417	95	96	.	7.3
58	9	Do5	C5	318	318	1	4	833	95	96	.	7.5
59	9	Re5	D5	327	327	1	8	417	95	96	.	7.6
60	9	Do5	C5	318	318	1	8	417	95	96	.	7.7
61	9	Si4b1	B4b1	313	313	1	4	833	95	96	.	7.9
62	9	Es	Es	-1	-1	1	8	417	100	0		8.0
63	9	Re5	D5	327	327	3	16	625	95	96	Ah 	8.15
64	9	Do5	C5	318	318	1	16	208	95	96		8.2
65	9	Si4b1	B4b1	313	313	1	16	208	95	96	ke	8.25
66	9	Do5	C5	318	318	1	16	208	95	96		8.3
67	9	Re5	D5	327	327	1	8	417	95	96	rem 	8.4
68	9	Mi5b3	E5b4	333	332	1	16	208	95	96		8.45
69	9	Fa5#3	F5#4	343	344	1	16	208	95	96		8.5
70	9	Re5	D5	327	327	3	16	625	95	96	ey	8.65
71	9	Do5	C5	318	318	1	16	208	95	96		8.7
72	9	Si4b1	B4b1	313	313	1	16	208	95	96	le 	8.75
73	9	Do5	C5	318	318	1	16	208	95	96		8.8
74	9	Re5	D5	327	327	1	4	833	95	96	mes	9.0
75	9	Mi5b3	E5b4	333	332	1	4	833	95	96	tâ	9.2
76	8	Fa5#3	F5#4	343	344	0	0	0	95	96		9.2
77	9	Mi5b3	E5b4	333	332	1	16	208	95	96	ne 	9.25
78	9	Re5	D5	327	327	1	16	208	95	96		9.3
79	9	La5	A5	358	358	1	16	208	95	96	kıl 	9.35
80	9	Sol5	G5	349	349	1	8	417	95	96		9.45
81	9	Fa5#3	F5#4	343	344	1	16	208	95	96		9.5
82	9	Fa5#3	F5#4	343	344	1	16	208	95	96	bir 	9.55
83	9	Sol5	G5	349	349	1	16	208	95	96		9.6
84	9	Fa5#3	F5#4	343	344	1	16	208	95	96		9.65
85	9	Mi5b3	E5b4	333	332	1	16	208	95	96		9.7
86	8	Fa5#3	F5#4	343	344	0	0	0	95	96		9.7
87	9	Mi5b3	E5b4	333	332	1	16	208	95	96	ni	9.75
88	9	Re5	D5	327	327	1	16	208	95	96		9.8
89	9	Re5	D5	327	327	1	4	833	95	96	gâh  	10.0
90	9	Fa5#3	F5#4	343	344	1	16	208	95	96	Ca	10.05
91	9	Mi5b3	E5b4	333	332	1	16	208	95	96		10.1
92	9	Re5	D5	327	327	1	16	208	95	96	nım 	10.15
93	9	Do5	C5	318	318	1	16	208	95	96		10.2
94	9	Si4b1	B4b1	313	313	1	16	208	95	96	ke	10.25
95	9	Do5	C5	318	318	1	16	208	95	96		10.3
96	9	Re5	D5	327	327	1	8	417	95	96	rem 	10.4
97	9	Mi5b3	E5b4	333	332	1	16	208	95	96		10.45
98	9	Fa5#3	F5#4	343	344	1	16	208	95	96		10.5
99	9	Re5	D5	327	327	3	16	625	95	96	ey	10.65
100	9	Do5	C5	318	318	1	16	208	95	96		10.7
101	9	Si4b1	B4b1	313	313	1	16	208	95	96	le 	10.75
102	9	Do5	C5	318	318	1	16	208	95	96		10.8
103	9	Re5	D5	327	327	1	4	833	95	96	mes	11.0
104	9	Mi5b3	E5b4	333	332	1	4	833	95	96	tâ	11.2
105	8	Fa5#3	F5#4	343	344	0	0	0	95	96		11.2
106	9	Mi5b3	E5b4	333	332	1	16	208	95	96	ne 	11.25
107	9	Re5	D5	327	327	1	16	208	95	96		11.3
108	9	La5	A5	358	358	1	16	208	95	96	kıl 	11.35
109	9	Sol5	G5	349	349	1	8	417	95	96		11.45
110	9	Fa5#3	F5#4	343	344	1	16	208	95	96		11.5
111	9	Fa5#3	F5#4	343	344	1	16	208	95	96	bir 	11.55
112	9	Sol5	G5	349	349	1	16	208	95	96		11.6
113	9	Fa5#3	F5#4	343	344	1	16	208	95	96		11.65
114	9	Mi5b3	E5b4	333	332	1	16	208	95	96		11.7
115	8	Fa5#3	F5#4	343	344	0	0	0	95	96		11.7
116	9	Mi5b3	E5b4	333	332	1	16	208	95	96	ni	11.75
117	9	Re5	D5	327	327	1	16	208	95	96		11.8
118	9	Re5	D5	327	327	1	4	833	95	96	gâh  	12.0
119	9	Fa5#3	F5#4	343	344	1	4	833	95	96	Ah 	12.2
120	9	Fa5#3	F5#4	343	344	1	8	417	95	96	şa	12.3
121	9	Fa5#3	F5#4	343	344	1	4	833	95	96	rab 	12.5
122	9	Sol5	G5	349	349	1	16	208	95	96	iç 	12.55
123	9	Fa5#3	F5#4	343	344	1	16	208	95	96		12.6
124	9	Mi5b3	E5b4	333	332	1	16	208	95	96		12.65
125	9	Re5	D5	327	327	1	16	208	95	96		12.7
126	9	Mi5b3	E5b4	333	332	1	16	208	95	96	sü	12.75
127	9	Fa5#3	F5#4	343	344	1	16	208	95	96		12.8
128	9	Sol5	G5	349	349	1	4	833	95	96	zül	13.0
129	9	Sol5	G5	349	349	1	8	417	95	96	sün 	13.1
130	9	Fa5#3	F5#4	343	344	1	16	208	95	96		13.15
131	9	Mi5b3	E5b4	333	332	1	16	208	95	96		13.2
132	9	Re5	D5	327	327	1	16	208	95	96	o 	13.25
133	9	Mi5b3	E5b4	333	332	1	16	208	95	96		13.3
134	9	Fa5#3	F5#4	343	344	1	8	417	95	96	çeşm_	13.4
135	9	Mi5b3	E5b4	333	332	1	16	208	95	96		13.45
136	9	Fa5#3	F5#4	343	344	1	16	208	95	96		13.5
137	9	Sol5	G5	349	349	1	8	417	95	96	i 	13.6
138	9	Fa5#3	F5#4	343	344	1	16	208	95	96		13.65
139	9	Mi5b3	E5b4	333	332	1	16	208	95	96		13.7
140	8	Fa5#3	F5#4	343	344	0	0	0	95	96		13.7
141	9	Mi5b3	E5b4	333	332	1	16	208	95	96	si	13.75
142	9	Re5	D5	327	327	1	16	208	95	96		13.8
143	9	Re5	D5	327	327	1	4	833	95	96	yah  	14.0
144	9	Re5	D5	327	327	1	8	417	95	96	Ca	14.1
145	9	Do5	C5	318	318	1	16	208	95	96	nım 	14.15
146	9	Si4b1	B4b1	313	313	1	16	208	95	96		14.2
