Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	9	8	0	21	0	Çiftesofyan	0.0
2	9	Si4b1	B4b1	313	313	1	16	167	95	96	ARANAĞME	0.0555555555556
3	9	Do5	C5	318	318	1	16	167	95	96	.	0.111111111111
4	9	Si4b1	B4b1	313	313	1	16	167	95	96	.	0.166666666667
5	9	La4	A4	305	305	1	16	167	95	96	.	0.222222222222
6	9	Sol4	G4	296	296	1	4	667	95	96	.	0.444444444444
7	9	Re5	D5	327	327	1	16	167	95	96	.	0.5
8	9	Do5	C5	318	318	1	16	167	95	96	.	0.555555555556
9	9	Si4b1	B4b1	313	313	1	16	167	95	96	.	0.611111111111
10	9	Do5	C5	318	318	1	16	167	95	96	.	0.666666666667
11	9	Re5	D5	327	327	3	32	250	95	96	.	0.75
12	9	Mi5b3	E5b4	333	332	1	32	83	95	96	.	0.777777777778
13	9	Re5	D5	327	327	1	16	167	95	96	.	0.833333333333
14	9	Mi5b3	E5b4	333	332	1	16	167	95	96	.	0.888888888889
15	9	Re5	D5	327	327	1	16	167	95	96	.	0.944444444444
16	9	Do5	C5	318	318	1	16	167	95	96	.	1.0
17	9	Re5	D5	327	327	1	16	167	95	96	.	1.05555555556
18	9	Mi5b3	E5b4	333	332	1	16	167	95	96	.	1.11111111111
19	9	Fa5#3	F5#4	343	344	1	16	167	95	96	.	1.16666666667
20	9	Sol5	G5	349	349	1	16	167	95	96	.	1.22222222222
21	9	La5	A5	358	358	1	16	167	95	96	.	1.27777777778
22	7	Sol5	G5	349	349	2	16	333	95	96	.	1.38888888889
23	9	Fa5#3	F5#4	343	344	1	16	167	95	96	.	1.44444444444
24	9	Fa5#3	F5#4	343	344	1	16	167	95	96	.	1.5
25	7	Mi5b3	E5b4	333	332	2	16	333	95	96	.	1.61111111111
26	9	Re5	D5	327	327	1	16	167	95	96	.	1.66666666667
27	9	Re5	D5	327	327	1	4	667	95	96	.	1.88888888889
28	9	Es	Es	-1	-1	1	8	333	100	0	.	2.0
29	9	Re5	D5	327	327	3	32	250	95	96	.	2.08333333333
30	9	Do5	C5	318	318	1	32	83	95	96	.	2.11111111111
31	9	Re5	D5	327	327	1	16	167	95	96	.	2.16666666667
32	9	Mi5b3	E5b4	333	332	1	16	167	95	96	.	2.22222222222
33	9	Fa5#3	F5#4	343	344	3	32	250	95	96	.	2.30555555556
34	9	Mi5b3	E5b4	333	332	1	32	83	95	96	.	2.33333333333
