Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	7	La5	A5	358	358	2	8	667	95	108	ARANAĞME	0.2
2	9	Sol5	G5	349	349	1	8	333	95	96	.	0.3
3	9	Fa5#3	F5#4	343	344	1	4	667	95	66	.	0.5
4	9	Es	Es	-1	-1	1	4	667	100	69	.	0.7
5	9	Re5	D5	327	327	1	8	333	95	72	.	0.8
6	9	Mi5b3	E5b4	333	332	1	8	333	95	66	.	0.9
7	9	Fa5#3	F5#4	343	344	1	8	333	95	87	.	1.0
8	7	Sol5	G5	349	349	2	8	667	95	108	.	1.2
9	9	Fa5#3	F5#4	343	344	1	8	333	95	96	.	1.3
10	9	Mi5b3	E5b4	333	332	1	4	667	95	66	.	1.5
11	9	Es	Es	-1	-1	1	4	667	100	69	.	1.7
12	9	Do5	C5	318	318	1	8	333	95	72	.	1.8
13	9	Re5	D5	327	327	1	8	333	95	96	.	1.9
14	9	Mi5b3	E5b4	333	332	1	8	333	95	96	.	2.0
15	12	Fa5#3	F5#4	343	344	2	8	667	95	96	.	2.2
16	9	Mi5b3	E5b4	333	332	1	8	333	95	66	.	2.3
17	9	Re5	D5	327	327	1	4	667	95	68	.	2.5
18	9	Re5	D5	327	327	1	8	333	95	69	.	2.6
19	9	Do5	C5	318	318	1	8	333	95	71	.	2.7
20	9	Si4b1	B4b1	313	313	1	8	333	95	73	.	2.8
21	9	La4	A4	305	305	1	8	333	95	75	.	2.9
22	9	Sol4	G4	296	296	1	8	333	95	76	.	3.0
23	9	La4	A4	305	305	1	8	333	95	78	.	3.1
24	9	Si4b1	B4b1	313	313	1	8	333	95	96	.	3.2
25	9	Do5	C5	318	318	1	8	333	95	96	.	3.3
26	9	Re5	D5	327	327	1	8	333	95	96	.	3.4
27	9	Mi5b3	E5b4	333	332	1	8	333	95	96	.	3.5
28	9	Fa5#3	F5#4	343	344	1	8	333	95	96	.	3.6
29	9	La5	A5	358	358	1	8	333	95	96	.	3.7
30	9	Sol5	G5	349	349	1	4	667	95	66	.	3.9
31	9	Es	Es	-1	-1	1	8	333	100	87		4.0
32	7	La5	A5	358	358	2	8	667	95	108	.	4.2
33	9	Sol5	G5	349	349	1	8	333	95	96	.	4.3
34	9	Fa5#3	F5#4	343	344	1	4	667	95	66	.	4.5
35	9	Es	Es	-1	-1	1	4	667	100	69	.	4.7
36	9	Re5	D5	327	327	1	8	333	95	72	.	4.8
37	9	Mi5b3	E5b4	333	332	1	8	333	95	66	.	4.9
38	9	Fa5#3	F5#4	343	344	1	8	333	95	87	.	5.0
39	7	Sol5	G5	349	349	2	8	667	95	108	.	5.2
40	9	Fa5#3	F5#4	343	344	1	8	333	95	96	.	5.3
41	9	Mi5b3	E5b4	333	332	1	4	667	95	66	.	5.5
42	9	Es	Es	-1	-1	1	4	667	100	69	.	5.7
43	9	Do5	C5	318	318	1	8	333	95	72	.	5.8
44	9	Re5	D5	327	327	1	8	333	95	96	.	5.9
45	9	Mi5b3	E5b4	333	332	1	8	333	95	96	.	6.0
46	12	Fa5#3	F5#4	343	344	2	8	667	95	96	.	6.2
47	9	Mi5b3	E5b4	333	332	1	8	333	95	96	.	6.3
48	9	Re5	D5	327	327	1	4	667	95	96	.	6.5
49	9	Re5	D5	327	327	1	8	333	95	96	.	6.6
50	9	Do5	C5	318	318	1	8	333	95	96	.	6.7
51	9	Do5	C5	318	318	1	4	667	95	96	.	6.9
52	9	Si4b1	B4b1	313	313	1	8	333	95	96	.	7.0
53	9	Si4b1	B4b1	313	313	5	4	3334	95	96	.	8.0
54	9	Es	Es	-1	-1	1	4	667	100	0		8.2
55	9	Fa5#3	F5#4	343	344	2	16	333	99	96	Aş	8.3
56	9	Sol5	G5	349	349	1	4	667	95	96		8.5
57	9	Sol5	G5	349	349	2	16	333	99	96	kın	8.6
58	9	Fa5#3	F5#4	343	344	1	16	167	99	96		8.65
59	9	Mi5b3	E5b4	333	332	1	16	167	99	96		8.7
60	7	Mi5b3	E5b4	333	332	2	16	333	99	96		8.8
61	7	Fa5#3	F5#4	343	344	2	16	333	99	96		8.9
62	7	Sol5	G5	349	349	2	16	333	95	96		9.0
63	8	Sol5	G5	349	349	0	0	0	95	96		9.0
64	9	Fa5#3	F5#4	343	344	1	8	333	99	96	la 	9.1
65	9	Mi5b3	E5b4	333	332	1	8	333	99	96		9.2
66	9	Re5	D5	327	327	1	8	333	95	96		9.3
67	9	Re5	D5	327	327	1	8	333	99	96	sü	9.4
68	9	Si5b5	B5b5	362	362	1	8	333	95	96		9.5
69	9	La5	A5	358	358	1	8	333	99	96	rün	9.6
70	9	Sol5	G5	349	349	1	8	333	99	96		9.7
71	9	Fa5#3	F5#4	343	344	1	8	333	99	96		9.8
72	9	Mi5b3	E5b4	333	332	3	16	500	99	96		9.95
73	11	Re5	D5	327	327	1	16	167	95	96		10.0
74	9	Re5	D5	327	327	9	8	3001	95	96	sem 	10.9
75	9	Es	Es	-1	-1	1	8	333	100	0		11.0
76	9	Es	Es	-1	-1	1	4	667	100	0		11.2
77	9	Re5	D5	327	327	1	8	333	95	96	yi	11.3
78	8	Re5	D5	327	327	0	0	0	95	96		11.3
79	9	Do5	C5	318	318	1	8	333	99	96	ne 	11.4
80	9	Si4b1	B4b1	313	313	1	8	333	95	96		11.5
81	8	Fa5#3	F5#4	343	344	0	0	0	95	96		11.5
82	9	Sol5	G5	349	349	5	8	1667	95	96	aş	12.0
83	7	Fa5#3	F5#4	343	344	2	16	333	99	96	kın	12.1
84	7	Sol5	G5	349	349	2	16	333	99	96		12.2
85	9	La5	A5	358	358	2	16	333	99	96		12.3
86	10	Sol5	G5	349	349	1	8	333	99	96		12.4
87	8	La5	A5	358	358	0	0	0	99	96		12.4
88	9	Fa5#3	F5#4	343	344	1	8	333	99	96		12.5
89	9	Mi5b3	E5b4	333	332	1	8	333	99	96		12.6
90	7	Fa5#3	F5#4	343	344	2	16	333	99	96		12.7
91	10	Sol5	G5	349	349	1	8	333	99	96		12.8
92	8	La5	A5	358	358	0	0	0	99	96		12.8
93	9	Fa5#3	F5#4	343	344	1	8	333	99	96		12.9
94	9	Mi5b3	E5b4	333	332	1	8	333	95	96		13.0
95	9	Re5	D5	327	327	1	8	333	99	96	la 	13.1
96	9	Si5b5	B5b5	362	362	1	8	333	99	96		13.2
97	9	La5	A5	358	358	1	8	333	95	96		13.3
98	9	La5	A5	358	358	1	8	333	99	96	de	13.4
99	9	Sol5	G5	349	349	1	8	333	95	96		13.5
100	9	Sol5	G5	349	349	1	8	333	99	96	lir	13.6
101	7	Fa5#3	F5#4	343	344	2	16	333	99	96		13.7
102	9	Sol5	G5	349	349	1	16	167	99	96		13.75
103	9	Fa5#3	F5#4	343	344	1	16	167	99	96		13.8
104	9	Mi5b3	E5b4	333	332	2	16	333	99	96		13.9
105	9	Mi5b3	E5b4	333	332	1	16	167	99	96		13.95
106	9	Re5	D5	327	327	1	16	167	95	96		14.0
107	9	Re5	D5	327	327	5	4	3334	95	96	sem  	15.0
108	9	Si5b5	B5b5	362	362	2	16	333	95	96	SAZ	15.1
109	9	La5	A5	358	358	1	16	167	95	96	.	15.15
110	9	Sol5	G5	349	349	1	16	167	95	96	.	15.2
111	9	Fa5#3	F5#4	343	344	1	8	333	95	96	.	15.3
112	9	Mi5b3	E5b4	333	332	1	8	333	95	96	.	15.4
113	9	Re5	D5	327	327	1	8	333	95	96	.	15.5
114	9	Do5	C5	318	318	2	16	333	95	96	.	15.6
115	9	Si4b1	B4b1	313	313	1	16	167	95	96	.	15.65
116	9	La4#4	A4#4	309	309	1	16	167	95	96	.	15.7
117	9	Si4b1	B4b1	313	313	1	4	667	95	96	.	15.9
118	9	Es	Es	-1	-1	1	8	333	100	0		16.0
119	9	Es	Es	-1	-1	1	4	667	100	0		16.2
120	9	Fa5#3	F5#4	343	344	2	16	333	99	96	Aş	16.3
121	9	Sol5	G5	349	349	1	4	667	95	96		16.5
122	9	Sol5	G5	349	349	2	16	333	99	96	kın	16.6
123	9	Fa5#3	F5#4	343	344	1	16	167	99	96		16.65
124	9	Mi5b3	E5b4	333	332	1	16	167	99	96		16.7
125	7	Mi5b3	E5b4	333	332	2	16	333	99	96		16.8
126	7	Fa5#3	F5#4	343	344	2	16	333	99	96		16.9
127	7	Sol5	G5	349	349	2	16	333	95	96		17.0
128	8	Sol5	G5	349	349	0	0	0	95	96		17.0
129	9	Fa5#3	F5#4	343	344	1	8	333	99	96	la 	17.1
130	9	Mi5b3	E5b4	333	332	1	8	333	99	96		17.2
131	9	Re5	D5	327	327	1	8	333	95	96		17.3
132	9	Re5	D5	327	327	1	8	333	99	96	sü	17.4
133	9	Si5b5	B5b5	362	362	1	8	333	95	96		17.5
134	9	La5	A5	358	358	1	8	333	99	96	rün	17.6
135	9	Sol5	G5	349	349	1	8	333	99	96		17.7
136	9	Fa5#3	F5#4	343	344	1	8	333	99	96		17.8
137	9	Mi5b3	E5b4	333	332	3	16	500	99	96		17.95
138	11	Re5	D5	327	327	1	16	167	95	96		18.0
139	9	Re5	D5	327	327	9	8	3001	95	96	sem 	18.9
140	9	Es	Es	-1	-1	1	8	333	100	0		19.0
141	9	Es	Es	-1	-1	1	4	667	100	0		19.2
142	9	Re5	D5	327	327	1	8	333	95	96	yi	19.3
143	8	Re5	D5	327	327	0	0	0	95	96		19.3
144	9	Do5	C5	318	318	1	8	333	99	96	ne 	19.4
145	9	Si4b1	B4b1	313	313	1	8	333	95	96		19.5
146	8	Fa5#3	F5#4	343	344	0	0	0	95	96		19.5
147	9	Sol5	G5	349	349	5	8	1667	95	96	aş	20.0
148	7	Fa5#3	F5#4	343	344	2	16	333	99	96	kın	20.1
149	7	Sol5	G5	349	349	2	16	333	99	96		20.2
150	9	La5	A5	358	358	2	16	333	99	96		20.3
151	10	Sol5	G5	349	349	1	8	333	99	96		20.4
152	8	La5	A5	358	358	0	0	0	99	96		20.4
153	9	Fa5#3	F5#4	343	344	1	8	333	99	96		20.5
154	9	Mi5b3	E5b4	333	332	1	8	333	99	96		20.6
155	7	Fa5#3	F5#4	343	344	2	16	333	99	96		20.7
156	10	Sol5	G5	349	349	1	8	333	99	96		20.8
157	8	La5	A5	358	358	0	0	0	99	96		20.8
158	9	Fa5#3	F5#4	343	344	1	8	333	99	96		20.9
159	9	Mi5b3	E5b4	333	332	1	8	333	95	96		21.0
