Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	2	4	0	2	0	Nîmsofyan	0.0
2	9	Sol5	G5	349	349	1	16	200	95	96	SAZ	0.125
3	7	La5	A5	358	358	1	8	400	95	96	.	0.375
4	9	Sol5	G5	349	349	1	16	200	95	96	.	0.5
5	9	Sol5	G5	349	349	1	16	200	95	96	.	0.625
6	9	Fa5#3	F5#4	343	344	1	16	200	95	96	.	0.75
7	9	Fa5#3	F5#4	343	344	1	16	200	95	96	.	0.875
8	9	Mi5b3	E5b4	333	332	1	16	200	95	96	.	1.0
9	9	Fa5#3	F5#4	343	344	1	16	200	95	96	.	1.125
10	7	Sol5	G5	349	349	1	8	400	95	96	.	1.375
11	9	Fa5#3	F5#4	343	344	1	16	200	95	96	.	1.5
12	9	Fa5#3	F5#4	343	344	1	16	200	95	96	.	1.625
13	9	Mi5b3	E5b4	333	332	1	16	200	95	96	.	1.75
14	9	Mi5b3	E5b4	333	332	1	16	200	95	96	.	1.875
15	9	Re5	D5	327	327	1	16	200	95	96	.	2.0
16	9	Mi5b3	E5b4	333	332	1	16	200	95	96	.	2.125
17	7	Fa5#3	F5#4	343	344	1	8	400	95	96	.	2.375
18	9	Mi5b3	E5b4	333	332	1	16	200	95	96	.	2.5
19	9	Mi5b3	E5b4	333	332	1	16	200	95	96	.	2.625
20	9	Re5	D5	327	327	1	16	200	95	96	.	2.75
21	9	Re5	D5	327	327	1	16	200	95	96	.	2.875
22	9	Do5	C5	318	318	1	16	200	95	96	.	3.0
23	9	Mi5b3	E5b4	333	332	1	16	200	95	96	.	3.125
24	9	Re5	D5	327	327	7	16	1400	95	96	.	4.0
25	9	Sol5	G5	349	349	1	16	200	95	96	.	4.125
26	7	La5	A5	358	358	1	8	400	95	96	.	4.375
27	9	Sol5	G5	349	349	1	16	200	95	96	.	4.5
28	9	Sol5	G5	349	349	1	16	200	95	96	.	4.625
29	9	Fa5#3	F5#4	343	344	1	16	200	95	96	.	4.75
30	9	Fa5#3	F5#4	343	344	1	16	200	95	96	.	4.875
31	9	Mi5b3	E5b4	333	332	1	16	200	95	96	.	5.0
32	9	Fa5#3	F5#4	343	344	1	16	200	95	96	.	5.125
33	7	Sol5	G5	349	349	1	8	400	95	96	.	5.375
34	9	Fa5#3	F5#4	343	344	1	16	200	95	96	.	5.5
35	9	Fa5#3	F5#4	343	344	1	16	200	95	96	.	5.625
36	9	Mi5b3	E5b4	333	332	1	16	200	95	96	.	5.75
37	9	Mi5b3	E5b4	333	332	1	16	200	95	96	.	5.875
38	9	Re5	D5	327	327	1	16	200	95	96	.	6.0
39	9	Re5	D5	327	327	1	16	200	95	96	.	6.125
40	9	Sol5	G5	349	349	1	16	200	95	96	.	6.25
41	9	Fa5#3	F5#4	343	344	1	16	200	95	96	.	6.375
42	9	Mi5b3	E5b4	333	332	1	16	200	95	96	.	6.5
43	9	Re5	D5	327	327	1	16	200	95	96	.	6.625
44	9	Si4b1	B4b1	313	313	1	16	200	95	96	.	6.75
45	9	Do5	C5	318	318	1	16	200	95	96	.	6.875
46	9	Re5	D5	327	327	1	16	200	95	96	.	7.0
47	9	Do5	C5	318	318	1	16	200	95	96	.	7.125
48	9	Si4b1	B4b1	313	313	1	8	400	95	96	.	7.375
