Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	8	8	0	17	0	Düyek	0.0
2	9	Sol4	G4	296	296	1	8	385	95	96	Gös	0.125
3	9	Si4b1	B4b1	313	313	1	4	769	95	96	ter 	0.375
4	9	Si4b1	B4b1	313	313	1	8	385	95	96	bi	0.5
5	9	Do5	C5	318	318	3	16	577	99	96	ze 	0.6875
6	9	Si4b1	B4b1	313	313	1	16	192	99	96		0.75
7	9	La4#4	A4#4	309	309	1	4	769	95	96		1.0
8	9	Si4b1	B4b1	313	313	1	16	192	99	96	râ	1.0625
9	9	Do5	C5	318	318	1	16	192	99	96		1.125
10	9	Re5	D5	327	327	1	8	385	99	96		1.25
11	8	Fa5#4	F5#4	344	344	0	0	0	99	96		1.25
12	9	Mi5b3	E5b4	333	332	1	8	385	99	96		1.375
13	9	Re5	D5	327	327	1	16	192	99	96		1.4375
14	9	Do5	C5	318	318	1	16	192	95	96		1.5
15	9	Re5	D5	327	327	3	8	1154	95	96	hı 	1.875
16	9	Mi5b3	E5b4	333	332	1	8	385	95	96	Hü	2.0
17	9	Fa5#4	F5#4	344	344	1	16	192	99	96	dâ  	2.0625
18	9	Sol5	G5	349	349	1	16	192	99	96		2.125
19	9	La5	A5	358	358	3	16	577	99	96		2.3125
20	9	Sol5	G5	349	349	1	16	192	99	96		2.375
21	9	Fa5#4	F5#4	344	344	1	16	192	99	96		2.4375
22	9	Mi5b3	E5b4	333	332	1	16	192	99	96		2.5
23	9	Re5	D5	327	327	3	8	1154	95	96		2.875
24	9	Es	Es	-1	-1	1	8	385	100	0		3.0
25	9	Fa5#4	F5#4	344	344	1	8	385	95	96	Can	3.125
26	9	Fa5#4	F5#4	344	344	1	4	769	95	96	lar 	3.375
27	9	Fa5#4	F5#4	344	344	1	8	385	95	96	sü	3.5
28	8	La5	A5	358	358	0	0	0	95	96		3.5
29	9	Sol5	G5	349	349	1	8	385	99	96	lûk 	3.625
30	9	Fa5#4	F5#4	344	344	1	8	385	99	96		3.75
31	9	Mi5b3	E5b4	333	332	1	8	385	99	96		3.875
32	9	Re5	D5	327	327	1	8	385	95	96		4.0
33	10	Re5	D5	327	327	1	8	385	99	96	et	4.125
34	8	Mi5b3	E5b4	333	332	0	0	0	99	96		4.125
35	9	Re5	D5	327	327	1	16	192	99	96		4.1875
36	9	Do5	C5	318	318	1	16	192	95	96		4.25
37	9	Si4b1	B4b1	313	313	5	8	1923	95	96	sin 	4.875
38	9	Do5	C5	318	318	1	8	385	95	96	sa	5.0
39	9	Re5	D5	327	327	3	8	1154	99	96	na  	5.375
40	9	Mi5	E5	336	336	1	8	385	99	96		5.5
41	9	Re5	D5	327	327	1	8	385	99	96		5.625
42	9	Do5	C5	318	318	1	8	385	99	96		5.75
43	9	Si4b1	B4b1	313	313	1	8	385	99	96		5.875
44	9	La4	A4	305	305	1	8	385	99	96		6.0
45	9	Sol4	G4	296	296	3	4	2308	95	96		6.75
46	9	Es	Es	-1	-1	1	4	769	100	0		7.0
47	9	Re4	D4	274	274	1	8	385	95	96	Can 	7.125
48	9	Sol4	G4	296	296	1	4	769	95	96	yü	7.375
49	9	Sol4	G4	296	296	1	8	385	95	96	zü	7.5
50	9	La4	A4	305	305	1	8	385	99	96	nü 	7.625
51	9	Sol4	G4	296	296	1	8	385	99	96		7.75
52	9	La4	A4	305	305	1	8	385	99	96		7.875
53	9	Si4b1	B4b1	313	313	1	8	385	95	96		8.0
54	9	Do5	C5	318	318	1	2	1538	95	96	kıl 	8.5
55	9	Si4	B4	314	314	3	8	1154	95	96	rû	8.875
56	9	Re5	D5	327	327	1	8	385	95	96	şe	9.0
57	9	Re5	D5	327	327	1	16	192	99	96	nâ  	9.0625
58	9	Do5#4	C5#4	322	322	1	16	192	99	96		9.125
59	9	Si4b4	B4b4	310	310	1	4	769	99	96		9.375
60	8	Do5#4	C5#4	322	322	0	0	0	99	96		9.375
61	9	Si4b4	B4b4	310	310	1	16	192	99	96		9.4375
62	9	La4	A4	305	305	1	16	192	99	96		9.5
63	9	Sol4	G4	296	296	3	8	1154	95	96		9.875
64	9	Es	Es	-1	-1	1	8	385	100	0		10.0
65	9	Re4	D4	274	274	1	8	385	95	96	Can 	10.125
66	9	Sol4	G4	296	296	1	4	769	95	96	yü	10.375
67	9	Sol4	G4	296	296	1	8	385	95	96	zü	10.5
68	9	La4	A4	305	305	1	8	385	99	96	nü 	10.625
69	9	Sol4	G4	296	296	1	8	385	99	96		10.75
70	9	La4	A4	305	305	1	8	385	99	96		10.875
71	9	Si4b1	B4b1	313	313	1	8	385	95	96		11.0
72	9	Do5	C5	318	318	1	2	1538	95	96	kıl 	11.5
73	9	Re5	D5	327	327	3	8	1154	95	96	rû	11.875
74	9	Mi5b3	E5b4	333	332	1	8	385	95	96	şe	12.0
75	9	Fa5#4	F5#4	344	344	1	16	192	99	96	nâ  	12.0625
76	9	La5	A5	358	358	1	16	192	99	96		12.125
77	9	Sol5	G5	349	349	1	4	769	99	96		12.375
78	9	Fa5#4	F5#4	344	344	1	16	192	99	96		12.4375
79	9	Mi5b3	E5b4	333	332	1	16	192	99	96		12.5
80	9	Re5	D5	327	327	1	2	1538	95	96		13.0
81	9	Es	Es	-1	-1	1	8	385	100	0		13.125
82	9	Sol5	G5	349	349	3	8	1154	95	96	Yâ 	13.5
83	9	Sol5	G5	349	349	3	8	1154	95	96	Rab	13.875
84	9	Sol5	G5	349	349	1	8	385	95	96	be	14.0
85	9	La5	A5	358	358	1	16	192	99	96	nâ 	14.0625
86	9	Sol5	G5	349	349	1	16	192	99	96		14.125
87	9	Fa5#4	F5#4	344	344	1	8	385	99	96		14.25
88	9	Mi5b3	E5b4	333	332	1	8	385	99	96		14.375
89	9	Re5	D5	327	327	1	16	192	99	96		14.4375
90	9	Sol5	G5	349	349	1	16	192	99	96		14.5
91	9	Fa5#4	F5#4	344	344	1	2	1538	95	96		15.0
92	9	Es	Es	-1	-1	1	8	385	100	0		15.125
93	9	Mi5b3	E5b4	333	332	3	8	1154	95	96	yâ 	15.5
94	9	Mi5b3	E5b4	333	332	3	8	1154	95	96	Rab	15.875
95	9	Mi5b3	E5b4	333	332	1	8	385	95	96	be	16.0
96	9	Fa5#4	F5#4	344	344	1	16	192	99	96	nâ  	16.0625
97	9	Mi5b3	E5b4	333	332	1	16	192	99	96		16.125
98	9	Re5	D5	327	327	1	8	385	99	96		16.25
99	9	Do5	C5	318	318	1	8	385	99	96		16.375
100	8	Re5	D5	327	327	0	0	0	99	96		16.375
101	9	Do5	C5	318	318	1	16	192	99	96		16.4375
102	9	Si4b1	B4b1	313	313	1	16	192	99	96		16.5
103	9	Si4b1	B4b1	313	313	1	2	1538	95	96		17.0
104	9	Es	Es	-1	-1	1	8	385	100	0		17.125
105	9	Do5	C5	318	318	3	8	1154	95	96	Yâ 	17.5
106	9	Si4b1	B4b1	313	313	3	8	1154	95	96	Rab	17.875
107	9	Si4b1	B4b1	313	313	1	8	385	95	96	be	18.0
108	9	La4	A4	305	305	1	16	192	99	96	nâ 	18.0625
109	9	Si4b1	B4b1	313	313	1	16	192	99	96		18.125
110	9	La4	A4	305	305	1	8	385	99	96		18.25
111	9	Sol4	G4	296	296	1	8	385	99	96		18.375
112	9	Fa4#4	F4#4	291	291	1	16	192	99	96		18.4375
113	9	Mi4#4	E4#4	287	287	1	16	192	99	96		18.5
114	9	Si4b1	B4b1	313	313	1	2	1538	95	96		19.0
115	9	Es	Es	-1	-1	1	8	385	100	0		19.125
116	9	Fa4#4	F4#4	291	291	3	8	1154	95	96	yâ 	19.5
117	9	Fa4#4	F4#4	291	291	3	8	1154	95	96	Rab	19.875
118	9	Fa4#4	F4#4	291	291	1	8	385	95	96	be	20.0
119	9	La4	A4	305	305	1	8	385	99	96	nâ  	20.125
120	9	Sol4	G4	296	296	1	4	769	99	96		20.375
121	8	La4	A4	305	305	0	0	0	99	96		20.375
122	9	Sol4	G4	296	296	1	16	192	99	96		20.4375
123	9	Fa4#4	F4#4	291	291	1	16	192	99	96		20.5
124	9	Fa4#4	F4#4	291	291	3	8	1154	95	96		20.875
125	9	Es	Es	-1	-1	1	8	385	100	0		21.0
