Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Re5	D5	327	327	1	4	500	95	96	ARANAĞME	0.142857142857
2	9	Do5	C5	318	318	1	4	500	95	96	.	0.285714285714
3	9	Re5	D5	327	327	1	4	500	95	96	.	0.428571428571
4	9	Mi5	E5	336	336	3	8	750	95	96	.	0.642857142857
5	9	Fa5	F5	340	340	1	8	250	95	96	.	0.714285714286
6	9	Mi5	E5	336	336	1	8	250	95	96	.	0.785714285714
7	9	Re5	D5	327	327	1	8	250	95	96	.	0.857142857143
8	9	Do5	C5	318	318	1	4	500	95	96	.	1.0
9	9	Si4b2	B4b1	312	313	1	8	250	95	96	.	1.07142857143
10	9	Do5	C5	318	318	1	8	250	95	96	.	1.14285714286
11	9	Si4b2	B4b1	312	313	1	4	500	95	96	.	1.28571428571
12	9	Do5#4	C5#4	322	322	1	4	500	95	96	.	1.42857142857
13	9	Re5	D5	327	327	3	8	750	95	96	.	1.64285714286
14	9	Fa5	F5	340	340	1	8	250	95	96	.	1.71428571429
15	9	Mi5	E5	336	336	1	8	250	95	96	.	1.78571428571
16	9	Sol5	G5	349	349	1	8	250	95	96	.	1.85714285714
17	9	Fa5	F5	340	340	1	4	500	95	96	.	2.0
18	51			0	0	14	8	0	132	0	14/8	2.0
19	9	Es	Es	-1	-1	1	4	500	100	0	.	2.14285714286
20	9	Mi5	E5	336	336	1	8	250	95	96	.	2.21428571429
21	9	Fa5	F5	340	340	1	8	250	95	96	.	2.28571428571
22	9	Mi5	E5	336	336	1	4	500	95	96	.	2.42857142857
23	9	Re5	D5	327	327	1	4	500	95	96	.	2.57142857143
24	9	La5	A5	358	358	1	8	250	95	96	.	2.64285714286
25	9	Sol5	G5	349	349	1	8	250	95	96	.	2.71428571429
26	9	Fa5	F5	340	340	1	8	250	95	96	.	2.78571428571
27	9	Mi5	E5	336	336	1	8	250	95	96	.	2.85714285714
28	9	Re5	D5	327	327	1	4	500	95	96	.	3.0
29	9	Do5	C5	318	318	1	8	250	95	96	.	3.07142857143
30	9	Re5	D5	327	327	1	8	250	95	96	.	3.14285714286
31	9	Do5	C5	318	318	1	4	500	95	96	.	3.28571428571
32	9	Si4b2	B4b1	312	313	1	4	500	95	96	.	3.42857142857
33	9	La4	A4	305	305	1	16	125	95	96	.	3.46428571429
34	9	Si4b2	B4b1	312	313	1	16	125	95	96	.	3.5
35	9	Do5	C5	318	318	1	4	500	95	96	.	3.64285714286
36	9	Si4b2	B4b1	312	313	1	16	125	95	96	.	3.67857142857
37	9	La4	A4	305	305	1	16	125	95	96	.	3.71428571429
38	9	La4	A4	305	305	1	4	500	95	96	.	3.85714285714
39	9	Es	Es	-1	-1	1	4	500	100	0		4.0
40	9	Re5	D5	327	327	1	4	500	95	96	ARANAĞME	4.14285714286
41	9	Do5	C5	318	318	1	4	500	95	96	.	4.28571428571
42	9	Re5	D5	327	327	1	4	500	95	96	.	4.42857142857
43	9	Mi5	E5	336	336	3	8	750	95	96	.	4.64285714286
44	9	Fa5	F5	340	340	1	8	250	95	96	.	4.71428571429
45	9	Mi5	E5	336	336	1	8	250	95	96	.	4.78571428571
46	9	Re5	D5	327	327	1	8	250	95	96	.	4.85714285714
47	9	Do5	C5	318	318	1	4	500	95	96	.	5.0
48	9	Si4b2	B4b1	312	313	1	8	250	95	96	.	5.07142857143
49	9	Do5	C5	318	318	1	8	250	95	96	.	5.14285714286
50	9	Si4b2	B4b1	312	313	1	4	500	95	96	.	5.28571428571
51	9	Do5#4	C5#4	322	322	1	4	500	95	96	.	5.42857142857
52	9	Re5	D5	327	327	3	8	750	95	96	.	5.64285714286
53	9	Fa5	F5	340	340	1	8	250	95	96	.	5.71428571429
54	9	Mi5	E5	336	336	1	8	250	95	96	.	5.78571428571
55	9	Sol5	G5	349	349	1	8	250	95	96	.	5.85714285714
56	9	Fa5	F5	340	340	1	4	500	95	96	.	6.0
57	51			0	0	14	8	0	132	0	14/8	6.0
58	9	Es	Es	-1	-1	1	4	500	100	0	.	6.14285714286
59	9	Mi5	E5	336	336	1	8	250	95	96	.	6.21428571429
60	9	Fa5	F5	340	340	1	8	250	95	96	.	6.28571428571
61	9	Mi5	E5	336	336	1	4	500	95	96	.	6.42857142857
62	9	Re5	D5	327	327	1	4	500	95	96	.	6.57142857143
63	9	La5	A5	358	358	1	8	250	95	96	.	6.64285714286
64	9	Sol5	G5	349	349	1	8	250	95	96	.	6.71428571429
65	9	Fa5	F5	340	340	1	8	250	95	96	.	6.78571428571
66	9	Mi5	E5	336	336	1	8	250	95	96	.	6.85714285714
67	9	Re5	D5	327	327	1	4	500	95	96	.	7.0
