Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	9	8	0	20	0	Aksak	0.0
2	9	Es	Es	-1	-1	1	4	1053	100	0		0.222222222222
3	9	Re5	D5	327	327	1	16	263	95	96		0.277777777778
4	9	Do5	C5	318	318	1	16	263	95	96		0.333333333333
5	9	Si4b1	B4b1	313	313	1	16	263	95	96		0.388888888889
6	9	Do5	C5	318	318	1	16	263	95	96		0.444444444444
7	9	Re5	D5	327	327	1	4	1053	95	96		0.666666666667
8	9	Do5	C5	318	318	1	8	526	95	96		0.777777777778
9	9	Re5	D5	327	327	1	4	1053	95	96		1.0
10	9	Re5	D5	327	327	1	4	1053	95	96		1.22222222222
11	9	Sol5	G5	349	349	1	16	263	95	96		1.27777777778
12	9	Fa5#4	F5#4	344	344	1	16	263	95	96		1.33333333333
13	9	Mi5b4	E5b4	332	332	1	16	263	95	96		1.38888888889
14	9	Re5	D5	327	327	1	16	263	95	96		1.44444444444
15	9	Re5	D5	327	327	1	16	263	95	96		1.5
16	9	Do5	C5	318	318	1	16	263	95	96		1.55555555556
17	9	Do5	C5	318	318	1	16	263	95	96		1.61111111111
18	9	Si4b1	B4b1	313	313	1	16	263	95	96		1.66666666667
19	9	Re5	D5	327	327	1	4	1053	95	96		1.88888888889
20	9	Do5	C5	318	318	1	16	263	95	96		1.94444444444
21	9	Si4b1	B4b1	313	313	1	16	263	95	96		2.0
22	9	Si4b1	B4b1	313	313	1	16	263	95	96		2.05555555556
23	9	La4	A4	305	305	1	16	263	95	96		2.11111111111
24	9	Sol4	G4	296	296	1	8	526	95	96		2.22222222222
25	9	Re5	D5	327	327	1	16	263	95	96		2.27777777778
26	9	Do5	C5	318	318	1	16	263	95	96		2.33333333333
27	9	Si4b1	B4b1	313	313	1	16	263	95	96		2.38888888889
28	9	Do5	C5	318	318	1	16	263	95	96		2.44444444444
29	9	Re5	D5	327	327	1	4	1053	95	96		2.66666666667
30	9	Do5	C5	318	318	1	8	526	95	96		2.77777777778
31	9	Re5	D5	327	327	1	4	1053	95	96		3.0
32	9	Re5	D5	327	327	1	4	1053	95	96		3.22222222222
33	9	Sol5	G5	349	349	1	16	263	95	96		3.27777777778
34	9	Fa5#4	F5#4	344	344	1	16	263	95	96		3.33333333333
35	9	Mi5b4	E5b4	332	332	1	16	263	95	96		3.38888888889
36	9	Re5	D5	327	327	1	16	263	95	96		3.44444444444
37	9	Re5	D5	327	327	1	16	263	95	96		3.5
38	9	Do5	C5	318	318	1	16	263	95	96		3.55555555556
39	9	Do5	C5	318	318	1	16	263	95	96		3.61111111111
40	9	Si4b1	B4b1	313	313	1	16	263	95	96		3.66666666667
41	9	Do5	C5	318	318	1	4	1053	95	96		3.88888888889
42	9	Re5	D5	327	327	1	16	263	95	96		3.94444444444
43	9	Mi5b1	E5b1	335	335	1	16	263	95	96		4.0
