Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Es	Es	-1	-1	1	8	526	100	0		0.125
2	9	Sol5	G5	349	349	1	16	263	95	96		0.1875
3	9	La5	A5	358	358	1	16	263	95	96		0.25
4	9	Fa5#4	F5#4	344	344	1	16	263	95	96		0.3125
5	9	Mi5b4	E5b4	332	332	1	16	263	95	96		0.375
6	9	Re5	D5	327	327	1	8	526	95	96		0.5
7	9	Do5	C5	318	318	1	16	263	95	96		0.5625
8	9	Si4b1	B4b1	313	313	1	16	263	95	96		0.625
9	9	Do5	C5	318	318	1	16	263	95	96		0.6875
10	9	Re5	D5	327	327	1	16	263	95	96		0.75
11	9	Do5	C5	318	318	1	16	263	95	96		0.8125
12	9	Si4b1	B4b1	313	313	1	16	263	95	96		0.875
13	9	La4	A4	305	305	1	8	526	95	96		1.0
14	9	Es	Es	-1	-1	1	8	526	100	0		1.125
15	9	Sol5	G5	349	349	1	16	263	95	96		1.1875
16	9	Sol5	G5	349	349	1	16	263	95	96		1.25
17	9	Do6	C6	371	371	1	16	263	95	96		1.3125
18	9	Do6	C6	371	371	1	8	526	95	96		1.4375
19	9	Si5b1	B5b1	366	366	1	16	263	95	96		1.5
20	9	Si5b1	B5b1	366	366	1	16	263	95	96		1.5625
21	9	La5	A5	358	358	1	16	263	95	96		1.625
22	9	Si5b1	B5b1	366	366	1	16	263	95	96		1.6875
23	9	Do6	C6	371	371	1	16	263	95	96		1.75
24	9	Do6	C6	371	371	1	24	175	99	96		1.79166666667
25	9	Si5b1	B5b1	366	366	1	24	175	99	96		1.83333333333
26	9	La5	A5	358	358	1	24	175	95	96		1.875
27	9	La5	A5	358	358	1	8	526	95	96		2.0
28	9	Es	Es	-1	-1	1	8	526	100	0		2.125
29	9	Sol5	G5	349	349	1	16	263	95	96		2.1875
30	9	La5	A5	358	358	1	16	263	95	96		2.25
31	9	Si5b5	B5b5	362	362	1	16	263	95	96		2.3125
32	9	La5	A5	358	358	1	16	263	95	96		2.375
33	9	Sol5	G5	349	349	1	16	263	95	96		2.4375
34	9	Fa5#4	F5#4	344	344	1	16	263	95	96		2.5
35	9	Sol5	G5	349	349	1	16	263	95	96		2.5625
36	9	Fa5#4	F5#4	344	344	1	16	263	95	96		2.625
37	9	Sol5	G5	349	349	1	16	263	95	96		2.6875
38	9	La5	A5	358	358	1	16	263	95	96		2.75
39	9	Fa5#4	F5#4	344	344	1	24	175	99	96		2.79166666667
40	9	Mi5b4	E5b4	332	332	1	24	175	99	96		2.83333333333
41	9	Re5	D5	327	327	1	24	175	95	96		2.875
42	9	Re5	D5	327	327	1	8	526	95	96		3.0
43	9	Es	Es	-1	-1	1	8	526	100	0		3.125
44	9	La4	A4	305	305	1	16	263	95	96		3.1875
45	9	Si4b1	B4b1	313	313	1	16	263	95	96		3.25
46	9	Do5	C5	318	318	1	8	526	95	96		3.375
47	9	Re5	D5	327	327	1	8	526	95	96		3.5
48	9	Mi5	E5	336	336	1	16	263	95	96		3.5625
49	9	Re5	D5	327	327	1	8	526	95	96		3.6875
50	9	Mi5	E5	336	336	1	16	263	95	96		3.75
51	9	Do5	C5	318	318	1	16	263	95	96		3.8125
52	9	Si4b1	B4b1	313	313	1	16	263	95	96		3.875
53	9	Si4b1	B4b1	313	313	1	16	263	95	96		3.9375
54	9	La4	A4	305	305	1	16	263	95	96		4.0
55	9	La4	A4	305	305	3	8	1579	95	96		4.375
56	9	Re5	D5	327	327	1	16	263	95	96		4.4375
57	9	Do5	C5	318	318	1	16	263	95	96		4.5
58	9	Do5	C5	318	318	1	16	263	95	96		4.5625
59	9	Si4b1	B4b1	313	313	1	16	263	95	96		4.625
60	9	Si4b1	B4b1	313	313	1	16	263	95	96		4.6875
61	9	La4	A4	305	305	1	16	263	95	96		4.75
62	9	La4	A4	305	305	1	4	1053	95	96		5.0
63	9	Re5	D5	327	327	3	16	789	95	96		5.1875
64	9	Mi5b4	E5b4	332	332	1	16	263	95	96		5.25
65	9	Do5	C5	318	318	1	16	263	95	96		5.3125
66	9	Si4b1	B4b1	313	313	1	16	263	95	96		5.375
67	9	Si4b1	B4b1	313	313	1	16	263	95	96		5.4375
68	9	La4	A4	305	305	1	16	263	95	96		5.5
69	9	La4	A4	305	305	1	4	1053	95	96		5.75
70	9	Es	Es	-1	-1	1	4	1053	100	0		6.0
71	9	Sol5	G5	349	349	1	16	263	95	96		6.0625
72	9	Fa5#4	F5#4	344	344	1	16	263	95	96		6.125
73	9	Sol5	G5	349	349	1	16	263	95	96		6.1875
74	9	La5	A5	358	358	1	16	263	95	96		6.25
75	9	Fa5#4	F5#4	344	344	1	16	263	95	96		6.3125
76	9	Mi5b4	E5b4	332	332	1	16	263	95	96		6.375
77	9	Mi5b4	E5b4	332	332	1	16	263	95	96		6.4375
78	9	Re5	D5	327	327	1	16	263	95	96		6.5
79	9	Re5	D5	327	327	1	4	1053	95	96		6.75
80	9	Es	Es	-1	-1	1	4	1053	100	0		7.0
81	9	Mi5b4	E5b4	332	332	3	16	789	95	96		7.1875
82	9	Re5	D5	327	327	1	16	263	95	96		7.25
83	9	Re5	D5	327	327	1	16	263	95	96		7.3125
84	9	Do5	C5	318	318	1	16	263	95	96		7.375
85	9	Do5	C5	318	318	1	16	263	95	96		7.4375
86	9	Si4b1	B4b1	313	313	1	16	263	95	96		7.5
87	9	Do5	C5	318	318	1	16	263	95	96		7.5625
88	9	Si4b1	B4b1	313	313	1	16	263	95	96		7.625
89	9	Do5	C5	318	318	1	16	263	95	96		7.6875
90	9	Re5	D5	327	327	1	16	263	95	96		7.75
91	9	Si4b1	B4b1	313	313	1	8	526	95	96		7.875
92	9	La4	A4	305	305	1	8	526	95	96		8.0
93	9	Mi5	E5	336	336	1	16	263	95	96		8.0625
94	9	Re5	D5	327	327	1	8	526	95	96		8.1875
95	9	Do5	C5	318	318	1	16	263	95	96		8.25
96	9	Do5	C5	318	318	1	16	263	95	96		8.3125
97	9	Si4b1	B4b1	313	313	1	16	263	95	96		8.375
98	9	Si4b1	B4b1	313	313	1	16	263	95	96		8.4375
99	9	La4	A4	305	305	1	16	263	95	96		8.5
100	9	La4	A4	305	305	1	4	1053	95	96		8.75
101	9	Es	Es	-1	-1	1	4	1053	100	0		9.0
102	9	Re5	D5	327	327	3	16	789	95	96		9.1875
103	9	Mi5b4	E5b4	332	332	1	16	263	95	96		9.25
104	9	Do5	C5	318	318	1	16	263	95	96		9.3125
105	9	Si4b1	B4b1	313	313	1	16	263	95	96		9.375
106	9	Si4b1	B4b1	313	313	1	16	263	95	96		9.4375
107	9	La4	A4	305	305	1	16	263	95	96		9.5
108	9	La4	A4	305	305	1	4	1053	95	96		9.75
109	9	Es	Es	-1	-1	1	4	1053	100	0		10.0
110	9	Sol5	G5	349	349	1	16	263	95	96		10.0625
111	9	Fa5#4	F5#4	344	344	1	16	263	95	96		10.125
112	9	Sol5	G5	349	349	1	16	263	95	96		10.1875
113	9	La5	A5	358	358	1	16	263	95	96		10.25
