Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	10	8	0	30	0	Aksaksemâî	0.0
2	9	Sol5	G5	349	349	1	4	1000	95	96	1. HANE	0.2
3	9	Fa5#3	F5#4	343	344	1	8	500	95	96		0.3
4	9	Sol5	G5	349	349	1	16	250	95	96		0.35
5	9	Fa5#3	F5#4	343	344	1	16	250	95	96		0.4
6	9	Sol5	G5	349	349	1	16	250	95	96		0.45
7	9	La5	A5	358	358	1	16	250	95	96		0.5
8	9	Sol5	G5	349	349	1	8	500	95	96		0.6
9	9	Fa5#3	F5#4	343	344	1	8	500	95	96		0.7
10	9	Si5b5	B5b5	362	362	1	8	500	95	96		0.8
11	9	La5	A5	358	358	1	8	500	95	96		0.9
12	9	Sol5	G5	349	349	1	8	500	95	96		1.0
13	9	Fa5#3	F5#4	343	344	1	4	1000	95	96		1.2
14	9	Mi5b3	E5b4	333	332	1	8	500	95	96		1.3
15	9	Fa5#3	F5#4	343	344	1	16	250	95	96		1.35
16	9	Mi5b3	E5b4	333	332	1	16	250	95	96		1.4
17	9	Fa5#3	F5#4	343	344	1	16	250	95	96		1.45
18	9	Sol5	G5	349	349	1	16	250	95	96		1.5
19	9	Fa5#3	F5#4	343	344	1	8	500	95	96		1.6
20	9	Mi5b3	E5b4	333	332	1	8	500	95	96		1.7
21	9	Re5	D5	327	327	1	4	1000	95	96		1.9
22	9	Es	Es	-1	-1	1	8	500	100	0		2.0
23	9	Fa5#3	F5#4	343	344	1	16	250	95	96		2.05
24	9	Sol5	G5	349	349	1	16	250	95	96		2.1
25	9	Fa5#3	F5#4	343	344	1	8	500	95	96		2.2
26	9	Sol5	G5	349	349	1	8	500	95	96		2.3
27	9	Fa5#3	F5#4	343	344	1	8	500	95	96		2.4
28	9	Mi5b3	E5b4	333	332	1	8	500	95	96		2.5
29	9	Re5	D5	327	327	1	8	500	95	96		2.6
30	9	Do5	C5	318	318	1	8	500	95	96		2.7
31	9	Re5	D5	327	327	1	4	1000	95	96		2.9
32	9	Mi5b3	E5b4	333	332	1	8	500	95	96		3.0
33	9	Re5	D5	327	327	1	8	500	95	96		3.1
34	9	Mi5b3	E5b4	333	332	1	8	500	95	96		3.2
35	9	Fa5#3	F5#4	343	344	1	8	500	95	96		3.3
36	9	La5	A5	358	358	1	8	500	95	96		3.4
37	9	Sol5	G5	349	349	1	16	250	95	96		3.45
38	9	Fa5#3	F5#4	343	344	1	16	250	95	96		3.5
39	9	Mi5b3	E5b4	333	332	1	16	250	95	96		3.55
40	9	Re5	D5	327	327	1	16	250	95	96		3.6
41	9	Do5	C5	318	318	1	16	250	95	96		3.65
42	9	Si4b1	B4b1	313	313	1	16	250	95	96		3.7
43	9	Do5	C5	318	318	1	4	1000	95	96		3.9
44	9	Es	Es	-1	-1	1	8	500	100	0		4.0
45	9	Sol5	G5	349	349	1	4	1000	95	96	MÜLÂZİME	4.2
46	9	Fa5#3	F5#4	343	344	1	8	500	95	96		4.3
47	9	Do6	C6	371	371	1	8	500	95	96		4.4
48	9	Si5b5	B5b5	362	362	1	16	250	95	96		4.45
49	9	La5	A5	358	358	1	16	250	95	96		4.5
50	9	La5	A5	358	358	1	16	250	95	96		4.55
51	9	Sol5	G5	349	349	1	16	250	95	96		4.6
52	9	Sol5	G5	349	349	1	16	250	95	96		4.65
53	9	Fa5#3	F5#4	343	344	1	16	250	95	96		4.7
54	9	Sol5	G5	349	349	1	4	1000	95	96		4.9
55	9	Es	Es	-1	-1	1	8	500	100	0		5.0
56	9	Re5	D5	327	327	1	4	1000	95	96		5.2
57	9	Mi5b3	E5b4	333	332	1	8	500	95	96		5.3
58	9	Mi5b3	E5b4	333	332	1	16	250	95	96		5.35
59	9	Fa5#3	F5#4	343	344	1	16	250	95	96		5.4
60	9	Mi5b3	E5b4	333	332	1	16	250	95	96		5.45
61	9	Re5	D5	327	327	1	16	250	95	96		5.5
62	9	Re5	D5	327	327	1	16	250	95	96		5.55
63	9	Do5	C5	318	318	1	16	250	95	96		5.6
64	9	Do5	C5	318	318	1	16	250	95	96		5.65
65	9	Si4b1	B4b1	313	313	1	16	250	95	96		5.7
66	9	Do5	C5	318	318	1	4	1000	95	96		5.9
67	9	Es	Es	-1	-1	1	8	500	100	0		6.0
68	9	Sol5	G5	349	349	1	4	1000	95	96		6.2
69	9	Fa5#3	F5#4	343	344	1	8	500	95	96		6.3
70	9	La5	A5	358	358	1	8	500	95	96		6.4
71	9	Sol5	G5	349	349	1	16	250	95	96		6.45
72	9	Fa5#3	F5#4	343	344	1	16	250	95	96		6.5
73	9	Fa5#3	F5#4	343	344	1	16	250	95	96		6.55
74	9	Mi5b3	E5b4	333	332	1	16	250	95	96		6.6
75	9	Re5	D5	327	327	1	16	250	95	96		6.65
76	9	Mi5b3	E5b4	333	332	1	16	250	95	96		6.7
