Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
1	9	Fa5#3	F5#4	343	344	1	8	395	95	96	Ben 
2	9	Sol5	G5	349	349	1	8	395	95	96	bir 
3	9	La5	A5	358	358	1	8	395	99	96	al
4	9	Si5b5	B5b5	362	362	1	8	395	99	96	
5	9	La5	A5	358	358	1	8	395	99	96	
6	24	Sol5	G5	349	349	1	8	395	95	96	
7	9	La5	A5	358	358	3	16	592	99	96	týn 
8	9	Do6	C6	371	371	1	16	197	95	96	
9	9	Do6	C6	371	371	1	16	197	99	96	fe
10	9	La5	A5	358	358	1	8	395	99	96	
11	9	Sol5	G5	349	349	1	16	197	95	96	
12	9	Sol5	G5	349	349	1	16	197	99	96	ne
13	9	Fa5#3	F5#4	343	344	1	16	197	99	96	
14	9	Sol5	G5	349	349	1	16	197	99	96	
15	9	La5	A5	358	358	1	16	197	99	96	
16	9	Sol5	G5	349	349	3	32	296	99	96	
17	9	Fa5#3	F5#4	343	344	1	32	99	99	96	
18	9	Mi5b3	E5b4	333	332	1	16	197	99	96	
19	9	Re5	D5	327	327	1	16	197	95	96	
20	9	Re5	D5	327	327	1	32	99	99	96	rim  
21	9	Mi5b3	E5b4	333	332	1	32	99	99	96	
22	9	Re5	D5	327	327	1	32	99	99	96	
23	9	Do5	C5	318	318	1	32	99	99	96	
24	9	Re5	D5	327	327	1	16	197	99	96	
25	9	Mi5b3	E5b4	333	332	1	16	197	99	96	
26	9	Re5	D5	327	327	1	16	197	99	96	
27	9	Do5	C5	318	318	1	16	197	99	96	
28	9	Re5	D5	327	327	1	8	395	95	96	
29	9	Fa5#3	F5#4	343	344	1	8	395	95	96	Ben 
30	9	Sol5	G5	349	349	1	8	395	95	96	bir 
31	9	La5	A5	358	358	1	8	395	99	96	al
32	9	Si5b5	B5b5	362	362	1	8	395	99	96	
33	9	La5	A5	358	358	1	8	395	99	96	
34	24	Sol5	G5	349	349	1	8	395	95	96	
35	9	La5	A5	358	358	3	16	592	99	96	týn 
36	9	Do6	C6	371	371	1	16	197	95	96	
37	9	Do6	C6	371	371	1	16	197	99	96	fe
38	9	La5	A5	358	358	1	8	395	99	96	
39	9	Sol5	G5	349	349	1	16	197	95	96	
40	9	Sol5	G5	349	349	1	16	197	99	96	ne
41	9	Fa5#3	F5#4	343	344	1	16	197	99	96	
42	9	Sol5	G5	349	349	1	16	197	99	96	
43	9	La5	A5	358	358	1	16	197	99	96	
44	9	Sol5	G5	349	349	3	32	296	99	96	
45	9	Fa5#3	F5#4	343	344	1	32	99	99	96	
46	9	Mi5b3	E5b4	333	332	1	16	197	99	96	
47	9	Re5	D5	327	327	1	16	197	95	96	
48	9	Re5	D5	327	327	1	32	99	99	96	rim  
49	9	Mi5b3	E5b4	333	332	1	32	99	99	96	
50	9	Re5	D5	327	327	1	32	99	99	96	
