Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	5	8	0	8	0	Türkaksağı	0.0
2	9	Si4b2	B4b1	312	313	1	16	188	95	96	ARANAĞME	0.1
3	9	Do5	C5	318	318	1	16	188	95	96	.	0.2
4	9	Si4b2	B4b1	312	313	1	16	188	95	96	.	0.3
5	9	Do5	C5	318	318	1	16	188	95	96	.	0.4
6	9	Re5	D5	327	327	1	4	750	95	96	.	0.8
7	9	Mi5b3	E5b4	333	332	1	16	188	95	96	.	0.9
8	9	Fa5#3	F5#4	343	344	1	16	188	95	96	.	1.0
9	9	Re5	D5	327	327	1	4	750	95	96	.	1.4
10	9	Do5	C5	318	318	1	8	375	95	96	.	1.6
11	9	Si4b2	B4b1	312	313	1	8	375	95	96	.	1.8
12	9	La4	A4	305	305	1	8	375	95	96	.	2.0
13	9	Si4b2	B4b1	312	313	1	16	188	95	96	.	2.1
14	9	Do5	C5	318	318	1	16	188	95	96	.	2.2
15	9	Si4b2	B4b1	312	313	1	16	188	95	96	.	2.3
16	9	Do5	C5	318	318	1	16	188	95	96	.	2.4
17	9	Re5	D5	327	327	1	4	750	95	96	.	2.8
18	9	Mi5b3	E5b4	333	332	1	16	188	95	96	.	2.9
19	9	Fa5#3	F5#4	343	344	1	16	188	95	96	.	3.0
20	9	Re5	D5	327	327	1	4	750	95	96	.	3.4
21	9	Re5	D5	327	327	1	8	375	95	96	.	3.6
22	9	Re5	D5	327	327	1	8	375	95	96	.	3.8
23	9	Re5	D5	327	327	1	8	375	95	96	.	4.0
24	9	Fa5#3	F5#4	343	344	1	16	188	95	96	.	4.1
25	9	Sol5	G5	349	349	1	16	188	95	96	.	4.2
26	9	Fa5#3	F5#4	343	344	1	16	188	95	96	.	4.3
27	9	Sol5	G5	349	349	1	16	188	95	96	.	4.4
28	9	La5	A5	358	358	1	4	750	95	96	.	4.8
29	9	Do6	C6	371	371	1	8	375	95	96	.	5.0
30	9	Si5b4	B5b4	363	363	1	8	375	95	96	.	5.2
31	9	La5	A5	358	358	1	8	375	95	96	.	5.4
32	9	Sol5	G5	349	349	1	8	375	95	96	.	5.6
33	9	Fa5#3	F5#4	343	344	1	8	375	95	96	.	5.8
34	9	Mi5b3	E5b4	333	332	1	8	375	95	96	.	6.0
35	9	Re5	D5	327	327	1	16	188	95	96	.	6.1
36	9	Mi5b3	E5b4	333	332	1	16	188	95	96	.	6.2
37	9	Re5	D5	327	327	1	16	188	95	96	.	6.3
38	9	Mi5b3	E5b4	333	332	1	16	188	95	96	.	6.4
39	9	Sol5	G5	349	349	1	8	375	95	96	.	6.6
40	9	Fa5#3	F5#4	343	344	1	8	375	95	96	.	6.8
41	9	Mi5b3	E5b4	333	332	1	8	375	95	96	.	7.0
42	9	Re5	D5	327	327	1	8	375	95	96	.	7.2
43	9	Do5	C5	318	318	1	8	375	95	96	.	7.4
44	9	Si4b2	B4b1	312	313	1	8	375	95	96	.	7.6
45	9	La4	A4	305	305	1	8	375	95	96	.	7.8
