Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Re5	D5	327	327	1	4	1250	95	96	Seyr_	0.25
2	9	Mi5	E5	336	336	1	8	625	95	96	i 	0.375
3	9	Fa5	F5	340	340	1	16	312	99	96	Kür	0.4375
4	9	Mi5	E5	336	336	1	16	312	99	96		0.5
5	9	Re5	D5	327	327	1	16	312	99	96		0.5625
6	9	Do5#3	C5#4	321	322	1	16	312	95	96		0.625
7	9	Re5	D5	327	327	1	4	1250	95	96	dî	0.875
8	9	Es	Es	-1	-1	1	8	625	100	0		1.0
9	9	Re5	D5	327	327	1	4	1250	95	96	yi 	1.25
10	9	Mi5	E5	336	336	1	16	312	99	96	di	1.3125
11	9	Fa5	F5	340	340	1	16	312	95	96		1.375
12	9	Mi5	E5	336	336	1	16	312	99	96	ğer 	1.4375
13	9	Re5	D5	327	327	1	16	312	99	96		1.5
14	9	Do5#4	C5#4	322	322	1	16	312	99	96		1.5625
15	9	Si4	B4	314	314	1	16	312	95	96		1.625
16	9	Do5#4	C5#4	322	322	1	16	312	99	96	sû	1.6875
17	9	Si4	B4	314	314	1	16	312	99	96		1.75
18	9	La4	A4	305	305	1	8	625	95	96		1.875
19	9	Es	Es	-1	-1	1	8	625	100	0		2.0
20	9	Sol5	G5	349	349	1	4	1250	95	96	ret	2.25
21	9	Sol5	G5	349	349	1	8	625	95	96	te 	2.375
22	9	Sol5	G5	349	349	1	16	312	99	96	de 	2.4375
23	10	La5	A5	358	358	1	16	312	99	96		2.5
24	8	Si5b5	B5b5	362	362	0	0	0	99	96		2.5
25	9	La5	A5	358	358	1	16	312	99	96		2.5625
26	9	Sol5	G5	349	349	1	16	312	95	96		2.625
27	9	Sol5	G5	349	349	1	16	312	99	96	et	2.6875
28	9	Fa5	F5	340	340	1	16	312	99	96		2.75
29	9	Mi5	E5	336	336	1	16	312	99	96		2.8125
30	9	Re5	D5	327	327	1	16	312	99	96		2.875
31	9	Do5	C5	318	318	1	8	625	95	96		3.0
32	9	Re5	D5	327	327	1	16	312	99	96	tim 	3.0625
33	9	Mi5	E5	336	336	1	16	312	99	96		3.125
34	9	Fa5	F5	340	340	1	8	625	95	96		3.25
35	9	Sol5	G5	349	349	1	16	312	99	96	â	3.3125
36	9	La5	A5	358	358	1	16	312	95	96		3.375
37	9	Sol5	G5	349	349	1	16	312	99	96	yân  	3.4375
38	9	Fa5	F5	340	340	1	16	312	99	96		3.5
39	9	Mi5	E5	336	336	1	16	312	99	96		3.5625
40	9	Sol5	G5	349	349	1	16	312	99	96		3.625
41	9	Fa5	F5	340	340	1	4	1250	95	96		3.875
42	9	Es	Es	-1	-1	1	8	625	100	0		4.0
43	9	Fa5	F5	340	340	1	4	1250	95	96	Düş	4.25
44	9	Fa5	F5	340	340	1	8	625	95	96	me	4.375
45	9	Mi5	E5	336	336	1	16	312	99	96	sin	4.4375
46	9	Fa5	F5	340	340	1	16	312	99	96		4.5
47	9	Sol5	G5	349	349	1	16	312	99	96		4.5625
48	9	La5	A5	358	358	1	16	312	95	96		4.625
49	9	La5	A5	358	358	1	16	312	99	96	ler 	4.6875
50	9	Sol5	G5	349	349	1	16	312	99	96		4.75
51	9	Fa5	F5	340	340	1	16	312	99	96		4.8125
52	9	Mi5	E5	336	336	1	16	312	99	96		4.875
53	9	Re5	D5	327	327	1	8	625	95	96		5.0
54	9	Re5	D5	327	327	1	4	1250	95	96	şüp	5.25
55	9	Mi5	E5	336	336	1	8	625	95	96	he	5.375
56	9	Fa5	F5	340	340	1	16	312	99	96	ye 	5.4375
57	9	Mi5	E5	336	336	1	16	312	99	96		5.5
58	9	Re5	D5	327	327	1	16	312	99	96		5.5625
59	9	Do5#4	C5#4	322	322	1	16	312	95	96		5.625
60	9	Re5	D5	327	327	1	4	1250	99	96	mec	5.875
61	9	Re5	D5	327	327	1	16	312	99	96		5.9375
62	9	Do5	C5	318	318	1	16	312	95	96		6.0
63	9	Do5	C5	318	318	1	4	1250	95	96	lis	6.25
64	9	Do5	C5	318	318	1	8	625	95	96	te 	6.375
65	9	Do5	C5	318	318	1	8	625	99	96	bâ	6.5
66	9	Mi5b5	E5b5	331	331	1	8	625	95	96		6.625
67	9	Re5	D5	327	327	1	8	625	99	96	ri 	6.75
68	9	Do5	C5	318	318	1	8	625	99	96		6.875
69	9	Si4b5	B4b5	309	309	1	8	625	95	96		7.0
70	9	Si4b5	B4b5	309	309	1	8	625	99	96	mut	7.125
71	9	La4	A4	305	305	1	8	625	95	96		7.25
72	9	Sol4	G4	296	296	1	8	625	95	96	rı	7.375
73	9	La4	A4	305	305	1	16	312	99	96	bân  	7.4375
74	10	Si4b5	B4b5	309	309	1	16	312	99	96		7.5
75	8	Do5	C5	318	318	0	0	0	99	96		7.5
76	9	Si4b5	B4b5	309	309	1	16	312	99	96		7.5625
77	11	La4	A4	305	305	1	16	312	99	96		7.625
78	9	La4	A4	305	305	1	4	1250	95	96		7.875
79	9	Es	Es	-1	-1	1	8	625	100	0		8.0
