Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Mi5	E5	336	336	1	8	476	95	96	ARANAĞME	0.027778
2	9	Mi5	E5	336	336	1	16	238	95	96	.	0.041667
3	9	Sol5	G5	349	349	1	16	238	95	96	.	0.055556
4	8	Sol5	G5	349	349	0	0	0	95	96	.	0.055556
5	9	Fa5	F5	340	340	1	16	238	95	96	.	0.069444
6	9	Mi5	E5	336	336	1	16	238	95	96	.	0.083333
7	9	Re5	D5	327	327	1	8	476	95	96	.	0.111111
8	9	Do5	C5	318	318	1	16	238	95	96	.	0.125000
9	9	Re5	D5	327	327	1	16	238	95	96	.	0.138889
10	9	Mi5	E5	336	336	1	8	476	95	96	.	0.166667
11	9	Sol5	G5	349	349	1	16	238	95	96	.	0.180556
12	9	Fa5	F5	340	340	1	32	119	95	96	.	0.187500
13	9	Mi5	E5	336	336	1	32	119	95	96	.	0.194444
14	9	Re5	D5	327	327	1	16	238	95	96	.	0.208333
15	9	Mi5	E5	336	336	1	16	238	95	96	.	0.222222
16	9	Do5	C5	318	318	1	16	238	95	96	.	0.236111
17	9	Re5	D5	327	327	1	16	238	95	96	.	0.250000
18	9	Do5	C5	318	318	1	8	476	95	96	.	0.277778
19	9	Re5	D5	327	327	1	8	476	95	96	.	0.305556
20	9	Si4b5	B4b5	309	309	1	8	476	95	96	.	0.333333
21	9	La4	A4	305	305	1	4	952	95	96	.	0.388889
22	9	La4	A4	305	305	1	4	952	95	96	.	0.444444
23	9	La4	A4	305	305	1	4	952	95	96	.	0.500000
24	9	Mi5	E5	336	336	1	8	476	95	96	ARANAĞME	0.527778
25	9	Mi5	E5	336	336	1	16	238	95	96	.	0.541667
26	9	Sol5	G5	349	349	1	16	238	95	96	.	0.555556
27	8	Sol5	G5	349	349	0	0	0	95	96	.	0.555556
28	9	Fa5	F5	340	340	1	16	238	95	96	.	0.569444
29	9	Mi5	E5	336	336	1	16	238	95	96	.	0.583333
30	9	Re5	D5	327	327	1	8	476	95	96	.	0.611111
31	9	Do5	C5	318	318	1	16	238	95	96	.	0.625000
32	9	Re5	D5	327	327	1	16	238	95	96	.	0.638889
33	9	Mi5	E5	336	336	1	8	476	95	96	.	0.666667
34	9	Sol5	G5	349	349	1	16	238	95	96	.	0.680556
35	9	Fa5	F5	340	340	1	32	119	95	96	.	0.687500
36	9	Mi5	E5	336	336	1	32	119	95	96	.	0.694444
37	9	Re5	D5	327	327	1	16	238	95	96	.	0.708333
38	9	Mi5	E5	336	336	1	16	238	95	96	.	0.722222
39	9	Do5	C5	318	318	1	16	238	95	96	.	0.736111
40	9	Re5	D5	327	327	1	16	238	95	96	.	0.750000
41	9	Do5	C5	318	318	1	8	476	95	96	.	0.777778
42	9	Re5	D5	327	327	1	8	476	95	96	.	0.805556
43	9	Si4b5	B4b5	309	309	1	8	476	95	96	.	0.833333
44	9	La4	A4	305	305	1	4	952	95	96	.	0.888889
45	9	La4	A4	305	305	1	4	952	95	96	.	0.944444
46	9	La4	A4	305	305	1	4	952	95	96	.	1.000000
47	9	Do5	C5	318	318	1	8	476	95	96	.	1.027778
48	9	Re5	D5	327	327	1	16	238	95	96	.	1.041667
49	9	Re5	D5	327	327	1	16	238	95	96	.	1.055556
50	9	Re5	D5	327	327	1	8	476	95	96	.	1.083333
51	9	Re5	D5	327	327	1	8	476	95	96	.	1.111111
52	9	Do5	C5	318	318	1	8	476	95	96	.	1.138889
53	9	Re5	D5	327	327	1	16	238	95	96	.	1.152778
54	9	Re5	D5	327	327	1	16	238	95	96	.	1.166667
55	9	Re5	D5	327	327	1	8	476	95	96	.	1.194444
56	9	Mi5	E5	336	336	1	8	476	95	96	.	1.222222
57	9	Do5	C5	318	318	1	16	238	95	96	.	1.236111
58	9	Re5	D5	327	327	1	16	238	95	96	.	1.250000
59	9	Do5	C5	318	318	1	8	476	95	96	.	1.277778
60	9	Re5	D5	327	327	1	8	476	95	96	.	1.305556
61	9	Si4b5	B4b5	309	309	1	8	476	95	96	.	1.333333
62	9	La4	A4	305	305	1	4	952	95	96	.	1.388889
63	9	La4	A4	305	305	1	4	952	95	96	.	1.444444
64	9	La4	A4	305	305	1	4	952	95	96	.	1.500000
65	9	Do5	C5	318	318	1	16	238	95	96	.	1.513889
66	9	Re5	D5	327	327	1	16	238	95	96	.	1.527778
67	9	Mi5	E5	336	336	1	8	476	95	96	.	1.555556
68	9	Mi5	E5	336	336	1	16	238	95	96	.	1.569444
69	9	Re5	D5	327	327	1	16	238	95	96	.	1.583333
70	9	Mi5	E5	336	336	1	8	476	95	96	.	1.611111
71	9	Do5	C5	318	318	1	16	238	95	96	.	1.625000
72	9	Re5	D5	327	327	1	16	238	95	96	.	1.638889
73	9	Mi5	E5	336	336	1	8	476	95	96	.	1.666667
74	9	Sol5	G5	349	349	1	16	238	95	96	.	1.680556
75	9	Fa5	F5	340	340	1	32	119	95	96	.	1.687500
76	9	Mi5	E5	336	336	1	32	119	95	96	.	1.694444
77	9	Re5	D5	327	327	1	16	238	95	96	.	1.708333
78	9	Mi5	E5	336	336	1	16	238	95	96	.	1.722222
79	9	Do5	C5	318	318	1	16	238	95	96	.	1.736111
80	9	Do5	C5	318	318	1	16	238	95	96	.	1.750000
81	9	Do5	C5	318	318	1	8	476	95	96	.	1.777778
82	9	Re5	D5	327	327	1	8	476	95	96	.	1.805556
83	9	Si4b5	B4b5	309	309	1	8	476	95	96	.	1.833333
84	9	La4	A4	305	305	1	8	476	95	96	.	1.861111
85	9	Si4b5	B4b5	309	309	1	8	476	95	96	.	1.888889
86	9	Do5	C5	318	318	1	8	476	95	96	.	1.916667
87	9	Re5	D5	327	327	1	8	476	95	96	.	1.944444
88	9	Mi5	E5	336	336	1	8	476	95	96	.	1.972222
89	9	Fa5	F5	340	340	1	8	476	95	96	.	2.000000
90	9	Sol5	G5	349	349	1	16	238	95	96	.	2.013889
91	9	Sol5	G5	349	349	1	16	238	95	96	.	2.027778
92	9	Sol5	G5	349	349	1	8	476	95	96	.	2.055556
93	9	Fa5	F5	340	340	1	16	238	95	96	.	2.069444
94	9	Mi5	E5	336	336	1	16	238	95	96	.	2.083333
95	9	Re5	D5	327	327	1	16	238	95	96	.	2.097222
96	9	Mi5	E5	336	336	1	16	238	95	96	.	2.111111
97	9	Do5	C5	318	318	1	16	238	95	96	.	2.125000
98	9	Re5	D5	327	327	1	16	238	95	96	.	2.138889
99	9	Mi5	E5	336	336	1	8	476	95	96	.	2.166667
100	9	Fa5	F5	340	340	1	16	238	95	96	.	2.180556
101	9	Mi5	E5	336	336	1	16	238	95	96	.	2.194444
102	9	Re5	D5	327	327	1	16	238	95	96	.	2.208333
103	9	Mi5	E5	336	336	1	16	238	95	96	.	2.222222
104	9	Do5	C5	318	318	1	16	238	95	96	.	2.236111
