Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Es	Es	-1	-1	5	8	2083	100	0		0.277778
2	9	Fa5	F5	340	340	1	8	417	99	96	Söy	0.333333
3	9	Mi5b1	E5b1	335	335	1	8	417	95	96		0.388889
4	9	Fa5	F5	340	340	1	8	417	95	96	le 	0.444444
5	9	Sol5	G5	349	349	1	2	1667	95	96	ey 	0.666667
6	9	Sol5	G5	349	349	3	16	625	99	96	mut	0.750000
7	9	La5	A5	358	358	1	16	208	99	96		0.777778
8	9	Si5b5	B5b5	362	362	3	16	625	99	96		0.861111
9	9	La5	A5	358	358	1	16	208	99	90		0.888889
10	9	La5	A5	358	358	1	8	417	99	96		0.944444
11	9	Sol5	G5	349	349	1	8	417	99	96		1.000000
12	9	Sol5	G5	349	349	1	8	417	99	96		1.055556
13	9	La5	A5	358	358	1	16	208	99	96		1.083333
14	9	Sol5	G5	349	349	1	16	208	99	96		1.111111
15	9	Fa5	F5	340	340	1	8	417	99	96		1.166667
16	9	Mi5b2	E5b1	334	335	1	16	208	99	96		1.194444
17	9	Re5	D5	327	327	1	16	208	99	96		1.222222
18	9	Mi5b2	E5b1	334	335	1	4	833	95	96		1.333333
19	9	La5	A5	358	358	1	8	417	95	96	rıb_	1.388889
20	9	Sol5	G5	349	349	1	16	208	99	96	ı 	1.416667
21	9	Fa5	F5	340	340	1	16	208	95	84		1.444444
22	9	Fa5	F5	340	340	3	16	625	99	96	nâ	1.527778
23	9	Mi5b1	E5b1	335	335	1	16	208	99	84		1.555556
24	9	Mi5b1	E5b1	335	335	3	16	625	99	96		1.638889
25	9	Re5	D5	327	327	1	16	208	95	72		1.666667
26	9	Re5	D5	327	327	1	2	1667	99	96	zen	1.888889
27	9	Re5	D5	327	327	1	8	417	99	96		1.944444
28	9	Fa5	F5	340	340	1	8	417	99	96		2.000000
29	9	Mi5b1	E5b1	335	335	3	16	625	99	96		2.083333
30	9	Re5	D5	327	327	1	16	208	99	96		2.111111
31	9	Do5	C5	318	318	1	2	1667	95	96		2.333333
32	9	Si4b1	B4b1	313	313	1	8	417	95	96	de 	2.388889
33	9	Do5	C5	318	318	1	8	417	95	96	e	2.444444
34	9	Re5	D5	327	327	1	8	417	99	96	dâ  	2.500000
35	9	Mi5b1	E5b1	335	335	1	8	417	99	96		2.555556
36	9	Fa5	F5	340	340	1	8	417	99	96		2.611111
37	9	Sol5	G5	349	349	1	8	417	95	96		2.666667
38	9	La5b5	A5b5	353	353	3	16	625	99	96	nâ	2.750000
39	9	Sol5	G5	349	349	1	16	208	99	96		2.777778
40	9	Fa5	F5	340	340	1	8	417	99	96		2.833333
41	9	Mi5b1	E5b1	335	335	1	8	417	99	96		2.888889
42	9	Re5	D5	327	327	1	8	417	99	96		2.944444
43	9	Do5	C5	318	318	1	8	417	95	96		3.000000
44	9	Es	Es	-1	-1	1	8	417	100	0		3.055556
45	9	La5b5	A5b5	353	353	1	8	417	99	96	zen	3.111111
46	9	Sol5	G5	349	349	1	8	417	99	96		3.166667
47	9	Fa5	F5	340	340	1	8	417	99	96		3.222222
48	9	Mi5b1	E5b1	335	335	1	8	417	99	96		3.277778
49	9	Fa5	F5	340	340	1	8	417	95	96		3.333333
50	9	Sol5	G5	349	349	1	8	417	95	96	de 	3.388889
51	8	Si5b5	B5b5	362	362	0	0	0	95	96		3.388889
52	9	La5b5	A5b5	353	353	1	16	208	99	96	e	3.416667
53	9	Sol5	G5	349	349	1	16	208	95	72		3.444444
54	9	Sol5	G5	349	349	1	2	1667	95	96	dâ  	3.666667
55	9	Sol5	G5	349	349	1	8	417	95	96	SAZ	3.722222
56	9	La5b5	A5b5	353	353	1	8	417	95	96	.	3.777778
57	9	Sol5	G5	349	349	1	8	417	95	96	.	3.833333
58	9	Fa5	F5	340	340	1	8	417	95	96	.	3.888889
59	9	Mi5b1	E5b1	335	335	1	8	417	95	96	.	3.944444
60	9	Fa5	F5	340	340	1	8	417	95	96	.	4.000000
61	9	Sol5	G5	349	349	1	2	1667	95	96	.	4.222222
62	9	Es	Es	-1	-1	1	4	833	100	0		4.333333
63	10	La5b5	A5b5	353	353	1	8	417	95	96	Ne 	4.388889
64	8	Si5b5	B5b5	362	362	0	0	0	95	96		4.388889
65	9	La5b5	A5b5	353	353	1	16	208	99	96	i	4.416667
66	9	Sol5	G5	349	349	1	16	208	95	78		4.444445
67	9	Sol5	G5	349	349	1	4	833	95	96	miş 	4.555555
68	9	Es	Es	-1	-1	1	4	833	100	0		4.666667
69	9	La5b5	A5b5	353	353	3	16	625	99	96	aşk_	4.750000
70	9	Sol5	G5	349	349	1	16	208	99	96		4.777778
71	9	Fa5	F5	340	340	1	8	417	99	96		4.833333
72	9	Sol5	G5	349	349	1	8	417	99	96		4.888889
73	9	La5b5	A5b5	353	353	1	8	417	99	96		4.944445
74	9	Do6	C6	371	371	1	8	417	99	96		5.000000
75	9	Si5b5	B5b5	362	362	1	8	417	99	96		5.055555
76	9	La5b5	A5b5	353	353	1	8	417	99	96		5.111111
77	9	Sol5	G5	349	349	1	8	417	99	96		5.166667
78	9	Fa5	F5	340	340	1	8	417	99	96		5.222222
79	9	Mi5b5	E5b5	331	331	1	4	833	95	96		5.333333
80	9	Re5	D5	327	327	1	8	417	95	96	u 	5.388889
81	9	Mi5b5	E5b5	331	331	1	8	417	95	96	mu	5.444445
82	9	Sol5	G5	349	349	3	16	625	99	96	hab	5.527778
83	9	Fa5	F5	340	340	1	16	208	99	96		5.555555
84	9	Mi5b5	E5b5	331	331	1	8	417	99	96		5.611111
85	9	Fa5	F5	340	340	1	8	417	95	96		5.666667
86	9	Re5	D5	327	327	1	4	833	99	96	bet 	5.777778
87	9	Mi5b5	E5b5	331	331	1	2	1667	95	96		6.000000
88	9	Es	Es	-1	-1	1	8	417	100	0		6.055555
89	9	Sol5	G5	349	349	1	8	417	99	96	sev	6.111111
90	9	Fa5	F5	340	340	1	8	417	99	96		6.166667
91	9	Mi5b5	E5b5	331	331	1	8	417	99	96		6.222222
92	9	Re5	D5	327	327	1	8	417	99	96		6.277778
93	9	Do5	C5	318	318	1	8	417	99	96		6.333333
94	8	Re5	D5	327	327	0	0	0	99	96		6.333333
95	9	Do5	C5	318	318	1	8	417	99	96		6.388889
96	9	Si4b5	B4b5	309	309	1	8	417	99	96		6.444445
97	9	La4b5	A4b5	300	300	3	16	625	99	96		6.527778
