Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Fa5	F5	340	340	1	8	556	99	96	Of 	0.111111111111
2	9	Sol5	G5	349	349	3	8	1667	99	96		0.444444444444
3	9	Sol5	G5	349	349	1	8	556	99	96		0.555555555556
4	8	Si5b5	B5b5	362	362	0	0	0	99	96		0.555555555556
5	9	La5b5	A5b5	353	353	1	16	278	99	96		0.611111111111
6	9	Sol5	G5	349	349	1	16	278	99	96		0.666666666667
7	9	Sol5	G5	349	349	1	4	1111	95	96		0.888888888889
8	9	Es	Es	-1	-1	1	8	556	100	0		1.0
9	9	Sol5	G5	349	349	3	16	833	99	96	of 	1.16666666667
10	9	Fa5	F5	340	340	1	16	278	99	96		1.22222222222
11	9	Fa5	F5	340	340	3	16	833	99	96		1.38888888889
12	9	Mi5b1	E5b1	335	335	1	16	278	99	96		1.44444444444
13	9	Mi5b1	E5b1	335	335	3	16	833	99	96		1.61111111111
14	9	Re5	D5	327	327	1	16	278	99	96		1.66666666667
15	10	Re5	D5	327	327	1	8	556	99	96		1.77777777778
16	8	Mi5b1	E5b1	335	335	0	0	0	99	96		1.77777777778
17	9	Re5	D5	327	327	1	8	556	99	96		1.88888888889
18	9	Do5	C5	318	318	1	8	556	95	96		2.0
19	9	Es	Es	-1	-1	1	8	556	100	0		2.11111111111
20	9	Re5	D5	327	327	1	16	278	99	96	of 	2.16666666667
21	9	Mi5b1	E5b1	335	335	1	16	278	99	96		2.22222222222
22	9	Fa5	F5	340	340	1	8	556	99	96		2.33333333333
23	9	Sol5	G5	349	349	1	8	556	99	96		2.44444444444
24	9	La5b5	A5b5	353	353	1	8	556	99	96		2.55555555556
25	9	Sol5	G5	349	349	1	8	556	99	96		2.66666666667
26	9	Fa5	F5	340	340	1	8	556	99	96		2.77777777778
27	9	Mi5b1	E5b1	335	335	1	8	556	99	96		2.88888888889
28	8	Si5b1	B5b1	366	366	0	0	0	99	96		2.88888888889
29	9	La5b5	A5b5	353	353	1	16	278	99	96		2.94444444444
30	9	Sol5	G5	349	349	1	16	278	95	96		3.0
31	9	Sol5	G5	349	349	3	8	1667	95	96	of  	3.33333333333
32	9	Sol5	G5	349	349	1	16	278	95	96	SAZ	3.38888888889
33	9	La5b5	A5b5	353	353	1	16	278	95	96	.	3.44444444444
34	9	Sol5	G5	349	349	1	16	278	95	96	.	3.5
35	9	Fa5	F5	340	340	1	16	278	95	96	.	3.55555555556
36	9	Mi5b1	E5b1	335	335	1	16	278	95	96	.	3.61111111111
37	9	Fa5	F5	340	340	1	16	278	95	96	.	3.66666666667
38	9	Sol5	G5	349	349	1	4	1111	95	96	.	3.88888888889
39	9	Es	Es	-1	-1	1	8	556	100	0		4.0
40	9	Si5b1	B5b1	366	366	1	8	556	95	96	Ni	4.11111111111
41	9	La5b5	A5b5	353	353	1	4	1111	99	96	çin 	4.33333333333
42	9	Sol5	G5	349	349	1	8	556	95	96		4.44444444444
43	9	Fa5#4	F5#4	344	344	1	8	556	99	96	terk_	4.55555555556
44	9	Sol5	G5	349	349	1	8	556	99	96		4.66666666667
45	9	La5b5	A5b5	353	353	1	8	556	99	96		4.77777777778
46	9	Si5b1	B5b1	366	366	1	8	556	99	96		4.88888888889
47	9	La5b5	A5b5	353	353	1	16	278	99	96		4.94444444444
48	9	Sol5	G5	349	349	1	16	278	95	96		5.0
49	9	Sol5	G5	349	349	3	32	417	99	96	ey	5.08333333333
50	9	Fa5#4	F5#4	344	344	1	32	139	99	96		5.11111111111
51	9	Sol5	G5	349	349	1	16	278	99	96		5.16666666667
52	9	La5b5	A5b5	353	353	1	16	278	99	96		5.22222222222
53	9	Sol5	G5	349	349	1	8	556	99	96		5.33333333333
54	9	Fa5#4	F5#4	344	344	1	8	556	99	96		5.44444444444
55	9	Mi5b5	E5b5	331	331	1	8	556	99	96		5.55555555556
56	8	Fa5#4	F5#4	344	344	0	0	0	99	96		5.55555555556
57	9	Mi5b5	E5b5	331	331	1	16	278	99	96		5.61111111111
58	9	Re5	D5	327	327	1	16	278	99	96		5.66666666667
59	9	Do5	C5	318	318	3	8	1667	95	96		6.0
60	9	Si5b1	B5b1	366	366	1	8	556	95	96	le	6.11111111111
61	9	La5b5	A5b5	353	353	1	4	1111	99	96	yip 	6.33333333333
62	9	Sol5	G5	349	349	1	8	556	95	96		6.44444444444
63	9	Fa5#4	F5#4	344	344	1	8	556	99	96	git	6.55555555556
64	9	Sol5	G5	349	349	1	8	556	99	96		6.66666666667
65	9	La5b5	A5b5	353	353	1	8	556	99	96		6.77777777778
66	9	Si5b1	B5b1	366	366	1	8	556	99	96		6.88888888889
67	9	La5b5	A5b5	353	353	1	16	278	99	96		6.94444444444
68	9	Sol5	G5	349	349	1	16	278	95	96		7.0
69	9	Sol5	G5	349	349	3	8	1667	95	96	tin 	7.33333333333
70	9	Re5	D5	327	327	1	8	556	95	96	SAZ	7.44444444444
71	9	Mi5b5	E5b5	331	331	1	8	556	95	96	.	7.55555555556
72	9	Fa5#4	F5#4	344	344	1	8	556	95	96	.	7.66666666667
73	9	Sol5	G5	349	349	1	4	1111	95	96	.	7.88888888889
74	9	Es	Es	-1	-1	1	8	556	100	0		8.0
75	9	Do5	C5	318	318	1	8	556	95	96	a 	8.11111111111
76	9	Do5	C5	318	318	1	4	1111	99	96	za 	8.33333333333
77	9	Re5	D5	327	327	1	8	556	99	96		8.44444444444
78	9	Mi5b5	E5b5	331	331	1	8	556	99	96		8.55555555556
79	8	Fa5	F5	340	340	0	0	0	99	96		8.55555555556
80	9	Mi5b5	E5b5	331	331	1	16	278	99	96		8.61111111111
81	9	Re5	D5	327	327	1	16	278	99	96		8.66666666667
82	9	Mi5b5	E5b5	331	331	1	8	556	99	96		8.77777777778
83	9	Fa5#4	F5#4	344	344	1	8	556	99	96		8.88888888889
84	9	Sol5	G5	349	349	1	8	556	99	96		9.0
85	9	La5b5	A5b5	353	353	3	16	833	99	96		9.16666666667
86	8	Si5b5	B5b5	362	362	0	0	0	99	96		9.16666666667
87	9	Sol5	G5	349	349	1	16	278	99	96		9.22222222222
88	9	Fa5#4	F5#4	344	344	1	4	1111	99	96		9.44444444444
89	9	Sol5	G5	349	349	3	16	833	99	96		9.61111111111
90	8	La5b5	A5b5	353	353	0	0	0	99	96		9.61111111111
91	9	Fa5#4	F5#4	344	344	1	16	278	99	96		9.66666666667
92	9	Mi5b5	E5b5	331	331	3	8	1667	95	96		10.0
93	9	Fa5#4	F5#4	344	344	1	8	556	99	96	za	10.1111111111
94	9	Sol5	G5	349	349	1	8	556	99	96		10.2222222222
95	9	La5b5	A5b5	353	353	3	16	833	99	96		10.3888888889
96	8	Si5b5	B5b5	362	362	0	0	0	99	96		10.3888888889
97	9	Sol5	G5	349	349	1	16	278	99	96		10.4444444444
98	9	Fa5#4	F5#4	344	344	1	8	556	99	96		10.5555555556
99	9	Sol5	G5	349	349	1	8	556	99	96		10.6666666667
100	9	La5b5	A5b5	353	353	1	8	556	99	96		10.7777777778
101	9	Si5b1	B5b1	366	366	1	8	556	99	96		10.8888888889
102	9	La5b5	A5b5	353	353	1	16	278	99	96		10.9444444444
103	9	Sol5	G5	349	349	1	16	278	95	96		11.0
104	9	Sol5	G5	349	349	3	8	1667	95	96	lim  	11.3333333333
105	9	Re5	D5	327	327	1	8	556	95	96	SAZ	11.4444444444
106	9	Mi5b5	E5b5	331	331	1	8	556	95	96	.	11.5555555556
107	9	Fa5#4	F5#4	344	344	1	8	556	95	96	.	11.6666666667
108	9	Sol5	G5	349	349	3	8	1667	95	96	.	12.0
109	9	Sol5	G5	349	349	1	8	556	99	96	Of 	12.1111111111
110	9	La5b5	A5b5	353	353	3	8	1667	99	96		12.4444444444
111	9	La5b5	A5b5	353	353	1	8	556	99	96		12.5555555556
112	8	Si5b5	B5b5	362	362	0	0	0	99	96		12.5555555556
113	9	La5b5	A5b5	353	353	1	16	278	99	96		12.6111111111
114	9	Sol5	G5	349	349	1	16	278	99	96		12.6666666667
115	9	La5b5	A5b5	353	353	3	8	1667	95	96		13.0
116	9	Sol5	G5	349	349	1	8	556	99	96	of 	13.1111111111
117	9	La5b5	A5b5	353	353	1	4	1111	99	96		13.3333333333
118	9	La5b5	A5b5	353	353	1	16	278	99	96		13.3888888889
119	9	Sol5	G5	349	349	1	16	278	99	96		13.4444444444
120	9	La5b5	A5b5	353	353	1	8	556	99	96		13.5555555556
121	8	Si5b5	B5b5	362	362	0	0	0	99	96		13.5555555556
122	9	La5b5	A5b5	353	353	1	16	278	99	96		13.6111111111
123	9	Sol5	G5	349	349	1	16	278	99	96		13.6666666667
124	9	La5b5	A5b5	353	353	1	4	1111	99	96		13.8888888889
125	9	Sol5	G5	349	349	1	8	556	95	96		14.0
126	9	Es	Es	-1	-1	1	8	556	100	0		14.1111111111
127	9	Do6	C6	371	371	1	4	1111	99	96	of 	14.3333333333
128	8	Re6	D6	380	380	0	0	0	99	96		14.3333333333
129	9	Do6	C6	371	371	1	16	278	99	96		14.3888888889
130	9	Si5b1	B5b1	366	366	1	16	278	99	96		14.4444444444
131	9	Si5b1	B5b1	366	366	3	16	833	99	96		14.6111111111
132	9	La5b5	A5b5	353	353	1	16	278	99	96		14.6666666667
133	8	Re6	D6	380	380	0	0	0	99	96		14.6666666667
134	9	Do6	C6	371	371	1	16	278	99	96		14.7222222222
135	9	Si5b1	B5b1	366	366	1	16	278	99	96		14.7777777778
136	12	La5b5	A5b5	353	353	1	8	556	99	96		14.8888888889
137	9	La5b5	A5b5	353	353	1	16	278	99	96		14.9444444444
138	9	Sol5	G5	349	349	1	16	278	95	96		15.0
139	9	Sol5	G5	349	349	3	8	1667	95	96	of  	15.3333333333
140	9	Re5	D5	327	327	1	8	556	95	96	SAZ	15.4444444444
141	9	Mi5b5	E5b5	331	331	1	8	556	95	96	.	15.5555555556
142	9	Fa5	F5	340	340	1	8	556	95	96	.	15.6666666667
143	9	Sol5	G5	349	349	3	8	1667	95	96	.	16.0
144	9	Fa5	F5	340	340	1	8	556	95	96	Se	16.1111111111
145	9	Sol5	G5	349	349	1	4	1111	99	96	ni 	16.3333333333
146	9	Fa5	F5	340	340	1	8	556	95	96		16.4444444444
147	9	Mi5b5	E5b5	331	331	1	8	556	99	96	sev	16.5555555556
148	9	Fa5	F5	340	340	1	8	556	99	96		16.6666666667
149	9	Sol5	G5	349	349	1	8	556	99	96		16.7777777778
150	9	La5b5	A5b5	353	353	1	8	556	99	96		16.8888888889
151	9	Si5b5	B5b5	362	362	1	8	556	95	96		17.0
152	9	Sol5	G5	349	349	1	8	556	99	96	mek 	17.1111111111
153	8	Si5b5	B5b5	362	362	0	0	0	99	96		17.1111111111
154	9	La5b5	A5b5	353	353	1	16	278	99	96		17.1666666667
155	9	Sol5	G5	349	349	1	16	278	99	96		17.2222222222
156	9	La5b5	A5b5	353	353	1	8	556	99	96		17.3333333333
157	9	Fa5	F5	340	340	1	8	556	99	96		17.4444444444
158	9	Fa5	F5	340	340	1	8	556	99	96		17.5555555556
159	8	La5b5	A5b5	353	353	0	0	0	99	96		17.5555555556
160	9	Sol5	G5	349	349	1	16	278	99	96		17.6111111111
161	9	Fa5	F5	340	340	1	16	278	99	96		17.6666666667
162	9	Sol5	G5	349	349	1	8	556	99	96		17.7777777778
163	9	Mi5b5	E5b5	331	331	1	16	278	99	96		17.8333333333
164	9	Re5	D5	327	327	1	16	278	99	96		17.8888888889
165	9	Do5	C5	318	318	1	8	556	95	96		18.0
166	9	Re5	D5	327	327	1	8	556	95	96	mi	18.1111111111
167	9	Mi5b5	E5b5	331	331	1	8	556	99	96	dir 	18.2222222222
168	9	Re5	D5	327	327	1	8	556	99	96		18.3333333333
169	9	Sol5	G5	349	349	1	8	556	95	96		18.4444444444
170	9	Fa5	F5	340	340	1	8	556	99	96	bil	18.5555555556
171	9	Mi5b5	E5b5	331	331	1	8	556	99	96		18.6666666667
172	9	Re5	D5	327	327	1	8	556	99	96		18.7777777778
173	9	Do5	C5	318	318	1	8	556	99	96		18.8888888889
174	9	Re5	D5	327	327	1	8	556	95	96		19.0
175	9	Si4b5	B4b5	309	309	1	8	556	99	96	mem 	19.1111111111
176	8	Re5	D5	327	327	0	0	0	99	96		19.1111111111
177	9	Do5	C5	318	318	1	4	1111	99	96		19.3333333333
178	9	Si4b5	B4b5	309	309	1	8	556	99	96		19.4444444444
179	9	La4b5	A4b5	300	300	1	8	556	99	96		19.5555555556
180	8	Si4b5	B4b5	309	309	0	0	0	99	96		19.5555555556
181	9	La4b5	A4b5	300	300	1	16	278	99	96		19.6111111111
182	9	Sol4	G4	296	296	1	16	278	99	96		19.6666666667
183	9	Sol4	G4	296	296	1	4	1111	95	96		19.8888888889
184	9	Es	Es	-1	-1	1	8	556	100	0		20.0
185	9	Do5	C5	318	318	1	8	556	95	96	ve	20.1111111111
186	9	Re5	D5	327	327	3	8	1667	99	96	bâ 	20.4444444444
187	9	Re5	D5	327	327	1	8	556	99	96		20.5555555556
188	8	Mi5b5	E5b5	331	331	0	0	0	99	96		20.5555555556
189	9	Re5	D5	327	327	1	16	278	99	96		20.6111111111
190	9	Do5	C5	318	318	1	16	278	99	96		20.6666666667
191	9	Re5	D5	327	327	1	8	556	99	96		20.7777777778
192	9	Mi5b5	E5b5	331	331	1	8	556	99	96		20.8888888889
193	9	Fa5	F5	340	340	1	8	556	99	96		21.0
194	9	Sol5	G5	349	349	1	8	556	99	96		21.1111111111
195	8	La5b5	A5b5	353	353	0	0	0	99	96		21.1111111111
196	9	Sol5	G5	349	349	1	16	278	99	96		21.1666666667
197	9	Fa5	F5	340	340	1	16	278	99	96		21.2222222222
198	9	Mi5b5	E5b5	331	331	3	32	417	99	96		21.3055555556
199	9	Re5	D5	327	327	1	32	139	99	96		21.3333333333
200	9	Do5	C5	318	318	1	8	556	99	96		21.4444444444
201	9	Si4b5	B4b5	309	309	1	8	556	99	96		21.5555555556
202	9	La4b5	A4b5	300	300	1	8	556	99	96		21.6666666667
203	9	Sol4	G4	296	296	1	8	556	99	96		21.7777777778
204	9	Fa4	F4	287	287	1	4	1111	95	96		22.0
205	8	Fa5	F5	340	340	0	0	0	95	96		22.0
206	9	Mi5b5	E5b5	331	331	1	16	278	99	96	ve	22.0555555556
207	9	Re5	D5	327	327	1	16	278	95	96		22.1111111111
208	9	Do5	C5	318	318	1	4	1111	99	96	bâ	22.3333333333
209	9	Do5	C5	318	318	1	16	278	99	96		22.3888888889
210	9	Si4b5	B4b5	309	309	1	16	278	99	96		22.4444444444
211	9	Si4b5	B4b5	309	309	3	16	833	99	96		22.6111111111
212	9	La4b5	A4b5	300	300	1	16	278	99	96		22.6666666667
213	8	Re5	D5	327	327	0	0	0	99	96		22.6666666667
214	9	Do5	C5	318	318	1	16	278	99	96		22.7222222222
215	9	Si4b5	B4b5	309	309	1	16	278	99	96		22.7777777778
216	12	La4b5	A4b5	300	300	1	8	556	99	96		22.8888888889
217	9	La4b5	A4b5	300	300	1	16	278	99	96		22.9444444444
218	9	Sol4	G4	296	296	1	16	278	95	96		23.0
219	9	Sol4	G4	296	296	3	8	1667	95	96	lim  	23.3333333333
220	9	Fa5	F5	340	340	1	8	556	95	96	SAZ	23.4444444444
221	9	Mi5b1	E5b1	335	335	1	8	556	95	96	.	23.5555555556
222	9	Fa5	F5	340	340	1	8	556	95	96	.	23.6666666667
223	9	Sol5	G5	349	349	1	4	1111	95	96	.	23.8888888889
224	9	Es	Es	-1	-1	1	8	556	100	0		24.0
225	9	Fa5	F5	340	340	1	8	556	99	96	Of 	24.1111111111
226	9	Sol5	G5	349	349	3	8	1667	99	96		24.4444444444
227	9	Sol5	G5	349	349	1	4	1111	99	96		24.6666666667
228	10	Re5	D5	327	327	1	8	556	99	96		24.7777777778
229	8	Mi5b5	E5b5	331	331	0	0	0	99	96		24.7777777778
230	9	Re5	D5	327	327	1	8	556	99	96		24.8888888889
231	9	Mi5b1	E5b1	335	335	1	8	556	95	96		25.0
232	9	Fa5	F5	340	340	3	16	833	99	96	of 	25.1666666667
