Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	9	8	0	20	0	Aksak	0.0
2	1	Sol4	G4	296	296	1	4	1111	95	96	.	0.222222222222
3	9	Fa5	F5	340	340	3	16	833	95	96	Saf	0.388888888889
4	9	Sol5	G5	349	349	1	16	278	95	96	vet_	0.444444444444
5	9	Sol5	G5	349	349	1	4	1111	95	96	i 	0.666666666667
6	9	Sol5	G5	349	349	1	4	1111	99	96	aş	0.888888888889
7	9	Sol5	G5	349	349	1	16	278	99	96		0.944444444444
8	9	Fa5	F5	340	340	1	16	278	95	96		1.0
9	9	Mi5b1	E5b1	335	335	1	4	1111	95	96	kım 	1.22222222222
10	9	Fa5	F5	340	340	1	4	1111	95	96	bi	1.44444444444
11	10	Sol5	G5	349	349	1	8	556	99	96	lip 	1.55555555556
12	8	Si5b5	B5b5	362	362	0	0	0	99	96		1.55555555556
13	9	La5b5	A5b5	353	353	1	16	278	99	96		1.61111111111
14	9	Sol5	G5	349	349	1	16	278	95	96		1.66666666667
15	9	Sol5	G5	349	349	1	4	1111	99	96	ey 	1.88888888889
16	9	Sol5	G5	349	349	1	16	278	99	96		1.94444444444
17	9	Fa5	F5	340	340	1	16	278	95	96		2.0
18	9	Mi5b1	E5b1	335	335	3	32	417	99	96	gül 	2.08333333333
19	9	Re5	D5	327	327	1	32	139	99	96		2.11111111111
20	9	Mi5b1	E5b1	335	335	1	16	278	99	96		2.16666666667
21	9	Fa5	F5	340	340	1	16	278	99	96		2.22222222222
22	9	Mi5b1	E5b1	335	335	1	32	139	99	96		2.25
23	9	Re5	D5	327	327	1	32	139	99	114		2.27777777778
24	9	Do5	C5	318	318	1	16	278	99	114		2.33333333333
25	9	Mi5b1	E5b1	335	335	1	16	278	95	114		2.38888888889
26	9	Fa5	F5	340	340	1	16	278	95	114	te	2.44444444444
27	9	Sol5	G5	349	349	1	4	1111	95	114	nim  	2.66666666667
28	9	Fa5	F5	340	340	1	16	278	95	114	SAZ	2.72222222222
29	9	Mi5b5	E5b5	331	331	1	16	278	95	96	.	2.77777777778
30	9	Re5	D5	327	327	1	16	278	95	96	.	2.83333333333
31	9	Do5	C5	318	318	1	16	278	95	96	.	2.88888888889
32	9	Si4b5	B4b5	309	309	1	16	278	95	96	.	2.94444444444
33	9	La4b5	A4b5	300	300	1	16	278	95	96	.	3.0
34	1	Sol4	G4	296	296	1	4	1111	95	96	.	3.22222222222
35	9	Fa5	F5	340	340	3	16	833	95	96	Saf	3.38888888889
36	9	Sol5	G5	349	349	1	16	278	95	96	vet_	3.44444444444
37	9	Sol5	G5	349	349	1	4	1111	95	96	i 	3.66666666667
38	9	Sol5	G5	349	349	1	4	1111	99	96	aş	3.88888888889
39	9	Sol5	G5	349	349	1	16	278	99	96		3.94444444444
40	9	Fa5	F5	340	340	1	16	278	95	96		4.0
41	9	Mi5b1	E5b1	335	335	1	4	1111	95	96	kım 	4.22222222222
42	9	Fa5	F5	340	340	1	4	1111	95	96	bi	4.44444444444
43	10	Sol5	G5	349	349	1	8	556	99	96	lip 	4.55555555556
44	8	Si5b5	B5b5	362	362	0	0	0	99	96		4.55555555556
45	9	La5b5	A5b5	353	353	1	16	278	99	96		4.61111111111
46	9	Sol5	G5	349	349	1	16	278	95	96		4.66666666667
47	9	Sol5	G5	349	349	1	4	1111	99	96	ey 	4.88888888889
