Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol5	G5	349	349	3	8	1250	95	96	ARANAĞME	0.3
2	9	La5b5	A5b5	353	353	1	16	208	95	96	.	0.35
3	9	Sol5	G5	349	349	1	16	208	95	96	.	0.4
4	9	Fa5	F5	340	340	1	8	417	95	96	.	0.5
5	9	Mi5b2	E5b1	334	335	1	8	417	95	96	.	0.6
6	9	Fa5	F5	340	340	1	8	417	95	96	.	0.7
7	9	Sol5	G5	349	349	1	4	833	95	96	.	0.9
8	9	Es	Es	-1	-1	1	8	417	101	0	.	1.0
9	9	Fa5	F5	340	340	1	8	417	95	96	.	1.1
10	9	Mi5b5	E5b5	331	331	1	8	417	95	96	.	1.2
11	9	Re5	D5	327	327	1	8	417	95	96	.	1.3
12	9	Do5	C5	318	318	1	8	417	95	96	.	1.4
13	9	Re5	D5	327	327	1	8	417	95	96	.	1.5
14	9	Si4b5	B4b5	309	309	1	8	417	95	96	.	1.6
15	9	Do5	C5	318	318	1	16	208	95	96	.	1.65
16	9	La4b5	A4b5	300	300	1	16	208	95	96	.	1.7
17	9	Sol4	G4	296	296	1	4	833	95	96	.	1.9
18	9	Es	Es	-1	-1	1	8	417	100	0		2.0
19	9	Sol5	G5	349	349	3	8	1250	95	96	ARANAĞME	2.3
20	9	La5b5	A5b5	353	353	1	16	208	95	96	.	2.35
21	9	Sol5	G5	349	349	1	16	208	95	96	.	2.4
22	9	Fa5	F5	340	340	1	8	417	95	96	.	2.5
23	9	Mi5b2	E5b1	334	335	1	8	417	95	96	.	2.6
24	9	Fa5	F5	340	340	1	8	417	95	96	.	2.7
25	9	Sol5	G5	349	349	1	4	833	95	96	.	2.9
26	9	Es	Es	-1	-1	1	8	417	101	0	.	3.0
27	9	Fa5	F5	340	340	1	8	417	95	96	.	3.1
28	9	Mi5b5	E5b5	331	331	1	8	417	95	96	.	3.2
29	9	Re5	D5	327	327	1	8	417	95	96	.	3.3
30	9	Do5	C5	318	318	1	8	417	95	96	.	3.4
31	9	Re5	D5	327	327	1	8	417	95	96	.	3.5
32	9	Si4b5	B4b5	309	309	1	8	417	95	96	.	3.6
33	9	Do5	C5	318	318	1	16	208	95	96	.	3.65
34	9	La4b5	A4b5	300	300	1	16	208	95	96	.	3.7
35	9	Sol4	G4	296	296	1	4	833	95	96	.	3.9
36	9	Es	Es	-1	-1	1	8	417	100	0		4.0
37	9	Sol5	G5	349	349	3	8	1250	95	96	Ey 	4.3
38	9	La5b5	A5b5	353	353	1	16	208	99	96	be	4.35
39	9	Sol5	G5	349	349	1	16	208	99	96		4.4
40	9	Fa5	F5	340	340	1	8	417	95	96		4.5
41	9	Mi5b2	E5b1	334	335	1	8	417	99	96	nim 	4.6
42	9	Fa5	F5	340	340	1	8	417	95	96		4.7
43	9	Sol5	G5	349	349	1	4	833	95	96	bah	4.9
44	9	Es	Es	-1	-1	1	8	417	100	0		5.0
45	9	La5	A5	358	358	1	4	833	95	96	ti	5.2
46	9	Fa5	F5	340	340	1	8	417	99	96	yâ	5.3
47	9	Mi5b2	E5b1	334	335	1	8	417	99	96		5.4
48	9	Re5	D5	327	327	1	8	417	95	96		5.5
49	9	Re5	D5	327	327	1	4	833	95	96	rım 	5.7
50	9	Es	Es	-1	-1	1	4	833	100	0		5.9
51	9	Es	Es	-1	-1	1	8	417	100	0		6.0
52	9	Si5b5	B5b5	362	362	3	8	1250	95	96	gön	6.3
53	9	Si5b5	B5b5	362	362	1	8	417	99	96	lüm	6.4
54	9	La5	A5	358	358	1	8	417	95	96		6.5
55	9	La5b1	A5b1	357	357	1	8	417	99	96	de 	6.6
56	9	Sol5	G5	349	349	1	8	417	95	96		6.7
57	9	Si5b1	B5b1	366	366	1	8	417	99	96	tah	6.8
58	9	Do6	C6	371	371	1	8	417	99	96		6.9
59	9	Re6	D6	380	380	1	8	417	95	96		7.0
60	9	Do6	C6	371	371	1	8	417	99	96	tı 	7.1
61	9	Si5b1	B5b1	366	366	1	8	417	99	96		7.2
62	9	La5b4	A5b4	354	354	1	8	417	95	96		7.3
63	9	La5b4	A5b4	354	354	1	8	417	99	96	yâ	7.4
64	9	Sol5	G5	349	349	1	8	417	95	96		7.5
65	9	Sol5	G5	349	349	1	4	833	95	96	rim  	7.7
66	9	Es	Es	-1	-1	1	4	833	100	0		7.9
67	9	Es	Es	-1	-1	1	8	417	100	0		8.0
68	9	Sol5	G5	349	349	3	8	1250	95	96	Ey 	8.3
69	9	La5b5	A5b5	353	353	1	16	208	99	96	be	8.35
70	9	Sol5	G5	349	349	1	16	208	99	96		8.4
71	9	Fa5	F5	340	340	1	8	417	95	96		8.5
72	9	Mi5b2	E5b1	334	335	1	8	417	99	96	nim 	8.6
73	9	Fa5	F5	340	340	1	8	417	95	96		8.7
74	9	Sol5	G5	349	349	1	4	833	95	96	bah	8.9
75	9	Es	Es	-1	-1	1	8	417	100	0		9.0
76	9	La5	A5	358	358	1	4	833	95	96	ti	9.2
77	9	Fa5	F5	340	340	1	8	417	99	96	yâ	9.3
78	9	Mi5b2	E5b1	334	335	1	8	417	99	96		9.4
79	9	Re5	D5	327	327	1	8	417	95	96		9.5
80	9	Re5	D5	327	327	1	4	833	95	96	rım 	9.7
81	9	Es	Es	-1	-1	1	4	833	100	0		9.9
82	9	Es	Es	-1	-1	1	8	417	100	0		10.0
83	9	Si5b5	B5b5	362	362	3	8	1250	95	96	gön	10.3
84	9	Si5b5	B5b5	362	362	1	8	417	99	96	lüm	10.4
85	9	La5	A5	358	358	1	8	417	95	96		10.5
86	9	La5b1	A5b1	357	357	1	8	417	99	96	de 	10.6
87	9	Sol5	G5	349	349	1	8	417	95	96		10.7
88	9	Si5b1	B5b1	366	366	1	8	417	99	96	tah	10.8
89	9	Do6	C6	371	371	1	8	417	99	96		10.9
90	9	Re6	D6	380	380	1	8	417	95	96		11.0
91	9	Do6	C6	371	371	1	8	417	99	96	tı 	11.1
92	9	Si5b1	B5b1	366	366	1	8	417	99	96		11.2
93	9	La5b4	A5b4	354	354	1	8	417	95	96		11.3
94	9	La5b4	A5b4	354	354	1	8	417	99	96	yâ	11.4
95	9	Sol5	G5	349	349	1	8	417	95	96		11.5
96	9	Sol5	G5	349	349	1	4	833	95	96	rim  	11.7
97	9	Es	Es	-1	-1	1	4	833	100	0		11.9
98	9	Es	Es	-1	-1	1	8	417	100	0		12.0
99	9	Do5	C5	318	318	3	8	1250	95	96	Yü	12.3
100	9	Sol5	G5	349	349	3	16	625	99	96	zün	12.45
101	9	Mi5b5	E5b5	331	331	1	16	208	95	96		12.5
102	9	Re5	D5	327	327	1	8	417	99	96	de 	12.6
103	9	Mi5b5	E5b5	331	331	1	8	417	95	96		12.7
104	9	Sol5	G5	349	349	1	8	417	99	96	göz 	12.8
105	9	Fa5	F5	340	340	1	4	833	67	96		13.0
106	9	Mi5b5	E5b5	331	331	3	16	625	99	96	i	13.15
107	9	Re5	D5	327	327	1	16	208	99	96		13.2
108	9	Do5	C5	318	318	1	8	417	95	96		13.3
109	9	Si4b5	B4b5	309	309	1	8	417	99	96	zi 	13.4
110	9	Re5	D5	327	327	1	8	417	95	96		13.5
111	9	Do5	C5	318	318	1	8	417	99	96	var 	13.6
112	9	Re5	D5	327	327	1	8	417	99	96		13.7
113	9	Si4b5	B4b5	309	309	1	8	417	99	96		13.8
114	9	La4b5	A4b5	300	300	1	8	417	99	96		13.9
115	9	Sol4	G4	296	296	1	8	417	95	96		14.0
116	9	Re5	D5	327	327	3	8	1250	95	96	sa	14.3
117	9	Mi5b5	E5b5	331	331	1	16	208	99	96	na 	14.35
118	9	Re5	D5	327	327	1	16	208	99	96		14.4
119	9	Do5	C5	318	318	1	8	417	95	96		14.5
120	9	Si4b5	B4b5	309	309	1	8	417	99	96	kim 	14.6
121	9	La4b5	A4b5	300	300	1	8	417	95	96		14.7
122	9	Sol4	G4	296	296	1	8	417	99	96	bak	14.8
123	9	La4b5	A4b5	300	300	1	8	417	99	96		14.9
124	9	Si4b5	B4b5	309	309	1	8	417	95	96		15.0
125	9	Mi5b5	E5b5	331	331	1	8	417	99	96	tı 	15.1
126	9	Re5	D5	327	327	1	8	417	99	96		15.2
127	9	Do5	C5	318	318	1	8	417	95	96		15.3
128	9	Si4b5	B4b5	309	309	1	8	417	99	96	yâ	15.4
129	9	La4b5	A4b5	300	300	1	8	417	95	96		15.5
130	9	Sol4	G4	296	296	1	4	833	95	96	rim  	15.7
131	9	Sol5	G5	349	349	1	4	833	95	96	SAZ	15.9
132	9	Es	Es	-1	-1	1	8	417	100	0		16.0
133	9	Do5	C5	318	318	3	8	1250	95	96	Yü	16.3
134	9	Sol5	G5	349	349	3	16	625	99	96	zün	16.45
135	9	Mi5b5	E5b5	331	331	1	16	208	95	96		16.5
136	9	Re5	D5	327	327	1	8	417	99	96	de 	16.6
137	9	Mi5b5	E5b5	331	331	1	8	417	95	96		16.7
138	9	Sol5	G5	349	349	1	8	417	99	96	göz 	16.8
139	9	Fa5	F5	340	340	1	4	833	67	96		17.0
140	9	Mi5b5	E5b5	331	331	3	16	625	99	96	i	17.15
141	9	Re5	D5	327	327	1	16	208	99	96		17.2
142	9	Do5	C5	318	318	1	8	417	95	96		17.3
143	9	Si4b5	B4b5	309	309	1	8	417	99	96	zi 	17.4
144	9	Re5	D5	327	327	1	8	417	95	96		17.5
145	9	Do5	C5	318	318	1	8	417	99	96	var 	17.6
146	9	Re5	D5	327	327	1	8	417	99	96		17.7
147	9	Si4b5	B4b5	309	309	1	8	417	99	96		17.8
148	9	La4b5	A4b5	300	300	1	8	417	99	96		17.9
149	9	Sol4	G4	296	296	1	8	417	95	96		18.0
150	9	Re5	D5	327	327	3	8	1250	95	96	sa	18.3
151	9	Mi5b5	E5b5	331	331	1	16	208	99	96	na 	18.35
152	9	Re5	D5	327	327	1	16	208	99	96		18.4
153	9	Do5	C5	318	318	1	8	417	95	96		18.5
154	9	Si4b5	B4b5	309	309	1	8	417	99	96	kim 	18.6
155	9	La4b5	A4b5	300	300	1	8	417	95	96		18.7
156	9	Sol4	G4	296	296	1	8	417	99	96	bak	18.8
157	9	La4b5	A4b5	300	300	1	8	417	99	96		18.9
158	9	Si4b5	B4b5	309	309	1	8	417	95	96		19.0
159	9	Mi5b5	E5b5	331	331	1	8	417	99	96	tı 	19.1
160	9	Re5	D5	327	327	1	8	417	99	96		19.2
161	9	Do5	C5	318	318	1	8	417	95	96		19.3
162	9	Si4b5	B4b5	309	309	1	8	417	99	96	yâ	19.4
163	9	La4b5	A4b5	300	300	1	8	417	95	96		19.5
164	9	Sol4	G4	296	296	1	4	833	95	96	rim  	19.7
165	9	Si5b5	B5b5	362	362	3	8	1250	95	96	SAZ	20.0
166	9	Si5b5	B5b5	362	362	3	8	1250	95	96	Kal	20.3
167	9	Si5b5	B5b5	362	362	1	8	417	99	96	bin	20.4
168	9	La5	A5	358	358	1	8	417	95	96		20.5
169	9	Si5b5	B5b5	362	362	1	16	208	99	96	de 	20.55
170	9	La5	A5	358	358	1	16	208	99	96		20.6
171	9	Si5b5	B5b5	362	362	1	16	208	99	96		20.65
172	9	Do6	C6	371	371	1	16	208	95	96		20.7
173	9	Re6	D6	380	380	3	8	1250	95	96	aşk 	21.0
174	9	Do6	C6	371	371	1	8	417	99	96	i	21.1
175	9	Si5b5	B5b5	362	362	1	8	417	99	96		21.2
176	9	La5b1	A5b1	357	357	1	8	417	95	96		21.3
177	9	Sol5	G5	349	349	1	8	417	99	96	zi 	21.4
178	9	Si5b5	B5b5	362	362	1	8	417	95	96		21.5
179	9	La5b1	A5b1	357	357	1	8	417	99	96	var 	21.6
180	9	Sol5	G5	349	349	1	8	417	99	96		21.7
181	9	Fa5	F5	340	340	3	16	625	99	96		21.85
182	9	Mi5b1	E5b1	335	335	1	16	208	99	96		21.9
183	9	Re5	D5	327	327	1	8	417	95	96		22.0
184	9	Mi5b1	E5b1	335	335	1	8	417	99	96	se	22.1
185	9	Fa5	F5	340	340	1	8	417	99	96		22.2
186	9	Sol5	G5	349	349	1	8	417	95	96		22.3
187	9	Do6	C6	371	371	1	8	417	99	96	ni 	22.4
188	9	Si5b1	B5b1	366	366	1	8	417	95	96		22.5
189	9	La5b4	A5b4	354	354	1	8	417	99	96	kim 	22.6
190	9	Sol5	G5	349	349	1	8	417	95	96		22.7
191	9	Fa5	F5	340	340	1	8	417	99	96	yak	22.8
192	9	Mi5b1	E5b1	335	335	1	8	417	99	96		22.9
193	9	Fa5	F5	340	340	1	8	417	95	96		23.0
194	9	Sol5	G5	349	349	1	8	417	99	96	tı 	23.1
195	9	La5	A5	358	358	1	8	417	99	96		23.2
196	9	Fa5	F5	340	340	1	8	417	95	96		23.3
197	9	Mi5b1	E5b1	335	335	1	8	417	99	96	yâ	23.4
198	9	Re5	D5	327	327	1	8	417	95	96		23.5
199	9	Re5	D5	327	327	1	4	833	95	96	rim  	23.7
200	9	Si5b5	B5b5	362	362	3	8	1250	95	96	SAZ	24.0
201	9	Si5b5	B5b5	362	362	3	8	1250	95	96	Kal	24.3
202	9	Si5b5	B5b5	362	362	1	8	417	99	96	bin	24.4
203	9	La5	A5	358	358	1	8	417	95	96		24.5
204	9	Si5b5	B5b5	362	362	1	16	208	99	96	de 	24.55
205	9	La5	A5	358	358	1	16	208	99	96		24.6
206	9	Si5b5	B5b5	362	362	1	16	208	99	96		24.65
207	9	Do6	C6	371	371	1	16	208	95	96		24.7
208	9	Re6	D6	380	380	3	8	1250	95	96	aşk 	25.0
209	9	Do6	C6	371	371	1	8	417	99	96	i	25.1
210	9	Si5b5	B5b5	362	362	1	8	417	99	96		25.2
211	9	La5b1	A5b1	357	357	1	8	417	95	96		25.3
212	9	Sol5	G5	349	349	1	8	417	99	96	zi 	25.4
213	9	Si5b5	B5b5	362	362	1	8	417	95	96		25.5
214	9	La5b1	A5b1	357	357	1	8	417	99	96	var 	25.6
215	9	Sol5	G5	349	349	1	8	417	99	96		25.7
216	9	Fa5	F5	340	340	3	16	625	99	96		25.85
217	9	Mi5b1	E5b1	335	335	1	16	208	99	96		25.9
218	9	Re5	D5	327	327	1	8	417	95	96		26.0
219	9	Mi5b1	E5b1	335	335	1	8	417	99	96	se	26.1
220	9	Fa5	F5	340	340	1	8	417	99	96		26.2
221	9	Sol5	G5	349	349	1	8	417	95	96		26.3
222	9	Do6	C6	371	371	1	8	417	99	96	ni 	26.4
223	9	Si5b1	B5b1	366	366	1	8	417	95	96		26.5
224	9	La5b4	A5b4	354	354	1	8	417	99	96	kim 	26.6
225	9	Sol5	G5	349	349	1	8	417	95	96		26.7
226	9	Fa5	F5	340	340	1	8	417	99	96	yak	26.8
227	9	Mi5b1	E5b1	335	335	1	8	417	99	96		26.9
228	9	Fa5	F5	340	340	1	8	417	95	96		27.0
229	9	Sol5	G5	349	349	1	8	417	99	96	tı 	27.1
230	9	La5	A5	358	358	1	8	417	99	96		27.2
231	9	Fa5	F5	340	340	1	8	417	95	96		27.3
232	9	Mi5b1	E5b1	335	335	1	8	417	99	96	yâ	27.4
233	9	Re5	D5	327	327	1	8	417	95	96		27.5
234	9	Re5	D5	327	327	1	4	833	95	96	rim  	27.7
235	9	Do5	C5	318	318	1	16	208	95	96	SAZ	27.75
236	9	Re5	D5	327	327	1	16	208	95	96	.	27.8
237	9	Mi5b1	E5b1	335	335	1	16	208	95	96	.	27.85
238	9	Fa5	F5	340	340	1	16	208	95	96	.	27.9
239	9	Sol5	G5	349	349	1	8	417	95	96	.	28.0
240	9	Do5	C5	318	318	3	8	1250	95	96	Yü	28.3
241	9	Sol5	G5	349	349	3	16	625	99	96	zün	28.45
242	9	Mi5b5	E5b5	331	331	1	16	208	95	96		28.5
243	9	Re5	D5	327	327	1	8	417	99	96	de 	28.6
244	9	Mi5b5	E5b5	331	331	1	8	417	95	96		28.7
245	9	Sol5	G5	349	349	1	8	417	99	96	göz 	28.8
246	9	Fa5	F5	340	340	1	4	833	67	96		29.0
247	9	Mi5b5	E5b5	331	331	3	16	625	99	96	i	29.15
248	9	Re5	D5	327	327	1	16	208	99	96		29.2
249	9	Do5	C5	318	318	1	8	417	95	96		29.3
250	9	Si4b5	B4b5	309	309	1	8	417	99	96	zi 	29.4
251	9	Re5	D5	327	327	1	8	417	95	96		29.5
252	9	Do5	C5	318	318	1	8	417	99	96	var 	29.6
253	9	Re5	D5	327	327	1	8	417	99	96		29.7
254	9	Si4b5	B4b5	309	309	1	8	417	99	96		29.8
255	9	La4b5	A4b5	300	300	1	8	417	99	96		29.9
256	9	Sol4	G4	296	296	1	8	417	95	96		30.0
257	9	Re5	D5	327	327	3	8	1250	95	96	sa	30.3
258	9	Mi5b5	E5b5	331	331	1	16	208	99	96	na 	30.35
259	9	Re5	D5	327	327	1	16	208	99	96		30.4
260	9	Do5	C5	318	318	1	8	417	95	96		30.5
261	9	Si4b5	B4b5	309	309	1	8	417	99	96	kim 	30.6
262	9	La4b5	A4b5	300	300	1	8	417	95	96		30.7
263	9	Sol4	G4	296	296	1	8	417	99	96	bak	30.8
264	9	La4b5	A4b5	300	300	1	8	417	99	96		30.9
265	9	Si4b5	B4b5	309	309	1	8	417	95	96		31.0
266	9	Mi5b5	E5b5	331	331	1	8	417	99	96	tı 	31.1
267	9	Re5	D5	327	327	1	8	417	99	96		31.2
268	9	Do5	C5	318	318	1	8	417	95	96		31.3
269	9	Si4b5	B4b5	309	309	1	8	417	99	96	yâ	31.4
270	9	La4b5	A4b5	300	300	1	8	417	95	96		31.5
271	9	Sol4	G4	296	296	1	4	833	95	96	rim  	31.7
272	9	Sol5	G5	349	349	1	4	833	95	96	SAZ	31.9
273	9	Es	Es	-1	-1	1	8	417	100	0		32.0
274	9	Do5	C5	318	318	3	8	1250	95	96	Yü	32.3
275	9	Sol5	G5	349	349	3	16	625	99	96	zün	32.45
276	9	Mi5b5	E5b5	331	331	1	16	208	95	96		32.5
277	9	Re5	D5	327	327	1	8	417	99	96	de 	32.6
278	9	Mi5b5	E5b5	331	331	1	8	417	95	96		32.7
279	9	Sol5	G5	349	349	1	8	417	99	96	göz 	32.8
280	9	Fa5	F5	340	340	1	4	833	67	96		33.0
281	9	Mi5b5	E5b5	331	331	3	16	625	99	96	i	33.15
282	9	Re5	D5	327	327	1	16	208	99	96		33.2
283	9	Do5	C5	318	318	1	8	417	95	96		33.3
284	9	Si4b5	B4b5	309	309	1	8	417	99	96	zi 	33.4
