Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Es	Es	-1	-1	1	4	667	100	0		0.2
2	9	Si5b5	B5b5	362	362	1	8	333	99	96	Bit	0.3
3	9	La5b1	A5b1	357	357	1	8	333	99	96		0.4
4	9	Sol5	G5	349	349	1	8	333	99	96		0.5
5	9	La5b5	A5b5	353	353	1	8	333	99	96		0.6
6	9	Sol5	G5	349	349	1	8	333	99	96		0.7
7	9	Si5b5	B5b5	362	362	1	8	333	99	96		0.8
8	9	La5b5	A5b5	353	353	1	8	333	99	96		0.9
9	8	Si5b5	B5b5	362	362	0	0	0	99	96		0.9
10	9	La5b5	A5b5	353	353	1	16	167	99	96		0.95
11	9	Sol5	G5	349	349	1	16	167	95	96		1.0
12	9	Sol5	G5	349	349	5	4	3334	95	96	mez 	2.0
13	9	Es	Es	-1	-1	1	4	667	99	0		2.2
14	9	Fa5	F5	340	340	1	8	333	95	96	tü	2.3
15	9	Sol5	G5	349	349	1	8	333	99	96	ken	2.4
16	9	Mi5b5	E5b5	331	331	1	8	333	99	96		2.5
17	9	Re5	D5	327	327	1	8	333	99	96		2.6
18	9	Do5	C5	318	318	1	8	333	99	96		2.7
19	9	Si4b5	B4b5	309	309	1	8	333	99	96		2.8
20	9	La4b5	A4b5	300	300	1	8	333	99	96		2.9
21	8	Si4b5	B4b5	309	309	0	0	0	99	96		2.9
22	9	La4b5	A4b5	300	300	1	16	167	99	96		2.95
23	9	Sol4	G4	296	296	1	16	167	95	96		3.0
24	9	Sol4	G4	296	296	5	8	1667	95	96	mez 	3.5
25	9	Re5	D5	327	327	1	16	167	99	96	bu 	3.55
26	9	Do5	C5	318	318	1	16	167	99	96		3.6
27	9	Si4b1	B4b1	313	313	1	16	167	99	96		3.65
28	9	Do5	C5	318	318	1	16	167	95	96		3.7
29	9	Re5	D5	327	327	3	8	1000	95	96	dert 	4.0
30	9	Es	Es	-1	-1	1	4	667	99	0		4.2
31	9	Si4b1	B4b1	313	313	1	8	333	95	96	tü	4.3
32	9	Do5	C5	318	318	1	8	333	99	96	ken	4.4
33	9	Re5	D5	327	327	1	8	333	95	96		4.5
34	9	Mi5b1	E5b1	335	335	1	8	333	99	96	mez 	4.6
35	9	Fa5	F5	340	340	1	8	333	99	96		4.7
36	9	Sol5	G5	349	349	1	8	333	99	96		4.8
37	9	La5b5	A5b5	353	353	1	8	333	99	96		4.9
38	9	Sol5	G5	349	349	1	8	333	95	96		5.0
39	9	La5b5	A5b5	353	353	1	8	333	99	96	bu 	5.1
40	9	Sol5	G5	349	349	1	8	333	99	96		5.2
41	9	La5b5	A5b5	353	353	1	8	333	99	96		5.3
42	9	Sol5	G5	349	349	1	8	333	99	96		5.4
43	9	La5b5	A5b5	353	353	1	8	333	95	96		5.5
44	9	La5b5	A5b5	353	353	1	16	167	99	96	dert 	5.55
45	9	Sol5	G5	349	349	1	16	167	99	96		5.6
46	9	Fa5	F5	340	340	1	16	167	99	96		5.65
47	9	Mi5b1	E5b1	335	335	1	16	167	99	96		5.7
48	9	Fa5	F5	340	340	3	8	1000	95	96		6.0
49	9	Es	Es	-1	-1	1	4	667	99	0		6.2
50	9	Si5b5	B5b5	362	362	1	8	333	95	96	ö	6.3
51	9	Si5b5	B5b5	362	362	1	8	333	99	96	mür 	6.4
52	9	La5b1	A5b1	357	357	1	8	333	95	96		6.5
53	9	La5b1	A5b1	357	357	1	8	333	99	96	di	6.6
54	9	Sol5	G5	349	349	1	8	333	95	96		6.7
55	9	Sol5	G5	349	349	1	8	333	99	96	yor	6.8
56	9	La5b1	A5b1	357	357	1	8	333	99	96		6.9
57	9	Si5b5	B5b5	362	362	1	8	333	95	96		7.0
58	9	La5b1	A5b1	357	357	1	8	333	99	96	lar 	7.1
59	9	Sol5	G5	349	349	1	8	333	99	96		7.2
60	9	Si5b5	B5b5	362	362	1	8	333	95	96		7.3
61	9	La5b5	A5b5	353	353	1	8	333	99	96	bu	7.4
62	9	Sol5	G5	349	349	1	8	333	95	96		7.5
63	9	Sol5	G5	349	349	5	8	1667	95	96	na 	8.0
64	9	Sol5	G5	349	349	3	16	500	95	96	SAZ	8.15
65	9	Fa5	F5	340	340	1	16	167	95	96	.	8.2
66	9	Mi5b5	E5b5	331	331	1	8	333	95	96	.	8.3
67	9	Re5	D5	327	327	1	8	333	95	96	.	8.4
68	9	Do5	C5	318	318	1	8	333	95	96	.	8.5
69	9	Si4b5	B4b5	309	309	1	8	333	95	96	.	8.6
70	9	La4b5	A4b5	300	300	1	8	333	95	96	.	8.7
71	9	Sol4	G4	296	296	3	8	1000	95	96	.	9.0
72	9	Es	Es	-1	-1	1	4	667	100	0		9.2
73	9	Si5b5	B5b5	362	362	1	8	333	99	96	Bit	9.3
74	9	La5b1	A5b1	357	357	1	8	333	99	96		9.4
75	9	Sol5	G5	349	349	1	8	333	99	96		9.5
76	9	La5b5	A5b5	353	353	1	8	333	99	96		9.6
77	9	Sol5	G5	349	349	1	8	333	99	96		9.7
78	9	Si5b5	B5b5	362	362	1	8	333	99	96		9.8
79	9	La5b5	A5b5	353	353	1	8	333	99	96		9.9
80	8	Si5b5	B5b5	362	362	0	0	0	99	96		9.9
81	9	La5b5	A5b5	353	353	1	16	167	99	96		9.95
82	9	Sol5	G5	349	349	1	16	167	95	96		10.0
83	9	Sol5	G5	349	349	5	4	3334	95	96	mez 	11.0
84	9	Es	Es	-1	-1	1	4	667	99	0		11.2
85	9	Fa5	F5	340	340	1	8	333	95	96	tü	11.3
86	9	Sol5	G5	349	349	1	8	333	99	96	ken	11.4
87	9	Mi5b5	E5b5	331	331	1	8	333	99	96		11.5
88	9	Re5	D5	327	327	1	8	333	99	96		11.6
89	9	Do5	C5	318	318	1	8	333	99	96		11.7
90	9	Si4b5	B4b5	309	309	1	8	333	99	96		11.8
91	9	La4b5	A4b5	300	300	1	8	333	99	96		11.9
92	8	Si4b5	B4b5	309	309	0	0	0	99	96		11.9
93	9	La4b5	A4b5	300	300	1	16	167	99	96		11.95
94	9	Sol4	G4	296	296	1	16	167	95	96		12.0
95	9	Sol4	G4	296	296	5	8	1667	95	96	mez 	12.5
96	9	Re5	D5	327	327	1	16	167	99	96	bu 	12.55
97	9	Do5	C5	318	318	1	16	167	99	96		12.6
98	9	Si4b1	B4b1	313	313	1	16	167	99	96		12.65
99	9	Do5	C5	318	318	1	16	167	95	96		12.7
100	9	Re5	D5	327	327	3	8	1000	95	96	dert 	13.0
101	9	Es	Es	-1	-1	1	4	667	99	0		13.2
102	9	Si4b1	B4b1	313	313	1	8	333	95	96	tü	13.3
103	9	Do5	C5	318	318	1	8	333	99	96	ken	13.4
104	9	Re5	D5	327	327	1	8	333	95	96		13.5
105	9	Mi5b1	E5b1	335	335	1	8	333	99	96	mez 	13.6
106	9	Fa5	F5	340	340	1	8	333	99	96		13.7
107	9	Sol5	G5	349	349	1	8	333	99	96		13.8
108	9	La5b5	A5b5	353	353	1	8	333	99	96		13.9
109	9	Sol5	G5	349	349	1	8	333	95	96		14.0
110	9	La5b5	A5b5	353	353	1	8	333	99	96	bu 	14.1
111	9	Sol5	G5	349	349	1	8	333	99	96		14.2
112	9	La5b5	A5b5	353	353	1	8	333	99	96		14.3
113	9	Sol5	G5	349	349	1	8	333	99	96		14.4
114	9	La5b5	A5b5	353	353	1	8	333	95	96		14.5
115	9	La5b5	A5b5	353	353	1	16	167	99	96	dert 	14.55
116	9	Sol5	G5	349	349	1	16	167	99	96		14.6
117	9	Fa5	F5	340	340	1	16	167	99	96		14.65
118	9	Mi5b1	E5b1	335	335	1	16	167	99	96		14.7
119	9	Fa5	F5	340	340	3	8	1000	95	96		15.0
120	9	Es	Es	-1	-1	1	4	667	99	0		15.2
121	9	Si5b5	B5b5	362	362	1	8	333	95	96	ö	15.3
122	9	Si5b5	B5b5	362	362	1	8	333	99	96	mür 	15.4
123	9	La5b1	A5b1	357	357	1	8	333	95	96		15.5
124	9	La5b1	A5b1	357	357	1	8	333	99	96	di	15.6
125	9	Sol5	G5	349	349	1	8	333	95	96		15.7
126	9	Sol5	G5	349	349	1	8	333	99	96	yor	15.8
127	9	La5b1	A5b1	357	357	1	8	333	99	96		15.9
128	9	Si5b5	B5b5	362	362	1	8	333	95	96		16.0
129	9	La5b1	A5b1	357	357	1	8	333	99	96	lar 	16.1
130	9	Sol5	G5	349	349	1	8	333	99	96		16.2
131	9	Si5b5	B5b5	362	362	1	8	333	95	96		16.3
132	9	La5b5	A5b5	353	353	1	8	333	99	96	bu	16.4
133	9	Sol5	G5	349	349	1	8	333	95	96		16.5
134	9	Sol5	G5	349	349	5	8	1667	95	96	na 	17.0
135	9	Sol5	G5	349	349	3	16	500	95	96	SAZ	17.15
136	9	Fa5	F5	340	340	1	16	167	95	96	.	17.2
137	9	Mi5b5	E5b5	331	331	1	8	333	95	96	.	17.3
