Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol5	G5	349	349	1	4	952	95	96	Gö	0.25
2	9	Sol5	G5	349	349	1	8	476	95	96	ze	0.375
3	9	Sol5	G5	349	349	1	4	952	95	96	dir 	0.625
4	9	Sol5	G5	349	349	1	16	238	99	96	yümn_	0.6875
5	9	La5	A5	358	358	1	16	238	99	96		0.75
6	9	Sol5	G5	349	349	1	8	476	99	96		0.875
7	9	Fa5	F5	340	340	1	16	238	99	96		0.9375
8	9	Mi5b2	E5b1	334	335	1	16	238	95	96		1.0
9	9	La5	A5	358	358	1	8	476	99	96	i	1.125
10	9	Sol5	G5	349	349	1	8	476	95	96		1.25
11	9	Fa5	F5	340	340	1	8	476	95	96	le 	1.375
12	9	Fa5	F5	340	340	1	16	238	99	96	teş	1.4375
13	9	Mi5b2	E5b1	334	335	1	16	238	99	96		1.5
14	9	Mi5b2	E5b1	334	335	1	16	238	99	96		1.5625
15	9	Re5	D5	327	327	1	16	238	95	96		1.625
16	9	Re5	D5	327	327	1	16	238	99	96	rî	1.6875
17	9	Do5	C5	318	318	1	16	238	99	96		1.75
18	9	Do5	C5	318	318	1	16	238	99	96		1.8125
19	9	Si4b2	B4b1	312	313	1	16	238	99	96		1.875
20	9	Do5	C5	318	318	1	8	476	95	96		2.0
21	9	Fa5	F5	340	340	1	8	476	99	96	fi	2.125
22	9	Mi5b2	E5b1	334	335	1	8	476	95	96		2.25
23	9	Re5	D5	327	327	1	8	476	95	96	ni 	2.375
24	9	Mi5b2	E5b1	334	335	1	16	238	99	96	her 	2.4375
25	9	Fa5	F5	340	340	1	16	238	99	96		2.5
26	9	Mi5b2	E5b1	334	335	1	16	238	99	96		2.5625
27	9	Fa5	F5	340	340	1	16	238	95	96		2.625
28	9	Sol5	G5	349	349	1	16	238	99	96	dî	2.6875
29	9	La5b5	A5b5	353	353	1	16	238	99	96		2.75
30	9	Sol5	G5	349	349	1	16	238	99	96		2.8125
31	9	La5b5	A5b5	353	353	1	16	238	99	96		2.875
32	9	Sol5	G5	349	349	1	16	238	99	96		2.9375
33	9	Fa5	F5	340	340	1	16	238	95	96		3.0
34	9	Sol5	G5	349	349	1	16	238	99	96	de 	3.0625
35	9	La5b5	A5b5	353	353	1	16	238	99	96		3.125
