Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Fa5	F5	340	340	1	4	1000	95	96		0.25
2	9	Sol5	G5	349	349	1	4	1000	95	96		0.5
3	9	Sol5	G5	349	349	1	4	1000	95	96		0.75
4	9	La5	A5	358	358	1	4	1000	95	96		1.0
5	9	Si5b5	B5b5	362	362	3	16	750	95	96		1.1875
6	9	La5	A5	358	358	1	16	250	95	96		1.25
7	9	La5	A5	358	358	1	16	250	95	96		1.3125
8	9	Sol5	G5	349	349	1	16	250	95	96		1.375
9	9	Sol5	G5	349	349	1	16	250	95	96		1.4375
10	9	Fa5#4	F5#4	344	344	1	16	250	95	96		1.5
11	9	Sol5	G5	349	349	1	2	2000	95	96		2.0
12	9	Fa5#4	F5#4	344	344	1	8	500	95	96		2.125
13	9	Sol5	G5	349	349	1	8	500	95	96		2.25
14	9	La5	A5	358	358	1	8	500	95	96		2.375
15	9	Si5b5	B5b5	362	362	1	8	500	95	96		2.5
16	9	La5	A5	358	358	1	8	500	95	96		2.625
17	9	Sol5	G5	349	349	1	8	500	95	96		2.75
18	9	Sol5	G5	349	349	1	8	500	95	96		2.875
19	9	Fa5#4	F5#4	344	344	1	8	500	95	96		3.0
20	9	Fa5#4	F5#4	344	344	3	16	750	95	96		3.1875
21	9	Mi5b4	E5b4	332	332	1	16	250	95	96		3.25
22	9	Fa5#4	F5#4	344	344	1	16	250	95	96		3.3125
23	9	Mi5b4	E5b4	332	332	1	16	250	95	96		3.375
24	9	Mi5b4	E5b4	332	332	1	16	250	95	96		3.4375
25	9	Re5	D5	327	327	1	16	250	95	96		3.5
26	9	Re5	D5	327	327	1	4	1000	95	96		3.75
27	9	Do5	C5	318	318	1	16	250	95	96		3.8125
28	9	Re5	D5	327	327	1	16	250	95	96		3.875
29	9	Mi5b2	E5b1	334	335	1	16	250	95	96		3.9375
30	9	Fa5	F5	340	340	1	16	250	95	96		4.0
31	9	Sol5	G5	349	349	1	4	1000	95	96		4.25
32	9	Fa5	F5	340	340	1	8	500	95	96		4.375
33	9	Sol5	G5	349	349	1	8	500	95	96		4.5
34	9	Sol5	G5	349	349	1	4	1000	95	96		4.75
35	9	Sol5	G5	349	349	1	8	500	95	96		4.875
36	9	Fa5	F5	340	340	1	8	500	95	96		5.0
37	9	Fa5	F5	340	340	1	8	500	95	96		5.125
38	9	La5b5	A5b5	353	353	1	8	500	95	96		5.25
39	9	Sol5	G5	349	349	1	8	500	95	96		5.375
40	9	Fa5	F5	340	340	1	8	500	95	96		5.5
41	9	Fa5	F5	340	340	1	16	250	95	96		5.5625
42	9	Mi5b5	E5b5	331	331	1	16	250	95	96		5.625
43	9	Mi5b5	E5b5	331	331	1	16	250	95	96		5.6875
44	9	Re5	D5	327	327	1	16	250	95	96		5.75
45	9	Mi5b5	E5b5	331	331	1	4	1000	95	96		6.0
46	9	Es	Es	-1	-1	1	4	1000	100	0		6.25
47	9	Re5	D5	327	327	1	8	500	95	96		6.375
48	9	Mi5b5	E5b5	331	331	1	8	500	95	96		6.5
49	9	Fa5	F5	340	340	1	8	500	95	96		6.625
50	9	La5b5	A5b5	353	353	1	8	500	95	96		6.75
51	9	Sol5	G5	349	349	1	8	500	95	96		6.875
52	9	Fa5	F5	340	340	1	8	500	95	96		7.0
53	9	Fa5	F5	340	340	3	16	750	95	96		7.1875
54	9	Mi5b5	E5b5	331	331	1	16	250	95	96		7.25
55	9	Fa5	F5	340	340	1	16	250	95	96		7.3125
56	9	Mi5b5	E5b5	331	331	1	16	250	95	96		7.375
57	9	Mi5b5	E5b5	331	331	1	16	250	95	96		7.4375
58	9	Re5	D5	327	327	1	16	250	95	96		7.5
59	9	Re5	D5	327	327	1	2	2000	95	96		8.0
60	9	Es	Es	-1	-1	1	4	1000	100	0		8.25
61	9	Re5	D5	327	327	1	8	500	95	96		8.375
62	9	Mi5b5	E5b5	331	331	1	8	500	95	96		8.5
63	9	Do5	C5	318	318	1	4	1000	95	96		8.75
64	9	Sol5	G5	349	349	1	4	1000	95	96		9.0
65	9	Fa5	F5	340	340	1	8	500	95	96		9.125
66	9	La5b5	A5b5	353	353	1	8	500	95	96		9.25
67	9	Sol5	G5	349	349	1	8	500	95	96		9.375
68	9	Fa5	F5	340	340	1	8	500	95	96		9.5
69	9	Mi5b5	E5b5	331	331	1	8	500	95	96		9.625
70	9	Re5	D5	327	327	1	8	500	95	96		9.75
71	9	Do5	C5	318	318	1	8	500	95	96		9.875
72	9	Si4b5	B4b5	309	309	1	8	500	95	96		10.0
73	9	Do5	C5	318	318	1	8	500	95	96		10.125
74	9	Mi5b5	E5b5	331	331	1	8	500	95	96		10.25
75	9	Re5	D5	327	327	1	8	500	95	96		10.375
76	9	Do5	C5	318	318	1	8	500	95	96		10.5
77	9	Si4b5	B4b5	309	309	1	8	500	95	96		10.625
78	9	La4b5	A4b5	300	300	1	8	500	95	96		10.75
79	9	Sol4	G4	296	296	1	8	500	95	96		10.875
80	9	Fa4	F4	287	287	1	8	500	95	96		11.0
81	9	Do5	C5	318	318	3	8	1500	95	96		11.375
82	9	Si4b5	B4b5	309	309	1	8	500	95	96		11.5
83	9	Do5	C5	318	318	1	16	250	95	96		11.5625
84	9	Mi5b5	E5b5	331	331	1	16	250	95	96		11.625
85	9	Re5	D5	327	327	1	16	250	95	96		11.6875
86	9	Do5	C5	318	318	1	16	250	95	96		11.75
