Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol5	G5	349	349	1	8	294	95	96	1. HANE	0.125000
2	9	Sol5	G5	349	349	1	4	588	95	96		0.375000
3	9	La5	A5	358	358	1	8	294	95	96		0.500000
4	9	Sol5	G5	349	349	1	4	588	95	96		0.750000
5	9	La5	A5	358	358	1	8	294	95	96		0.875000
6	9	Mi5	E5	336	336	1	8	294	95	96		1.000000
7	9	Sol5	G5	349	349	1	8	294	95	96		1.125000
8	9	Sol5	G5	349	349	1	4	588	95	96		1.375000
9	9	La5	A5	358	358	1	8	294	95	96		1.500000
10	9	Sol5	G5	349	349	1	4	588	95	96		1.750000
11	9	Fa5#5	F5#5	345	345	1	8	294	95	96		1.875000
12	9	Mi5	E5	336	336	1	8	294	95	96		2.000000
13	9	Sol5	G5	349	349	1	8	294	95	96		2.125000
14	9	Sol5	G5	349	349	1	4	588	95	96		2.375000
15	9	La5	A5	358	358	1	8	294	95	96		2.500000
16	9	Sol5	G5	349	349	1	4	588	95	96		2.750000
17	9	La5	A5	358	358	1	4	588	95	96		3.000000
18	9	Fa5#5	F5#5	345	345	1	8	294	95	96		3.125000
19	9	Fa5#5	F5#5	345	345	1	8	294	95	96		3.250000
20	9	Sol5	G5	349	349	1	8	294	95	96		3.375000
21	9	Sol5	G5	349	349	1	8	294	95	96		3.500000
22	9	Mi5	E5	336	336	1	4	588	95	96		3.750000
23	9	Fa5#5	F5#5	345	345	1	4	588	95	96		4.000000
24	9	Re5	D5	327	327	1	8	294	95	96		4.125000
25	9	Re5	D5	327	327	1	8	294	95	96		4.250000
26	9	Mi5	E5	336	336	1	8	294	95	96		4.375000
27	9	Re5	D5	327	327	1	8	294	95	96		4.500000
28	9	Mi5	E5	336	336	1	4	588	95	96		4.750000
29	9	Fa5#5	F5#5	345	345	1	4	588	95	96		5.000000
30	9	Sol5	G5	349	349	1	8	294	95	96		5.125000
31	9	Fa5#5	F5#5	345	345	1	8	294	95	96		5.250000
32	9	Mi5	E5	336	336	1	8	294	95	96		5.375000
33	9	Fa5#5	F5#5	345	345	1	8	294	95	96		5.500000
34	9	Sol5	G5	349	349	3	8	882	95	96		5.875000
35	9	Es	Es	-1	-1	1	8	294	100	0		6.000000
36	9	Fa5#5	F5#5	345	345	1	8	294	95	96		6.125000
37	9	Sol5	G5	349	349	1	8	294	95	96		6.250000
38	9	La5	A5	358	358	1	8	294	95	96		6.375000
39	9	Si5	B5	367	367	1	8	294	95	96		6.500000
40	9	Si5	B5	367	367	1	8	294	95	96		6.625000
41	9	La5	A5	358	358	1	8	294	95	96		6.750000
42	9	Sol5	G5	349	349	1	4	588	95	96		7.000000
43	9	Fa5#5	F5#5	345	345	1	8	294	95	96		7.125000
44	9	Sol5	G5	349	349	1	8	294	95	96		7.250000
45	9	La5	A5	358	358	1	8	294	95	96		7.375000
46	9	Si5	B5	367	367	1	8	294	95	96		7.500000
47	9	Si5	B5	367	367	1	8	294	95	96		7.625000
48	9	La5	A5	358	358	1	8	294	95	96		7.750000
49	9	Sol5	G5	349	349	1	4	588	95	96		8.000000
50	9	Fa5#5	F5#5	345	345	1	8	294	95	96		8.125000
51	9	Sol5	G5	349	349	1	8	294	95	96		8.250000
52	9	La5	A5	358	358	1	8	294	95	96		8.375000
53	9	Si5	B5	367	367	1	8	294	95	96		8.500000
54	9	Si5	B5	367	367	1	8	294	95	96		8.625000
55	9	Sol5	G5	349	349	1	8	294	95	96		8.750000
56	9	La5	A5	358	358	1	8	294	95	96		8.875000
57	9	Fa5#5	F5#5	345	345	1	8	294	95	96		9.000000
58	9	Sol5	G5	349	349	1	8	294	95	96		9.125000
59	9	La5	A5	358	358	1	8	294	95	96		9.250000
60	9	Sol5	G5	349	349	1	8	294	95	96		9.375000
61	9	La5	A5	358	358	1	8	294	95	96		9.500000
62	9	Sol5	G5	349	349	3	8	882	95	96		9.875000
63	9	Es	Es	-1	-1	1	8	294	100	0		10.000000
64	9	Sol4	G4	296	296	1	8	294	95	96	TESLİM	10.125000
65	9	La4	A4	305	305	1	8	294	95	96		10.250000
66	9	Sol4	G4	296	296	1	8	294	95	96		10.375000
67	9	Si4	B4	314	314	1	8	294	95	96		10.500000
68	9	La4	A4	305	305	1	8	294	95	96		10.625000
69	9	Do5	C5	318	318	1	8	294	95	96		10.750000
70	9	Si4	B4	314	314	1	8	294	95	96		10.875000
71	9	Re5	D5	327	327	1	8	294	95	96		11.000000
72	9	Do5	C5	318	318	1	8	294	95	96		11.125000
73	9	Mi5	E5	336	336	1	8	294	95	96		11.250000
74	9	Re5	D5	327	327	1	8	294	95	96		11.375000
75	9	Fa5#5	F5#5	345	345	1	8	294	95	96		11.500000
76	9	Mi5	E5	336	336	1	8	294	95	96		11.625000
77	9	Sol5	G5	349	349	1	8	294	95	96		11.750000
78	9	Fa5#5	F5#5	345	345	1	8	294	95	96		11.875000
79	9	La5	A5	358	358	1	8	294	95	96		12.000000
80	9	Sol5	G5	349	349	1	8	294	95	96		12.125000
81	9	Si5	B5	367	367	1	8	294	95	96		12.250000
82	9	La5	A5	358	358	1	8	294	95	96		12.375000
83	9	Sol5	G5	349	349	1	8	294	95	96		12.500000
84	9	Fa5#5	F5#5	345	345	1	8	294	95	96		12.625000
85	9	Mi5	E5	336	336	1	8	294	95	96		12.750000
86	9	Re5	D5	327	327	1	8	294	95	96		12.875000
87	9	Do5#4	C5#4	322	322	1	8	294	95	96		13.000000
88	9	Re5	D5	327	327	1	8	294	95	96		13.125000
89	9	Mi5	E5	336	336	1	8	294	95	96		13.250000
90	9	Fa5#5	F5#5	345	345	1	8	294	95	96		13.375000
91	9	Sol5	G5	349	349	1	8	294	95	96		13.500000
92	9	Mi5	E5	336	336	1	8	294	95	96		13.625000
93	9	Fa5#5	F5#5	345	345	1	8	294	95	96		13.750000
94	9	Sol5	G5	349	349	1	8	294	95	96		13.875000
95	9	La5	A5	358	358	1	8	294	95	96		14.000000
96	9	Fa5#5	F5#5	345	345	1	8	294	95	96		14.125000
97	9	Sol5	G5	349	349	1	8	294	95	96		14.250000
98	9	La5	A5	358	358	1	8	294	95	96		14.375000
99	9	Si5	B5	367	367	1	8	294	95	96		14.500000
100	9	Si5	B5	367	367	1	8	294	95	96		14.625000
