Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol5	G5	349	349	3	16	750	95	96		0.166666666667
2	9	Fa5#5	F5#5	345	345	1	16	250	95	96		0.222222222222
3	9	Mi5	E5	336	336	1	8	500	95	96		0.333333333333
4	9	Fa5#5	F5#5	345	345	1	8	500	95	96		0.444444444444
5	9	Sol5	G5	349	349	1	4	1000	95	96		0.666666666667
6	9	La5	A5	358	358	3	8	1500	95	96		1.0
7	9	Sol5	G5	349	349	3	16	750	95	96		1.16666666667
8	9	Fa5#5	F5#5	345	345	1	16	250	95	96		1.22222222222
9	9	Sol5	G5	349	349	1	8	500	95	96		1.33333333333
10	9	La5	A5	358	358	1	8	500	95	96		1.44444444444
11	9	Sol5	G5	349	349	1	8	500	95	96		1.55555555556
12	9	Fa5#5	F5#5	345	345	1	8	500	95	96		1.66666666667
13	9	Mi5	E5	336	336	3	8	1500	95	96		2.0
14	9	Fa5#5	F5#5	345	345	1	8	500	95	96		2.11111111111
15	9	Mi5	E5	336	336	1	16	250	95	96		2.16666666667
16	9	Fa5#5	F5#5	345	345	1	16	250	95	96		2.22222222222
17	9	Sol5	G5	349	349	1	8	500	95	96		2.33333333333
18	9	Fa5#5	F5#5	345	345	1	16	250	95	96		2.38888888889
19	9	Mi5	E5	336	336	1	16	250	95	96		2.44444444444
20	9	Re5	D5	327	327	1	4	1000	95	96		2.66666666667
21	9	Do6	C6	371	371	1	4	1000	95	96		2.88888888889
22	9	Si5	B5	367	367	1	16	250	95	96		2.94444444444
23	9	La5	A5	358	358	1	16	250	95	96		3.0
24	9	Sol5	G5	349	349	3	16	750	95	96		3.16666666667
25	9	Fa5#5	F5#5	345	345	1	16	250	95	96		3.22222222222
26	9	Mi5	E5	336	336	1	8	500	95	96		3.33333333333
27	9	Fa5#5	F5#5	345	345	1	8	500	95	96		3.44444444444
28	9	Sol5	G5	349	349	1	4	1000	95	96		3.66666666667
29	9	La5	A5	358	358	3	8	1500	95	96		4.0
30	9	Sol5	G5	349	349	3	16	750	95	96		4.16666666667
31	9	Fa5#5	F5#5	345	345	1	16	250	95	96		4.22222222222
32	9	Sol5	G5	349	349	1	8	500	95	96		4.33333333333
33	9	La5	A5	358	358	1	8	500	95	96		4.44444444444
34	9	Sol5	G5	349	349	1	8	500	95	96		4.55555555556
35	9	Fa5#5	F5#5	345	345	1	8	500	95	96		4.66666666667
36	9	Mi5	E5	336	336	3	8	1500	95	96		5.0
37	9	Fa5#5	F5#5	345	345	1	8	500	95	96		5.11111111111
38	9	Mi5	E5	336	336	1	16	250	95	96		5.16666666667
39	9	Fa5#5	F5#5	345	345	1	16	250	95	96		5.22222222222
40	9	Sol5	G5	349	349	1	8	500	95	96		5.33333333333
41	9	Fa5#5	F5#5	345	345	1	16	250	95	96		5.38888888889
42	9	Mi5	E5	336	336	1	16	250	95	96		5.44444444444
43	9	Re5	D5	327	327	1	4	1000	95	96		5.66666666667
44	9	Sol5	G5	349	349	1	4	1000	95	96		5.88888888889
45	9	Fa5#5	F5#5	345	345	1	16	250	95	96		5.94444444444
46	9	Mi5	E5	336	336	1	16	250	95	96		6.0
47	9	Re5	D5	327	327	1	8	500	95	96		6.11111111111
48	9	La5	A5	358	358	1	4	1000	95	96		6.33333333333
49	9	Sol5	G5	349	349	1	16	250	95	96		6.38888888889
50	9	Fa5	F5	340	340	1	16	250	95	96		6.44444444444
51	9	Fa5	F5	340	340	1	16	250	95	96		6.5
52	9	Mi5	E5	336	336	1	16	250	95	96		6.55555555556
