Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	8	8	0	17	0	Düyek	0.0
2	9	Sol5	G5	349	349	1	8	294	95	96	ARANAĞME	0.125
3	9	Re5	D5	327	327	1	4	588	95	96	.	0.375
4	9	Sol5	G5	349	349	1	16	147	95	96	.	0.4375
5	9	Fa5#5	F5#5	345	345	1	16	147	95	96	.	0.5
6	9	Sol5	G5	349	349	1	4	588	95	96	.	0.75
7	9	Si5	B5	367	367	1	4	588	95	96	.	1.0
8	9	Do6	C6	371	371	1	8	294	95	96	.	1.125
9	9	Do6	C6	371	371	1	4	588	95	96	.	1.375
10	9	Si5	B5	367	367	1	8	294	95	96	.	1.5
11	9	La5	A5	358	358	1	16	147	95	96	.	1.5625
12	9	Sol5	G5	349	349	1	16	147	95	96	.	1.625
13	9	Fa5#5	F5#5	345	345	1	16	147	95	96	.	1.6875
14	9	Mi5	E5	336	336	1	16	147	95	96	.	1.75
15	9	Re5	D5	327	327	1	4	588	95	96	.	2.0
16	9	Do6	C6	371	371	1	8	294	95	96	.	2.125
17	9	Do6	C6	371	371	1	4	588	95	96	.	2.375
18	9	Si5	B5	367	367	1	16	147	95	96	.	2.4375
19	9	Do6	C6	371	371	1	16	147	95	96	.	2.5
20	9	Re6	D6	380	380	1	8	294	95	96	.	2.625
21	9	Do6	C6	371	371	1	8	294	95	96	.	2.75
22	9	Si5	B5	367	367	1	8	294	95	96	.	2.875
23	9	La5	A5	358	358	1	16	147	95	96	.	2.9375
24	9	Sol5	G5	349	349	1	16	147	95	96	.	3.0
25	9	Fa5#5	F5#5	345	345	1	8	294	95	96	.	3.125
26	9	Sol5	G5	349	349	1	8	294	95	96	.	3.25
27	9	Mi5	E5	336	336	1	8	294	95	96	.	3.375
28	9	Sol5	G5	349	349	1	8	294	95	96	.	3.5
29	9	Sol5	G5	349	349	1	2	1176	95	96	.	4.0
30	9	Fa5#5	F5#5	345	345	1	8	294	95	96	.	4.125
31	9	La5	A5	358	358	1	4	588	95	96	.	4.375
32	9	Sol5	G5	349	349	1	8	294	95	96	.	4.5
33	9	Mi5	E5	336	336	1	8	294	95	96	.	4.625
34	9	Sol5	G5	349	349	1	4	588	95	96	.	4.875
35	9	Fa5#5	F5#5	345	345	1	8	294	95	96	.	5.0
36	9	Es	Es	-1	-1	1	8	294	100	0	.	5.125
37	9	Re5	D5	327	327	1	8	294	95	96	.	5.25
38	9	Do5	C5	318	318	1	8	294	95	96	.	5.375
39	9	Si4	B4	314	314	1	8	294	95	96	.	5.5
40	9	Re5	D5	327	327	1	2	1176	95	96	.	6.0
41	9	Do5	C5	318	318	1	8	294	95	96	.	6.125
42	9	Do5	C5	318	318	1	8	294	95	96	.	6.25
43	9	La4	A4	305	305	1	16	147	95	96	.	6.3125
44	9	Si4	B4	314	314	1	16	147	95	96	.	6.375
45	9	Do5	C5	318	318	1	8	294	95	96	.	6.5
46	9	Si4	B4	314	314	1	8	294	95	96	.	6.625
47	9	La4	A4	305	305	1	8	294	95	96	.	6.75
48	9	Do5	C5	318	318	1	16	147	95	96	.	6.8125
49	9	Si4	B4	314	314	1	16	147	95	96	.	6.875
50	9	La4	A4	305	305	1	16	147	95	96	.	6.9375
51	9	Sol4	G4	296	296	1	16	147	95	96	.	7.0
52	9	Es	Es	-1	-1	1	8	294	100	0	.	7.125
53	9	Fa4#5	F4#5	292	292	1	8	294	95	96	.	7.25
54	9	Mi4	E4	283	283	1	8	294	95	96	.	7.375
55	9	Fa4#5	F4#5	292	292	1	8	294	95	96	.	7.5
56	9	Sol4	G4	296	296	1	2	1176	95	96	.	8.0
