Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	10	Sol5	G5	349	349	1	8	455	95	96	ARANAĞME	0.125
2	8	La5	A5	358	358	0	0	0	95	96	.	0.125
3	9	Sol5	G5	349	349	1	16	227	95	96	.	0.1875
4	9	Fa5#5	F5#5	345	345	1	16	227	95	96	.	0.25
5	9	Mi5	E5	336	336	1	8	455	95	96	.	0.375
6	9	Mi5	E5	336	336	1	8	455	95	96	.	0.5
7	9	Fa5#5	F5#5	345	345	1	8	455	95	96	.	0.625
8	9	Sol5	G5	349	349	3	8	1364	95	96	.	1.0
9	9	Fa5#5	F5#5	345	345	1	16	227	95	96	.	1.0625
10	9	Sol5	G5	349	349	1	16	227	95	96	.	1.125
11	9	La5	A5	358	358	1	16	227	95	96	.	1.1875
12	9	Si5	B5	367	367	1	16	227	95	96	.	1.25
13	9	La5	A5	358	358	1	16	227	95	96	.	1.3125
14	9	Sol5	G5	349	349	1	16	227	95	96	.	1.375
15	9	Fa5#4	F5#4	344	344	3	16	682	95	96	.	1.5625
16	9	Mi5	E5	336	336	1	16	227	95	96	.	1.625
17	9	Re5	D5	327	327	3	8	1364	95	96	.	2.0
18	9	Do6	C6	371	371	1	4	909	95	96	.	2.25
19	9	Si5b1	B5b1	366	366	1	16	227	95	96	.	2.3125
20	9	La5	A5	358	358	1	16	227	95	96	.	2.375
21	9	Si5b1	B5b1	366	366	1	8	455	95	96	.	2.5
22	9	La5	A5	358	358	1	8	455	95	96	.	2.625
23	9	Si5b1	B5b1	366	366	1	8	455	95	96	.	2.75
24	9	La5	A5	358	358	1	8	455	95	96	.	2.875
25	9	Sol5	G5	349	349	1	8	455	95	96	.	3.0
26	9	Si5	B5	367	367	1	16	227	95	96	.	3.0625
27	9	La5	A5	358	358	1	16	227	95	96	.	3.125
28	9	Sol5	G5	349	349	1	8	455	95	96	.	3.25
29	10	Fa5#5	F5#5	345	345	1	8	455	95	96	.	3.375
30	8	La5	A5	358	358	0	0	0	95	96	.	3.375
31	9	Sol5	G5	349	349	5	8	2273	95	96	.	4.0
32	9	Fa5#5	F5#5	345	345	4	32	455	95	96	.	4.125
33	9	Sol5	G5	349	349	1	8	455	95	96	.	4.25
34	9	La5	A5	358	358	1	8	455	95	96	.	4.375
35	9	La5	A5	358	358	1	8	455	95	96	.	4.5
36	9	Do6	C6	371	371	1	8	455	95	96	.	4.625
37	8	Re6	D6	380	380	0	0	0	95	96	.	4.625
38	9	Si5	B5	367	367	1	8	455	95	96	.	4.75
39	9	La5	A5	358	358	1	8	455	95	96	.	4.875
40	9	Sol5	G5	349	349	1	8	455	95	96	.	5.0
41	8	Sol5	G5	349	349	0	0	0	95	96	.	5.0
42	9	Fa5#5	F5#5	345	345	1	8	455	95	96	.	5.125
43	9	Mi5	E5	336	336	1	8	455	95	96	.	5.25
44	9	Re5	D5	327	327	1	8	455	95	96	.	5.375
45	10	Re5	D5	327	327	1	8	455	95	96	.	5.5
46	8	Fa5	F5	340	340	0	0	0	95	96	.	5.5
47	9	Mi5	E5	336	336	1	16	227	95	96	.	5.5625
48	9	Re5	D5	327	327	1	16	227	95	96	.	5.625
49	9	Do5	C5	318	318	1	16	227	95	96	.	5.6875
50	9	Si4	B4	314	314	1	16	227	95	96	.	5.75
51	9	Do5	C5	318	318	1	8	455	95	96	.	5.875
52	9	Es	Es	-1	-1	1	8	455	100	0	.	6.0
53	9	La5	A5	358	358	1	16	227	95	96	.	6.0625
54	9	Sol5	G5	349	349	1	16	227	95	96	.	6.125
55	9	Fa5	F5	340	340	1	16	227	95	96	.	6.1875
56	9	Mi5	E5	336	336	1	16	227	95	96	.	6.25
57	9	Re5	D5	327	327	1	8	455	95	96	.	6.375
58	9	Re5	D5	327	327	1	8	455	95	96	.	6.5
59	9	Do5	C5	318	318	1	8	455	95	96	.	6.625
60	9	Si4	B4	314	314	1	8	455	95	96	.	6.75
