Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol5	G5	349	349	1	4	870	95	96	ARANAĞME	0.250000
2	9	Sol5	G5	349	349	1	16	217	95	96	.	0.312500
3	9	La5	A5	358	358	1	16	217	95	96	.	0.375000
4	9	Sol5	G5	349	349	1	8	435	95	96	.	0.500000
5	9	Fa5#5	F5#5	345	345	1	8	435	95	96	.	0.625000
6	9	Sol5	G5	349	349	1	8	435	95	96	.	0.750000
7	9	Fa5#4	F5#4	344	344	1	8	435	95	96	.	0.875000
8	9	Mi5	E5	336	336	1	8	435	95	96	.	1.000000
9	7	Fa5#4	F5#4	344	344	4	16	870	95	114	.	1.250000
10	9	Mi5	E5	336	336	1	8	435	95	110	.	1.375000
11	9	Mi5	E5	336	336	1	16	217	95	105	.	1.437500
12	9	Re5	D5	327	327	1	16	217	95	101	.	1.500000
13	9	Do5#3	C5#4	321	322	1	16	217	95	97	.	1.562500
14	9	Mi5	E5	336	336	1	16	217	95	93	.	1.625000
15	9	Re5	D5	327	327	3	8	1304	95	88	.	2.000000
16	9	Re5	D5	327	327	1	4	870	95	84	.	2.250000
17	9	Mi5	E5	336	336	1	16	217	95	96	.	2.312500
18	9	Fa5#5	F5#5	345	345	1	16	217	95	114	.	2.375000
19	9	Sol5	G5	349	349	1	8	435	95	114	.	2.500000
20	9	La5	A5	358	358	1	8	435	95	113	.	2.625000
21	9	Si5	B5	367	367	1	8	435	95	113	.	2.750000
22	9	La5	A5	358	358	1	8	435	95	112	.	2.875000
23	9	Sol5	G5	349	349	1	8	435	95	112	.	3.000000
24	9	Fa5#5	F5#5	345	345	1	4	870	95	111	.	3.250000
25	9	Re5	D5	327	327	1	8	435	95	111	.	3.375000
26	9	Mi5	E5	336	336	3	32	326	95	110	.	3.468750
27	9	Re5	D5	327	327	1	32	109	95	110	.	3.500000
28	9	Mi5	E5	336	336	1	16	217	95	109	.	3.562500
29	9	Fa5#5	F5#5	345	345	1	16	217	95	109	.	3.625000
30	9	Sol5	G5	349	349	3	8	1304	95	108	.	4.000000
31	9	Re5	D5	327	327	1	4	870	95	108	.	4.250000
32	9	Sol5	G5	349	349	1	8	435	95	96	.	4.375000
33	9	Fa5	F5	340	340	1	8	435	95	96	.	4.500000
34	9	Mi5	E5	336	336	1	8	435	95	96	.	4.625000
35	9	Re5	D5	327	327	1	8	435	95	96	.	4.750000
36	9	Do5	C5	318	318	1	8	435	95	96	.	4.875000
37	9	Si4	B4	314	314	1	8	435	95	96	.	5.000000
38	9	Do5	C5	318	318	1	4	870	95	96	.	5.250000
39	9	Mi5	E5	336	336	1	8	435	95	96	.	5.375000
40	9	Re5	D5	327	327	1	16	217	95	96	.	5.437500
41	9	Do5	C5	318	318	1	16	217	95	96	.	5.500000
42	9	Si4	B4	314	314	1	16	217	95	96	.	5.562500
43	9	La4#3	A4#4	308	309	1	16	217	95	96	.	5.625000
44	9	Si4	B4	314	314	3	8	1304	95	96	.	6.000000
45	9	Sol4	G4	296	296	1	4	870	95	96	.	6.250000
46	9	La4	A4	305	305	1	16	217	95	96	.	6.312500
47	9	Si4	B4	314	314	1	16	217	95	96	.	6.375000
48	9	Do5	C5	318	318	1	8	435	95	96	.	6.500000
49	9	Mi5	E5	336	336	1	8	435	95	96	.	6.625000
50	9	Re5	D5	327	327	1	8	435	95	96	.	6.750000
51	9	Do5#4	C5#4	322	322	1	8	435	95	96	.	6.875000
52	9	Si4b4	B4b4	310	310	1	8	435	95	96	.	7.000000
53	9	Si4b4	B4b4	310	310	1	4	870	95	96	.	7.250000
54	9	La4	A4	305	305	1	8	435	95	96	.	7.375000
55	9	La4	A4	305	305	1	16	217	95	96	.	7.437500
56	9	Sol4	G4	296	296	1	16	217	95	96	.	7.500000
57	9	Sol4	G4	296	296	1	16	217	95	96	.	7.562500
58	9	Fa4#5	F4#5	292	292	1	16	217	95	96	.	7.625000
59	9	Sol4	G4	296	296	3	8	1304	95	96	.	8.000000
60	9	Sol5	G5	349	349	1	4	870	95	96	ARANAĞME	8.250000
61	9	Sol5	G5	349	349	1	16	217	95	96	.	8.312500
62	9	La5	A5	358	358	1	16	217	95	96	.	8.375000
63	9	Sol5	G5	349	349	1	8	435	95	96	.	8.500000
64	9	Fa5#5	F5#5	345	345	1	8	435	95	96	.	8.625000
65	9	Sol5	G5	349	349	1	8	435	95	96	.	8.750000
66	9	Fa5#4	F5#4	344	344	1	8	435	95	96	.	8.875000
67	9	Mi5	E5	336	336	1	8	435	95	96	.	9.000000
68	7	Fa5#4	F5#4	344	344	4	16	870	95	114	.	9.250000
69	9	Mi5	E5	336	336	1	8	435	95	110	.	9.375000
70	9	Mi5	E5	336	336	1	16	217	95	105	.	9.437500
71	9	Re5	D5	327	327	1	16	217	95	101	.	9.500000
72	9	Do5#3	C5#4	321	322	1	16	217	95	97	.	9.562500
73	9	Mi5	E5	336	336	1	16	217	95	93	.	9.625000
74	9	Re5	D5	327	327	3	8	1304	95	88	.	10.000000
75	9	Re5	D5	327	327	1	4	870	95	84	.	10.250000
76	9	Mi5	E5	336	336	1	16	217	95	96	.	10.312500
77	9	Fa5#5	F5#5	345	345	1	16	217	95	114	.	10.375000
78	9	Sol5	G5	349	349	1	8	435	95	114	.	10.500000
79	9	La5	A5	358	358	1	8	435	95	113	.	10.625000
80	9	Si5	B5	367	367	1	8	435	95	113	.	10.750000
81	9	La5	A5	358	358	1	8	435	95	112	.	10.875000
82	9	Sol5	G5	349	349	1	8	435	95	112	.	11.000000
83	9	Fa5#5	F5#5	345	345	1	4	870	95	111	.	11.250000
84	9	Re5	D5	327	327	1	8	435	95	111	.	11.375000
85	9	Mi5	E5	336	336	3	32	326	95	110	.	11.468750
86	9	Re5	D5	327	327	1	32	109	95	110	.	11.500000
87	9	Mi5	E5	336	336	1	16	217	95	109	.	11.562500
88	9	Fa5#5	F5#5	345	345	1	16	217	95	109	.	11.625000
89	9	Sol5	G5	349	349	3	8	1304	95	108	.	12.000000
90	9	Re5	D5	327	327	1	4	870	95	108	.	12.250000
91	9	Sol5	G5	349	349	1	8	435	95	96	.	12.375000
92	9	Fa5	F5	340	340	1	8	435	95	96	.	12.500000
93	9	Mi5	E5	336	336	1	8	435	95	96	.	12.625000
94	9	Re5	D5	327	327	1	8	435	95	96	.	12.750000
95	9	Do5	C5	318	318	1	8	435	95	96	.	12.875000
96	9	Si4	B4	314	314	1	8	435	95	96	.	13.000000
97	9	Do5	C5	318	318	1	4	870	95	96	.	13.250000
98	9	Mi5	E5	336	336	1	8	435	95	96	.	13.375000
99	9	Re5	D5	327	327	1	16	217	95	96	.	13.437500
100	9	Do5	C5	318	318	1	16	217	95	96	.	13.500000
101	9	Si4	B4	314	314	1	16	217	95	96	.	13.562500
102	9	La4#3	A4#4	308	309	1	16	217	95	96	.	13.625000
103	9	Si4	B4	314	314	3	8	1304	95	96	.	14.000000
104	9	Sol4	G4	296	296	1	4	870	95	96	.	14.250000
105	9	La4	A4	305	305	1	16	217	95	96	.	14.312500
106	9	Si4	B4	314	314	1	16	217	95	96	.	14.375000
107	9	Do5	C5	318	318	1	8	435	95	96	.	14.500000
108	9	Mi5	E5	336	336	1	8	435	95	96	.	14.625000
109	9	Re5	D5	327	327	1	8	435	95	96	.	14.750000
110	9	Do5#4	C5#4	322	322	1	8	435	95	96	.	14.875000
111	9	Si4b4	B4b4	310	310	1	8	435	95	96	.	15.000000
112	9	Si4b4	B4b4	310	310	1	4	870	95	96	.	15.250000
113	9	La4	A4	305	305	1	8	435	95	96	.	15.375000
114	9	La4	A4	305	305	1	16	217	95	96	.	15.437500
115	9	Sol4	G4	296	296	1	16	217	95	96	.	15.500000
116	9	Sol4	G4	296	296	1	16	217	95	96	.	15.562500
117	9	Fa4#5	F4#5	292	292	1	16	217	95	96	.	15.625000
118	9	Sol4	G4	296	296	3	8	1304	95	96	.	16.000000
119	9	Sol5	G5	349	349	1	16	217	99	96	Gös	16.062500
120	9	Fa5#5	F5#5	345	345	1	16	217	99	96		16.125000
121	9	Mi5	E5	336	336	1	8	435	95	96		16.250000
122	7	Fa5#5	F5#5	345	345	1	8	435	95	96	te	16.375000
123	9	La5	A5	358	358	1	16	217	99	96	rip 	16.437500
124	9	Sol5	G5	349	349	1	16	217	99	96		16.500000
125	9	Sol5	G5	349	349	1	16	217	99	96		16.562500
126	9	Fa5#5	F5#5	345	345	1	16	217	95	96		16.625000
127	9	Sol5	G5	349	349	3	8	1304	95	114	ağ	17.000000
128	7	Sol5	G5	349	349	1	4	870	95	112	yâ	17.250000
129	9	La5	A5	358	358	1	8	435	95	111	re 	17.375000
130	8	Si5	B5	367	367	0	0	0	95	110		17.375000
131	9	La5	A5	358	358	1	8	435	99	108	lût	17.500000
132	9	Sol5	G5	349	349	1	8	435	95	96		17.625000
