Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol5	G5	349	349	1	4	833	95	96	1. HANE	0.2
2	9	Fa5#5	F5#5	345	345	1	8	417	95	96		0.3
3	9	Sol5	G5	349	349	1	4	833	95	96		0.5
4	9	La5	A5	358	358	1	8	417	95	96		0.6
5	9	Sol5	G5	349	349	1	16	208	95	96		0.65
6	9	La5	A5	358	358	1	16	208	95	96		0.7
7	9	Si5	B5	367	367	1	16	208	95	96		0.75
8	9	La5	A5	358	358	1	16	208	95	96		0.8
9	9	Sol5	G5	349	349	1	16	208	95	96		0.85
10	9	Fa5#5	F5#5	345	345	1	16	208	95	96		0.9
11	9	Mi5	E5	336	336	1	8	417	95	96		1.0
12	9	Fa5#5	F5#5	345	345	1	16	208	95	96		1.05
13	9	Sol5	G5	349	349	1	16	208	95	96		1.1
14	9	Fa5#5	F5#5	345	345	1	16	208	95	96		1.15
15	9	Mi5	E5	336	336	1	16	208	95	96		1.2
16	9	Re5	D5	327	327	1	8	417	95	96		1.3
17	9	Mi5	E5	336	336	1	8	417	95	96		1.4
18	9	Re5	D5	327	327	1	8	417	95	96		1.5
19	9	Mi5	E5	336	336	1	8	417	95	96		1.6
20	9	Fa5#5	F5#5	345	345	1	8	417	95	96		1.7
21	9	Sol5	G5	349	349	1	4	833	95	96		1.9
22	9	Es	Es	-1	-1	1	8	417	100	0		2.0
23	9	Sol5	G5	349	349	1	8	417	95	96		2.1
24	9	Fa5#5	F5#5	345	345	1	8	417	95	96		2.2
25	9	Sol5	G5	349	349	1	8	417	95	96		2.3
26	9	La5	A5	358	358	1	8	417	95	96		2.4
27	9	Sol5	G5	349	349	1	16	208	95	96		2.45
28	9	La5	A5	358	358	1	16	208	95	96		2.5
29	9	Si5	B5	367	367	1	8	417	95	96		2.6
30	9	La5	A5	358	358	1	16	208	95	96		2.65
31	9	Do6	C6	371	371	1	16	208	95	96		2.7
32	9	Si5	B5	367	367	1	4	833	95	96		2.9
33	9	Sol5	G5	349	349	1	8	417	95	96		3.0
34	9	La5	A5	358	358	1	4	833	95	96		3.2
35	9	Re6	D6	380	380	1	16	208	95	96		3.25
36	9	Do6	C6	371	371	1	16	208	95	96		3.3
37	9	Do6	C6	371	371	1	16	208	95	96		3.35
38	9	Si5	B5	367	367	1	16	208	95	96		3.4
39	9	Si5	B5	367	367	1	16	208	95	96		3.45
40	9	La5	A5	358	358	1	16	208	95	96		3.5
41	9	La5	A5	358	358	1	16	208	95	96		3.55
42	9	Sol5	G5	349	349	1	16	208	95	96		3.6
43	9	Sol5	G5	349	349	1	16	208	95	96		3.65
44	9	Fa5#5	F5#5	345	345	1	16	208	95	96		3.7
45	9	Sol5	G5	349	349	1	4	833	95	96		3.9
46	9	Es	Es	-1	-1	1	8	417	100	0		4.0
47	9	Mi5	E5	336	336	1	16	208	95	96	MÜLÂZİME	4.05
48	9	Fa5#5	F5#5	345	345	1	16	208	95	96		4.1
49	9	Sol5	G5	349	349	1	8	417	95	96		4.2
50	9	Fa5#5	F5#5	345	345	1	8	417	95	96		4.3
51	9	Sol5	G5	349	349	1	8	417	95	96		4.4
52	9	Fa5#5	F5#5	345	345	1	16	208	95	96		4.45
53	9	Mi5	E5	336	336	1	16	208	95	96		4.5
54	9	La5	A5	358	358	1	16	208	95	96		4.55
55	9	Sol5	G5	349	349	1	16	208	95	96		4.6
56	9	Fa5	F5	340	340	1	16	208	95	96		4.65
57	9	Mi5	E5	336	336	1	16	208	95	96		4.7
58	9	Re5	D5	327	327	1	4	833	95	96		4.9
59	9	Es	Es	-1	-1	1	8	417	100	0		5.0
60	9	Fa5	F5	340	340	1	8	417	95	96		5.1
61	9	Mi5	E5	336	336	1	8	417	95	96		5.2
62	9	Re5	D5	327	327	1	8	417	95	96		5.3
63	9	Do5	C5	318	318	3	16	625	95	96		5.45
64	9	Mi5	E5	336	336	1	16	208	95	96		5.5
65	9	Re5	D5	327	327	1	16	208	95	96		5.55
66	9	Do5	C5	318	318	1	16	208	95	96		5.6
67	9	Si4b1	B4b1	313	313	1	16	208	95	96		5.65
68	9	La4#4	A4#4	309	309	1	16	208	95	96		5.7
69	9	Si4b1	B4b1	313	313	3	16	625	95	96		5.85
70	9	Do5	C5	318	318	1	16	208	95	96		5.9
71	9	Si4b1	B4b1	313	313	1	16	208	95	96		5.95
72	9	La4	A4	305	305	1	16	208	95	96		6.0
73	9	Sol4	G4	296	296	1	4	833	95	96		6.2
74	9	Do5#4	C5#4	322	322	1	8	417	95	96		6.3
75	9	Re5	D5	327	327	1	4	833	95	96		6.5
76	9	Do5#4	C5#4	322	322	1	16	208	95	96		6.55
77	9	Re5	D5	327	327	1	16	208	95	96		6.6
78	9	Mi5	E5	336	336	1	16	208	95	96		6.65
79	9	Fa5#5	F5#5	345	345	1	16	208	95	96		6.7
80	9	La5	A5	358	358	1	16	208	95	96		6.75
81	9	Sol5	G5	349	349	1	16	208	95	96		6.8
82	9	Fa5	F5	340	340	1	16	208	95	96		6.85
83	9	Mi5	E5	336	336	1	16	208	95	96		6.9
84	9	Re5	D5	327	327	1	16	208	95	96		6.95
85	9	Do5	C5	318	318	1	16	208	95	96		7.0
86	9	Si4	B4	314	314	1	4	833	95	96		7.2
87	9	Sol4	G4	296	296	1	8	417	95	96		7.3
88	9	La4	A4	305	305	1	16	208	95	96		7.35
89	9	Do5	C5	318	318	1	16	208	95	96		7.4
90	9	Si4	B4	314	314	1	16	208	95	96		7.45
91	9	La4	A4	305	305	1	16	208	95	96		7.5
92	9	Sol4	G4	296	296	3	32	312	95	96		7.575
93	9	Fa4#5	F4#5	292	292	1	32	104	95	96		7.6
94	9	Mi4	E4	283	283	1	16	208	95	96		7.65
95	9	Fa4#5	F4#5	292	292	1	16	208	95	96		7.7
96	9	Sol4	G4	296	296	1	4	833	95	96		7.9
97	9	Es	Es	-1	-1	1	8	417	100	0		8.0
98	9	Mi5	E5	336	336	1	16	208	95	96	MÜLÂZİME	8.05
99	9	Fa5#5	F5#5	345	345	1	16	208	95	96		8.1
100	9	Sol5	G5	349	349	1	8	417	95	96		8.2
101	9	Fa5#5	F5#5	345	345	1	8	417	95	96		8.3
