Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	14	8	0	129	0	Devr-i Revân-ı Hindî	0.0
2	9	Re5	D5	327	327	1	4	1176	95	96	Â	0.142857142857
3	9	Re5	D5	327	327	1	16	294	99	96	lem_	0.178571428571
4	9	Do5#4	C5#4	322	322	1	16	294	95	96		0.214285714286
5	11	Re5	D5	327	327	1	8	588	99	96	i 	0.285714285714
6	9	Re5	D5	327	327	1	16	294	99	96		0.321428571429
7	9	Do5#4	C5#4	322	322	1	16	294	99	96		0.357142857143
8	9	Sol5	G5	349	349	1	8	588	99	96		0.428571428571
9	9	Fa5	F5	340	340	1	16	294	99	96		0.464285714286
10	9	Mi5	E5	336	336	1	16	294	95	96		0.5
11	9	Mi5	E5	336	336	1	8	588	99	96	el	0.571428571429
12	9	Re5	D5	327	327	1	8	588	99	96		0.642857142857
13	9	Do5#4	C5#4	322	322	1	8	588	99	96		0.714285714286
14	9	Re5	D5	327	327	3	8	1765	95	96		0.928571428571
15	9	Es	Es	-1	-1	1	8	588	100	0		1.0
16	9	Re5	D5	327	327	1	4	1176	95	96	hân 	1.14285714286
17	9	Re5	D5	327	327	1	8	588	95	96	i	1.21428571429
18	9	Do5#4	C5#4	322	322	1	8	588	99	96	çin	1.28571428571
19	9	Re5	D5	327	327	1	8	588	99	96		1.35714285714
20	9	Mi5	E5	336	336	1	8	588	99	96		1.42857142857
21	9	Fa5	F5	340	340	1	8	588	95	96		1.5
22	9	Fa5	F5	340	340	1	16	294	99	96	de 	1.53571428571
23	9	Mi5	E5	336	336	1	16	294	99	96		1.57142857143
24	9	Re5	D5	327	327	1	16	294	99	96		1.60714285714
25	9	Do5#4	C5#4	322	322	1	16	294	99	96		1.64285714286
26	9	Si4b4	B4b4	310	310	1	8	588	99	96		1.71428571429
27	9	Re5	D5	327	327	1	16	294	99	96		1.75
28	9	Do5#4	C5#4	322	322	1	16	294	99	96		1.78571428571
29	9	Si4b4	B4b4	310	310	1	16	294	99	96		1.82142857143
30	9	Do5#4	C5#4	322	322	1	16	294	99	96		1.85714285714
31	9	Do5#4	C5#4	322	322	1	8	588	99	96		1.92857142857
32	9	Si4b4	B4b4	310	310	1	8	588	95	96		2.0
33	9	La4	A4	305	305	1	4	1176	95	96	ey	2.14285714286
34	9	Si4b4	B4b4	310	310	1	8	588	95	96	le	2.21428571429
35	11	La4	A4	305	305	1	8	588	99	96	dik 	2.28571428571
36	9	La4	A4	305	305	1	16	294	99	96		2.32142857143
37	9	Sol4	G4	296	296	1	16	294	99	96		2.35714285714
38	9	Fa4#4	F4#4	291	291	1	8	588	99	96		2.42857142857
39	9	Sol4	G4	296	296	1	8	588	95	96		2.5
40	9	La4	A4	305	305	1	4	1176	99	96	devr_	2.64285714286
41	9	Si4b4	B4b4	310	310	1	8	588	99	96		2.71428571429
42	9	Do5#4	C5#4	322	322	1	8	588	99	96		2.78571428571
43	9	Si4b4	B4b4	310	310	1	16	294	99	96		2.82142857143
44	9	Do5#4	C5#4	322	322	1	16	294	99	96		2.85714285714
45	9	Re5	D5	327	327	1	8	588	95	96		2.92857142857
46	9	Es	Es	-1	-1	1	8	588	100	0		3.0
47	9	Mi5	E5	336	336	1	8	588	99	96	i 	3.07142857143
48	9	Fa5	F5	340	340	1	16	294	99	96		3.10714285714
49	9	Mi5	E5	336	336	1	16	294	99	96		3.14285714286
50	9	Re5	D5	327	327	1	8	588	99	96		3.21428571429
51	9	Mi5	E5	336	336	1	16	294	99	96		3.25
52	9	Sol5	G5	349	349	1	16	294	99	96		3.28571428571
53	9	Fa5	F5	340	340	1	16	294	99	96		3.32142857143
54	9	Mi5	E5	336	336	1	16	294	95	96		3.35714285714
55	9	Mi5	E5	336	336	1	16	294	99	96	ma	3.39285714286
56	9	Re5	D5	327	327	1	16	294	99	96		3.42857142857
57	9	Re5	D5	327	327	1	16	294	99	96		3.46428571429
58	9	Do5#4	C5#4	322	322	1	16	294	95	96		3.5
59	9	Re5	D5	327	327	1	8	588	99	96	kam  	3.57142857143
60	9	Do5#4	C5#4	322	322	1	16	294	99	96		3.60714285714
61	9	Re5	D5	327	327	1	16	294	99	96		3.64285714286
62	11	Mi5	E5	336	336	1	16	294	99	96		3.67857142857
63	11	Re5	D5	327	327	1	16	294	99	96		3.71428571429
64	9	Re5	D5	327	327	3	8	1765	95	96		3.92857142857
65	9	Es	Es	-1	-1	1	8	588	100	0		4.0
66	9	Re5	D5	327	327	1	4	1176	95	96	Mâ	4.14285714286
67	9	Re5	D5	327	327	1	8	588	95	96	ve	4.21428571429
68	9	Re5	D5	327	327	1	4	1176	99	96	râ	4.35714285714
69	9	Do5	C5	318	318	1	8	588	99	96		4.42857142857
70	9	Si4b5	B4b5	309	309	1	8	588	95	96		4.5
71	9	Do5	C5	318	318	1	4	1176	99	96	ün	4.64285714286
72	9	Sol5	G5	349	349	1	8	588	99	96		4.71428571429
73	9	Fa5	F5	340	340	1	8	588	99	96		4.78571428571
74	9	Mi5b5	E5b5	331	331	1	8	588	99	96		4.85714285714
75	9	Re5	D5	327	327	1	8	588	99	96		4.92857142857
76	9	Do5	C5	318	318	1	8	588	95	96		5.0
77	9	Do5	C5	318	318	1	16	294	99	96	neh	5.03571428571
78	9	Re5	D5	327	327	1	16	294	99	96		5.07142857143
79	9	Do5	C5	318	318	1	8	588	95	96		5.14285714286
80	9	Si4b5	B4b5	309	309	1	8	588	95	96	ri 	5.21428571429
81	9	Do5	C5	318	318	3	16	882	99	96	de 	5.32142857143
82	9	Mi5b5	E5b5	331	331	1	16	294	99	96		5.35714285714
83	9	Re5	D5	327	327	1	8	588	99	96		5.42857142857
84	9	Do5	C5	318	318	1	8	588	95	96		5.5
85	9	Do5	C5	318	318	1	8	588	99	96	seyr_	5.57142857143
86	9	Si4b5	B4b5	309	309	1	8	588	99	96		5.64285714286
87	9	La4	A4	305	305	1	8	588	99	96		5.71428571429
88	9	La4	A4	305	305	1	16	294	99	96		5.75
89	9	Sol4	G4	296	296	1	16	294	99	96		5.78571428571
90	9	Sol4	G4	296	296	1	16	294	99	96		5.82142857143
91	9	Fa4#4	F4#4	291	291	1	16	294	99	96		5.85714285714
92	9	Sol4	G4	296	296	1	4	1176	95	96		6.0
93	9	Sol4	G4	296	296	1	4	1176	95	96	ey	6.14285714286
94	9	La4	A4	305	305	1	8	588	95	96	le	6.21428571429
95	12	Si4b5	B4b5	309	309	1	8	588	99	96	dik 	6.28571428571
96	9	Si4b5	B4b5	309	309	1	16	294	99	96		6.32142857143
97	9	La4	A4	305	305	1	16	294	99	96		6.35714285714
98	9	Sol4	G4	296	296	1	8	588	95	96		6.42857142857
99	9	Es	Es	-1	-1	1	8	588	100	0		6.5
100	9	Re5	D5	327	327	1	8	588	99	96	şim	6.57142857143
101	9	Do5	C5	318	318	1	8	588	99	96		6.64285714286
102	9	Mi5b5	E5b5	331	331	1	8	588	99	96		6.71428571429
103	9	Re5	D5	327	327	1	16	294	99	96		6.75
104	9	Mi5b5	E5b5	331	331	1	16	294	99	96		6.78571428571
105	9	Re5	D5	327	327	1	16	294	99	96		6.82142857143
106	9	Do5	C5	318	318	1	16	294	99	96		6.85714285714
107	9	Si4b5	B4b5	309	309	1	16	294	99	96		6.89285714286
108	9	La4	A4	305	305	1	16	294	99	96		6.92857142857
109	9	Sol4	G4	296	296	1	8	588	95	96		7.0
110	9	La4	A4	305	305	1	16	294	99	96	di 	7.03571428571
111	9	Si4b5	B4b5	309	309	1	16	294	99	96		7.07142857143
112	9	La4	A4	305	305	1	16	294	99	96		7.10714285714
113	9	Si4b5	B4b5	309	309	1	16	294	99	96		7.14285714286
114	9	La4	A4	305	305	1	16	294	99	96		7.17857142857
115	9	Sol4	G4	296	296	1	16	294	99	96		7.21428571429
116	9	La4	A4	305	305	1	16	294	99	96		7.25
117	9	Do5	C5	318	318	1	16	294	99	96		7.28571428571
118	9	Si4b5	B4b5	309	309	1	16	294	99	96		7.32142857143
119	9	La4	A4	305	305	1	16	294	95	96		7.35714285714
120	9	La4	A4	305	305	1	16	294	99	96	ta	7.39285714286
121	9	Sol4	G4	296	296	1	16	294	99	96		7.42857142857
122	9	Sol4	G4	296	296	1	16	294	99	96		7.46428571429
123	9	Fa4#4	F4#4	291	291	1	16	294	95	96		7.5
124	9	Sol4	G4	296	296	1	8	588	99	96	mam  	7.57142857143
125	9	Fa4#4	F4#4	291	291	1	8	588	99	96		7.64285714286
126	11	La4	A4	305	305	1	16	294	99	96		7.67857142857
127	11	Sol4	G4	296	296	1	16	294	99	96		7.71428571429
128	9	Sol4	G4	296	296	3	8	1765	95	96		7.92857142857
129	9	Es	Es	-1	-1	1	8	588	100	0		8.0
