Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol5	G5	349	349	1	16	278	95	96	1. HANE	0.062500
2	9	Fa5	F5	340	340	1	16	278	95	96		0.125000
3	9	Fa5	F5	340	340	1	16	278	95	96		0.187500
4	9	Mi5	E5	336	336	1	16	278	95	96		0.250000
5	9	Fa5	F5	340	340	1	8	556	95	96		0.375000
6	9	Sol5	G5	349	349	1	8	556	95	96		0.500000
7	9	La5	A5	358	358	1	8	556	95	96		0.625000
8	9	Sol5	G5	349	349	1	16	278	95	96		0.687500
9	9	Si5b1	B5b1	366	366	1	16	278	95	96		0.750000
10	9	La5	A5	358	358	1	16	278	95	96		0.812500
11	9	Sol5	G5	349	349	1	16	278	95	96		0.875000
12	9	Fa5	F5	340	340	1	8	556	95	96		1.000000
13	9	Sol5	G5	349	349	1	16	278	95	96		1.062500
14	9	Fa5	F5	340	340	1	16	278	95	96		1.125000
15	9	Sol5	G5	349	349	1	16	278	95	96		1.187500
16	9	La5	A5	358	358	1	16	278	95	96		1.250000
17	9	Sol5	G5	349	349	1	16	278	95	96		1.312500
18	9	Fa5	F5	340	340	1	16	278	95	96		1.375000
19	9	Mi5	E5	336	336	1	8	556	95	96		1.500000
20	9	Sol5	G5	349	349	1	16	278	95	96		1.562500
21	9	Fa5	F5	340	340	1	16	278	95	96		1.625000
22	9	Mi5	E5	336	336	1	16	278	95	96		1.687500
23	9	Re5	D5	327	327	1	16	278	95	96		1.750000
24	9	Do5	C5	318	318	1	4	1111	95	96		2.000000
25	9	Es	Es	-1	-1	1	8	556	100	0		2.125000
26	9	Si5b1	B5b1	366	366	1	8	556	95	96		2.250000
27	9	La5	A5	358	358	1	8	556	95	96		2.375000
28	9	Sol5	G5	349	349	1	8	556	95	96		2.500000
29	9	Fa5	F5	340	340	1	8	556	95	96		2.625000
30	9	Sol5	G5	349	349	1	8	556	95	96		2.750000
31	9	La5	A5	358	358	1	16	278	95	96		2.812500
32	9	Si5b1	B5b1	366	366	1	16	278	95	96		2.875000
33	9	La5	A5	358	358	1	16	278	95	96		2.937500
34	9	Sol5	G5	349	349	1	16	278	95	96		3.000000
35	9	Sol5	G5	349	349	3	8	1667	95	96		3.375000
36	9	Fa5	F5	340	340	1	16	278	95	96		3.437500
37	9	Mi5	E5	336	336	1	16	278	95	96		3.500000
38	9	Fa5	F5	340	340	1	16	278	95	96		3.562500
39	9	Sol5	G5	349	349	1	16	278	95	96		3.625000
40	9	Fa5	F5	340	340	1	16	278	95	96		3.687500
41	9	Mi5	E5	336	336	1	16	278	95	96		3.750000
42	9	Sol5	G5	349	349	1	4	1111	95	96		4.000000
43	9	Es	Es	-1	-1	1	8	556	100	0		4.125000
44	9	Sol5	G5	349	349	1	8	556	95	96		4.250000
45	9	Fa5	F5	340	340	1	8	556	95	96		4.375000
46	9	Sol5	G5	349	349	1	8	556	95	96		4.500000
47	9	Re5	D5	327	327	1	8	556	95	96		4.625000
48	9	Mi5b5	E5b5	331	331	1	16	278	95	96		4.687500
49	9	Fa5	F5	340	340	1	16	278	95	96		4.750000
50	9	Mi5b5	E5b5	331	331	1	16	278	95	96		4.812500
51	9	Re5	D5	327	327	1	16	278	95	96		4.875000
52	9	Do5	C5	318	318	1	8	556	95	96		5.000000
53	9	Mi5b5	E5b5	331	331	3	16	833	95	96		5.187500
54	9	Re5	D5	327	327	1	16	278	95	96		5.250000
55	9	Re5	D5	327	327	1	16	278	95	96		5.312500
56	9	Do5	C5	318	318	1	16	278	95	96		5.375000
57	9	Do5	C5	318	318	1	16	278	95	96		5.437500
58	9	Si4b1	B4b1	313	313	1	16	278	95	96		5.500000
59	9	Do5	C5	318	318	1	4	1111	95	96		5.750000
60	9	Es	Es	-1	-1	1	4	1111	100	0		6.000000
61	9	Sol5	G5	349	349	3	16	833	95	96		6.187500
62	9	Fa5	F5	340	340	1	16	278	95	96		6.250000
63	9	Fa5	F5	340	340	1	16	278	95	96		6.312500
64	9	Mi5b1	E5b1	335	335	1	16	278	95	96		6.375000
65	9	Re5	D5	327	327	1	8	556	95	96		6.500000
66	9	Fa5	F5	340	340	3	16	833	95	96		6.687500
67	9	Mi5b5	E5b5	331	331	1	16	278	95	96		6.750000
68	9	Mi5b5	E5b5	331	331	1	16	278	95	96		6.812500
69	9	Re5	D5	327	327	1	16	278	95	96		6.875000
70	9	Do5	C5	318	318	1	8	556	95	96		7.000000
71	9	Mi5b5	E5b5	331	331	3	16	833	95	96		7.187500
72	9	Re5	D5	327	327	1	16	278	95	96		7.250000
73	9	Re5	D5	327	327	1	16	278	95	96		7.312500
74	9	Do5	C5	318	318	1	16	278	95	96		7.375000
75	9	Si4b1	B4b1	313	313	1	8	556	95	96		7.500000
76	9	Do5	C5	318	318	1	8	556	95	96		7.625000
77	9	Re5	D5	327	327	1	16	278	95	96		7.687500
78	9	Mi5b5	E5b5	331	331	1	16	278	95	96		7.750000
79	9	Re5	D5	327	327	1	16	278	95	96		7.812500
80	9	Do5	C5	318	318	1	16	278	95	96		7.875000
81	9	Si4b1	B4b1	313	313	1	16	278	95	96		7.937500
82	9	La4	A4	305	305	1	16	278	95	96		8.000000
83	9	Sol4	G4	296	296	3	16	833	95	96		8.187500
84	9	La4	A4	305	305	1	16	278	95	96		8.250000
85	9	Si4b1	B4b1	313	313	1	8	556	95	96		8.375000
86	9	Do5	C5	318	318	1	8	556	95	96		8.500000
87	9	Re5	D5	327	327	1	16	278	95	96		8.562500
88	9	Mi5b5	E5b5	331	331	1	16	278	95	96		8.625000
89	9	Re5	D5	327	327	1	16	278	95	96		8.687500
90	9	Do5	C5	318	318	1	16	278	95	96		8.750000
91	9	Do5	C5	318	318	1	4	1111	95	96		9.000000
92	9	Es	Es	-1	-1	1	8	556	100	0		9.125000
93	9	Mi5b1	E5b1	335	335	1	16	278	95	96		9.187500
