Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol5	G5	349	349	1	12	333	95	96	Ah 	0.083333
2	9	Fa5#4	F5#4	344	344	1	12	333	95	96		0.166667
3	9	Sol5	G5	349	349	1	12	333	95	96		0.250000
4	9	La5	A5	358	358	1	2	2000	101	96		0.750000
5	9	Do6	C6	371	371	1	16	250	95	96	ha	0.812500
6	9	Do6	C6	371	371	1	16	250	95	96	va	0.875000
7	9	Do6	C6	371	371	1	16	250	95	96	yı 	0.937500
8	9	Do6	C6	371	371	1	16	250	95	96	da 	1.000000
9	9	Do6	C6	371	371	1	16	250	95	96	de	1.062500
10	9	Do6	C6	371	371	1	16	250	95	96	li 	1.125000
11	9	Do6	C6	371	371	1	16	250	95	96	gö	1.187500
12	9	Do6	C6	371	371	1	16	250	95	96	nül 	1.250000
13	9	Si5b2	B5b1	365	366	1	16	250	95	96	ha	1.312500
14	9	Do6	C6	371	371	1	16	250	95	96	va	1.375000
15	9	Do6	C6	371	371	1	32	125	99	96	yı  	1.406250
16	9	Si5b2	B5b1	365	366	1	32	125	99	96		1.437500
17	9	La5	A5	358	358	1	32	125	99	96		1.468750
18	9	Sol5	G5	349	349	1	32	125	99	96		1.500000
19	9	Sol5	G5	349	349	1	2	2000	100	96		2.000000
20	9	Sol5	G5	349	349	1	2	2000	95	96		2.500000
21	9	Si5b2	B5b1	365	366	1	12	333	95	96	A	2.583333
22	9	Do6	C6	371	371	1	12	333	95	96	lı	2.666667
23	9	Do6	C6	371	371	1	12	333	95	96	cı 	2.750000
24	9	Si5b2	B5b1	365	366	1	16	250	95	96	ku	2.812500
25	9	Do6	C6	371	371	1	16	250	95	96	şu 	2.875000
26	9	Do6	C6	371	371	1	8	500	95	96	da 	3.000000
27	9	Si5b2	B5b1	365	366	1	16	250	95	96	yük	3.062500
28	9	Si5b2	B5b1	365	366	1	16	250	95	96	sek 	3.125000
29	9	La5	A5	358	358	1	16	250	95	96	ya	3.187500
30	9	La5	A5	358	358	1	16	250	95	96	par 	3.250000
31	9	La5	A5	358	358	1	16	250	95	96	yu	3.312500
32	9	La5	A5	358	358	1	8	500	99	96	va	3.437500
33	9	Mi5	E5	336	336	1	16	250	95	96		3.500000
34	9	Mi5	E5	336	336	1	2	2000	100	96	yı  	4.000000
35	9	Mi5	E5	336	336	1	2	2000	95	96		4.500000
36	9	Sol5	G5	349	349	1	12	333	99	96	Ah 	4.583333
37	9	Fa5#4	F5#4	344	344	1	12	333	99	96		4.666667
38	9	Sol5	G5	349	349	1	12	333	99	96		4.750000
39	9	La5	A5	358	358	1	4	1000	100	96		5.000000
40	9	La5	A5	358	358	1	4	1000	95	96		5.250000
41	9	Si5b2	B5b1	365	366	1	16	250	95	96	Türk	5.312500
42	9	Do6	C6	371	371	1	16	250	95	96	men 	5.375000
43	9	Do6	C6	371	371	1	32	125	95	96	kı	5.406250
44	9	Do6	C6	371	371	1	32	125	95	96	zı 	5.437500
45	9	Do6	C6	371	371	1	16	250	95	96	da 	5.500000
46	9	Do6	C6	371	371	1	32	125	95	96	ka	5.531250
47	9	Do6	C6	371	371	3	32	375	95	96	ter	5.625000
48	9	Do6	C6	371	371	1	32	125	95	96	le	5.656250
49	9	Do6	C6	371	371	3	32	375	95	96	miş 	5.750000
50	9	Si5b2	B5b1	365	366	1	32	125	95	96	ma	5.781250
51	9	Do6	C6	371	371	3	32	375	95	96	ya	5.875000
52	12	Si5b2	B5b1	365	366	3	32	375	99	96	yı  	5.968750
53	9	La5	A5	358	358	1	32	125	95	96		6.000000
54	9	Sol5	G5	349	349	1	16	250	95	96	ma	6.062500
55	9	La5	A5	358	358	3	16	750	95	96	ya	6.250000
56	9	Sol5	G5	349	349	1	32	125	99	96	yı  	6.281250
57	9	Fa5#4	F5#4	344	344	1	32	125	99	96		6.312500
58	9	Sol5	G5	349	349	7	32	875	99	96		6.531250
59	9	Fa5#4	F5#4	344	344	1	32	125	95	96		6.562500
60	9	Sol5	G5	349	349	1	16	250	95	96	Çe	6.625000
61	9	La5	A5	358	358	1	16	250	95	96	kip 	6.687500
62	9	La5	A5	358	358	1	32	125	95	96	gi	6.718750
63	9	La5	A5	358	358	1	32	125	95	96	der 	6.750000
64	9	La5	A5	358	358	1	16	250	95	96	de 	6.812500
65	9	La5	A5	358	358	1	16	250	95	96	yay	6.875000
66	9	La5	A5	358	358	1	32	125	95	96	la	6.906250
67	9	La5	A5	358	358	1	32	125	95	96	sı	6.937500
68	9	La5	A5	358	358	1	16	250	100	96	na 	7.000000
69	9	La5	A5	358	358	1	16	250	95	96		7.062500
70	9	Sol5	G5	349	349	1	4	1000	95	96	bir 	7.312500
71	9	Sol5	G5	349	349	1	16	250	95	96	ge	7.375000
72	9	Sol5	G5	349	349	5	8	2500	99	96	lin 	8.000000
73	9	Fa5	F5	340	340	1	32	125	99	96		8.031250
74	9	Mi5	E5	336	336	1	32	125	99	96		8.062500
75	9	Fa5	F5	340	340	3	16	750	99	96		8.250000
76	9	Mi5	E5	336	336	1	32	125	99	96		8.281250
77	9	Re5	D5	327	327	1	32	125	99	96		8.312500
78	9	Mi5	E5	336	336	3	32	375	99	96		8.406250
79	9	Re5	D5	327	327	1	32	125	99	96		8.437500
80	9	Do5	C5	318	318	1	32	125	99	96		8.468750
81	9	Re5	D5	327	327	3	16	750	99	96		8.656250
82	9	Do5	C5	318	318	11	32	1375	100	96		9.000000
83	9	Do5	C5	318	318	1	2	2000	99	96		9.500000
84	1	Re5	D5	327	327	1	32	125	99	96		9.531250
85	1	Do5	C5	318	318	1	32	125	99	96		9.562500
86	1	Si4b2	B4b1	312	313	1	32	125	99	96		9.593750
87	1	La4	A4	305	305	1	32	125	99	96		9.625000
88	9	Sol4	G4	296	296	3	8	1500	100	96		10.000000
89	9	Sol4	G4	296	296	3	4	3000	95	96		10.750000
90	9	La4	A4	305	305	1	16	250	95	96	ge	10.812500
91	9	Do5	C5	318	318	1	16	250	95	96	lin 	10.875000
92	9	Si4b2	B4b1	312	313	1	8	500	100	96	oy 	11.000000
93	9	Si4b2	B4b1	312	313	3	8	1500	99	96		11.375000
94	9	La4	A4	305	305	1	4	1000	95	96		11.625000
95	9	Do5	C5	318	318	1	32	125	99	96	oy 	11.656250
96	9	Si4b2	B4b1	312	313	1	32	125	99	96		11.687500
97	9	La4	A4	305	305	5	16	1250	95	96		12.000000
98	9	La4	A4	305	305	1	1	4000	95	96	oy  	13.000000
