Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Do5	C5	318	318	1	8	333	95	96	ARANAĞME	0.25
2	9	Re5	D5	327	327	1	8	333	95	96	.	0.5
3	9	Mi5	E5	336	336	1	4	667	95	96	.	1.0
4	9	Re5	D5	327	327	1	4	667	95	96	.	1.5
5	9	Mi5	E5	336	336	1	4	667	95	96	.	2.0
6	9	Re5	D5	327	327	1	8	333	95	96	.	2.25
7	9	Mi5	E5	336	336	1	16	167	95	96	.	2.375
8	9	Fa5#3	F5#4	343	344	1	16	167	95	96	.	2.5
9	9	Sol5	G5	349	349	1	8	333	95	96	.	2.75
10	9	La5	A5	358	358	1	8	333	95	96	.	3.0
11	9	Sol5	G5	349	349	1	8	333	95	96	.	3.25
12	9	La5	A5	358	358	1	8	333	95	96	.	3.5
13	9	Sol5	G5	349	349	1	8	333	95	96	.	3.75
14	9	Fa5	F5	340	340	1	8	333	95	96	.	4.0
15	9	Mi5	E5	336	336	1	4	667	95	96	.	4.5
16	9	Re5	D5	327	327	1	8	333	95	96	.	4.75
17	9	Do5	C5	318	318	1	8	333	95	96	.	5.0
18	9	Re5	D5	327	327	1	4	667	95	96	.	5.5
19	9	Do5	C5	318	318	1	8	333	95	96	.	5.75
20	9	Re5	D5	327	327	1	8	333	95	96	.	6.0
21	9	Do5	C5	318	318	1	4	667	95	96	.	6.5
22	9	Si4b2	B4b1	312	313	1	4	667	95	96	.	7.0
23	9	Sol4	G4	296	296	3	16	500	95	96	.	7.375
24	9	La4	A4	305	305	1	16	167	95	96	.	7.5
25	9	Si4b2	B4b1	312	313	1	8	333	95	96	.	7.75
26	9	Do5	C5	318	318	1	8	333	95	96	.	8.0
27	9	Re5	D5	327	327	1	8	333	95	96	.	8.25
28	9	Mi5	E5	336	336	1	8	333	95	96	.	8.5
29	9	Fa5#3	F5#4	343	344	1	8	333	95	96	.	8.75
30	9	Sol5	G5	349	349	1	8	333	95	96	.	9.0
31	9	Fa5#3	F5#4	343	344	1	16	167	95	96	.	9.125
32	9	Sol5	G5	349	349	1	16	167	95	96	.	9.25
33	9	La5	A5	358	358	1	16	167	95	96	.	9.375
34	9	Si5b5	B5b5	362	362	1	16	167	95	96	.	9.5
35	9	La5	A5	358	358	1	16	167	95	96	.	9.625
36	9	Sol5	G5	349	349	1	16	167	95	96	.	9.75
37	9	Sol5	G5	349	349	1	16	167	95	96	.	9.875
38	9	Fa5	F5	340	340	1	16	167	95	96	.	10.0
39	9	Fa5	F5	340	340	1	16	167	95	96	.	10.125
40	9	Mi5	E5	336	336	1	16	167	95	96	.	10.25
41	9	Mi5	E5	336	336	1	16	167	95	96	.	10.375
42	9	Re5	D5	327	327	1	16	167	95	96	.	10.5
43	9	Re5	D5	327	327	1	16	167	95	96	.	10.625
44	9	Do5	C5	318	318	1	16	167	95	96	.	10.75
45	9	Do5	C5	318	318	1	16	167	95	96	.	10.875
46	9	Si4b2	B4b1	312	313	1	16	167	95	96	.	11.0
47	9	Re5	D5	327	327	1	16	167	95	96	.	11.125
48	9	Do5	C5	318	318	1	16	167	95	96	.	11.25
49	9	Re5	D5	327	327	1	8	333	95	96	.	11.5
50	9	La4	A4	305	305	1	4	667	95	96	.	12.0
51	9	La4	A4	305	305	3	16	500	95	96	.	12.375
52	9	Sol4	G4	296	296	1	16	167	95	96	.	12.5
53	9	Do5	C5	318	318	1	8	333	95	96	.	12.75
54	9	Si4b2	B4b1	312	313	1	16	167	95	96	.	12.875
55	11	La4	A4	305	305	1	16	167	95	96	.	13.0
56	9	La4	A4	305	305	3	8	1000	95	96	.	13.75
57	9	Mi5	E5	336	336	1	16	167	95	96	.	13.875
58	9	Fa5	F5	340	340	1	16	167	95	96	.	14.0
59	9	Mi5	E5	336	336	1	16	167	95	96	.	14.125
60	9	Re5	D5	327	327	1	16	167	95	96	.	14.25
61	9	Re5	D5	327	327	1	16	167	95	96	.	14.375
62	9	Do5	C5	318	318	1	16	167	95	96	.	14.5
63	9	Re5	D5	327	327	1	4	667	95	96	.	15.0
