Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	1	La4	A4	305	305	1	4	870	95	96	.	0.222222
2	9	Sol5	G5	349	349	3	16	652	95	96	Dil	0.388889
3	9	La5	A5	358	358	1	16	217	95	96	de 	0.444444
4	9	La5	A5	358	358	1	4	870	95	96	rast 	0.666667
5	9	Do6	C6	371	371	1	16	217	99	96	gel	0.722222
6	9	Si5b2	B5b1	365	366	1	16	217	99	96		0.777778
7	9	La5	A5	358	358	1	16	217	99	96		0.833333
8	9	Sol5	G5	349	349	1	16	217	99	96		0.888889
9	9	La5	A5	358	358	1	16	217	99	96		0.944444
10	9	Si5b2	B5b1	365	366	1	16	217	99	96		1.000000
11	9	La5	A5	358	358	1	4	870	95	96		1.222222
12	9	Sol5	G5	349	349	1	8	435	95	96	di 	1.333333
13	9	Fa5#3	F5#4	343	344	1	16	217	99	96	de 	1.388889
14	9	Mi5	E5	336	336	1	16	217	95	96		1.444444
15	9	Re5	D5	327	327	1	16	217	99	96	dil	1.500000
16	9	Do5#3	C5#4	321	322	1	16	217	99	96		1.555556
17	9	Re5	D5	327	327	1	16	217	99	96		1.611111
18	9	Mi5	E5	336	336	1	16	217	95	96		1.666667
19	9	Fa5#3	F5#4	343	344	1	16	217	99	96	dâ	1.722222
20	9	Sol5	G5	349	349	1	16	217	99	96		1.777778
21	9	La5	A5	358	358	1	16	217	99	96		1.833333
22	9	Si5b2	B5b1	365	366	1	16	217	99	96		1.888889
23	9	Do6	C6	371	371	1	16	217	99	96		1.944444
24	9	Re6	D6	380	380	1	16	217	99	96		2.000000
25	9	Do6	C6	371	371	1	16	217	99	96		2.055556
26	9	Si5b2	B5b1	365	366	1	16	217	99	96		2.111111
27	9	La5	A5	358	358	1	16	217	99	96		2.166667
28	9	Si5b2	B5b1	365	366	1	16	217	95	96		2.222222
29	9	Sol5	G5	349	349	1	8	435	95	96	re 	2.333333
30	9	La5	A5	358	358	1	8	435	95	96	gö	2.444444
31	9	La5	A5	358	358	1	4	870	95	96	nül  	2.666667
32	9	Sol5	G5	349	349	1	16	217	95	96	SAZ	2.722222
33	9	Fa5	F5	340	340	1	16	217	95	96	.	2.777778
34	9	Mi5	E5	336	336	1	16	217	95	96	.	2.833333
35	9	Re5	D5	327	327	1	16	217	95	96	.	2.888889
36	9	Do5	C5	318	318	1	16	217	95	96	.	2.944444
37	9	Si4b2	B4b1	312	313	1	16	217	95	96	.	3.000000
