Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol5	G5	349	349	1	2	2000	95	96		0.3333333
2	9	La5	A5	358	358	1	4	1000	95	96		0.5
3	9	La5	A5	358	358	1	4	1000	95	96		0.6666667
4	9	Re6	D6	380	380	1	8	500	95	96		0.75
5	9	Do6	C6	371	371	1	8	500	95	96		0.8333333
6	9	Si5b1	B5b1	366	366	1	8	500	95	96		0.9166667
7	9	La5	A5	358	358	1	8	500	95	96		1
8	9	Sol5	G5	349	349	3	8	1500	95	96		1.25
9	9	Fa5#4	F5#4	344	344	1	8	500	95	96		1.333333
10	9	Sol5	G5	349	349	1	4	1000	95	96		1.5
11	9	La5	A5	358	358	1	8	500	95	96		1.583333
12	9	Si5	B5	367	367	1	8	500	95	96		1.666667
13	9	Si5	B5	367	367	1	8	500	95	96		1.75
14	9	La5	A5	358	358	1	8	500	95	96		1.833333
15	9	Sol5	G5	349	349	1	8	500	95	96		1.916667
16	9	Fa5#4	F5#4	344	344	1	8	500	95	96		2
17	9	Mi5	E5	336	336	1	8	500	95	96		2.083333
18	9	Es	Es	-1	-1	1	8	500	100	0		2.166667
19	9	Mi5	E5	336	336	3	8	1500	95	96		2.416667
20	9	Re5	D5	327	327	1	8	500	95	96		2.5
21	9	Do5	C5	318	318	1	4	1000	95	96		2.666667
22	9	Re5	D5	327	327	1	16	250	95	96		2.708333
23	9	Do5	C5	318	318	1	16	250	95	96		2.75
24	9	Re5	D5	327	327	1	8	500	95	96		2.833333
25	9	Re5	D5	327	327	1	8	500	95	96		2.916667
26	9	Do5	C5	318	318	1	8	500	95	96		3
27	9	Si4b1	B4b1	313	313	1	8	500	95	96		3.083333
28	9	Es	Es	-1	-1	1	8	500	100	0		3.166667
29	9	Do5	C5	318	318	3	8	1500	95	96		3.416667
30	9	Si4b1	B4b1	313	313	1	8	500	95	96		3.5
31	9	La4	A4	305	305	1	8	500	95	96		3.583333
32	9	Si4b1	B4b1	313	313	1	8	500	95	96		3.666667
33	9	Re5	D5	327	327	1	8	500	95	96		3.75
34	9	Do5	C5	318	318	1	8	500	95	96		3.833333
35	9	Si4b1	B4b1	313	313	1	8	500	95	96		3.916667
36	9	La4	A4	305	305	1	8	500	95	96		4
37	9	Sol4	G4	296	296	1	8	500	95	96		4.083333
38	9	Es	Es	-1	-1	1	8	500	100	0		4.166667
39	9	Re5	D5	327	327	1	4	1000	95	96		4.333333
40	9	Mi5	E5	336	336	1	4	1000	95	96		4.5
41	9	La5	A5	358	358	1	8	500	95	96		4.583333
42	9	Sol5	G5	349	349	1	8	500	95	96		4.666667
43	9	Fa5#4	F5#4	344	344	1	8	500	95	96		4.75
44	9	Mi5	E5	336	336	1	8	500	95	96		4.833333
45	9	Re5	D5	327	327	1	4	1000	95	96		5
46	9	Do5	C5	318	318	3	8	1500	95	96		5.25
47	9	Si4b1	B4b1	313	313	1	8	500	95	96		5.333333
48	9	Si4b1	B4b1	313	313	1	8	500	95	96		5.416667
49	9	La4	A4	305	305	1	8	500	95	96		5.5
50	9	La4	A4	305	305	1	2	2000	95	96		5.833333
51	9	Es	Es	-1	-1	1	4	1000	100	0		6
52	9	Es	Es	-1	-1	1	4	1000	100	0		6.166667
53	9	Fa5#4	F5#4	344	344	1	4	1000	95	96		6.333333
54	9	Sol5	G5	349	349	1	4	1000	95	96		6.5
55	9	La5	A5	358	358	1	4	1000	95	96		6.666667
56	9	La5	A5	358	358	1	2	2000	95	96		7
57	9	La5	A5	358	358	1	2	2000	95	96		7.333333
58	9	La5	A5	358	358	1	4	1000	95	96		7.5
59	9	Si5b1	B5b1	366	366	1	4	1000	95	96		7.666667
60	9	Sol5	G5	349	349	1	4	1000	95	96		7.833333
61	9	Es	Es	-1	-1	1	4	1000	100	0		8
