Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol5	G5	349	349	1	8	500	95	96		0.125000
2	9	La5	A5	358	358	1	4	1000	95	96		0.375000
3	9	La5	A5	358	358	1	8	500	95	96		0.500000
4	9	Re6	D6	380	380	1	4	1000	95	96		0.750000
5	9	Do6	C6	371	371	1	8	500	95	96		0.875000
6	9	Si5b2	B5b1	365	366	1	8	500	95	96		1.000000
7	9	Si5b2	B5b1	365	366	3	16	750	95	96		1.187500
8	9	La5	A5	358	358	1	16	250	95	96		1.250000
9	9	La5	A5	358	358	1	16	250	95	96		1.312500
10	9	Do6	C6	371	371	1	16	250	95	96		1.375000
11	9	Si5b2	B5b1	365	366	1	16	250	95	96		1.437500
12	9	La5	A5	358	358	1	16	250	95	96		1.500000
13	9	La5	A5	358	358	1	2	2000	95	96		2.000000
14	9	Sol5	G5	349	349	1	8	500	95	96		2.125000
15	9	Fa5#3	F5#4	343	344	1	8	500	95	96		2.250000
16	9	Sol5	G5	349	349	1	8	500	95	96		2.375000
17	9	La5	A5	358	358	1	8	500	95	96		2.500000
18	9	Do6	C6	371	371	1	8	500	95	96		2.625000
19	9	Si5b2	B5b1	365	366	1	8	500	95	96		2.750000
20	9	La5	A5	358	358	1	8	500	95	96		2.875000
21	9	Sol5	G5	349	349	1	8	500	95	96		3.000000
22	9	Sol5	G5	349	349	1	8	500	95	96		3.125000
23	9	Fa5#3	F5#4	343	344	1	8	500	95	96		3.250000
24	9	Fa5#3	F5#4	343	344	1	8	500	95	96		3.375000
25	9	Mi5	E5	336	336	1	8	500	95	96		3.500000
26	9	La5	A5	358	358	1	16	250	95	96		3.562500
27	9	Sol5	G5	349	349	1	16	250	95	96		3.625000
28	9	Fa5#3	F5#4	343	344	1	16	250	95	96		3.687500
29	9	Mi5	E5	336	336	1	16	250	95	96		3.750000
30	9	Re5	D5	327	327	1	4	1000	95	96		4.000000
31	9	Es	Es	-1	-1	1	8	500	100	0		4.125000
32	9	Mi5	E5	336	336	1	4	1000	95	96		4.375000
33	9	Fa5#3	F5#4	343	344	1	8	500	95	96		4.500000
34	9	Sol5	G5	349	349	1	8	500	95	96		4.625000
35	9	La5	A5	358	358	1	8	500	95	96		4.750000
36	9	Si5	B5	367	367	1	8	500	95	96		4.875000
37	9	La5	A5	358	358	1	8	500	95	96		5.000000
38	9	La5	A5	358	358	1	8	500	95	96		5.125000
39	9	Sol5	G5	349	349	1	4	1000	95	96		5.375000
40	9	Fa5#3	F5#4	343	344	1	8	500	95	96		5.500000
41	9	Fa5#3	F5#4	343	344	1	8	500	95	96		5.625000
42	9	Mi5	E5	336	336	1	8	500	95	96		5.750000
43	9	Mi5	E5	336	336	1	16	250	95	96		5.812500
44	9	Sol5	G5	349	349	1	16	250	95	96		5.875000
45	9	Fa5#3	F5#4	343	344	1	16	250	95	96		5.937500
46	9	Mi5	E5	336	336	1	16	250	95	96		6.000000
47	9	Mi5	E5	336	336	3	16	750	95	96		6.187500
48	9	Re5	D5	327	327	1	16	250	95	96		6.250000
49	9	Re5	D5	327	327	1	8	500	95	96		6.375000
50	9	Do5	C5	318	318	1	8	500	95	96		6.500000
51	9	Do5	C5	318	318	1	8	500	95	96		6.625000
52	9	Re5	D5	327	327	1	8	500	95	96		6.750000
53	9	Mi5	E5	336	336	1	4	1000	95	96		7.000000
54	9	Re5	D5	327	327	1	4	1000	95	96		7.250000
55	9	Mi5	E5	336	336	1	4	1000	95	96		7.500000
56	9	Mi5	E5	336	336	1	4	1000	95	96		7.750000
57	9	La5	A5	358	358	1	4	1000	95	96		8.000000
58	9	Sol5	G5	349	349	1	8	500	95	96		8.125000
59	9	Fa5	F5	340	340	1	8	500	95	96		8.250000
60	9	Mi5	E5	336	336	1	8	500	95	96		8.375000
61	9	Re5	D5	327	327	1	8	500	95	96		8.500000
62	8	Mi5	E5	336	336	0	0	0	95	96		8.500000
63	9	Re5	D5	327	327	1	16	250	95	96		8.562500
64	9	Do5	C5	318	318	1	16	250	95	96		8.625000
65	9	Do5	C5	318	318	1	16	250	95	96		8.687500
66	9	Si4b2	B4b1	312	313	1	16	250	95	96		8.750000
67	9	Do5	C5	318	318	1	4	1000	95	96		9.000000
68	9	Es	Es	-1	-1	1	4	1000	100	0		9.250000
69	9	Si4b2	B4b1	312	313	1	8	500	95	96		9.375000
70	9	Do5	C5	318	318	1	8	500	95	96		9.500000
71	9	Re5	D5	327	327	1	4	1000	95	96		9.750000
72	9	Mi5	E5	336	336	1	4	1000	95	96		10.000000
73	9	Re5	D5	327	327	3	16	750	95	96		10.187500
74	9	Do5	C5	318	318	1	16	250	95	96		10.250000
75	9	Si4b2	B4b1	312	313	1	8	500	95	96		10.375000
76	9	Do5	C5	318	318	1	8	500	95	96		10.500000
77	9	Si4b2	B4b1	312	313	1	4	1000	95	96		10.750000
78	9	La4	A4	305	305	1	4	1000	95	96		11.000000
79	9	Sol4	G4	296	296	1	4	1000	95	96		11.250000
80	9	La4	A4	305	305	1	16	250	95	96		11.312500
81	9	Do5	C5	318	318	1	16	250	95	96		11.375000
82	9	Si4b2	B4b1	312	313	1	16	250	95	96		11.437500
83	9	La4	A4	305	305	1	16	250	95	96		11.500000
84	9	La4	A4	305	305	1	2	2000	95	96		12.000000
