Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
1	9	Re5	D5	327	327	1	16	152	95	96	ARANAÐME
2	9	Mi5	E5	336	336	1	8	303	95	96	.
3	9	Mi5	E5	336	336	1	16	152	95	96	.
4	9	Mi5	E5	336	336	1	8	303	95	96	.
5	9	Mi5	E5	336	336	1	8	303	95	96	.
6	9	Mi5	E5	336	336	1	8	303	95	96	.
7	9	Mi5	E5	336	336	1	4	606	95	96	.
8	9	La5	A5	358	358	1	8	303	95	96	.
9	9	Sol5	G5	349	349	1	8	303	95	96	.
10	9	Fa5#3	F5#4	343	344	1	16	152	95	96	.
11	9	Sol5	G5	349	349	1	16	152	95	96	.
12	9	Mi5	E5	336	336	1	16	152	95	96	.
13	9	Mi5	E5	336	336	1	16	152	95	96	.
14	9	Re5	D5	327	327	1	8	303	95	96	.
15	9	Mi5	E5	336	336	1	16	152	95	96	.
16	9	Re5	D5	327	327	1	16	152	95	96	.
17	9	Do5	C5	318	318	1	16	152	95	96	.
18	9	Re5	D5	327	327	1	16	152	95	96	.
19	9	Do5	C5	318	318	2	8	606	95	96	.
20	9	Re5	D5	327	327	1	16	152	95	96	.
21	9	Mi5	E5	336	336	1	8	303	95	96	.
22	9	Mi5	E5	336	336	1	16	152	95	96	.
23	9	Mi5	E5	336	336	1	8	303	95	96	.
24	9	Mi5	E5	336	336	1	8	303	95	96	.
25	9	Mi5	E5	336	336	1	8	303	95	96	.
26	9	Mi5	E5	336	336	1	4	606	95	96	.
27	9	La5	A5	358	358	1	8	303	95	96	.
28	9	Sol5	G5	349	349	1	8	303	95	96	.
29	9	Fa5#3	F5#4	343	344	1	16	152	95	96	.
30	9	Sol5	G5	349	349	1	16	152	95	96	.
31	9	Mi5	E5	336	336	1	16	152	95	96	.
32	9	Mi5	E5	336	336	1	16	152	95	96	.
33	9	Re5	D5	327	327	1	8	303	95	96	.
34	9	Mi5	E5	336	336	1	16	152	95	96	.
35	9	Re5	D5	327	327	1	16	152	95	96	.
36	9	Do5	C5	318	318	1	16	152	95	96	.
37	9	Re5	D5	327	327	1	16	152	95	96	.
38	9	Do5	C5	318	318	2	8	606	95	96	.
39	9	Re5	D5	327	327	1	8	303	95	96	.
40	9	Mi5	E5	336	336	1	4	606	95	96	.
41	9	Mi5	E5	336	336	1	8	303	95	96	.
42	9	Mi5	E5	336	336	1	8	303	95	96	.
43	9	Mi5	E5	336	336	1	4	606	95	96	.
44	9	La5	A5	358	358	1	8	303	95	96	.
45	9	Sol5	G5	349	349	1	8	303	95	96	.
46	9	Fa5#3	F5#4	343	344	1	16	152	95	96	.
47	9	Sol5	G5	349	349	1	16	152	95	96	.
48	9	Mi5	E5	336	336	1	16	152	95	96	.
49	9	Mi5	E5	336	336	1	16	152	95	96	.
50	9	Re5	D5	327	327	1	8	303	95	96	.
51	9	Mi5	E5	336	336	1	16	152	95	96	.
52	9	Re5	D5	327	327	1	16	152	95	96	.
53	9	Do5	C5	318	318	1	16	152	95	96	.
54	9	Si4b2	B4b1	312	313	1	16	152	95	96	.
55	9	Do5	C5	318	318	1	16	152	95	96	.
56	9	Si4b2	B4b1	312	313	1	16	152	95	96	.
57	9	Do5	C5	318	318	2	8	606	95	96	.
58	9	Si4b2	B4b1	312	313	1	16	152	95	96	.
59	9	Do5	C5	318	318	1	16	152	95	96	.
60	9	Si4b2	B4b1	312	313	1	8	303	95	96	.
61	9	La4	A4	305	305	1	8	303	95	96	.
62	9	Do5	C5	318	318	1	16	152	95	96	.
63	9	Si4b2	B4b1	312	313	1	16	152	95	96	.
64	9	La4	A4	305	305	1	16	152	95	96	.
65	9	Si4b2	B4b1	312	313	1	16	152	95	96	.
66	9	La4	A4	305	305	1	4	606	95	96	.
67	9	La4	A4	305	305	3	16	455	95	96	.
68	9	La4	A4	305	305	1	16	152	95	96	.
69	9	La4	A4	305	305	1	16	152	95	96	.
70	9	La4	A4	305	305	1	16	152	95	96	.
71	9	La4	A4	305	305	1	8	303	95	96	.
72	9	La4	A4	305	305	1	16	152	95	96	.
73	9	La4	A4	305	305	1	16	152	95	96	.
74	9	La4	A4	305	305	1	8	303	95	96	.
75	9	La4	A4	305	305	2	4	1212	95	96	.
76	9	Fa5#3	F5#4	343	344	1	8	303	95	96	Sa
77	9	Sol5	G5	349	349	1	8	303	95	96	rý 
78	9	La5	A5	358	358	1	8	303	95	96	ký
79	9	La5	A5	358	358	3	8	909	95	96	zýn 
80	9	Si5b2	B5b1	365	366	1	16	152	99	96	saç
81	9	La5	A5	358	358	1	16	152	95	96	
82	9	Sol5	G5	349	349	1	4	606	99	96	la
83	9	Fa5#3	F5#4	343	344	1	8	303	95	96	
84	9	La5	A5	358	358	1	16	152	99	96	rý 
85	9	Sol5	G5	349	349	1	16	152	99	96	
86	9	Fa5#3	F5#4	343	344	1	16	152	99	96	
87	9	Sol5	G5	349	349	1	16	152	99	96	
88	9	Fa5#3	F5#4	343	344	2	4	1212	95	96	
89	9	Fa5#3	F5#4	343	344	1	8	303	95	96	Sa
90	9	Sol5	G5	349	349	1	8	303	95	96	rý 
91	9	La5	A5	358	358	1	8	303	95	96	ký
92	9	La5	A5	358	358	3	8	909	95	96	zýn 
93	9	Si5b2	B5b1	365	366	1	16	152	99	96	saç
94	9	La5	A5	358	358	1	16	152	95	96	
95	9	Sol5	G5	349	349	1	4	606	99	96	la
96	9	Fa5#3	F5#4	343	344	1	8	303	95	96	
97	9	La5	A5	358	358	1	16	152	99	96	rý 
98	9	Sol5	G5	349	349	1	16	152	99	96	
99	9	Fa5#3	F5#4	343	344	1	16	152	99	96	
100	9	Sol5	G5	349	349	1	16	152	99	96	
101	9	Fa5#3	F5#4	343	344	1	4	606	95	96	
102	9	Sol5	G5	349	349	1	8	303	95	96	a
103	9	Mi5	E5	336	336	1	4	606	99	96	man 
