Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol5	G5	349	349	1	4	769	95	96		0.111111
2	9	Fa5#3	F5#4	343	344	3	16	577	95	96		0.194444
3	9	Mi5	E5	336	336	1	16	192	95	96		0.222222
4	9	Re5	D5	327	327	1	4	769	50	96		0.333333
5	9	Mi5	E5	336	336	1	4	769	50	96		0.444444
6	9	Fa5#3	F5#4	343	344	1	4	769	50	96		0.555556
7	9	Sol5	G5	349	349	1	4	769	95	96		0.666667
8	9	Fa5#3	F5#4	343	344	1	8	385	95	96		0.722222
9	9	Re5	D5	327	327	1	8	385	95	96		0.777778
10	9	Mi5	E5	336	336	1	2	1538	95	96		1.000000
11	35			-1	-1	0	0	0	0	0		1.000000
12	9	Fa5#3	F5#4	343	344	1	8	385	95	96		1.055556
13	9	Sol5	G5	349	349	1	16	192	95	96		1.083333
14	9	Sol5	G5	349	349	1	16	192	95	96		1.111111
15	9	La5	A5	358	358	1	8	385	95	96		1.166667
16	9	Sol5	G5	349	349	1	8	385	95	96		1.222222
17	9	La5	A5	358	358	1	4	769	50	96		1.333333
18	9	Re5	D5	327	327	1	8	385	95	96		1.388889
19	9	Re5	D5	327	327	1	16	192	95	96		1.416667
20	9	Re5	D5	327	327	1	16	192	95	96		1.444444
21	9	Mi5	E5	336	336	1	8	385	95	96		1.500000
22	9	Fa5#3	F5#4	343	344	1	8	385	95	96		1.555556
23	9	Sol5	G5	349	349	1	4	769	95	96		1.666667
24	9	Fa5#3	F5#4	343	344	1	8	385	95	96		1.722222
25	9	Re5	D5	327	327	1	8	385	95	96		1.777778
26	9	Mi5	E5	336	336	1	2	1538	95	96		2.000000
27	35			-1	-1	0	0	0	0	0		2.000000
28	9	Re5	D5	327	327	1	8	385	95	96		2.055556
29	9	Re5	D5	327	327	1	16	192	95	96		2.083333
30	9	La5	A5	358	358	1	16	192	95	96		2.111111
31	9	Sol5	G5	349	349	1	16	192	95	96		2.138889
32	9	La5	A5	358	358	1	16	192	95	96		2.166667
33	9	Fa5#3	F5#4	343	344	1	16	192	95	96		2.194444
34	9	Sol5	G5	349	349	1	16	192	95	96		2.222222
35	9	Mi5	E5	336	336	1	16	192	95	96		2.250000
36	9	Fa5	F5	340	340	1	16	192	95	96		2.277778
37	9	Re5	D5	327	327	1	8	385	95	96		2.333333
38	9	Do5	C5	318	318	3	16	577	95	96		2.416667
39	9	Si4b2	B4b1	312	313	1	16	192	95	96		2.444444
40	9	La4	A4	305	305	1	4	769	95	96		2.555556
41	9	Si4b2	B4b1	312	313	1	8	385	95	96		2.611111
42	9	Do5	C5	318	318	1	8	385	95	96		2.666667
43	9	Re5	D5	327	327	1	4	769	95	96		2.777778
44	9	La4	A4	305	305	1	2	1538	95	96		3.000000
45	35			-1	-1	0	0	0	0	0		3.000000
46	9	Si4b2	B4b1	312	313	1	8	385	95	96		3.055556
47	9	Do5	C5	318	318	1	8	385	95	96		3.111111
48	9	Re5	D5	327	327	1	8	385	95	96		3.166667
49	9	Do5	C5	318	318	1	8	385	95	96		3.222222
50	9	Re5	D5	327	327	1	4	769	95	96		3.333333
51	9	Sol4	G4	296	296	1	8	385	95	96		3.388889
52	9	Sol4	G4	296	296	1	16	192	95	96		3.416667
53	9	Sol4	G4	296	296	1	16	192	95	96		3.444444
54	9	La4	A4	305	305	1	8	385	95	96		3.500000
55	9	Si4b2	B4b1	312	313	1	8	385	95	96		3.555556
