Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Re5	D5	327	327	1	8	455	95	96	ARANAĞME	0.250000
2	9	Re5	D5	327	327	1	16	227	95	96	.	0.375000
3	9	Re5	D5	327	327	1	16	227	95	96	.	0.500000
4	9	Re5	D5	327	327	1	32	114	95	96	.	0.562500
5	9	Mi5	E5	336	336	1	32	114	95	96	.	0.625000
6	9	Re5	D5	327	327	1	32	114	95	96	.	0.687500
7	9	Do5	C5	318	318	1	32	114	95	96	.	0.750000
8	9	Re5	D5	327	327	1	8	455	50	96	.	1.000000
9	9	Re5	D5	327	327	1	8	455	95	96	.	1.250000
10	9	Do5	C5	318	318	1	16	227	95	96	.	1.375000
11	9	Re5	D5	327	327	1	16	227	95	96	.	1.500000
12	9	Mi5	E5	336	336	1	16	227	95	96	.	1.625000
13	9	Mi5	E5	336	336	1	16	227	95	96	.	1.750000
14	9	Do5	C5	318	318	1	8	455	95	96	.	2.000000
15	7	Mi5	E5	336	336	4	16	909	95	96	.	2.500000
16	9	Mi5	E5	336	336	1	32	114	95	96	.	2.562500
17	9	Fa5	F5	340	340	1	32	114	95	96	.	2.625000
18	9	Mi5	E5	336	336	1	32	114	95	96	.	2.687500
19	9	Re5	D5	327	327	1	32	114	95	96	.	2.750000
20	9	Mi5	E5	336	336	1	8	455	95	96	.	3.000000
21	9	Mi5	E5	336	336	1	8	455	95	96	.	3.250000
22	9	Re5	D5	327	327	1	16	227	95	96	.	3.375000
23	9	Mi5	E5	336	336	1	16	227	95	96	.	3.500000
24	9	Fa5	F5	340	340	1	24	152	95	96	.	3.583333
25	9	Mi5	E5	336	336	1	24	152	95	96	.	3.666667
26	9	Fa5	F5	340	340	1	24	152	95	96	.	3.750000
27	1	Re5	D5	327	327	1	32	114	95	96	.	3.812500
28	1	Mi5	E5	336	336	1	32	114	95	96	.	3.875000
29	1	Fa5	F5	340	340	1	32	114	95	96	.	3.937500
30	1	Sol5	G5	349	349	1	32	114	95	96	.	4.000000
31	9	La5	A5	358	358	1	16	227	95	96	.	4.125000
32	9	La5	A5	358	358	1	8	455	95	96	.	4.375000
33	9	La5	A5	358	358	1	16	227	95	96	.	4.500000
34	9	La5	A5	358	358	1	8	455	50	96	.	4.750000
35	9	Es	Es	-1	-1	1	8	455	100	0	.	5.000000
36	9	Es	Es	-1	-1	1	8	455	100	0	.	5.250000
37	9	Re5	D5	327	327	1	16	227	95	96	.	5.375000
38	9	Re5	D5	327	327	1	16	227	95	96	.	5.500000
39	9	Mi5	E5	336	336	1	16	227	95	96	.	5.625000
40	9	Do5	C5	318	318	1	16	227	95	96	.	5.750000
41	9	Es	Es	-1	-1	1	8	455	100	0	.	6.000000
42	9	Es	Es	-1	-1	1	16	227	100	0	.	6.125000
43	9	Do5	C5	318	318	1	8	455	95	96	.	6.375000
44	9	Si4b2	B4b1	312	313	1	16	227	95	96	.	6.500000
45	9	Re5	D5	327	327	1	16	227	95	96	.	6.625000
46	9	Do5	C5	318	318	1	16	227	95	96	.	6.750000
47	9	Si4b5	B4b5	309	309	1	8	455	95	96	.	7.000000
48	9	Es	Es	-1	-1	1	8	455	100	0	.	7.250000
49	9	La4	A4	305	305	1	16	227	95	96	.	7.375000
50	9	Do5	C5	318	318	1	16	227	95	96	.	7.500000
51	9	Si4b5	B4b5	309	309	1	16	227	95	96	.	7.625000
52	9	La4	A4	305	305	1	16	227	95	96	.	7.750000
53	1	Fa5	F5	340	340	1	32	114	95	96	.	7.812500
54	1	Mi5	E5	336	336	1	32	114	95	96	.	7.875000
55	1	Re5	D5	327	327	1	32	114	95	96	.	7.937500
56	1	Do5	C5	318	318	1	32	114	95	96	.	8.000000
57	9	Re5	D5	327	327	1	8	455	95	96	ARANAĞME	8.250000
58	9	Re5	D5	327	327	1	16	227	95	96	.	8.375000
59	9	Re5	D5	327	327	1	16	227	95	96	.	8.500000
60	9	Re5	D5	327	327	1	32	114	95	96	.	8.562500
61	9	Mi5	E5	336	336	1	32	114	95	96	.	8.625000
62	9	Re5	D5	327	327	1	32	114	95	96	.	8.687500
63	9	Do5	C5	318	318	1	32	114	95	96	.	8.750000
64	9	Re5	D5	327	327	1	8	455	50	96	.	9.000000
65	9	Re5	D5	327	327	1	8	455	95	96	.	9.250000
66	9	Do5	C5	318	318	1	16	227	95	96	.	9.375000
67	9	Re5	D5	327	327	1	16	227	95	96	.	9.500000
68	9	Mi5	E5	336	336	1	16	227	95	96	.	9.625000
69	9	Mi5	E5	336	336	1	16	227	95	96	.	9.750000
70	9	Do5	C5	318	318	1	8	455	95	96	.	10.000000
71	7	Mi5	E5	336	336	4	16	909	95	96	.	10.500000
72	9	Mi5	E5	336	336	1	32	114	95	96	.	10.562500
73	9	Fa5	F5	340	340	1	32	114	95	96	.	10.625000
74	9	Mi5	E5	336	336	1	32	114	95	96	.	10.687500
