Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	8	4	0	98	0	Düyek (8/4)	0.0
2	9	Es	Es	-1	-1	1	4	1053	100	0		0.125
3	11	La5	A5	358	358	1	8	526	99	96	Dil	0.1875
4	9	La5	A5	358	358	1	8	526	99	96		0.25
5	9	La5	A5	358	358	1	4	1053	95	96		0.375
6	9	La5	A5	358	358	1	4	1053	95	96	be	0.5
7	9	Sol5#4	G5#4	353	353	1	8	526	99	96	râ	0.5625
8	9	La5	A5	358	358	1	8	526	99	96		0.625
9	12	Si5b4	B5b4	363	363	1	8	526	99	96		0.6875
10	10	Si5b5	B5b5	362	362	1	16	263	99	96		0.71875
11	8	Do6	C6	371	371	0	0	0	99	96		0.71875
12	11	La5	A5	358	358	1	16	263	95	96		0.75
13	9	La5	A5	358	358	1	4	1053	95	96	nın 	0.875
14	9	Es	Es	-1	-1	1	4	1053	100	0		1.0
15	9	Es	Es	-1	-1	1	4	1053	100	0		1.125
16	9	Do6#4	C6#4	375	375	1	4	1053	99	96	mec	1.25
17	9	Si5b4	B5b4	363	363	1	4	1053	95	96		1.375
18	9	La5	A5	358	358	1	4	1053	95	96	li	1.5
19	9	La5	A5	358	358	3	16	789	99	96	sin	1.59375
20	9	Sol5#4	G5#4	353	353	1	16	263	99	96		1.625
21	9	Fa5	F5	340	340	1	8	526	99	96		1.6875
22	9	Sol5#4	G5#4	353	353	1	8	526	95	96		1.75
23	9	La5	A5	358	358	1	4	1053	95	96	de 	1.875
24	9	Es	Es	-1	-1	1	4	1053	100	0		2.0
25	9	Es	Es	-1	-1	1	4	1053	100	0		2.125
26	9	La5	A5	358	358	1	8	526	99	96	düş	2.1875
27	9	Si5b4	B5b4	363	363	1	8	526	99	96		2.25
28	9	La5	A5	358	358	1	4	1053	95	96		2.375
29	9	Si5b4	B5b4	363	363	1	4	1053	95	96	tü 	2.5
30	12	Do6#4	C6#4	375	375	1	8	526	99	96	gön	2.5625
31	12	Si5b4	B5b4	363	363	1	8	526	99	96		2.625
32	9	Si5b4	B5b4	363	363	1	8	526	99	96		2.6875
33	9	La5	A5	358	358	1	8	526	95	96		2.75
34	9	Si5b4	B5b4	363	363	1	2	2105	95	96	lüm 	3.0
35	9	Es	Es	-1	-1	1	4	1053	100	0		3.125
36	9	La5	A5	358	358	1	2	2105	95	96	sen 	3.375
37	9	Si5b5	B5b5	362	362	1	4	1053	95	96	gü	3.5
38	11	La5	A5	358	358	1	4	1053	99	96	le  	3.625
39	11	La5	A5	358	358	1	8	526	99	96		3.6875
40	11	Sol5#4	G5#4	353	353	1	8	526	99	96		3.75
41	9	Fa5#1	F5#1	341	341	1	8	526	99	96		3.8125
42	9	Sol5#4	G5#4	353	353	1	8	526	99	96		3.875
43	9	La5	A5	358	358	1	4	1053	95	96		4.0
44	9	Es	Es	-1	-1	1	4	1053	100	0		4.125
45	9	La5	A5	358	358	1	4	1053	99	96	Ol 	4.25
46	9	La5	A5	358	358	3	16	789	99	96		4.34375
47	11	Sol5	G5	349	349	1	16	263	95	96		4.375
48	9	Sol5	G5	349	349	1	4	1053	95	96	se	4.5
49	10	Sol5	G5	349	349	1	4	1053	99	96	bep	4.625
50	8	La5	A5	358	358	0	0	0	99	96		4.625
51	9	Sol5	G5	349	349	1	8	526	99	96		4.6875
52	9	Si5b5	B5b5	362	362	1	8	526	95	96		4.75
53	9	La5	A5	358	358	1	8	526	99	96	ten 	4.8125
54	9	Sol5	G5	349	349	1	8	526	99	96		4.875
55	9	Fa5	F5	340	340	1	8	526	99	96		4.9375
56	9	Mi5	E5	336	336	1	8	526	99	96		5.0
57	9	Mi5	E5	336	336	1	8	526	99	96		5.0625
58	9	Re5b3	D5b4	324	323	1	8	526	95	96		5.125
59	9	Do5	C5	318	318	1	8	526	99	96	ol	5.1875
60	9	Re5b3	D5b4	324	323	1	8	526	99	96		5.25
61	9	Do5	C5	318	318	1	4	1053	95	96		5.375
62	11	Re5b3	D5b4	324	323	1	4	1053	95	96	du 	5.5
63	9	Re5b3	D5b4	324	323	1	8	526	99	96	fer	5.5625
64	9	Do5	C5	318	318	1	4	1053	99	96		5.6875
65	9	Si4b2	B4b1	312	313	1	8	526	95	96		5.75
66	9	Do5	C5	318	318	3	16	789	99	96	yâ	5.84375
67	9	Si4b2	B4b1	312	313	1	16	263	99	96		5.875
68	9	La4	A4	305	305	1	4	1053	95	96		6.0
69	9	Es	Es	-1	-1	1	4	1053	100	0		6.125
70	9	La4	A4	305	305	1	8	526	99	96	dım 	6.1875
71	9	Sol4	G4	296	296	1	8	526	99	96		6.25
72	9	La4	A4	305	305	1	4	1053	95	96		6.375
73	9	Si4b2	B4b1	312	313	1	4	1053	95	96	Mu	6.5
74	9	Do5	C5	318	318	1	4	1053	99	96	hay	6.625
