Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	1	4	1176	95	96	Neş	0.142857142857
2	9	Re5	D5	327	327	1	8	588	95	96	e	0.214285714286
3	9	Re5	D5	327	327	1	8	588	99	96	si 	0.285714285714
4	9	Re5	D5	327	327	1	8	588	99	96		0.357142857143
5	9	Re5	D5	327	327	1	16	294	99	96		0.392857142857
6	9	Mi5b5	E5b5	331	331	1	16	294	99	96		0.428571428571
7	9	Re5	D5	327	327	1	16	294	99	96		0.464285714286
8	9	Do5	C5	318	318	1	16	294	95	96		0.5
9	9	Do5	C5	318	318	1	8	588	99	96	Ru	0.571428571429
10	9	Re5	D5	327	327	1	8	588	99	96		0.642857142857
11	9	Do5	C5	318	318	1	8	588	99	96		0.714285714286
12	9	Do5	C5	318	318	1	16	294	99	96		0.75
13	9	Si4b5	B4b5	309	309	1	16	294	99	96		0.785714285714
14	9	Si4b5	B4b5	309	309	1	16	294	99	96		0.821428571429
15	9	La4	A4	305	305	1	16	294	99	96		0.857142857143
16	9	Si4b5	B4b5	309	309	1	8	588	95	96		0.928571428571
17	9	Es	Es	-1	-1	1	8	588	100	0		1.0
18	9	La4	A4	305	305	1	8	588	99	96	mî 	1.07142857143
19	9	Si4b5	B4b5	309	309	1	8	588	95	96		1.14285714286
20	9	Do5	C5	318	318	1	8	588	95	96	Ni	1.21428571429
21	9	Do5	C5	318	318	1	16	294	99	96	hâ	1.25
22	9	Si4b5	B4b5	309	309	1	16	294	99	96		1.28571428571
23	9	Si4b5	B4b5	309	309	1	16	294	99	96		1.32142857143
24	9	La4	A4	305	305	1	16	294	99	96		1.35714285714
25	9	La4	A4	305	305	1	16	294	99	96		1.39285714286
26	9	Sol4	G4	296	296	1	16	294	99	96		1.42857142857
27	9	Sol4	G4	296	296	1	16	294	99	96		1.46428571429
28	9	Fa4#4	F4#4	291	291	1	16	294	95	96		1.5
29	9	Sol4	G4	296	296	1	8	588	99	96	ven	1.57142857143
30	9	Fa4#4	F4#4	291	291	1	8	588	99	96		1.64285714286
31	11	La4	A4	305	305	1	16	294	99	96		1.67857142857
32	11	Sol4	G4	296	296	1	16	294	99	96		1.71428571429
33	9	Sol4	G4	296	296	3	8	1765	95	96		1.92857142857
34	9	Es	Es	-1	-1	1	8	588	100	0		2.0
35	9	Re5	D5	327	327	1	4	1176	95	96	din 	2.14285714286
36	9	Mi5b5	E5b5	331	331	1	8	588	95	96	gö	2.21428571429
37	9	Fa5#4	F5#4	344	344	1	8	588	99	96	nül	2.28571428571
38	9	Mi5b5	E5b5	331	331	1	16	294	99	96		2.32142857143
39	9	Fa5#4	F5#4	344	344	1	16	294	99	96		2.35714285714
40	9	La5	A5	358	358	1	16	294	99	96		2.39285714286
41	9	Sol5	G5	349	349	1	16	294	99	96		2.42857142857
42	9	Fa5#4	F5#4	344	344	1	16	294	99	96		2.46428571429
43	9	Mi5b5	E5b5	331	331	1	16	294	95	96		2.5
44	9	Re5	D5	327	327	1	4	1176	99	96	de 	2.64285714286
45	9	La5	A5	358	358	1	8	588	99	96		2.71428571429
46	12	La5	A5	358	358	1	8	588	99	96		2.78571428571
47	9	Sol5	G5	349	349	1	16	294	99	96		2.82142857143
48	9	La5	A5	358	358	1	16	294	99	96		2.85714285714
49	12	Si5b5	B5b5	362	362	1	8	588	99	96		2.92857142857
50	9	La5	A5	358	358	1	16	294	99	96		2.96428571429
51	9	Sol5	G5	349	349	1	16	294	95	96		3.0
52	9	Fa5#4	F5#4	344	344	1	4	1176	99	96	ber	3.14285714286
53	9	Re5	D5	327	327	1	8	588	99	96		3.21428571429
54	9	Fa5#4	F5#4	344	344	1	16	294	99	96		3.25
55	9	Mi5b5	E5b5	331	331	1	16	294	99	96		3.28571428571
56	9	Mi5b5	E5b5	331	331	1	16	294	99	96		3.32142857143
57	9	Re5	D5	327	327	1	16	294	95	96		3.35714285714
58	9	Do5#4	C5#4	322	322	1	16	294	99	96	ka	3.39285714286
59	9	Re5	D5	327	327	1	16	294	99	96		3.42857142857
60	9	Mi5b5	E5b5	331	331	1	32	147	99	96		3.44642857143
61	9	Fa5#4	F5#4	344	344	1	32	147	99	96		3.46428571429
62	9	Mi5b5	E5b5	331	331	1	32	147	99	96		3.48214285714
63	9	Re5	D5	327	327	1	32	147	95	96		3.5
64	9	Re5	D5	327	327	3	8	1764	95	96	râr  	3.71428571429
65	9	Es	Es	-1	-1	1	2	2353	100	0		4.0
66	9	Re5	D5	327	327	1	8	588	99	96	Mec	4.07142857143
67	9	Fa5	F5	340	340	1	8	588	95	96		4.14285714286
68	9	Fa5	F5	340	340	1	8	588	95	96	li	4.21428571429
69	9	Fa5	F5	340	340	1	8	588	99	96	si 	4.28571428571
70	9	Fa5	F5	340	340	1	16	294	99	96		4.32142857143
71	9	Mi5b5	E5b5	331	331	1	16	294	99	96		4.35714285714
72	9	Re5	D5	327	327	1	8	588	99	96		4.42857142857
73	9	Sol5	G5	349	349	1	8	588	95	96		4.5
74	9	Sol5	G5	349	349	1	8	588	99	96	ehl_	4.57142857143
75	9	Fa5	F5	340	340	1	8	588	99	96		4.64285714286
76	9	Mi5b5	E5b5	331	331	1	8	588	99	96		4.71428571429
77	9	Re5	D5	327	327	1	8	588	99	96		4.78571428571
78	9	Re5	D5	327	327	1	16	294	99	96		4.82142857143
79	9	Do5	C5	318	318	1	16	294	99	96		4.85714285714
80	9	Re5	D5	327	327	1	16	294	99	96		4.89285714286
81	9	Do5	C5	318	318	1	16	294	99	96		4.92857142857
82	9	Si4b5	B4b5	309	309	1	8	588	95	96		5.0
83	9	Do5	C5	318	318	1	8	588	99	96	i 	5.07142857143
84	9	Re5	D5	327	327	1	8	588	95	96		5.14285714286
