Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	8	8	0	17	0	Düyek	0.0
2	9	Sol5	G5	349	349	3	8	1250	95	96	ARANAĞME	0.375
3	9	Fa5#4	F5#4	344	344	1	16	208	95	96	.	0.4375
4	9	Mi5b5	E5b5	331	331	1	16	208	95	96	.	0.5
5	9	Re5	D5	327	327	1	2	1667	95	96	.	1.0
6	9	Si4b5	B4b5	309	309	1	8	417	95	96	.	1.125
7	9	Do5	C5	318	318	1	8	417	95	96	.	1.25
8	9	Si4b5	B4b5	309	309	1	8	417	95	96	.	1.375
9	9	Do5	C5	318	318	1	8	417	95	96	.	1.5
10	9	Re5	D5	327	327	1	2	1667	95	96	.	2.0
11	9	La4	A4	305	305	1	4	833	95	96	.	2.25
12	9	La4	A4	305	305	1	8	417	95	96	.	2.375
13	9	La4	A4	305	305	1	8	417	95	96	.	2.5
14	9	La4	A4	305	305	1	8	417	95	96	.	2.625
15	9	Re5	D5	327	327	1	8	417	95	96	.	2.75
16	9	Si4b5	B4b5	309	309	1	8	417	95	96	.	2.875
17	9	Re5	D5	327	327	1	8	417	95	96	.	3.0
18	9	Sol4	G4	296	296	1	2	1667	95	96	.	3.5
19	9	Re4	D4	274	274	1	4	833	50	96	.	3.75
20	9	Sol4	G4	296	296	1	4	833	50	96	.	4.0
21	9	Si5b5	B5b5	362	362	3	8	1250	95	96	.	4.375
22	9	La5	A5	358	358	1	16	208	95	96	.	4.4375
23	9	Sol5	G5	349	349	1	16	208	95	96	.	4.5
24	9	Fa5#4	F5#4	344	344	1	2	1667	95	96	.	5.0
25	9	Re5	D5	327	327	1	4	833	95	96	.	5.25
26	9	Si4b5	B4b5	309	309	1	8	417	95	96	.	5.375
27	9	Do5	C5	318	318	1	8	417	95	96	.	5.5
28	9	Re5	D5	327	327	1	2	1667	95	96	.	6.0
29	9	Re5	D5	327	327	1	4	833	95	96	.	6.25
30	9	Re5	D5	327	327	1	8	417	95	96	.	6.375
31	9	Re5	D5	327	327	1	8	417	95	96	.	6.5
