Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	28	4	0	164	0	Darbeyn	0.0
2	9	Sol4	G4	296	296	3	8	1250	95	96		0.0535714285714
3	9	Re5	D5	327	327	1	8	417	95	96		0.0714285714286
4	9	Do5	C5	318	318	1	4	833	95	96		0.107142857143
5	9	Si4b5	B4b5	309	309	1	4	833	95	96		0.142857142857
6	9	Do5	C5	318	318	1	8	417	95	96		0.160714285714
7	9	Si4b5	B4b5	309	309	1	8	417	95	96		0.178571428571
8	9	Do5	C5	318	318	1	8	417	95	96		0.196428571429
9	9	Re5	D5	327	327	1	8	417	95	96		0.214285714286
10	9	Do5	C5	318	318	1	4	833	95	96		0.25
11	9	Re5	D5	327	327	1	4	833	95	96		0.285714285714
12	9	Es	Es	-1	-1	1	8	417	100	0		0.303571428571
13	9	Mi5b5	E5b5	331	331	1	8	417	95	96		0.321428571429
14	9	Re5	D5	327	327	1	8	417	95	96		0.339285714286
15	9	Do5	C5	318	318	1	8	417	95	96		0.357142857143
16	9	Si4b5	B4b5	309	309	1	4	833	95	96		0.392857142857
17	9	Do5	C5	318	318	1	4	833	95	96		0.428571428571
18	9	Re5	D5	327	327	3	8	1250	95	96		0.482142857143
19	9	Do5	C5	318	318	1	8	417	95	96		0.5
20	9	Si4b5	B4b5	309	309	1	8	417	95	96		0.517857142857
21	9	La4	A4	305	305	1	8	417	95	96		0.535714285714
22	9	Sol4	G4	296	296	1	4	833	95	96		0.571428571429
23	9	La4	A4	305	305	1	8	417	95	96		0.589285714286
24	9	Si4b5	B4b5	309	309	1	8	417	95	96		0.607142857143
25	9	La4	A4	305	305	1	8	417	95	96		0.625
26	9	Si4b5	B4b5	309	309	1	8	417	95	96		0.642857142857
27	9	La4	A4	305	305	1	8	417	95	96		0.660714285714
28	9	Si4b5	B4b5	309	309	1	8	417	95	96		0.678571428571
29	9	Sol4	G4	296	296	1	4	833	95	96		0.714285714286
30	9	Es	Es	-1	-1	1	8	417	100	0		0.732142857143
31	9	Si4b5	B4b5	309	309	1	8	417	95	96		0.75
32	9	La4	A4	305	305	1	8	417	95	96		0.767857142857
33	9	Sol4	G4	296	296	1	8	417	95	96		0.785714285714
34	9	Fa4#4	F4#4	291	291	1	8	417	95	96		0.803571428571
35	9	Sol4	G4	296	296	1	8	417	95	96		0.821428571429
36	9	La4	A4	305	305	1	8	417	95	96		0.839285714286
37	9	Fa4#4	F4#4	291	291	1	8	417	95	96		0.857142857143
38	9	Sol4	G4	296	296	3	8	1250	95	96		0.910714285714
39	9	Do5	C5	318	318	1	8	417	95	96		0.928571428571
40	9	Re5	D5	327	327	1	4	833	95	96		0.964285714286
41	9	Es	Es	-1	-1	1	4	833	100	0		1.0
42	9	Re5	D5	327	327	1	8	417	95	96		1.01785714286
43	9	Do5	C5	318	318	1	8	417	95	96		1.03571428571
44	9	Re5	D5	327	327	1	8	417	95	96		1.05357142857
45	9	Mi5b5	E5b5	331	331	1	8	417	95	96		1.07142857143
46	9	Re5	D5	327	327	1	4	833	95	96		1.10714285714
47	9	Do5	C5	318	318	1	4	833	95	96		1.14285714286
48	9	Si4b5	B4b5	309	309	1	8	417	95	96		1.16071428571
49	9	La4	A4	305	305	1	8	417	95	96		1.17857142857
50	9	Si4b5	B4b5	309	309	1	8	417	95	96		1.19642857143
51	9	Do5	C5	318	318	1	8	417	95	96		1.21428571429
52	9	Re5	D5	327	327	3	8	1250	95	96		1.26785714286
53	9	Mi5b5	E5b5	331	331	1	8	417	95	96		1.28571428571
54	9	Re5	D5	327	327	1	4	833	95	96		1.32142857143
55	9	Mi5b5	E5b5	331	331	1	8	417	95	96		1.33928571429
56	9	Re5	D5	327	327	1	8	417	95	96		1.35714285714
57	9	Do5	C5	318	318	1	4	833	95	96		1.39285714286
58	9	Re5	D5	327	327	1	8	417	95	96		1.41071428571
59	9	Do5	C5	318	318	1	8	417	95	96		1.42857142857
60	9	Si4b5	B4b5	309	309	1	4	833	95	96		1.46428571429
61	9	Do5	C5	318	318	1	8	417	95	96		1.48214285714
62	9	Re5	D5	327	327	1	8	417	95	96		1.5
63	9	Do5	C5	318	318	1	4	833	95	96		1.53571428571
64	9	Si4b5	B4b5	309	309	1	4	833	95	96		1.57142857143
65	9	Do5	C5	318	318	1	8	417	95	96		1.58928571429
66	9	Re5	D5	327	327	1	8	417	95	96		1.60714285714
67	9	Mi5b5	E5b5	331	331	1	8	417	95	96		1.625
68	9	Fa5#4	F5#4	344	344	1	8	417	95	96		1.64285714286
69	9	Re5	D5	327	327	1	8	417	95	96		1.66071428571
70	9	Mi5b5	E5b5	331	331	1	8	417	95	96		1.67857142857
71	9	Do5	C5	318	318	1	8	417	95	96		1.69642857143
72	9	Re5	D5	327	327	1	8	417	95	96		1.71428571429
73	9	Si4b5	B4b5	309	309	1	8	417	95	96		1.73214285714
74	9	Do5	C5	318	318	1	8	417	95	96		1.75
75	9	La4	A4	305	305	1	8	417	95	96		1.76785714286
76	9	Si4b5	B4b5	309	309	1	8	417	95	96		1.78571428571
77	9	Sol4	G4	296	296	1	4	833	95	96		1.82142857143
78	9	Mi5b5	E5b5	331	331	1	4	833	95	96		1.85714285714
79	9	Re5	D5	327	327	1	4	833	95	96		1.89285714286
80	9	Do5	C5	318	318	1	4	833	95	96		1.92857142857
81	9	Si4b5	B4b5	309	309	1	4	833	95	96		1.96428571429
82	9	La4	A4	305	305	1	4	833	95	96		2.0
83	9	Sol4	G4	296	296	1	8	417	95	96		2.01785714286
84	9	La4	A4	305	305	1	8	417	95	96		2.03571428571
85	9	Si4b5	B4b5	309	309	1	8	417	95	96		2.05357142857
86	9	Do5	C5	318	318	1	8	417	95	96		2.07142857143
87	9	Re5	D5	327	327	1	4	833	95	96		2.10714285714
88	9	Es	Es	-1	-1	1	4	833	100	0		2.14285714286
89	9	Re5	D5	327	327	3	8	1250	95	96		2.19642857143
90	9	Mi5b5	E5b5	331	331	1	8	417	95	96		2.21428571429
91	9	Fa5#4	F5#4	344	344	1	4	833	95	96		2.25
92	9	Sol5	G5	349	349	1	4	833	95	96		2.28571428571
93	9	La5	A5	358	358	1	8	417	95	96		2.30357142857
94	9	Sol5	G5	349	349	1	8	417	95	96		2.32142857143
95	9	Fa5#4	F5#4	344	344	1	8	417	95	96		2.33928571429
96	9	Mi5b5	E5b5	331	331	1	8	417	95	96		2.35714285714
97	9	Re5	D5	327	327	1	4	833	95	96		2.39285714286
98	9	Es	Es	-1	-1	1	4	833	100	0		2.42857142857
99	9	Es	Es	-1	-1	1	8	417	100	0		2.44642857143
100	9	La5	A5	358	358	1	8	417	95	96		2.46428571429
101	9	Sol5	G5	349	349	1	8	417	95	96		2.48214285714
102	9	Fa5#4	F5#4	344	344	1	8	417	95	96		2.5
103	9	Sol5	G5	349	349	1	4	833	95	96		2.53571428571
104	9	La5	A5	358	358	1	4	833	95	96		2.57142857143
105	9	Fa5#4	F5#4	344	344	3	8	1250	95	96		2.625
106	9	Sol5	G5	349	349	1	8	417	95	96		2.64285714286
107	9	Fa5#4	F5#4	344	344	1	4	833	95	96		2.67857142857
108	9	Mi5b5	E5b5	331	331	1	4	833	95	96		2.71428571429
109	9	Re5	D5	327	327	3	8	1250	95	96		2.76785714286
110	9	Fa5#4	F5#4	344	344	1	8	417	95	96		2.78571428571
111	9	Mi5b5	E5b5	331	331	1	4	833	95	96		2.82142857143
112	9	Re5	D5	327	327	1	4	833	95	96		2.85714285714
113	9	Do5	C5	318	318	3	8	1250	95	96		2.91071428571
114	9	Mi5b5	E5b5	331	331	1	8	417	95	96		2.92857142857
115	9	Re5	D5	327	327	1	4	833	95	96		2.96428571429
116	9	Do5	C5	318	318	1	4	833	95	96		3.0
117	9	Si4b5	B4b5	309	309	1	4	833	95	96		3.03571428571
118	9	La4	A4	305	305	1	8	417	95	96		3.05357142857
119	9	Si4b5	B4b5	309	309	1	8	417	95	96		3.07142857143
120	9	Sol4	G4	296	296	1	4	833	95	96		3.10714285714
121	9	Es	Es	-1	-1	1	4	833	100	0		3.14285714286
122	9	La4	A4	305	305	1	8	417	95	96		3.16071428571
123	9	Si4b5	B4b5	309	309	1	8	417	95	96		3.17857142857
124	9	La4	A4	305	305	1	8	417	95	96		3.19642857143
125	9	Si4b5	B4b5	309	309	1	8	417	95	96		3.21428571429
126	9	La4	A4	305	305	1	4	833	95	96		3.25
127	9	Si4b5	B4b5	309	309	1	4	833	95	96		3.28571428571
128	9	La4	A4	305	305	1	4	833	95	96		3.32142857143
129	9	Si4b5	B4b5	309	309	1	4	833	95	96		3.35714285714
130	9	Sol4	G4	296	296	1	4	833	95	96		3.39285714286
131	9	Es	Es	-1	-1	1	4	833	100	0		3.42857142857
132	9	La4	A4	305	305	1	8	417	95	96		3.44642857143
133	9	Si4b5	B4b5	309	309	1	8	417	95	96		3.46428571429
134	9	La4	A4	305	305	1	8	417	95	96		3.48214285714
135	9	Sol4	G4	296	296	1	8	417	95	96		3.5
136	9	Fa4#4	F4#4	291	291	1	8	417	95	96		3.51785714286
137	9	Sol4	G4	296	296	1	8	417	95	96		3.53571428571
138	9	La4	A4	305	305	1	8	417	95	96		3.55357142857
139	9	Si4b5	B4b5	309	309	1	8	417	95	96		3.57142857143
140	9	Sol4	G4	296	296	1	4	833	95	96		3.60714285714
141	9	La4	A4	305	305	1	4	833	95	96		3.64285714286
142	9	Es	Es	-1	-1	1	4	833	100	0		3.67857142857
143	9	Si4b5	B4b5	309	309	1	16	208	95	96		3.6875
144	9	La4	A4	305	305	1	16	208	95	96		3.69642857143
145	9	Si4b5	B4b5	309	309	1	8	417	95	96		3.71428571429
146	9	La4	A4	305	305	3	8	1250	95	96		3.76785714286
147	9	Do5	C5	318	318	1	8	417	95	96		3.78571428571
148	9	Si4b5	B4b5	309	309	1	4	833	95	96		3.82142857143
149	9	Do5	C5	318	318	1	4	833	95	96		3.85714285714
150	9	Re5	D5	327	327	1	4	833	95	96		3.89285714286
151	9	Re5	D5	327	327	1	4	833	95	96		3.92857142857
152	9	Si4b5	B4b5	309	309	3	16	625	95	96		3.95535714286
153	9	La4	A4	305	305	1	16	208	95	96		3.96428571429
154	9	Sol4	G4	296	296	1	4	833	95	96		4.0
155	9	La4	A4	305	305	1	8	417	95	96		4.01785714286
156	9	Do5	C5	318	318	1	8	417	95	96		4.03571428571
157	9	Si4b5	B4b5	309	309	1	8	417	95	96		4.05357142857
158	9	La4	A4	305	305	1	8	417	95	96		4.07142857143
159	9	La4	A4	305	305	1	8	417	95	96		4.08928571429
160	9	Sol4	G4	296	296	1	8	417	95	96		4.10714285714
161	9	Sol4	G4	296	296	1	8	417	95	96		4.125
162	9	Fa4#4	F4#4	291	291	1	8	417	95	96		4.14285714286
163	9	Sol4	G4	296	296	1	2	1667	95	96		4.21428571429
164	9	Sol4	G4	296	296	1	4	833	95	96		4.25
165	9	Es	Es	-1	-1	1	4	833	100	0		4.28571428571
166	9	Re5	D5	327	327	3	8	1250	95	96		4.33928571429
167	9	Do5	C5	318	318	1	8	417	95	96		4.35714285714
168	9	Si4b5	B4b5	309	309	1	8	417	95	96		4.375
169	9	La4	A4	305	305	1	8	417	95	96		4.39285714286
170	9	Sol4	G4	296	296	1	8	417	95	96		4.41071428571
171	9	La4	A4	305	305	1	8	417	95	96		4.42857142857
172	9	Si4b5	B4b5	309	309	1	8	417	95	96		4.44642857143
173	9	Do5	C5	318	318	1	8	417	95	96		4.46428571429
174	9	La4	A4	305	305	1	8	417	95	96		4.48214285714
175	9	Si4b5	B4b5	309	309	1	8	417	95	96		4.5
176	9	La4	A4	305	305	1	4	833	95	96		4.53571428571
177	9	Sol4	G4	296	296	1	4	833	95	96		4.57142857143
178	9	Es	Es	-1	-1	1	8	417	100	0		4.58928571429
179	9	Fa5#4	F5#4	344	344	1	8	417	95	96		4.60714285714
180	9	Mi5b5	E5b5	331	331	1	8	417	95	96		4.625
181	9	Re5	D5	327	327	1	8	417	95	96		4.64285714286
182	9	Mi5b5	E5b5	331	331	1	8	417	95	96		4.66071428571
183	9	Fa5#4	F5#4	344	344	1	8	417	95	96		4.67857142857
184	9	Sol5	G5	349	349	1	8	417	95	96		4.69642857143
185	9	Mi5b5	E5b5	331	331	1	8	417	95	96		4.71428571429
186	9	Fa5#4	F5#4	344	344	1	8	417	95	96		4.73214285714
187	9	Re5	D5	327	327	1	8	417	95	96		4.75
188	9	Mi5b5	E5b5	331	331	1	8	417	95	96		4.76785714286
189	9	Do5	C5	318	318	1	8	417	95	96		4.78571428571
190	9	Re5	D5	327	327	3	8	1250	95	96		4.83928571429
191	9	Fa5#4	F5#4	344	344	1	8	417	95	96		4.85714285714
192	9	Mi5b5	E5b5	331	331	1	4	833	95	96		4.89285714286
193	9	Re5	D5	327	327	1	4	833	95	96		4.92857142857
194	9	Re5	D5	327	327	1	12	278	99	96		4.94047619048
195	9	Do5#4	C5#4	322	322	1	12	278	99	96		4.95238095238
196	9	Si4b5	B4b5	309	309	1	12	278	95	96		4.96428571429
197	9	Do5#4	C5#4	322	322	1	8	417	95	96		4.98214285714
198	9	Re5	D5	327	327	1	8	417	95	96		5.0
199	9	Do5#4	C5#4	322	322	1	4	833	95	96		5.03571428571
