Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	9	8	0	20	0	Aksak	0.0
2	9	Re4	D4	274	274	1	16	227	95	96	ARANAĞME	0.0555555555556
3	9	Sol4	G4	296	296	1	8	455	95	96	.	0.166666666667
4	9	La4	A4	305	305	1	16	227	95	96	.	0.222222222222
5	9	Si4b5	B4b5	309	309	1	8	455	95	96	.	0.333333333333
6	9	Do5	C5	318	318	1	8	455	95	96	.	0.444444444444
7	9	Re5	D5	327	327	1	8	455	95	96	.	0.555555555556
8	9	Mi5b5	E5b5	331	331	1	8	455	95	96	.	0.666666666667
9	9	Fa5#4	F5#4	344	344	1	8	455	95	96	.	0.777777777778
10	9	Sol5	G5	349	349	1	8	455	95	96	.	0.888888888889
11	9	La5	A5	358	358	1	8	455	95	96	.	1.0
12	9	Fa5#4	F5#4	344	344	1	16	227	95	96	.	1.05555555556
13	9	Sol5	G5	349	349	1	16	227	95	96	.	1.11111111111
14	9	La5	A5	358	358	1	16	227	95	96	.	1.16666666667
15	9	Si5b5	B5b5	362	362	1	16	227	95	96	.	1.22222222222
16	9	La5	A5	358	358	1	16	227	95	96	.	1.27777777778
17	9	Sol5	G5	349	349	1	16	227	95	96	.	1.33333333333
18	9	Sol5	G5	349	349	1	16	227	95	96	.	1.38888888889
19	9	Fa5#4	F5#4	344	344	1	16	227	95	96	.	1.44444444444
20	9	Fa5#4	F5#4	344	344	1	16	227	95	96	.	1.5
21	9	Mi5b5	E5b5	331	331	1	16	227	95	96	.	1.55555555556
22	9	Mi5b5	E5b5	331	331	1	16	227	95	96	.	1.61111111111
23	11	Re5	D5	327	327	1	16	227	95	96	.	1.66666666667
24	9	Re5	D5	327	327	3	8	1364	95	96	.	2.0
25	9	Sol5	G5	349	349	3	16	682	95	96	.	2.16666666667
26	9	Fa5#4	F5#4	344	344	1	16	227	95	96	.	2.22222222222
27	9	Mi5b5	E5b5	331	331	1	8	455	95	96	.	2.33333333333
28	9	Sol5	G5	349	349	1	8	455	95	96	.	2.44444444444
29	9	Fa5#4	F5#4	344	344	3	16	682	95	96	.	2.61111111111
30	9	Mi5b5	E5b5	331	331	1	16	227	95	96	.	2.66666666667
31	9	Re5	D5	327	327	1	4	909	95	96	.	2.88888888889
32	9	Fa5	F5	340	340	1	8	455	95	96	.	3.0
33	9	Mi5b5	E5b5	331	331	3	16	682	95	96	.	3.16666666667
34	9	Re5	D5	327	327	1	16	227	95	96	.	3.22222222222
35	9	Do5	C5	318	318	1	4	909	95	96	.	3.44444444444
36	9	Si4b1	B4b1	313	313	1	16	227	95	96	.	3.5
37	9	Do5	C5	318	318	1	16	227	95	96	.	3.55555555556
38	9	Re5	D5	327	327	1	16	227	95	96	.	3.61111111111
39	9	Si4b1	B4b1	313	313	1	16	227	95	96	.	3.66666666667
40	9	Do5	C5	318	318	3	8	1364	95	96	.	4.0
41	9	Si4b5	B4b5	309	309	1	16	227	95	96	.	4.05555555556
42	9	La4	A4	305	305	1	16	227	95	96	.	4.11111111111
43	9	Si4b5	B4b5	309	309	1	16	227	95	96	.	4.16666666667
44	9	Do5	C5	318	318	1	16	227	95	96	.	4.22222222222
45	9	Re5	D5	327	327	1	16	227	95	96	.	4.27777777778
46	9	Do5	C5	318	318	1	16	227	95	96	.	4.33333333333
47	9	Re5	D5	327	327	1	16	227	95	96	.	4.38888888889
48	9	Mi5b1	E5b1	335	335	1	16	227	95	96	.	4.44444444444
49	9	Fa5	F5	340	340	1	16	227	95	96	.	4.5
50	9	Mi5b1	E5b1	335	335	1	16	227	95	96	.	4.55555555556
51	9	Fa5	F5	340	340	1	16	227	95	96	.	4.61111111111
52	9	La5b5	A5b5	353	353	1	16	227	95	96	.	4.66666666667
53	9	Sol5	G5	349	349	1	16	227	95	96	.	4.72222222222
54	9	Fa5	F5	340	340	1	16	227	95	96	.	4.77777777778
55	9	Mi5b5	E5b5	331	331	1	16	227	95	96	.	4.83333333333
56	9	Re5	D5	327	327	1	16	227	95	96	.	4.88888888889
57	9	Do5	C5	318	318	1	16	227	95	96	.	4.94444444444
58	9	Si4b5	B4b5	309	309	1	16	227	95	96	.	5.0
59	9	La4	A4	305	305	1	16	227	95	96	.	5.05555555556
60	9	Si4b5	B4b5	309	309	1	16	227	95	96	.	5.11111111111
61	9	Do5	C5	318	318	1	16	227	95	96	.	5.16666666667
62	9	Mi5b5	E5b5	331	331	1	16	227	95	96	.	5.22222222222
63	9	Re5	D5	327	327	1	16	227	95	96	.	5.27777777778
64	9	Do5	C5	318	318	1	16	227	95	96	.	5.33333333333
65	9	Si4b5	B4b5	309	309	1	16	227	95	96	.	5.38888888889
66	9	La4	A4	305	305	1	16	227	95	96	.	5.44444444444
67	9	La4	A4	305	305	1	16	227	95	96	.	5.5
68	9	Sol4	G4	296	296	1	16	227	95	96	.	5.55555555556
69	9	Sol4	G4	296	296	1	16	227	95	96	.	5.61111111111
70	9	Fa4#4	F4#4	291	291	1	16	227	95	96	.	5.66666666667
71	9	Sol4	G4	296	296	1	4	909	95	96	.	5.88888888889
72	9	Es	Es	-1	-1	1	8	455	100	0		6.0
73	9	Re4	D4	274	274	1	16	227	95	96	ARANAĞME	6.05555555556
74	9	Sol4	G4	296	296	1	8	455	95	96	.	6.16666666667
75	9	La4	A4	305	305	1	16	227	95	96	.	6.22222222222
76	9	Si4b5	B4b5	309	309	1	8	455	95	96	.	6.33333333333
77	9	Do5	C5	318	318	1	8	455	95	96	.	6.44444444444
78	9	Re5	D5	327	327	1	8	455	95	96	.	6.55555555556
79	9	Mi5b5	E5b5	331	331	1	8	455	95	96	.	6.66666666667
80	9	Fa5#4	F5#4	344	344	1	8	455	95	96	.	6.77777777778
81	9	Sol5	G5	349	349	1	8	455	95	96	.	6.88888888889
82	9	La5	A5	358	358	1	8	455	95	96	.	7.0
83	9	Fa5#4	F5#4	344	344	1	16	227	95	96	.	7.05555555556
84	9	Sol5	G5	349	349	1	16	227	95	96	.	7.11111111111
85	9	La5	A5	358	358	1	16	227	95	96	.	7.16666666667
86	9	Si5b5	B5b5	362	362	1	16	227	95	96	.	7.22222222222
87	9	La5	A5	358	358	1	16	227	95	96	.	7.27777777778
88	9	Sol5	G5	349	349	1	16	227	95	96	.	7.33333333333
89	9	Sol5	G5	349	349	1	16	227	95	96	.	7.38888888889
90	9	Fa5#4	F5#4	344	344	1	16	227	95	96	.	7.44444444444
91	9	Fa5#4	F5#4	344	344	1	16	227	95	96	.	7.5
92	9	Mi5b5	E5b5	331	331	1	16	227	95	96	.	7.55555555556
