Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	10	8	0	28	0	Curcuna	0.0
2	9	Mi5b5	E5b5	331	331	5	8	1667	95	96	ARANAĞME	0.5
3	9	Mi5b5	E5b5	331	331	1	8	333	95	96		0.6
4	9	Re5	D5	327	327	1	8	333	95	96		0.7
5	9	Re5	D5	327	327	1	8	333	95	96	.	0.8
6	9	Do5	C5	318	318	1	8	333	95	96	.	0.9
7	9	Si4b5	B4b5	309	309	1	8	333	95	96	.	1.0
8	9	Re5	D5	327	327	5	8	1667	95	96	.	1.5
9	9	Re5	D5	327	327	1	8	333	95	96	.	1.6
10	9	Do5	C5	318	318	1	8	333	95	96	.	1.7
11	9	Si4b5	B4b5	309	309	1	8	333	95	96	.	1.8
12	9	La4	A4	305	305	1	8	333	95	96	.	1.9
13	9	Sol4	G4	296	296	1	8	333	95	96	.	2.0
14	9	Sol4	G4	296	296	1	8	333	95	96	.	2.1
15	9	Fa4#4	F4#4	291	291	1	8	333	95	96	.	2.2
16	9	Sol4	G4	296	296	1	8	333	95	96	.	2.3
17	9	La4	A4	305	305	1	8	333	95	96	.	2.4
18	9	Si4b5	B4b5	309	309	1	8	333	95	96	.	2.5
19	9	Do5#4	C5#4	322	322	1	16	167	95	96	.	2.55
20	9	Re5	D5	327	327	1	16	167	95	96	.	2.6
21	9	Mi5b5	E5b5	331	331	1	16	167	95	96	.	2.65
22	9	Re5	D5	327	327	1	16	167	95	96	.	2.7
23	9	Do5#4	C5#4	322	322	1	4	667	95	96	.	2.9
24	9	Es	Es	-1	-1	1	8	333	100	0	.	3.0
25	9	Re5	D5	327	327	1	8	333	95	96	.	3.1
26	9	Mi5b5	E5b5	331	331	1	8	333	95	96	.	3.2
27	9	Fa5#4	F5#4	344	344	1	8	333	95	96	.	3.3
28	9	Sol5	G5	349	349	1	8	333	95	96	.	3.4
29	9	La5	A5	358	358	1	8	333	95	96	.	3.5
30	9	Fa5#4	F5#4	344	344	1	8	333	95	96	.	3.6
31	9	Mi5b5	E5b5	331	331	1	8	333	95	96	.	3.7
32	9	Re5	D5	327	327	1	4	667	95	96	.	3.9
33	9	Es	Es	-1	-1	1	8	333	100	0		4.0
34	9	Mi5b5	E5b5	331	331	5	8	1667	95	96	.	4.5
35	9	Mi5b5	E5b5	331	331	1	8	333	95	96	.	4.6
36	9	Re5	D5	327	327	1	8	333	95	96	.	4.7
37	9	Re5	D5	327	327	1	8	333	95	96	.	4.8
38	9	Do5	C5	318	318	1	8	333	95	96	.	4.9
39	9	Si4b5	B4b5	309	309	1	8	333	95	96	.	5.0
40	9	Re5	D5	327	327	5	8	1667	95	96	.	5.5
41	9	Re5	D5	327	327	1	8	333	95	96	.	5.6
42	9	Do5	C5	318	318	1	8	333	95	96	.	5.7
43	9	Si4b5	B4b5	309	309	1	8	333	95	96	.	5.8
44	9	La4	A4	305	305	1	8	333	95	96	.	5.9
45	9	Sol4	G4	296	296	1	8	333	95	96	.	6.0
46	9	Do5	C5	318	318	1	8	333	95	96	.	6.1
47	9	Re5	D5	327	327	1	8	333	95	96	.	6.2
48	9	Mi5b5	E5b5	331	331	1	8	333	95	96	.	6.3
49	9	Re5	D5	327	327	1	8	333	95	96	.	6.4
50	9	Do5	C5	318	318	1	8	333	95	96	.	6.5
51	9	Si4b5	B4b5	309	309	1	8	333	95	96	.	6.6
52	9	Do5	C5	318	318	1	8	333	95	96	.	6.7
53	9	Re5	D5	327	327	1	8	333	95	96	.	6.8
54	9	Do5	C5	318	318	1	8	333	95	96	.	6.9
55	9	Si4b5	B4b5	309	309	1	8	333	95	96	.	7.0
56	9	La4	A4	305	305	1	8	333	95	96	.	7.1
57	9	Si4b5	B4b5	309	309	1	8	333	95	96	.	7.2
58	9	Re5	D5	327	327	1	8	333	95	96	.	7.3
59	9	Do5	C5	318	318	1	8	333	95	96	.	7.4
60	9	Si4b5	B4b5	309	309	1	8	333	95	96	.	7.5
61	9	Si4b5	B4b5	309	309	1	8	333	95	96	.	7.6
62	9	La4	A4	305	305	1	8	333	95	96	.	7.7
63	9	Sol4	G4	296	296	1	4	667	95	96	.	7.9
64	9	Es	Es	-1	-1	1	8	333	100	0		8.0
65	9	Es	Es	-1	-1	1	4	667	100	0		8.2
66	9	Fa5	F5	340	340	1	8	333	95	96	Gö	8.3
67	9	Sol5	G5	349	349	1	8	333	99	96	ze 	8.4
68	9	La5	A5	358	358	1	8	333	95	96		8.5
69	9	Fa5	F5	340	340	1	8	333	99	96	mi 	8.6
70	9	Sol5	G5	349	349	1	8	333	95	96		8.7
71	9	Fa5	F5	340	340	1	8	333	99	96	gel	8.8
72	9	Mi5b5	E5b5	331	331	1	8	333	99	96		8.9
73	9	Re5	D5	327	327	1	8	333	95	96		9.0
74	9	Re5	D5	327	327	9	8	3000	95	96	dim 	9.9
75	9	Es	Es	-1	-1	1	8	333	100	0		10.0
76	9	Re5	D5	327	327	1	8	333	99	96	sen 	10.1
77	9	Do5	C5	318	318	1	8	333	99	96		10.2
78	9	Si4b5	B4b5	309	309	1	8	333	95	96		10.3
79	9	Si4b5	B4b5	309	309	1	4	667	95	96	mi 	10.5
80	9	Do5	C5	318	318	1	8	333	99	96	u	10.6
81	9	Re5	D5	327	327	1	8	333	95	96		10.7
82	9	Si4b5	B4b5	309	309	1	8	333	99	96	nut	10.8
83	9	La4	A4	305	305	1	8	333	99	96		10.9
84	9	Sol4	G4	296	296	1	8	333	95	96		11.0
85	9	Sol4	G4	296	296	9	8	3000	95	96	tun  	11.9
86	9	Es	Es	-1	-1	1	8	333	100	0		12.0
