Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	8	8	0	17	0	Düyek	0.0
2	9	Sol5	G5	349	349	1	8	417	95	96	Bir_	0.125
3	9	Sol5	G5	349	349	1	4	833	95	96	ih	0.375
4	9	Fa5	F5	340	340	1	8	417	95	96	ti	0.5
5	9	Mi5b5	E5b5	331	331	1	8	417	99	96	mal 	0.625
6	9	Re5	D5	327	327	1	8	417	95	96		0.75
7	9	Fa5	F5	340	340	1	8	417	95	96	da	0.875
8	9	Mi5b5	E5b5	331	331	1	16	208	99	96	ha 	0.9375
9	9	Re5	D5	327	327	1	16	208	95	96		1.0
10	9	Re5	D5	327	327	3	8	1250	95	96	var 	1.375
11	9	Re5	D5	327	327	1	16	208	95	96	SAZ	1.4375
12	9	Mi5b5	E5b5	331	331	1	16	208	95	96	.	1.5
13	9	Re5	D5	327	327	1	16	208	95	96	.	1.5625
14	9	Do5	C5	318	318	1	16	208	95	96	.	1.625
15	9	Si4b5	B4b5	309	309	1	16	208	95	96	.	1.6875
16	9	Do5	C5	318	318	1	16	208	95	96	.	1.75
17	9	Re5	D5	327	327	1	4	833	95	96	.	2.0
18	9	Es	Es	-1	-1	1	4	833	100	0		2.25
19	9	La4	A4	305	305	1	8	417	95	96	o 	2.375
20	9	Si4b5	B4b5	309	309	1	8	417	95	96	da 	2.5
21	9	Do5	C5	318	318	1	4	833	95	96	öl	2.75
22	8	Mi5b5	E5b5	331	331	0	0	0	95	96		2.75
23	9	Re5	D5	327	327	1	4	833	95	96	mek 	3.0
24	9	La4	A4	305	305	1	8	417	95	96	mi 	3.125
25	9	Si4b5	B4b5	309	309	1	16	208	99	96	der	3.1875
26	9	La4	A4	305	305	1	16	208	99	96		3.25
27	9	Sol4	G4	296	296	1	8	417	99	96		3.375
28	8	La4	A4	305	305	0	0	0	99	96		3.375
29	9	Sol4	G4	296	296	1	16	208	99	96		3.4375
