Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	8	8	0	17	0	Düyek	0.0
2	9	Es	Es	-1	-1	1	8	250	100	0	ARANAĞME	0.125
3	9	Sol5	G5	349	349	1	4	500	95	96		0.375
4	9	Re5	D5	327	327	1	8	250	95	96	.	0.5
5	9	Sol5	G5	349	349	1	2	1000	95	96	.	1.0
6	9	Es	Es	-1	-1	1	8	250	100	0	.	1.125
7	9	Mi5b5	E5b5	331	331	1	4	500	95	96	.	1.375
8	9	Re5	D5	327	327	1	8	250	95	96	.	1.5
9	9	Do5	C5	318	318	1	2	1000	95	96	.	2.0
10	9	Es	Es	-1	-1	1	8	250	100	0	.	2.125
11	9	Fa5	F5	340	340	1	4	500	95	96	.	2.375
12	9	Mi5	E5	336	336	1	8	250	95	96	.	2.5
13	9	Fa5	F5	340	340	1	2	1000	95	96	.	3.0
14	9	Es	Es	-1	-1	1	8	250	100	0	.	3.125
15	9	Re5	D5	327	327	1	4	500	95	96	.	3.375
16	9	Do5	C5	318	318	1	8	250	95	96	.	3.5
17	9	Si4b5	B4b5	309	309	1	2	1000	95	96	.	4.0
18	9	Es	Es	-1	-1	1	8	250	100	0	.	4.125
19	9	Mi5b5	E5b5	331	331	1	4	500	95	96	.	4.375
20	9	Re5	D5	327	327	1	8	250	95	96	.	4.5
21	9	Do5	C5	318	318	1	4	500	95	96	.	4.75
22	9	Si4b5	B4b5	309	309	1	4	500	95	96	.	5.0
23	9	Do5	C5	318	318	1	8	250	95	96	.	5.125
24	9	La4	A4	305	305	7	8	1750	95	96	.	6.0
25	9	Es	Es	-1	-1	1	8	250	100	0	.	6.125
26	9	Re5	D5	327	327	1	4	500	95	96	.	6.375
27	9	Do5	C5	318	318	1	8	250	95	96	.	6.5
28	9	Si4b5	B4b5	309	309	1	4	500	95	96	.	6.75
29	9	La4	A4	305	305	1	8	250	95	96	.	6.875
30	9	Si4b5	B4b5	309	309	1	8	250	95	96	.	7.0
31	9	Sol4	G4	296	296	1	8	250	95	96	.	7.125
32	9	La4	A4	305	305	1	8	250	95	96	.	7.25
33	9	Si4b5	B4b5	309	309	1	8	250	95	96	.	7.375
34	9	Do5	C5	318	318	1	8	250	95	96	.	7.5
35	9	Re5	D5	327	327	1	8	250	95	96	.	7.625
36	9	Mi5b5	E5b5	331	331	1	8	250	95	96	.	7.75
37	9	Fa5	F5	340	340	1	8	250	95	96	.	7.875
38	9	Sol5	G5	349	349	1	8	250	95	96	.	8.0
