Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Re5	D5	327	327	3	32	268	95	96		0.1875
2	9	La5	A5	358	358	1	32	89	95	96		0.25
3	9	La5	A5	358	358	1	16	179	95	96		0.375
4	9	Sol5	G5	349	349	1	16	179	95	96		0.5
5	9	Sol5	G5	349	349	3	32	268	95	96		0.6875
6	9	Fa5	F5	340	340	1	32	89	95	96		0.75
7	9	Fa5	F5	340	340	1	16	179	95	96		0.875
8	9	Mi5#4	E5#4	340	340	1	16	179	95	96		1.0
9	9	Fa5	F5	340	340	3	32	268	95	96		1.1875
10	9	Mi5#4	E5#4	340	340	1	32	89	95	96		1.25
11	9	Fa5	F5	340	340	1	16	179	95	96		1.375
12	9	Sol5	G5	349	349	1	16	179	95	96		1.5
13	9	Fa5	F5	340	340	1	16	179	95	96		1.625
14	9	Mi5#4	E5#4	340	340	1	16	179	95	96		1.75
15	9	Fa5	F5	340	340	1	16	179	95	96		1.875
16	9	Mi5#4	E5#4	340	340	1	16	179	95	96		2.0
17	9	Re5	D5	327	327	1	16	179	95	96		2.125
18	9	Mi5	E5	336	336	1	16	179	95	96		2.25
19	9	Fa5	F5	340	340	1	16	179	95	96		2.375
20	9	Sol5	G5	349	349	1	16	179	95	96		2.5
21	9	La5	A5	358	358	3	32	268	95	96		2.6875
22	9	Sol5	G5	349	349	1	32	89	95	96		2.75
23	9	Fa5	F5	340	340	1	16	179	95	96		2.875
24	9	Mi5	E5	336	336	1	16	179	95	96		3.0
25	9	Re5	D5	327	327	1	16	179	95	96		3.125
26	9	Sol5	G5	349	349	1	16	179	95	96		3.25
27	9	Fa5	F5	340	340	1	16	179	95	96		3.375
28	9	Mi5	E5	336	336	1	16	179	95	96		3.5
29	9	Re5	D5	327	327	1	16	179	95	96		3.625
30	9	Do5#4	C5#4	322	322	1	16	179	95	96		3.75
31	9	Re5	D5	327	327	1	8	357	95	96		4.0
32	9	Re5	D5	327	327	3	32	268	95	96		4.1875
33	9	La5	A5	358	358	1	32	89	95	96		4.25
34	9	La5	A5	358	358	1	16	179	95	96		4.375
35	9	Sol5	G5	349	349	1	16	179	95	96		4.5
36	9	Sol5	G5	349	349	3	32	268	95	96		4.6875
37	9	Fa5	F5	340	340	1	32	89	95	96		4.75
38	9	Fa5	F5	340	340	1	16	179	95	96		4.875
39	9	Mi5#4	E5#4	340	340	1	16	179	95	96		5.0
40	9	Fa5	F5	340	340	3	32	268	95	96		5.1875
41	9	Mi5#4	E5#4	340	340	1	32	89	95	96		5.25
42	9	Fa5	F5	340	340	1	16	179	95	96		5.375
43	9	Sol5	G5	349	349	1	16	179	95	96		5.5
44	9	Fa5	F5	340	340	1	16	179	95	96		5.625
45	9	Mi5#4	E5#4	340	340	1	16	179	95	96		5.75
46	9	Fa5	F5	340	340	1	16	179	95	96		5.875
47	9	Mi5#4	E5#4	340	340	1	16	179	95	96		6.0
48	9	Re5	D5	327	327	1	16	179	95	96		6.125
49	9	Mi5	E5	336	336	1	16	179	95	96		6.25
50	9	Fa5	F5	340	340	1	16	179	95	96		6.375
51	9	Sol5	G5	349	349	1	16	179	95	96		6.5
52	9	La5	A5	358	358	3	32	268	95	96		6.6875
53	9	Sol5	G5	349	349	1	32	89	95	96		6.75
54	9	Fa5	F5	340	340	1	16	179	95	96		6.875
55	9	Mi5	E5	336	336	1	16	179	95	96		7.0
56	9	Re5	D5	327	327	1	16	179	95	96		7.125
57	9	Sol5	G5	349	349	1	16	179	95	96		7.25
58	9	Fa5	F5	340	340	1	16	179	95	96		7.375
59	9	Mi5	E5	336	336	1	16	179	95	96		7.5
60	9	Re5	D5	327	327	1	16	179	95	96		7.625
61	9	Do5#4	C5#4	322	322	1	16	179	95	96		7.75
62	9	Re5	D5	327	327	1	8	357	95	96		8.0
63	9	Re5	D5	327	327	1	16	179	95	96		8.125
64	9	Fa5	F5	340	340	1	16	179	95	96		8.25
65	9	Mi5	E5	336	336	1	16	179	95	96		8.375
66	9	Re5	D5	327	327	1	16	179	95	96		8.5
67	9	Do5#4	C5#4	322	322	1	24	119	95	96		8.58333333333
68	9	Re5	D5	327	327	1	24	119	95	96		8.66666666667
69	9	Mi5	E5	336	336	1	24	119	95	96		8.75
70	9	Mi5	E5	336	336	1	24	119	95	96		8.83333333333
71	9	Fa5	F5	340	340	1	24	119	95	96		8.91666666667
72	9	Fa5#4	F5#4	344	344	1	24	119	95	96		9.0
73	9	Sol5	G5	349	349	1	8	357	95	96		9.25
74	9	Sol5	G5	349	349	1	16	179	95	96		9.375
75	9	Fa5	F5	340	340	1	32	89	95	96		9.4375
76	9	Mi5	E5	336	336	1	32	89	95	96		9.5
77	9	Fa5	F5	340	340	3	32	268	95	96		9.6875
78	9	Mi5	E5	336	336	1	32	89	95	96		9.75
79	9	Mi5	E5	336	336	1	16	179	95	96		9.875
80	9	Re5	D5	327	327	1	16	179	95	96		10.0
81	9	Do5#4	C5#4	322	322	3	32	268	95	96		10.1875
82	9	Mi5	E5	336	336	1	32	89	95	96		10.25
83	9	Re5	D5	327	327	1	16	179	95	96		10.375
84	9	Do5#4	C5#4	322	322	1	16	179	95	96		10.5
85	9	Si4b4	B4b4	310	310	1	16	179	95	96		10.625
86	9	La4	A4	305	305	1	16	179	95	96		10.75
87	9	Sol4	G4	296	296	1	16	179	95	96		10.875
88	9	Fa4#4	F4#4	291	291	1	16	179	95	96		11.0
89	9	Sol4	G4	296	296	1	16	179	95	96		11.125
90	9	Sol5	G5	349	349	1	16	179	95	96		11.25
91	9	Fa5	F5	340	340	1	16	179	95	96		11.375
92	9	Mi5	E5	336	336	1	16	179	95	96		11.5
93	9	Re5	D5	327	327	1	16	179	95	96		11.625
94	9	Do5#4	C5#4	322	322	1	16	179	95	96		11.75
95	9	Re5	D5	327	327	1	8	357	100	96		12.0
96	9	Re5	D5	327	327	1	16	179	95	96		12.125
97	9	Fa5	F5	340	340	1	16	179	95	96		12.25
98	9	Mi5	E5	336	336	1	16	179	95	96		12.375
99	9	Re5	D5	327	327	1	16	179	95	96		12.5
100	9	Do5#4	C5#4	322	322	1	24	119	95	96		12.5833333333
101	9	Re5	D5	327	327	1	24	119	95	96		12.6666666667
102	9	Mi5	E5	336	336	1	24	119	95	96		12.75
103	9	Mi5	E5	336	336	1	24	119	95	96		12.8333333333
104	9	Fa5	F5	340	340	1	24	119	95	96		12.9166666667
105	9	Fa5#4	F5#4	344	344	1	24	119	95	96		13.0
106	9	Sol5	G5	349	349	1	8	357	95	96		13.25
107	9	Sol5	G5	349	349	1	16	179	95	96		13.375
108	9	Fa5	F5	340	340	1	32	89	95	96		13.4375
109	9	Mi5	E5	336	336	1	32	89	95	96		13.5
110	9	Fa5	F5	340	340	1	16	179	95	96		13.625
111	9	Sol5	G5	349	349	1	32	89	95	96		13.6875
112	9	Fa5	F5	340	340	1	32	89	95	96		13.75
113	9	Mi5	E5	336	336	1	16	179	95	96		13.875
114	9	Re5	D5	327	327	1	16	179	95	96		14.0
115	9	Do5#4	C5#4	322	322	3	32	268	95	96		14.1875
116	9	Mi5	E5	336	336	1	32	89	95	96		14.25
117	9	Re5	D5	327	327	1	16	179	95	96		14.375
118	9	Do5#4	C5#4	322	322	1	16	179	95	96		14.5
119	9	Si4b4	B4b4	310	310	3	32	268	95	96		14.6875
120	9	La4	A4	305	305	1	32	89	95	96		14.75
121	9	Sol4	G4	296	296	1	8	357	95	96		15.0
122	9	La4	A4	305	305	3	32	268	95	96		15.1875
123	9	Do5#4	C5#4	322	322	1	32	89	95	96		15.25
124	9	Si4b4	B4b4	310	310	1	16	179	95	96		15.375
125	9	La4	A4	305	305	1	16	179	95	96		15.5
126	9	Sol4	G4	296	296	1	16	179	95	96		15.625
127	9	Fa4#4	F4#4	291	291	1	16	179	95	96		15.75
128	9	Sol4	G4	296	296	1	8	357	95	96		16.0
129	9	Es	Es	-1	-1	1	16	179	100	0		16.125
130	9	Sol5	G5	349	349	1	32	89	95	96		16.1875
131	9	Fa5	F5	340	340	1	32	89	95	96		16.25
132	9	Mi5	E5	336	336	1	16	179	95	96		16.375
133	9	Re5	D5	327	327	1	16	179	95	96		16.5
134	9	Do5#4	C5#4	322	322	1	24	119	95	96		16.5833333333
135	9	Re5	D5	327	327	1	24	119	95	96		16.6666666667
136	9	Mi5	E5	336	336	1	24	119	95	96		16.75
137	9	Mi5	E5	336	336	1	24	119	95	96		16.8333333333
138	9	Fa5	F5	340	340	1	24	119	95	96		16.9166666667
139	9	Fa5#4	F5#4	344	344	1	24	119	95	96		17.0
140	9	Sol5	G5	349	349	1	24	119	95	96		17.0833333333
141	9	La5	A5	358	358	1	24	119	95	96		17.1666666667
142	9	Sol5	G5	349	349	1	24	119	95	96		17.25
143	9	Fa5	F5	340	340	1	16	179	95	96		17.375
144	9	Mi5	E5	336	336	1	16	179	95	96		17.5
145	9	Fa5	F5	340	340	1	24	119	95	96		17.5833333333
146	9	Sol5	G5	349	349	1	24	119	95	96		17.6666666667
147	9	Fa5	F5	340	340	1	24	119	95	96		17.75
148	9	Mi5	E5	336	336	1	16	179	95	96		17.875
149	9	Re5	D5	327	327	1	16	179	95	96		18.0
150	9	Mi5	E5	336	336	1	24	119	95	96		18.0833333333
151	9	Fa5	F5	340	340	1	24	119	95	96		18.1666666667
152	9	Mi5	E5	336	336	1	24	119	95	96		18.25
153	9	Re5	D5	327	327	1	16	179	95	96		18.375
154	9	Do5#4	C5#4	322	322	1	16	179	95	96		18.5
155	9	Si4b4	B4b4	310	310	1	16	179	95	96		18.625
156	9	La4	A4	305	305	1	16	179	95	96		18.75
157	9	Sol4	G4	296	296	1	16	179	95	96		18.875
158	9	Fa4#4	F4#4	291	291	1	16	179	95	96		19.0
159	9	Sol4	G4	296	296	1	16	179	95	96		19.125
160	9	Sol5	G5	349	349	1	16	179	95	96		19.25
161	9	Fa5	F5	340	340	1	16	179	95	96		19.375
162	9	Mi5	E5	336	336	1	16	179	95	96		19.5
163	9	Re5	D5	327	327	1	16	179	95	96		19.625
164	9	Do5#4	C5#4	322	322	1	16	179	95	96		19.75
165	9	Re5	D5	327	327	1	8	357	95	96		20.0
166	9	Es	Es	-1	-1	1	16	179	100	0		20.125
167	9	Sol5	G5	349	349	1	32	89	95	96		20.1875
168	9	Fa5	F5	340	340	1	32	89	95	96		20.25
169	9	Mi5	E5	336	336	1	16	179	95	96		20.375
170	9	Re5	D5	327	327	1	16	179	95	96		20.5
171	9	Do5#4	C5#4	322	322	1	24	119	95	96		20.5833333333
172	9	Re5	D5	327	327	1	24	119	95	96		20.6666666667
173	9	Mi5	E5	336	336	1	24	119	95	96		20.75
174	9	Mi5	E5	336	336	1	24	119	95	96		20.8333333333
175	9	Fa5	F5	340	340	1	24	119	95	96		20.9166666667
176	9	Fa5#4	F5#4	344	344	1	24	119	95	96		21.0
177	9	Sol5	G5	349	349	1	8	357	95	96		21.25
178	9	Fa5	F5	340	340	1	32	89	95	96		21.3125
179	9	Mi5	E5	336	336	1	32	89	95	96		21.375
180	9	Re5	D5	327	327	1	32	89	95	96		21.4375
181	9	Mi5	E5	336	336	1	32	89	95	96		21.5
182	9	Fa5	F5	340	340	1	8	357	95	96		21.75
183	9	Mi5	E5	336	336	1	16	179	95	96		21.875
184	9	Re5	D5	327	327	1	16	179	95	96		22.0
185	9	Mi5	E5	336	336	1	8	357	95	96		22.25
186	9	Re5	D5	327	327	1	16	179	95	96		22.375
187	9	Do5#4	C5#4	322	322	1	16	179	95	96		22.5
188	9	Si4b4	B4b4	310	310	1	16	179	95	96		22.625
189	9	La4	A4	305	305	1	16	179	95	96		22.75
190	9	Sol4	G4	296	296	1	8	357	95	96		23.0
191	9	La4	A4	305	305	1	16	179	95	96		23.125
192	9	Do5#4	C5#4	322	322	1	16	179	95	96		23.25
193	9	Si4b4	B4b4	310	310	1	16	179	95	96		23.375
194	9	La4	A4	305	305	1	16	179	95	96		23.5
195	9	La4	A4	305	305	1	24	119	95	96		23.5833333333
196	9	Sol4	G4	296	296	1	24	119	95	96		23.6666666667
197	9	Fa4#4	F4#4	291	291	1	24	119	95	96		23.75
