Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La4	A4	305	305	1	4	833	95	96	1. HANE	0.25
2	9	Mi5	E5	336	336	1	2	1667	95	96		0.75
3	9	Es	Es	-1	-1	1	4	833	100	0		1.0
4	9	Es	Es	-1	-1	1	8	417	100	0		1.125
5	9	Fa5#5	F5#5	345	345	1	16	208	95	96		1.1875
6	9	Sol5	G5	349	349	1	16	208	95	96		1.25
7	9	La5	A5	358	358	1	16	208	95	96		1.3125
8	9	Fa5#5	F5#5	345	345	1	8	417	95	96		1.4375
9	9	Mi5	E5	336	336	1	16	208	95	96		1.5
10	9	Mi5	E5	336	336	1	16	208	95	96		1.5625
11	9	Re5	D5	327	327	1	8	417	95	96		1.6875
12	9	Do5#3	C5#4	321	322	1	16	208	95	96		1.75
13	9	Do5#3	C5#4	321	322	1	16	208	95	96		1.8125
14	9	Si4	B4	314	314	1	8	417	95	96		1.9375
15	9	La4	A4	305	305	1	16	208	95	96		2.0
16	9	La4	A4	305	305	3	32	312	95	96		2.09375
17	9	Si4	B4	314	314	1	32	104	95	96		2.125
18	9	Do5#3	C5#4	321	322	3	32	312	95	96		2.21875
19	9	Re5	D5	327	327	1	32	104	95	96		2.25
20	9	Mi5	E5	336	336	1	16	208	95	96		2.3125
21	9	Sol5	G5	349	349	1	16	208	95	96		2.375
22	9	Fa5#5	F5#5	345	345	1	16	208	95	96		2.4375
23	11	Mi5	E5	336	336	1	16	208	95	96		2.5
24	9	Mi5	E5	336	336	1	2	1667	95	96		3.0
25	9	Es	Es	-1	-1	1	8	417	100	0		3.125
26	9	Mi5	E5	336	336	1	4	833	95	96		3.375
27	9	Re5	D5	327	327	1	8	417	95	96		3.5
28	9	Mi5	E5	336	336	1	4	833	95	96		3.75
29	9	Re5	D5	327	327	1	8	417	95	96		3.875
30	9	Mi5	E5	336	336	1	8	417	95	96		4.0
31	9	Fa5#5	F5#5	345	345	1	24	139	95	96		4.04166666667
32	9	Sol5	G5	349	349	1	24	139	95	96		4.08333333333
