Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
1	9	Re5	D5	327	327	1	16	294	99	96	Pen
2	9	Do5	C5	318	318	1	16	294	99	96	
3	9	Si4b1	B4b1	313	313	1	8	588	95	96	
4	9	Do5	C5	318	318	1	8	588	95	96	cü
5	9	Re5	D5	327	327	1	4	1176	99	96	gâh_
6	9	Mi5	E5	336	336	1	4	1176	95	96	
7	9	Do5	C5	318	318	1	4	1176	99	96	ý 
8	9	Si4b2	B4b1	312	313	1	8	588	99	96	
9	9	La4	A4	305	305	1	8	588	99	96	
10	9	Si4b2	B4b1	312	313	1	16	294	99	96	
11	9	La4	A4	305	305	1	16	294	99	96	
12	9	Sol4	G4	296	296	2	8	1176	95	96	
13	9	Re5	D5	327	327	1	16	294	99	96	Asl_
14	9	Do5	C5	318	318	1	16	294	99	96	
15	9	Si4b2	B4b1	312	313	1	8	588	95	96	
16	9	Do5	C5	318	318	1	8	588	95	96	i
17	9	Re5	D5	327	327	1	4	1176	99	96	le 
18	11	Mi5	E5	336	336	1	8	588	99	96	
19	9	Mi5	E5	336	336	1	16	294	99	96	
20	9	Re5	D5	327	327	1	16	294	99	96	
21	9	Re5	D5	327	327	1	4	1176	95	96	
22	9	Re5	D5	327	327	1	8	588	99	96	tak
23	11	Mi5	E5	336	336	1	8	588	99	96	
24	9	Mi5	E5	336	336	1	16	294	99	96	
25	9	Re5	D5	327	327	1	16	294	99	96	
26	9	Re5	D5	327	327	2	8	1176	95	96	
27	9	Re5	D5	327	327	1	4	1176	95	96	sîm 
28	9	Mi5	E5	336	336	1	8	588	95	96	e
29	9	Sol5	G5	349	349	1	8	588	99	96	dip 
30	9	Fa5	F5	340	340	1	8	588	99	96	
31	9	Mi5	E5	336	336	1	8	588	99	96	
32	9	Re5	D5	327	327	1	8	588	95	96	
33	9	Mi5	E5	336	336	1	4	1176	99	96	sî
34	9	Re5	D5	327	327	1	8	588	99	96	
35	9	Re5	D5	327	327	1	16	294	99	96	
36	9	Fa5	F5	340	340	1	16	294	99	96	
37	9	Mi5	E5	336	336	1	16	294	99	96	
