Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	10	8	0	30	0	Aksaksemâî	0.0
2	9	Es	Es	-1	-1	1	4	833	100	0		0.2
3	9	Es	Es	-1	-1	1	8	417	100	0		0.3
4	9	Es	Es	-1	-1	1	4	833	100	0		0.5
5	9	Es	Es	-1	-1	1	4	833	100	0		0.7
6	9	Mi5	E5	336	336	1	4	833	99	96	Çek	0.9
7	9	Re5	D5	327	327	1	8	417	95	96		1.0
8	9	Re5	D5	327	327	1	4	833	99	96	miş 	1.2
9	9	Do5	C5	318	318	1	8	417	95	96		1.3
10	9	Re5	D5	327	327	1	8	417	99	96	yü	1.4
11	9	Mi5	E5	336	336	1	8	417	99	96		1.5
12	9	Re5	D5	327	327	1	8	417	95	96		1.6
13	9	Do5	C5	318	318	1	8	417	95	96	zü	1.7
14	9	Re5	D5	327	327	1	8	417	99	96	ne 	1.8
15	9	Do5	C5	318	318	1	8	417	99	96		1.9
16	9	Si4b2	B4b1	312	313	1	16	208	99	96		1.95
17	9	La4	A4	305	305	1	16	208	99	96		2.0
18	9	Si4b1	B4b1	313	313	1	4	833	95	96		2.2
19	9	Sol4	G4	296	296	1	8	417	95	96	ni	2.3
20	9	La4	A4	305	305	3	8	1250	95	96	kab_	2.6
21	9	Sol4	G4	296	296	1	8	417	95	96	ı 	2.7
22	9	Re5	D5	327	327	1	4	833	99	96	iş	2.9
23	9	Do5	C5	318	318	1	16	208	99	96		2.95
24	9	Si4b1	B4b1	313	313	1	16	208	95	96		3.0
25	9	Si4b1	B4b1	313	313	1	4	833	99	96	ve  	3.2
26	9	La4	A4	305	305	1	16	208	99	96		3.25
27	9	Sol4	G4	296	296	1	16	208	99	96		3.3
28	8	La4	A4	305	305	0	0	0	99	96		3.3
29	9	Sol4	G4	296	296	1	4	833	95	96		3.5
30	9	Es	Es	-1	-1	1	4	833	100	0		3.7
31	9	Mi5	E5	336	336	1	4	833	99	96	Ey 	3.9
32	9	Re5	D5	327	327	1	8	417	95	96		4.0
33	9	Re5	D5	327	327	1	4	833	99	96	maz	4.2
34	9	Do5	C5	318	318	1	8	417	95	96		4.3
35	9	Re5	D5	327	327	1	8	417	99	96	hâr_	4.4
36	9	Mi5	E5	336	336	1	8	417	99	96		4.5
37	9	Re5	D5	327	327	1	8	417	95	96		4.6
38	9	Do5	C5	318	318	1	8	417	95	96	ı 	4.7
39	9	Re5	D5	327	327	1	8	417	99	96	â	4.8
40	9	Do5	C5	318	318	1	8	417	99	96		4.9
41	9	Si4b2	B4b1	312	313	1	16	208	99	96		4.95
