Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	1	8	833	95	96		0.142857142857
2	9	Mi4	E4	283	283	1	8	833	95	96		0.285714285714
3	9	Fa4#4	F4#4	291	291	1	8	833	95	96		0.428571428571
4	9	Sol4	G4	296	296	1	4	1667	95	96		0.714285714286
5	9	La4	A4	305	305	1	4	1667	95	96		1.0
6	9	Si4b2	B4b1	312	313	1	4	1667	95	96		1.28571428571
7	9	La4	A4	305	305	1	8	833	95	96		1.42857142857
8	9	Sol4	G4	296	296	1	4	1667	95	96		1.71428571429
9	9	Re5	D5	327	327	1	4	1667	95	96		2.0
10	9	Mi5	E5	336	336	1	8	833	95	96		2.14285714286
11	9	Re5	D5	327	327	1	8	833	95	96		2.28571428571
12	9	Sol5	G5	349	349	1	8	833	95	96		2.42857142857
13	9	Fa5#1	F5#1	341	341	1	8	833	95	96		2.57142857143
14	9	Mi5	E5	336	336	1	8	833	95	96		2.71428571429
15	9	Re5	D5	327	327	1	8	833	95	96		2.85714285714
16	9	Do5	C5	318	318	1	8	833	95	96		3.0
17	9	Si4b1	B4b1	313	313	1	4	1667	95	96		3.28571428571
18	9	La4	A4	305	305	1	8	833	95	96		3.42857142857
19	9	Sol4	G4	296	296	1	2	3334	95	96		4.0
