Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	32	4	0	63	0	Muhammes	0.0
2	9	Re4	D4	274	274	1	8	333	95	96	1. HANE	0.015625
3	9	Sol4	G4	296	296	1	4	667	95	96		0.046875
4	9	La4	A4	305	305	1	8	333	95	96		0.0625
5	9	Si4b1	B4b1	313	313	1	4	667	95	96		0.09375
6	9	Do5	C5	318	318	1	4	667	95	96		0.125
7	9	Es	Es	-1	-1	1	8	333	100	0		0.140625
8	9	Re5	D5	327	327	1	16	167	95	96		0.1484375
9	9	Mi5	E5	336	336	1	16	167	95	96		0.15625
10	9	Re5	D5	327	327	1	8	333	95	96		0.171875
11	9	Do5	C5	318	318	1	8	333	95	96		0.1875
12	9	Si4b1	B4b1	313	313	3	16	500	95	96		0.2109375
13	9	La4	A4	305	305	1	16	167	95	96		0.21875
14	9	Sol4	G4	296	296	1	4	667	95	96		0.25
15	9	Es	Es	-1	-1	1	8	333	100	0		0.265625
16	9	La4	A4	305	305	1	4	667	95	96		0.296875
17	9	Si4b1	B4b1	313	313	1	8	333	95	96		0.3125
18	9	Sol4	G4	296	296	1	4	667	95	96		0.34375
19	9	La4	A4	305	305	1	8	333	95	96		0.359375
20	9	Si4b1	B4b1	313	313	1	8	333	95	96		0.375
21	9	Do5	C5	318	318	1	8	333	95	96		0.390625
22	9	Re5	D5	327	327	1	8	333	95	96		0.40625
23	9	Do5	C5	318	318	1	8	333	95	96		0.421875
24	9	Si4b1	B4b1	313	313	1	8	333	95	96		0.4375
25	9	Do5	C5	318	318	3	16	500	95	96		0.4609375
26	9	Mi5	E5	336	336	1	16	167	95	96		0.46875
27	9	Re5	D5	327	327	1	4	667	95	96		0.5
28	9	Es	Es	-1	-1	1	8	333	100	0		0.515625
29	9	Do5	C5	318	318	1	16	167	95	96		0.5234375
30	9	Si4b1	B4b1	313	313	1	16	167	95	96		0.53125
31	9	La4	A4	305	305	1	8	333	95	96		0.546875
32	9	Do5	C5	318	318	1	8	333	95	96		0.5625
33	9	Si4b1	B4b1	313	313	3	16	500	95	96		0.5859375
34	9	La4	A4	305	305	1	16	167	95	96		0.59375
35	9	Sol4	G4	296	296	1	4	667	95	96		0.625
36	9	Re4	D4	274	274	1	8	333	95	96		0.640625
37	9	Sol4	G4	296	296	1	4	667	95	96		0.671875
38	9	Si4b1	B4b1	313	313	1	8	333	95	96		0.6875
39	9	La4	A4	305	305	1	16	167	95	96		0.6953125
40	9	Si4b1	B4b1	313	313	1	16	167	95	96		0.703125
41	9	La4	A4	305	305	1	16	167	95	96		0.7109375
42	9	Sol4	G4	296	296	1	16	167	95	96		0.71875
43	9	Fa4#4	F4#4	291	291	1	16	167	95	96		0.7265625
44	9	Sol4	G4	296	296	1	16	167	95	96		0.734375
45	9	Fa4#4	F4#4	291	291	1	16	167	95	96		0.7421875
46	9	Mi4	E4	283	283	1	16	167	95	96		0.75
47	9	Re4	D4	274	274	1	8	333	95	96		0.765625
48	9	Sol4	G4	296	296	1	8	333	95	96		0.78125
49	9	Fa4#4	F4#4	291	291	1	8	333	95	96		0.796875
50	9	La4	A4	305	305	1	8	333	95	96		0.8125
51	9	La4	A4	305	305	1	16	167	95	96		0.8203125
52	9	Sol4	G4	296	296	1	16	167	95	96		0.828125
53	9	Sol4	G4	296	296	1	16	167	95	96		0.8359375
