Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	48	4	0	67	0	Sakîl	0.0
2	9	Es	Es	-1	-1	1	4	769	100	0	1. HANE	0.0208333333333
3	9	Sol4	G4	296	296	1	8	385	50	96		0.03125
4	9	Sol4	G4	296	296	1	8	385	50	96		0.0416666666667
5	9	Sol4	G4	296	296	1	4	769	50	96		0.0625
6	9	Fa4#4	F4#4	291	291	1	4	769	95	96		0.0833333333333
7	9	Sol4	G4	296	296	1	8	385	95	96		0.09375
8	9	La4	A4	305	305	1	8	385	95	96		0.104166666667
9	9	Sol4	G4	296	296	1	4	769	95	96		0.125
10	9	La4	A4	305	305	3	8	1154	95	96		0.15625
11	9	Es	Es	-1	-1	1	8	385	100	0		0.166666666667
12	9	Sol4	G4	296	296	3	8	1154	95	96		0.197916666667
13	9	Si4b5	B4b5	309	309	1	8	385	95	96		0.208333333333
14	9	La4	A4	305	305	1	4	769	95	96		0.229166666667
15	9	Sol4	G4	296	296	1	4	769	95	96		0.25
16	9	Sol4	G4	296	296	1	16	192	95	96		0.255208333333
17	9	Fa4#4	F4#4	291	291	1	16	192	95	96		0.260416666667
18	9	Mi4	E4	283	283	1	8	385	95	96		0.270833333333
19	9	Fa4#4	F4#4	291	291	1	8	385	95	96		0.28125
20	9	Sol4	G4	296	296	1	8	385	95	96		0.291666666667
21	9	Fa4#4	F4#4	291	291	1	8	385	95	96		0.302083333333
22	9	Sol4	G4	296	296	1	8	385	95	96		0.3125
23	9	Fa4#4	F4#4	291	291	1	4	769	95	96		0.333333333333
24	9	Es	Es	-1	-1	1	4	769	100	0		0.354166666667
25	9	Sol4	G4	296	296	1	8	385	50	96		0.364583333333
26	9	Sol4	G4	296	296	1	8	385	50	96		0.375
27	9	Sol4	G4	296	296	1	4	769	50	96		0.395833333333
28	9	Fa4#4	F4#4	291	291	1	4	769	95	96		0.416666666667
29	9	Sol4	G4	296	296	1	8	385	95	96		0.427083333333
30	9	La4	A4	305	305	1	8	385	95	96		0.4375
31	9	Sol4	G4	296	296	1	4	769	95	96		0.458333333333
32	9	La4	A4	305	305	3	8	1154	95	96		0.489583333333
33	9	Es	Es	-1	-1	1	8	385	100	0		0.5
34	9	Sol4	G4	296	296	3	8	1154	95	96		0.53125
35	9	Do5	C5	318	318	1	8	385	95	96		0.541666666667
36	9	Si4b1	B4b1	313	313	1	4	769	95	96		0.5625
37	9	La4	A4	305	305	1	4	769	95	96		0.583333333333
38	9	La4	A4	305	305	1	8	385	95	96		0.59375
39	9	Sol4	G4	296	296	1	4	769	95	96		0.614583333333
40	9	Fa4#4	F4#4	291	291	1	8	385	95	96		0.625
41	9	Fa4#4	F4#4	291	291	3	16	577	95	96		0.640625
42	9	Mi4	E4	283	283	1	16	192	95	96		0.645833333333
43	9	Re4	D4	274	274	1	4	769	95	96		0.666666666667
44	9	Es	Es	-1	-1	1	4	769	100	0		0.6875
45	9	Sol4	G4	296	296	1	8	385	50	96		0.697916666667
46	9	Sol4	G4	296	296	1	8	385	50	96		0.708333333333
47	9	Sol4	G4	296	296	1	4	769	50	96		0.729166666667
48	9	Fa4#4	F4#4	291	291	1	4	769	95	96		0.75
49	9	Sol4	G4	296	296	1	8	385	95	96		0.760416666667
50	9	La4	A4	305	305	1	8	385	95	96		0.770833333333
51	9	Sol4	G4	296	296	1	4	769	95	96		0.791666666667
52	9	La4	A4	305	305	3	8	1154	95	96		0.822916666667
53	9	Es	Es	-1	-1	1	8	385	100	0		0.833333333333
54	9	Sol4	G4	296	296	3	8	1154	95	96		0.864583333333
55	9	La4	A4	305	305	1	8	385	95	96		0.875
56	9	Si4b1	B4b1	313	313	1	4	769	95	96		0.895833333333
57	9	Do5	C5	318	318	1	8	385	95	96		0.90625
58	9	Re5	D5	327	327	1	8	385	95	96		0.916666666667
