Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
1	9			-1	-1	1	4	741	100	0	
2	9	Sol4	G4	296	296	1	8	370	95	96	Ý
3	9	La4	A4	305	305	1	8	370	99	96	çi
4	9	Si4b1	B4b1	313	313	1	8	370	95	96	
5	9	Do5	C5	318	318	1	8	370	99	96	me 
6	9	Si4b1	B4b1	313	313	1	8	370	99	96	
7	9	Si4b1	B4b1	313	313	1	4	741	99	96	
8	9	La4	A4	305	305	1	16	185	99	96	
9	9	Sol4	G4	296	296	1	16	185	95	96	
10	8	La4	A4	305	305	3	64	139	95	96	
11	9	Sol4	G4	296	296	5	8	1852	95	96	hep 
12	9	Re4	D4	274	274	1	8	370	95	96	SAZ
13	9	Mi4	E4	283	283	1	16	185	95	96	.
14	9	Fa4#4	F4#4	291	291	1	16	185	95	96	.
15	9	Sol4	G4	296	296	5	8	1852	95	96	.
16	9	Do5	C5	318	318	1	8	370	95	96	hü
17	9	Do5	C5	318	318	1	8	370	99	96	zün 
18	9	Si4b1	B4b1	313	313	1	8	370	95	96	
19	9	Si4b1	B4b1	313	313	1	8	370	99	96	do
20	9	La4	A4	305	305	1	8	370	95	96	
21	9	Do5	C5	318	318	1	4	741	99	96	lu
22	9	Si4b1	B4b1	313	313	1	16	185	99	96	
23	9	La4	A4	305	305	1	16	185	95	96	
24	8	Si4b1	B4b1	313	313	3	64	139	95	96	
25	9	La4	A4	305	305	12	8	4445	95	96	yor  
26	9	Re5	D5	327	327	1	8	370	95	96	hü
27	9	Re5	D5	327	327	1	8	370	99	96	zün 
28	9	Mi5	E5	336	336	1	8	370	95	96	
29	9	Fa5	F5	340	340	1	8	370	99	96	do
30	9	Mi5	E5	336	336	1	8	370	95	96	
31	9	Re5	D5	327	327	1	8	370	99	96	lu
32	9	Do5	C5	318	318	1	8	370	99	96	
33	9	Si4b1	B4b1	313	313	1	8	370	95	96	
34	9	Re5	D5	327	327	4	8	1481	95	96	yor  
35	9	La4	A4	305	305	1	16	185	95	96	SAZ
36	9	Si4b1	B4b1	313	313	1	16	185	95	96	.
37	9	Do5	C5	318	318	1	8	370	95	96	.
38	9	Si4b1	B4b1	313	313	1	16	185	95	96	.
39	9	La4	A4	305	305	1	16	185	95	96	.
40	9	Sol4	G4	296	296	5	8	1852	95	96	.
41	9	Sol4	G4	296	296	1	8	370	95	96	Ý
42	9	La4	A4	305	305	1	8	370	99	96	çi
43	9	Si4b1	B4b1	313	313	1	8	370	95	96	
