Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	8	8	0	17	0	Düyek	0.0
2	9	Sol4	G4	296	296	1	8	500	95	96	ARANAĞME	0.125
3	9	Do5	C5	318	318	1	4	1000	95	96	.	0.375
4	9	Re5	D5	327	327	1	8	500	95	96	.	0.5
5	9	Fa5	F5	340	340	3	32	375	95	96	.	0.59375
6	9	Mi5	E5	336	336	1	32	125	95	96	.	0.625
7	9	Re5	D5	327	327	1	16	250	95	96	.	0.6875
8	9	Do5	C5	318	318	1	16	250	95	96	.	0.75
9	9	Si4b1	B4b1	313	313	3	32	375	95	96	.	0.84375
10	9	La4	A4	305	305	1	32	125	95	96	.	0.875
11	9	Sol4	G4	296	296	1	8	500	95	96	.	1.0
12	9	Es	Es	-1	-1	1	16	250	100	0	.	1.0625
13	9	Sol5	G5	349	349	1	16	250	95	96	.	1.125
14	9	Fa5#4	F5#4	344	344	1	16	250	95	96	.	1.1875
15	9	Sol5	G5	349	349	1	16	250	95	96	.	1.25
16	9	Es	Es	-1	-1	1	16	250	100	0	.	1.3125
17	9	Fa5	F5	340	340	1	16	250	95	96	.	1.375
18	9	Mi5	E5	336	336	1	16	250	95	96	.	1.4375
19	9	Fa5	F5	340	340	1	16	250	95	96	.	1.5
20	9	Mi5	E5	336	336	1	16	250	95	96	.	1.5625
21	9	Re5	D5	327	327	1	8	500	95	96	.	1.6875
22	9	Do5	C5	318	318	1	16	250	95	96	.	1.75
23	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	1.8125
24	9	Do5	C5	318	318	1	16	250	95	96	.	1.875
25	9	Re5	D5	327	327	1	8	500	95	96	.	2.0
26	9	Es	Es	-1	-1	1	16	250	100	0	.	2.0625
27	9	Fa5	F5	340	340	1	16	250	95	96	.	2.125
28	9	Mi5	E5	336	336	1	16	250	95	96	.	2.1875
29	9	Fa5	F5	340	340	1	16	250	95	96	.	2.25
30	9	Es	Es	-1	-1	1	16	250	100	0	.	2.3125
31	9	Mi5	E5	336	336	1	16	250	95	96	.	2.375
32	9	Re5	D5	327	327	1	16	250	95	96	.	2.4375
33	9	Mi5	E5	336	336	1	16	250	95	96	.	2.5
34	9	Re5	D5	327	327	1	16	250	95	96	.	2.5625
35	9	Do5	C5	318	318	1	8	500	95	96	.	2.6875
36	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	2.75
37	9	La4	A4	305	305	1	16	250	95	96	.	2.8125
38	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	2.875
39	9	Do5	C5	318	318	1	8	500	95	96	.	3.0
40	9	Es	Es	-1	-1	1	16	250	100	0	.	3.0625
41	9	Mi5	E5	336	336	1	16	250	95	96	.	3.125
42	9	Re5	D5	327	327	1	16	250	95	96	.	3.1875
43	9	Do5	C5	318	318	1	16	250	95	96	.	3.25
44	9	Es	Es	-1	-1	1	16	250	100	0	.	3.3125
45	9	Re5	D5	327	327	1	16	250	95	96	.	3.375
46	9	Do5	C5	318	318	1	16	250	95	96	.	3.4375
47	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	3.5
48	9	Es	Es	-1	-1	1	16	250	100	0	.	3.5625
49	9	La4	A4	305	305	1	16	250	95	96	.	3.625
50	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	3.6875
51	9	Do5	C5	318	318	1	16	250	95	96	.	3.75
52	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	3.8125
53	9	Do5	C5	318	318	1	16	250	95	96	.	3.875
54	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	3.9375
55	9	La4	A4	305	305	1	16	250	95	96	.	4.0
56	9	Es	Es	-1	-1	1	16	250	100	0	.	4.0625
57	9	Re5	D5	327	327	1	16	250	95	96	.	4.125
58	9	Do5	C5	318	318	1	16	250	95	96	.	4.1875
59	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	4.25
60	9	Es	Es	-1	-1	1	16	250	100	0	.	4.3125
61	9	Do5	C5	318	318	1	16	250	95	96	.	4.375
62	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	4.4375
63	9	La4	A4	305	305	1	16	250	95	96	.	4.5
64	9	Es	Es	-1	-1	1	16	250	100	0	.	4.5625
65	9	Sol4	G4	296	296	1	16	250	95	96	.	4.625
66	9	La4	A4	305	305	1	16	250	95	96	.	4.6875
67	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	4.75
68	9	La4	A4	305	305	1	16	250	95	96	.	4.8125
