Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La4	A4	305	305	3	16	375	95	96	ARANAĞME	0.25
2	9	Sol4	G4	296	296	1	16	125	95	96	.	0.333333333333
3	9	Fa4#4	F4#4	291	291	1	8	250	95	96	.	0.5
4	9	Sol4	G4	296	296	1	8	250	95	96	.	0.666666666667
5	9	La4	A4	305	305	1	8	250	95	96	.	0.833333333333
6	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	1.0
7	9	Sol4	G4	296	296	3	4	1500	95	96	.	2.0
8	9	Do5	C5	318	318	3	16	375	95	96	.	2.25
9	9	Si4b1	B4b1	313	313	1	16	125	95	96	.	2.33333333333
10	9	La4	A4	305	305	1	8	250	95	96	.	2.5
11	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	2.66666666667
12	9	Do5	C5	318	318	1	8	250	95	96	.	2.83333333333
13	9	Mi5	E5	336	336	1	8	250	95	96	.	3.0
14	9	Re5	D5	327	327	3	4	1500	95	96	.	4.0
15	9	La5	A5	358	358	3	16	375	95	96	.	4.25
16	9	Sol5	G5	349	349	1	16	125	95	96	.	4.33333333333
17	9	Fa5	F5	340	340	1	8	250	95	96	.	4.5
18	9	Mi5	E5	336	336	1	8	250	95	96	.	4.66666666667
19	9	Re5	D5	327	327	1	8	250	95	96	.	4.83333333333
20	9	Mi5	E5	336	336	1	8	250	95	96	.	5.0
21	9	Re5	D5	327	327	1	8	250	95	96	.	5.16666666667
22	9	Do5	C5	318	318	1	8	250	95	96	.	5.33333333333
23	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	5.5
24	9	La4	A4	305	305	1	8	250	95	96	.	5.66666666667
25	9	Sol4	G4	296	296	1	4	500	95	96	.	6.0
26	9	Re4	D4	274	274	1	8	250	95	96	.	6.16666666667
27	9	Sol4	G4	296	296	1	8	250	95	96	.	6.33333333333
28	9	Fa4#4	F4#4	291	291	1	8	250	95	96	.	6.5
29	9	Sol4	G4	296	296	1	8	250	95	96	.	6.66666666667
30	9	La4	A4	305	305	1	8	250	95	96	.	6.83333333333
31	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	7.0
32	9	Sol4	G4	296	296	3	4	1500	95	96	.	8.0
33	9	La4	A4	305	305	3	16	375	95	96	ARANAĞME	8.25
34	9	Sol4	G4	296	296	1	16	125	95	96	.	8.33333333333
35	9	Fa4#4	F4#4	291	291	1	8	250	95	96	.	8.5
36	9	Sol4	G4	296	296	1	8	250	95	96	.	8.66666666667
37	9	La4	A4	305	305	1	8	250	95	96	.	8.83333333333
38	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	9.0
39	9	Sol4	G4	296	296	3	4	1500	95	96	.	10.0
40	9	Do5	C5	318	318	3	16	375	95	96	.	10.25
41	9	Si4b1	B4b1	313	313	1	16	125	95	96	.	10.3333333333
42	9	La4	A4	305	305	1	8	250	95	96	.	10.5
43	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	10.6666666667
44	9	Do5	C5	318	318	1	8	250	95	96	.	10.8333333333
45	9	Mi5	E5	336	336	1	8	250	95	96	.	11.0
46	9	Re5	D5	327	327	3	4	1500	95	96	.	12.0
47	9	La5	A5	358	358	3	16	375	95	96	.	12.25
48	9	Sol5	G5	349	349	1	16	125	95	96	.	12.3333333333
49	9	Fa5	F5	340	340	1	8	250	95	96	.	12.5
50	9	Mi5	E5	336	336	1	8	250	95	96	.	12.6666666667
51	9	Re5	D5	327	327	1	8	250	95	96	.	12.8333333333
52	9	Mi5	E5	336	336	1	8	250	95	96	.	13.0
53	9	Re5	D5	327	327	1	8	250	95	96	.	13.1666666667
54	9	Do5	C5	318	318	1	8	250	95	96	.	13.3333333333
55	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	13.5
56	9	La4	A4	305	305	1	8	250	95	96	.	13.6666666667
57	9	Sol4	G4	296	296	1	4	500	95	96	.	14.0
58	9	Re4	D4	274	274	1	8	250	95	96	.	14.1666666667
59	9	Sol4	G4	296	296	1	8	250	95	96	.	14.3333333333
60	9	Fa4#4	F4#4	291	291	1	8	250	95	96	.	14.5
61	9	Sol4	G4	296	296	1	8	250	95	96	.	14.6666666667
62	9	La4	A4	305	305	1	8	250	95	96	.	14.8333333333
63	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	15.0
64	9	Sol4	G4	296	296	3	4	1500	95	96	.	16.0
65	9	Sol5	G5	349	349	3	4	1500	95	96	Aş	17.0
66	9	Sol5	G5	349	349	1	8	250	99	96	kım	17.1666666667
67	9	Fa5#4	F5#4	344	344	1	8	250	99	96		17.3333333333
68	9	Mi5	E5	336	336	3	8	750	95	96		17.8333333333
69	9	Fa5#4	F5#4	344	344	1	8	250	95	96	gü	18.0
70	9	Re5	D5	327	327	3	4	1500	95	96	zel	19.0
71	9	Do5	C5	318	318	1	8	250	99	96	ca	19.1666666667
72	9	Si4b1	B4b1	313	313	1	8	250	99	96		19.3333333333
73	9	La4	A4	305	305	1	8	250	99	96		19.5
74	9	Si4b1	B4b1	313	313	1	8	250	99	96		19.6666666667
75	9	Do5	C5	318	318	1	8	250	99	96		19.8333333333
76	9	Re5	D5	327	327	1	8	250	95	96		20.0
77	9	Si4b1	B4b1	313	313	1	2	1000	99	96	na	20.6666666667
78	9	Sol4	G4	296	296	1	4	500	95	96		21.0
79	9	La4	A4	305	305	1	2	1000	95	96	nım	21.6666666667
80	9	Fa4#4	F4#4	291	291	1	4	500	95	96	gü	22.0
81	9	Sol4	G4	296	296	3	4	1500	100	96	zel	23.0
82	9	Sol4	G4	296	296	3	4	1500	99	96		24.0
83	9	Sol4	G4	296	296	3	4	1500	95	96		25.0
84	9	Re5	D5	327	327	3	4	1500	95	96	Se	26.0
85	9	Mi5	E5	336	336	1	4	500	99	96	vin	26.3333333333
86	9	Fa5	F5	340	340	1	4	500	95	96		26.6666666667
87	9	La5	A5	358	358	1	4	500	95	96	ce	27.0
88	9	Sol5	G5	349	349	1	4	500	99	96	gö	27.3333333333
89	9	Fa5	F5	340	340	1	4	500	99	96		27.6666666667
90	9	Mi5	E5	336	336	1	4	500	95	96		28.0
91	9	Re5	D5	327	327	1	4	500	99	96	nül	28.3333333333
92	9	Do5	C5	318	318	1	4	500	99	96		28.6666666667
93	9	Si4b1	B4b1	313	313	1	4	500	95	96		29.0
94	9	Re5	D5	327	327	3	8	750	99	96	her	29.5
95	9	Do5#4	C5#4	322	322	1	8	250	99	96		29.6666666667
96	9	Si4	B4	314	314	1	4	500	95	96		30.0
97	9	Do5#4	C5#4	322	322	1	4	500	99	96	şey	30.3333333333
98	9	Re5	D5	327	327	1	4	500	95	96		30.6666666667
99	9	Mi5	E5	336	336	1	8	250	99	96	gü	30.8333333333
100	9	Re5	D5	327	327	1	8	250	95	96		31.0
101	9	Re5	D5	327	327	1	2	1000	99	96	zel	31.6666666667
102	9	Si4b1	B4b1	313	313	1	4	500	95	96		32.0
103	9	Do5	C5	318	318	1	8	250	95	96	SAZ	32.1666666667
104	9	La4	A4	305	305	1	8	250	95	96	.	32.3333333333
105	9	Sol4	G4	296	296	1	2	1000	95	96	.	33.0
106	9	Sol5	G5	349	349	3	4	1500	95	96	Aş	34.0
107	9	Sol5	G5	349	349	1	8	250	99	96	kım	34.1666666667
108	9	Fa5#4	F5#4	344	344	1	8	250	99	96		34.3333333333
109	9	Mi5	E5	336	336	3	8	750	95	96		34.8333333333
110	9	Fa5#4	F5#4	344	344	1	8	250	95	96	gü	35.0
111	9	Re5	D5	327	327	3	4	1500	95	96	zel	36.0
112	9	Do5	C5	318	318	1	8	250	99	96	ca	36.1666666667
113	9	Si4b1	B4b1	313	313	1	8	250	99	96		36.3333333333
114	9	La4	A4	305	305	1	8	250	99	96		36.5
115	9	Si4b1	B4b1	313	313	1	8	250	99	96		36.6666666667
116	9	Do5	C5	318	318	1	8	250	99	96		36.8333333333
117	9	Re5	D5	327	327	1	8	250	95	96		37.0
118	9	Si4b1	B4b1	313	313	1	2	1000	99	96	na	37.6666666667
119	9	Sol4	G4	296	296	1	4	500	95	96		38.0
120	9	La4	A4	305	305	1	2	1000	95	96	nım	38.6666666667
121	9	Fa4#4	F4#4	291	291	1	4	500	95	96	gü	39.0
122	9	Sol4	G4	296	296	3	4	1500	100	96	zel	40.0
123	9	Sol4	G4	296	296	3	4	1500	99	96		41.0
124	9	Sol4	G4	296	296	3	4	1500	95	96		42.0
125	9	Re5	D5	327	327	3	4	1500	95	96	Se	43.0
126	9	Mi5	E5	336	336	1	4	500	99	96	vin	43.3333333333
127	9	Fa5	F5	340	340	1	4	500	95	96		43.6666666667
128	9	La5	A5	358	358	1	4	500	95	96	ce	44.0
129	9	Sol5	G5	349	349	1	4	500	99	96	gö	44.3333333333
130	9	Fa5	F5	340	340	1	4	500	99	96		44.6666666667
131	9	Mi5	E5	336	336	1	4	500	95	96		45.0
132	9	Re5	D5	327	327	1	4	500	99	96	nül	45.3333333333
133	9	Do5	C5	318	318	1	4	500	99	96		45.6666666667
134	9	Si4b1	B4b1	313	313	1	4	500	95	96		46.0
135	9	Re5	D5	327	327	3	8	750	99	96	her	46.5
136	9	Do5#4	C5#4	322	322	1	8	250	99	96		46.6666666667
137	9	Si4	B4	314	314	1	4	500	95	96		47.0
138	9	Do5#4	C5#4	322	322	1	4	500	99	96	şey	47.3333333333
139	9	Re5	D5	327	327	1	4	500	95	96		47.6666666667
140	9	Mi5	E5	336	336	1	8	250	99	96	gü	47.8333333333
141	9	Re5	D5	327	327	1	8	250	95	96		48.0
142	9	Re5	D5	327	327	1	2	1000	99	96	zel	48.6666666667
143	9	Si4b1	B4b1	313	313	1	4	500	95	96		49.0
144	9	Do5	C5	318	318	1	8	250	95	96	SAZ	49.1666666667
145	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	49.3333333333
146	9	Re5	D5	327	327	1	2	1000	95	96	.	50.0
147	9	Sol5	G5	349	349	1	8	250	99	96	Ba	50.1666666667
148	9	Fa5#4	F5#4	344	344	1	8	250	95	96		50.3333333333
149	9	Sol5	G5	349	349	3	8	750	95	96	har	50.8333333333
150	9	La5	A5	358	358	1	8	250	95	96	gü	51.0
151	9	Si5b1	B5b1	366	366	3	4	1500	95	96	zel	52.0
152	9	Fa5#4	F5#4	344	344	1	8	250	99	96	meh	52.1666666667
153	9	Mi5	E5	336	336	1	8	250	95	96		52.3333333333
154	9	Fa5#4	F5#4	344	344	3	8	750	95	96	tap	52.8333333333
155	9	Sol5	G5	349	349	1	8	250	95	96	gü	53.0
156	9	La5	A5	358	358	3	4	1500	95	96	zel	54.0
157	9	Sol5	G5	349	349	1	4	500	99	96	a	54.3333333333
158	9	Fa5	F5	340	340	1	4	500	95	96		54.6666666667
159	9	Mi5	E5	336	336	1	4	500	95	96	le	55.0
160	9	Re5	D5	327	327	1	4	500	99	96	mi	55.3333333333
161	9	Do5	C5	318	318	1	4	500	99	96		55.6666666667
162	9	Si4b1	B4b1	313	313	1	4	500	95	96		56.0
163	9	La4#4	A4#4	309	309	1	4	500	99	96	şeb	56.3333333333
164	9	Si4b1	B4b1	313	313	1	4	500	95	96		56.6666666667
165	9	Do5	C5	318	318	1	8	250	99	96	gü	56.8333333333
166	9	Si4b1	B4b1	313	313	1	8	250	95	96		57.0
167	9	Si4b1	B4b1	313	313	3	4	1500	95	96	zel	58.0
168	9	Sol4	G4	296	296	1	8	250	99	96	e	58.1666666667
169	9	La4	A4	305	305	1	8	250	99	96		58.3333333333
170	9	Si4b1	B4b1	313	313	1	8	250	99	96		58.5
171	9	Do5	C5	318	318	1	8	250	95	96		58.6666666667
172	9	Re5	D5	327	327	1	8	250	99	96	le	58.8333333333
173	9	Mi5	E5	336	336	1	8	250	95	96		59.0
174	9	Re5	D5	327	327	3	4	1500	95	96	le	60.0
175	9	Re5	D5	327	327	1	8	250	99	96	göz	60.1666666667
176	9	Mi5	E5	336	336	1	8	250	99	96		60.3333333333
177	9	Fa5#4	F5#4	344	344	1	8	250	99	96		60.5
178	9	Sol5	G5	349	349	1	8	250	95	96		60.6666666667
179	9	La5	A5	358	358	1	8	250	99	96	gö	60.8333333333
180	9	Sol5	G5	349	349	1	8	250	95	96		61.0
181	9	Sol5	G5	349	349	3	4	1500	95	96	ze	62.0
182	9	Do5	C5	318	318	1	8	250	99	96	ya	62.1666666667
183	9	Si4b1	B4b1	313	313	1	8	250	99	96		62.3333333333
184	9	La4	A4	305	305	1	8	250	99	96		62.5
185	9	Si4b1	B4b1	313	313	1	8	250	95	96		62.6666666667
186	9	Do5	C5	318	318	1	8	250	99	96	ri	62.8333333333
187	9	Re5	D5	327	327	1	8	250	95	96		63.0
188	9	Si4b1	B4b1	313	313	1	2	1000	95	96	le	63.6666666667
189	9	Sol4	G4	296	296	1	4	500	95	96	sey	64.0
190	9	La4	A4	305	305	1	2	1000	95	96	ran	64.6666666667
191	9	Fa4#4	F4#4	291	291	1	4	500	95	96	gü	65.0
192	9	Sol4	G4	296	296	3	4	1500	95	96	zel	66.0
193	9	Sol5	G5	349	349	1	8	250	99	96	Ba	66.1666666667
194	9	Fa5#4	F5#4	344	344	1	8	250	95	96		66.3333333333
195	9	Sol5	G5	349	349	3	8	750	95	96	har	66.8333333333
196	9	La5	A5	358	358	1	8	250	95	96	gü	67.0
197	9	Si5b1	B5b1	366	366	3	4	1500	95	96	zel	68.0
198	9	Fa5#4	F5#4	344	344	1	8	250	99	96	meh	68.1666666667
199	9	Mi5	E5	336	336	1	8	250	95	96		68.3333333333
200	9	Fa5#4	F5#4	344	344	3	8	750	95	96	tap	68.8333333333
201	9	Sol5	G5	349	349	1	8	250	95	96	gü	69.0
202	9	La5	A5	358	358	3	4	1500	95	96	zel	70.0
203	9	Sol5	G5	349	349	1	4	500	99	96	a	70.3333333333
204	9	Fa5	F5	340	340	1	4	500	95	96		70.6666666667
205	9	Mi5	E5	336	336	1	4	500	95	96	le	71.0
206	9	Re5	D5	327	327	1	4	500	99	96	mi	71.3333333333
207	9	Do5	C5	318	318	1	4	500	99	96		71.6666666667
208	9	Si4b1	B4b1	313	313	1	4	500	95	96		72.0
209	9	La4#4	A4#4	309	309	1	4	500	99	96	şeb	72.3333333333
210	9	Si4b1	B4b1	313	313	1	4	500	95	96		72.6666666667
211	9	Do5	C5	318	318	1	8	250	99	96	gü	72.8333333333
212	9	Si4b1	B4b1	313	313	1	8	250	95	96		73.0
213	9	Si4b1	B4b1	313	313	3	4	1500	95	96	zel	74.0
214	9	Sol4	G4	296	296	1	8	250	99	96	e	74.1666666667
215	9	La4	A4	305	305	1	8	250	99	96		74.3333333333
216	9	Si4b1	B4b1	313	313	1	8	250	99	96		74.5
217	9	Do5	C5	318	318	1	8	250	95	96		74.6666666667
218	9	Re5	D5	327	327	1	8	250	99	96	le	74.8333333333
219	9	Mi5	E5	336	336	1	8	250	95	96		75.0
220	9	Re5	D5	327	327	3	4	1500	95	96	le	76.0
221	9	Re5	D5	327	327	1	8	250	99	96	göz	76.1666666667
222	9	Mi5	E5	336	336	1	8	250	99	96		76.3333333333
223	9	Fa5#4	F5#4	344	344	1	8	250	99	96		76.5
224	9	Sol5	G5	349	349	1	8	250	95	96		76.6666666667
225	9	La5	A5	358	358	1	8	250	99	96	gö	76.8333333333
