Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	3	16	714	95	96	ARANAĞME	0.125
2	9	Sol4	G4	296	296	1	16	238	95	96	.	0.166666666667
3	9	Sol4	G4	296	296	1	4	952	95	96	.	0.333333333333
4	9	Sol4	G4	296	296	1	4	952	95	96	.	0.5
5	9	La4	A4	305	305	3	16	714	95	96	.	0.625
6	9	Do5	C5	318	318	1	16	238	95	96	.	0.666666666667
7	9	Si4b1	B4b1	313	313	3	16	714	95	96	.	0.791666666667
8	9	La4	A4	305	305	1	16	238	95	96	.	0.833333333333
9	9	Sol4	G4	296	296	1	4	952	95	96	.	1.0
10	9	La4	A4	305	305	3	16	714	95	96	.	1.125
11	9	La4	A4	305	305	1	16	238	95	96	.	1.16666666667
12	9	La4	A4	305	305	1	4	952	95	96	.	1.33333333333
13	9	Si4b1	B4b1	313	313	1	4	952	95	96	.	1.5
14	9	Sol4	G4	296	296	3	32	357	95	96	.	1.5625
15	9	Fa4#4	F4#4	291	291	1	32	119	95	96	.	1.58333333333
16	9	Mi4	E4	283	283	1	16	238	95	96	.	1.625
17	9	Fa4#4	F4#4	291	291	1	16	238	95	96	.	1.66666666667
18	9	Sol4	G4	296	296	3	8	1429	95	96	.	1.91666666667
19	9	Es	Es	-1	-1	1	8	476	100	0		2.0
20	9	Sol4	G4	296	296	3	16	714	95	96	ARANAĞME	2.125
21	9	Sol4	G4	296	296	1	16	238	95	96	.	2.16666666667
22	9	Sol4	G4	296	296	1	4	952	95	96	.	2.33333333333
23	9	Sol4	G4	296	296	1	4	952	95	96	.	2.5
24	9	La4	A4	305	305	3	16	714	95	96	.	2.625
25	9	Do5	C5	318	318	1	16	238	95	96	.	2.66666666667
26	9	Si4b1	B4b1	313	313	3	16	714	95	96	.	2.79166666667
27	9	La4	A4	305	305	1	16	238	95	96	.	2.83333333333
28	9	Sol4	G4	296	296	1	4	952	95	96	.	3.0
29	9	La4	A4	305	305	3	16	714	95	96	.	3.125
30	9	La4	A4	305	305	1	16	238	95	96	.	3.16666666667
31	9	La4	A4	305	305	1	4	952	95	96	.	3.33333333333
32	9	Si4b1	B4b1	313	313	1	4	952	95	96	.	3.5
33	9	Sol4	G4	296	296	3	32	357	95	96	.	3.5625
34	9	Fa4#4	F4#4	291	291	1	32	119	95	96	.	3.58333333333
35	9	Mi4	E4	283	283	1	16	238	95	96	.	3.625
36	9	Fa4#4	F4#4	291	291	1	16	238	95	96	.	3.66666666667
37	9	Sol4	G4	296	296	3	8	1429	95	96	.	3.91666666667
38	9	Es	Es	-1	-1	1	8	476	100	0		4.0
39	9	Sol4	G4	296	296	3	16	714	95	96	.	4.125
40	9	Sol4	G4	296	296	1	16	238	95	96	.	4.16666666667
41	9	Sol4	G4	296	296	1	4	952	95	96	.	4.33333333333
42	9	Es	Es	-1	-1	1	4	952	100	0	.	4.5
43	9	Sol4	G4	296	296	1	8	476	95	96	.	4.58333333333
44	9	Sol4	G4	296	296	1	8	476	95	96	.	4.66666666667
45	9	Sol4	G4	296	296	3	8	1429	95	96	.	4.91666666667
46	9	Es	Es	-1	-1	1	8	476	100	0		5.0
47	9	Sol4	G4	296	296	3	16	714	95	96	Hâ	5.125
48	9	Sol4	G4	296	296	1	16	238	95	96	fı	5.16666666667
49	9	Sol4	G4	296	296	1	4	952	95	96	zın	5.33333333333
50	9	Sol4	G4	296	296	1	4	952	95	96	kab	5.5
51	9	La4	A4	305	305	1	8	476	95	96	ri	5.58333333333
52	9	Si4b1	B4b1	313	313	1	16	238	99	96	o	5.625
53	9	La4	A4	305	305	1	16	238	95	96		5.66666666667
54	9	La4	A4	305	305	1	16	238	99	96	lan	5.70833333333
55	9	Sol4	G4	296	296	1	16	238	99	96		5.75
56	9	Sol4	G4	296	296	1	16	238	99	96		5.79166666667
57	9	Fa4#4	F4#4	291	291	1	16	238	95	96		5.83333333333
58	9	Sol4	G4	296	296	1	4	952	95	96	bah	6.0
59	9	La4	A4	305	305	1	8	476	95	96	çe	6.08333333333
60	9	Do5	C5	318	318	1	8	476	95	96	de	6.16666666667
61	9	Si4b1	B4b1	313	313	1	8	476	95	96	bir	6.25
62	9	La4	A4	305	305	1	8	476	95	96		6.33333333333
63	9	Sol4	G4	296	296	1	8	476	99	96	gül	6.41666666667
64	9	Fa4#4	F4#4	291	291	1	8	476	95	96		6.5
65	9	Fa4#4	F4#4	291	291	1	16	238	99	96	var	6.54166666667
66	9	Mi4	E4	283	283	1	16	238	99	96		6.58333333333
67	9	Mi4	E4	283	283	1	16	238	99	96		6.625
68	9	Fa4#4	F4#4	291	291	1	16	238	95	96		6.66666666667
69	9	Sol4	G4	296	296	3	8	1429	95	96	mış	6.91666666667
