Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Si4b1	B4b1	313	313	1	16	135	95	96	ARANAĞME	0.062500
2	9	La4	A4	305	305	1	16	135	95	96	.	0.125000
3	9	Sol4	G4	296	296	1	8	270	95	96	.	0.250000
4	9	La4	A4	305	305	1	8	270	95	96	.	0.375000
5	9	Si4b1	B4b1	313	313	1	8	270	95	96	.	0.500000
6	9	Do5	C5	318	318	3	8	811	95	96	.	0.875000
7	9	Si4b1	B4b1	313	313	1	8	270	95	96	.	1.000000
8	9	Re5	D5	327	327	3	16	405	95	96	.	1.187500
9	9	Mi5	E5	336	336	1	16	135	95	96	.	1.250000
10	9	Re5	D5	327	327	1	8	270	95	96	.	1.375000
11	9	Do5#4	C5#4	322	322	1	8	270	95	96	.	1.500000
12	9	Si4b4	B4b4	310	310	3	16	405	95	96	.	1.687500
13	9	La4	A4	305	305	1	16	135	95	96	.	1.750000
14	9	Sol4	G4	296	296	1	4	541	95	96	.	2.000000
15	9	Re5	D5	327	327	1	8	270	95	96	.	2.125000
16	9	Mi5b4	E5b4	332	332	1	8	270	95	96	.	2.250000
17	9	Re5	D5	327	327	1	8	270	95	96	.	2.375000
18	9	Mi5b4	E5b4	332	332	1	8	270	95	96	.	2.500000
19	9	Re5	D5	327	327	1	8	270	95	96	.	2.625000
20	9	Mi5b4	E5b4	332	332	1	8	270	95	96	.	2.750000
21	9	Re5	D5	327	327	1	8	270	95	96	.	2.875000
22	9	Do5#4	C5#4	322	322	1	8	270	95	96	.	3.000000
23	9	Re5	D5	327	327	1	8	270	95	96	.	3.125000
24	9	Mi5b4	E5b4	332	332	1	8	270	95	96	.	3.250000
25	9	Fa5#4	F5#4	344	344	1	8	270	95	96	.	3.375000
26	9	Sol5	G5	349	349	1	8	270	95	96	.	3.500000
27	9	Fa5#4	F5#4	344	344	1	16	135	95	96	.	3.562500
28	9	Mi5b4	E5b4	332	332	1	16	135	95	96	.	3.625000
29	9	Re5	D5	327	327	1	16	135	95	96	.	3.687500
30	9	Do5#4	C5#4	322	322	1	16	135	95	96	.	3.750000
31	9	Re5	D5	327	327	1	4	541	95	96	.	4.000000
32	9	Si4b1	B4b1	313	313	1	16	135	95	96	.	4.062500
33	9	La4	A4	305	305	1	16	135	95	96	.	4.125000
34	9	Sol4	G4	296	296	1	8	270	95	96	.	4.250000
35	9	La4	A4	305	305	1	8	270	95	96	.	4.375000
36	9	Si4b1	B4b1	313	313	1	8	270	95	96	.	4.500000
37	9	Do5	C5	318	318	3	8	811	95	96	.	4.875000
38	9	Si4b1	B4b1	313	313	1	8	270	95	96	.	5.000000
39	9	Re5	D5	327	327	3	16	405	95	96	.	5.187500
40	9	Mi5	E5	336	336	1	16	135	95	96	.	5.250000
41	9	Re5	D5	327	327	1	8	270	95	96	.	5.375000
42	9	Do5#4	C5#4	322	322	1	8	270	95	96	.	5.500000
43	9	Si4b4	B4b4	310	310	3	16	405	95	96	.	5.687500
44	9	La4	A4	305	305	1	16	135	95	96	.	5.750000
45	9	Sol4	G4	296	296	1	4	541	95	96	.	6.000000
46	9	Es	Es	-1	-1	1	8	270	100	0	.	6.125000
47	9	Mi5	E5	336	336	1	8	270	95	96	.	6.250000
48	9	Re5	D5	327	327	1	8	270	95	96	.	6.375000
49	9	Do5#4	C5#4	322	322	1	8	270	95	96	.	6.500000
50	9	Si4b4	B4b4	310	310	3	16	405	95	96	.	6.687500
51	9	La4	A4	305	305	1	16	135	95	96	.	6.750000
52	9	Sol4	G4	296	296	1	8	270	95	96	.	6.875000
53	9	Fa4#4	F4#4	291	291	1	8	270	95	96	.	7.000000
54	9	Sol4	G4	296	296	3	4	1622	95	96	.	7.750000
55	9	Es	Es	-1	-1	1	4	541	100	0		8.000000
56	9	Sol4	G4	296	296	1	2	1081	95	96	Kar	8.500000
57	9	Sol4	G4	296	296	1	4	541	95	96	lı 	8.750000
58	9	Sol4	G4	296	296	1	4	541	95	96	da	9.000000
59	9	Re5	D5	327	327	1	8	270	99	96	ğı 	9.125000
60	9	Do5	C5	318	318	1	8	270	95	96		9.250000
61	9	Do5	C5	318	318	1	8	270	99	96	aş	9.375000
62	9	Si4b1	B4b1	313	313	1	8	270	95	96		9.500000
63	9	Si4b1	B4b1	313	313	1	8	270	99	96	tım 	9.625000
64	9	La4	A4	305	305	1	8	270	95	96		9.750000
65	9	La4	A4	305	305	1	8	270	99	96	gel	9.875000
66	9	Sol4	G4	296	296	1	8	270	95	96		10.000000
67	9	Sol4	G4	296	296	3	8	811	95	96	dim  	10.375000
68	9	Re4	D4	274	274	1	8	270	95	96	SAZ	10.500000
69	9	Mi4	E4	283	283	1	8	270	95	96	.	10.625000
70	9	Fa4#4	F4#4	291	291	1	8	270	95	96	.	10.750000
71	9	Sol4	G4	296	296	1	4	541	95	96	.	11.000000
72	9	Si4b1	B4b1	313	313	1	2	1081	95	96	Aşk 	11.500000
73	9	Sol4	G4	296	296	1	4	541	95	96	o	11.750000
74	9	Si4b1	B4b1	313	313	1	4	541	95	96	du	12.000000
75	9	Do5	C5	318	318	1	4	541	95	96	na 	12.250000
76	9	Re5	D5	327	327	1	4	541	95	96	düş	12.500000
77	9	Re5	D5	327	327	1	8	270	99	96	tüm 	12.625000
78	9	Do5	C5	318	318	1	8	270	95	96		12.750000
79	9	Do5	C5	318	318	1	8	270	99	96	gel	12.875000
80	9	Si4b1	B4b1	313	313	1	8	270	95	96		13.000000
81	9	Si4b1	B4b1	313	313	3	8	811	95	96	dim  	13.375000
82	9	Sol4	G4	296	296	1	8	270	95	96	SAZ	13.500000
83	9	Si4b1	B4b1	313	313	1	8	270	95	96	.	13.625000
84	9	Do5	C5	318	318	1	8	270	95	96	.	13.750000
85	9	Re5	D5	327	327	1	4	541	95	96	.	14.000000
86	9	Re5	D5	327	327	1	2	1081	95	96	Ben 	14.500000
87	9	Do5	C5	318	318	1	4	541	95	96	yâ	14.750000
88	9	Re5	D5	327	327	1	4	541	95	96	re 	15.000000
89	9	Mi5	E5	336	336	1	8	270	99	96	ka	15.125000
90	9	Fa5	F5	340	340	1	8	270	95	96		15.250000
91	9	Mi5	E5	336	336	1	8	270	99	96	vuş	15.375000
92	9	Re5	D5	327	327	1	8	270	95	96		15.500000
93	9	Do5	C5	318	318	1	8	270	99	96	tum 	15.625000
94	9	Si4b1	B4b1	313	313	1	8	270	95	96		15.750000
95	9	La4	A4	305	305	1	8	270	99	96	gel	15.875000
96	9	Si4b1	B4b1	313	313	1	8	270	95	96		16.000000
97	9	Do5	C5	318	318	3	8	811	99	96	dim  	16.375000
98	9	Re5	D5	327	327	1	8	270	99	96		16.500000
99	9	Si4b1	B4b1	313	313	1	8	270	99	96		16.625000
100	9	La4	A4	305	305	1	8	270	99	96		16.750000
101	9	Sol4	G4	296	296	1	4	541	95	96		17.000000
102	9	La4	A4	305	305	3	8	811	99	96	Ben 	17.375000
103	9	Si4b4	B4b4	310	310	1	8	270	95	96		17.500000
104	9	Sol4	G4	296	296	1	4	541	99	96	gön	17.750000
105	9	Re5	D5	327	327	1	4	541	95	96		18.000000
106	9	Re5	D5	327	327	1	8	270	99	96	lü	18.125000
107	9	Do5#4	C5#4	322	322	1	8	270	95	96		18.250000
108	9	Si4b4	B4b4	310	310	1	8	270	99	96	mü 	18.375000
109	9	La4	A4	305	305	1	8	270	95	96		18.500000
110	9	Si4b4	B4b4	310	310	1	8	270	99	96	al	18.625000
111	9	La4	A4	305	305	1	8	270	95	96		18.750000
112	9	Sol4	G4	296	296	1	8	270	99	96	dır	18.875000
113	9	Fa4#4	F4#4	291	291	1	8	270	95	96		19.000000
114	9	Sol4	G4	296	296	3	8	811	95	96	dım  	19.375000
115	9	Re4	D4	274	274	1	8	270	95	96	SAZ	19.500000
116	9	Mi4	E4	283	283	1	8	270	95	96	.	19.625000
117	9	Fa4#4	F4#4	291	291	1	8	270	95	96	.	19.750000
118	9	Sol4	G4	296	296	1	4	541	95	96	.	20.000000
119	9	Sol4	G4	296	296	1	2	1081	95	96	Kar	20.500000
120	9	Sol4	G4	296	296	1	4	541	95	96	lı 	20.750000
121	9	Sol4	G4	296	296	1	4	541	95	96	da	21.000000
122	9	Re5	D5	327	327	1	8	270	99	96	ğı 	21.125000
123	9	Do5	C5	318	318	1	8	270	95	96		21.250000
124	9	Do5	C5	318	318	1	8	270	99	96	aş	21.375000
125	9	Si4b1	B4b1	313	313	1	8	270	95	96		21.500000
126	9	Si4b1	B4b1	313	313	1	8	270	99	96	tım 	21.625000
127	9	La4	A4	305	305	1	8	270	95	96		21.750000
128	9	La4	A4	305	305	1	8	270	99	96	gel	21.875000
129	9	Sol4	G4	296	296	1	8	270	95	96		22.000000
130	9	Sol4	G4	296	296	3	8	811	95	96	dim  	22.375000
131	9	Re4	D4	274	274	1	8	270	95	96	SAZ	22.500000
132	9	Mi4	E4	283	283	1	8	270	95	96	.	22.625000
133	9	Fa4#4	F4#4	291	291	1	8	270	95	96	.	22.750000
134	9	Sol4	G4	296	296	1	4	541	95	96	.	23.000000
135	9	Si4b1	B4b1	313	313	1	2	1081	95	96	Aşk 	23.500000
136	9	Sol4	G4	296	296	1	4	541	95	96	o	23.750000
137	9	Si4b1	B4b1	313	313	1	4	541	95	96	du	24.000000
138	9	Do5	C5	318	318	1	4	541	95	96	na 	24.250000
139	9	Re5	D5	327	327	1	4	541	95	96	düş	24.500000
140	9	Re5	D5	327	327	1	8	270	99	96	tüm 	24.625000
141	9	Do5	C5	318	318	1	8	270	95	96		24.750000
142	9	Do5	C5	318	318	1	8	270	99	96	gel	24.875000
143	9	Si4b1	B4b1	313	313	1	8	270	95	96		25.000000
144	9	Si4b1	B4b1	313	313	3	8	811	95	96	dim  	25.375000
145	9	Sol4	G4	296	296	1	8	270	95	96	SAZ	25.500000
146	9	Si4b1	B4b1	313	313	1	8	270	95	96	.	25.625000
147	9	Do5	C5	318	318	1	8	270	95	96	.	25.750000
148	9	Re5	D5	327	327	1	4	541	95	96	.	26.000000
149	9	Re5	D5	327	327	1	2	1081	95	96	Ben 	26.500000
150	9	Do5	C5	318	318	1	4	541	95	96	yâ	26.750000
151	9	Re5	D5	327	327	1	4	541	95	96	re 	27.000000
152	9	Mi5	E5	336	336	1	8	270	99	96	ka	27.125000
153	9	Fa5	F5	340	340	1	8	270	95	96		27.250000
154	9	Mi5	E5	336	336	1	8	270	99	96	vuş	27.375000
155	9	Re5	D5	327	327	1	8	270	95	96		27.500000
156	9	Do5	C5	318	318	1	8	270	99	96	tum 	27.625000
157	9	Si4b1	B4b1	313	313	1	8	270	95	96		27.750000
158	9	La4	A4	305	305	1	8	270	99	96	gel	27.875000
159	9	Si4b1	B4b1	313	313	1	8	270	95	96		28.000000
160	9	Do5	C5	318	318	3	8	811	99	96	dim  	28.375000
161	9	Re5	D5	327	327	1	8	270	99	96		28.500000
162	9	Si4b1	B4b1	313	313	1	8	270	99	96		28.625000
163	9	La4	A4	305	305	1	8	270	99	96		28.750000
164	9	Sol4	G4	296	296	1	4	541	95	96		29.000000
165	9	La4	A4	305	305	3	8	811	99	96	Ben 	29.375000
166	9	Si4b4	B4b4	310	310	1	8	270	95	96		29.500000
167	9	Sol4	G4	296	296	1	4	541	99	96	gön	29.750000
168	9	Re5	D5	327	327	1	4	541	95	96		30.000000
169	9	Re5	D5	327	327	1	8	270	99	96	lü	30.125000
170	9	Do5#4	C5#4	322	322	1	8	270	95	96		30.250000
171	9	Si4b4	B4b4	310	310	1	8	270	99	96	mü 	30.375000
172	9	La4	A4	305	305	1	8	270	95	96		30.500000
173	9	Si4b4	B4b4	310	310	1	8	270	99	96	al	30.625000
174	9	La4	A4	305	305	1	8	270	95	96		30.750000
175	9	Sol4	G4	296	296	1	8	270	99	96	dır	30.875000
176	9	Fa4#4	F4#4	291	291	1	8	270	95	96		31.000000
177	9	Sol4	G4	296	296	3	8	811	95	96	dım  	31.375000
178	9	Re5	D5	327	327	1	8	270	95	96	SAZ	31.500000
179	9	Do5#4	C5#4	322	322	1	8	270	95	96	.	31.625000
180	9	Mi5	E5	336	336	1	8	270	95	96	.	31.750000
181	9	Re5	D5	327	327	1	4	541	95	96	.	32.000000
182	9	Re5	D5	327	327	1	2	1081	95	96	Gül 	32.500000
183	9	Re5	D5	327	327	3	16	405	99	96	ben	32.687500
184	9	Do5#4	C5#4	322	322	1	16	135	99	96		32.750000
185	9	Si4	B4	314	314	1	4	541	95	96		33.000000
186	9	Do5#4	C5#4	322	322	1	8	270	99	96	zi	33.125000
187	9	Re5	D5	327	327	1	8	270	95	96		33.250000
188	9	Mi5	E5	336	336	1	8	270	99	96	mi 	33.375000
189	9	Fa5	F5	340	340	1	8	270	95	96		33.500000
190	9	Mi5	E5	336	336	1	8	270	99	96	sol	33.625000
191	9	Re5	D5	327	327	1	8	270	95	96		33.750000
192	9	Re5	D5	327	327	1	8	270	99	96	dur	33.875000
193	9	Do5#4	C5#4	322	322	1	8	270	95	96		34.000000
194	9	Re5	D5	327	327	3	8	811	95	96	dum  	34.375000
195	9	Do5#4	C5#4	322	322	1	8	270	95	96	SAZ	34.500000
196	9	Si4b4	B4b4	310	310	1	8	270	95	96	.	34.625000
197	9	La4	A4	305	305	1	8	270	95	96	.	34.750000
198	9	Sol4	G4	296	296	1	4	541	95	96	.	35.000000
199	9	Re5	D5	327	327	1	2	1081	95	96	Gül 	35.500000
200	9	Re5	D5	327	327	3	16	405	99	96	ben	35.687500
201	9	Do5#4	C5#4	322	322	1	16	135	99	96		35.750000
202	9	Si4	B4	314	314	1	4	541	95	96		36.000000
203	9	Do5#4	C5#4	322	322	1	8	270	99	96	zi	36.125000
204	9	Re5	D5	327	327	1	8	270	95	96		36.250000
205	9	Mi5	E5	336	336	1	8	270	99	96	mi 	36.375000
206	9	Fa5	F5	340	340	1	8	270	95	96		36.500000
207	9	Mi5	E5	336	336	1	8	270	99	96	sol	36.625000
208	9	Re5	D5	327	327	1	8	270	95	96		36.750000
209	9	Re5	D5	327	327	1	8	270	99	96	dur	36.875000
210	9	Do5#4	C5#4	322	322	1	8	270	95	96		37.000000
211	9	Re5	D5	327	327	3	8	811	95	96	dum  	37.375000
212	9	Do5	C5	318	318	1	8	270	95	96	SAZ	37.500000
213	9	Si4b1	B4b1	313	313	1	8	270	95	96	.	37.625000
214	9	Re5	D5	327	327	1	8	270	95	96	.	37.750000
215	9	Do5	C5	318	318	1	4	541	95	96	.	38.000000
216	9	Do5	C5	318	318	1	2	1081	95	96	Naz	38.500000
217	9	Do5	C5	318	318	1	4	541	95	96	lı	38.750000
218	9	Do5	C5	318	318	1	4	541	95	96	ca 	39.000000
219	9	Do5	C5	318	318	1	4	541	95	96	yâr	39.250000
220	9	Do5	C5	318	318	1	4	541	95	96	dan 	39.500000
221	9	Do5	C5	318	318	1	4	541	95	96	ay	39.750000
222	9	Do5	C5	318	318	1	8	270	99	96	rıl	39.875000
223	9	Si4b1	B4b1	313	313	1	8	270	95	96		40.000000
224	9	Re5	D5	327	327	1	4	541	99	96	dım  	40.250000
225	8	Mi5	E5	336	336	0	0	0	99	96		40.250000
226	9	Re5	D5	327	327	1	8	270	99	96		40.375000
