Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	1	4	714	95	96	ARANAĞME	0.25
2	9	Sol4	G4	296	296	1	4	714	95	96	.	0.5
3	9	Re5	D5	327	327	3	8	1071	95	96	.	0.875
4	9	Si4b1	B4b1	313	313	1	8	357	95	96	.	1.0
5	9	Do5	C5	318	318	3	16	536	95	96	.	1.1875
6	9	Si4b1	B4b1	313	313	1	16	179	95	96	.	1.25
7	9	La4	A4	305	305	1	8	357	95	96	.	1.375
8	9	Do5	C5	318	318	1	8	357	95	96	.	1.5
9	9	Si4b1	B4b1	313	313	3	8	1071	95	96	.	1.875
10	9	La4	A4	305	305	1	16	179	95	96	.	1.9375
11	11	Sol4	G4	296	296	1	16	179	95	96	.	2.0
12	9	Sol4	G4	296	296	1	8	357	95	96	.	2.125
13	9	Es	Es	-1	-1	1	8	357	100	0	.	2.25
14	9	Sol4	G4	296	296	1	4	714	95	96	.	2.5
15	9	Mi5	E5	336	336	3	8	1071	95	96	.	2.875
16	9	Re5	D5	327	327	1	8	357	95	96	.	3.0
17	9	Re5	D5	327	327	3	16	536	95	96	.	3.1875
18	9	Do5	C5	318	318	1	16	179	95	96	.	3.25
19	9	Re5	D5	327	327	3	32	268	95	96	.	3.34375
20	9	Fa5	F5	340	340	1	32	89	95	96	.	3.375
21	9	Mi5	E5	336	336	1	16	179	95	96	.	3.4375
22	11	Re5	D5	327	327	1	16	179	95	96	.	3.5
23	9	Re5	D5	327	327	1	4	714	95	96	.	3.75
24	9	Es	Es	-1	-1	1	4	714	100	0	.	4.0
25	9	Es	Es	-1	-1	1	4	714	100	0	.	4.25
26	9	Mi5	E5	336	336	1	4	714	95	96	.	4.5
27	9	Fa5	F5	340	340	3	8	1071	95	96	.	4.875
28	9	Mi5	E5	336	336	1	8	357	95	96	.	5.0
29	9	Mi5	E5	336	336	3	16	536	95	96	.	5.1875
30	9	Re5	D5	327	327	1	16	179	95	96	.	5.25
31	9	Do5	C5	318	318	1	8	357	95	96	.	5.375
32	9	Mi5	E5	336	336	1	8	357	95	96	.	5.5
33	9	Re5	D5	327	327	3	16	536	95	96	.	5.6875
34	9	Do5	C5	318	318	1	16	179	95	96	.	5.75
35	9	Si4b1	B4b1	313	313	1	8	357	95	96	.	5.875
36	9	Re5	D5	327	327	1	8	357	95	96	.	6.0
37	9	Do5	C5	318	318	1	8	357	95	96	.	6.125
38	9	Si4b1	B4b1	313	313	1	8	357	95	96	.	6.25
39	9	La4	A4	305	305	1	8	357	95	96	.	6.375
40	9	Sol4	G4	296	296	1	8	357	95	96	.	6.5
41	9	Re5	D5	327	327	1	16	179	95	96	.	6.5625
42	9	Do5	C5	318	318	1	16	179	95	96	.	6.625
43	9	Si4b1	B4b1	313	313	1	16	179	95	96	.	6.6875
44	9	La4	A4	305	305	1	16	179	95	96	.	6.75
45	9	Si4b1	B4b1	313	313	1	8	357	95	96	.	6.875
46	9	Do5	C5	318	318	1	8	357	95	96	.	7.0
47	9	Si4b1	B4b1	313	313	1	8	357	95	96	.	7.125
48	9	La4	A4	305	305	1	16	179	95	96	.	7.1875
49	9	Sol4	G4	296	296	1	16	179	95	96	.	7.25
50	10	La4	A4	305	305	1	8	357	95	96	.	7.375
51	8	Si4b1	B4b1	313	313	0	0	0	95	96	.	7.375
52	9	La4	A4	305	305	1	16	179	95	96	.	7.4375
53	11	Sol4	G4	296	296	1	16	179	95	96	.	7.5
54	9	Sol4	G4	296	296	1	4	714	95	96	.	7.75
55	9	Sol4	G4	296	296	1	4	714	95	96	.	8.0
56	9	Sol4	G4	296	296	1	4	714	95	96	Sâ	8.25
57	9	Re5	D5	327	327	3	8	1071	99	96	zın 	8.625
58	9	Re5	D5	327	327	1	16	179	99	96		8.6875
59	9	Do5	C5	318	318	1	16	179	99	96		8.75
60	9	Do5	C5	318	318	3	16	536	99	96		8.9375
61	9	Si4b1	B4b1	313	313	1	16	179	99	96		9.0
62	9	Do5	C5	318	318	1	16	179	99	96		9.0625
63	9	Si4b1	B4b1	313	313	1	16	179	95	96		9.125
64	9	Si4b1	B4b1	313	313	1	16	179	99	96	gi	9.1875
65	11	La4	A4	305	305	1	16	179	95	96		9.25
66	9	La4	A4	305	305	1	2	1429	95	96	bi 	9.75
67	9	Es	Es	-1	-1	1	4	714	100	0		10.0
68	9	La4	A4	305	305	1	8	357	99	96	sî	10.125
69	9	Do5	C5	318	318	1	8	357	95	96		10.25
70	9	Si4b1	B4b1	313	313	3	8	1071	99	96	nem 	10.625
71	9	Sol4	G4	296	296	1	16	179	99	96		10.6875
72	9	Si4b1	B4b1	313	313	1	16	179	99	96		10.75
73	9	La4	A4	305	305	2	8	714	99	96		11.0
74	9	La4	A4	305	305	1	8	357	95	96		11.125
75	8	Si4b1	B4b1	313	313	0	0	0	95	96		11.125
76	9	La4	A4	305	305	1	16	179	99	96	da	11.1875
77	11	Sol4	G4	296	296	1	16	179	95	96		11.25
78	9	Sol4	G4	296	296	1	2	1429	95	96	hi 	11.75
79	9	Es	Es	-1	-1	1	4	714	100	0		12.0
80	9	Re5	D5	327	327	3	32	268	99	96	bir 	12.09375
81	9	Fa5	F5	340	340	1	32	89	99	96		12.125
82	9	Mi5	E5	336	336	1	16	179	99	96		12.1875
83	11	Re5	D5	327	327	1	16	179	95	96		12.25
84	9	Re5	D5	327	327	3	8	1071	99	96	nağ	12.625
85	9	Do5	C5	318	318	1	16	179	99	96		12.6875
86	9	Si4b1	B4b1	313	313	1	16	179	99	96		12.75
87	9	Do5	C5	318	318	3	16	536	99	96		12.9375
88	9	Si4b1	B4b1	313	313	1	16	179	95	96		13.0
89	9	Re5	D5	327	327	3	32	268	99	96	me	13.09375
90	9	Fa5	F5	340	340	1	32	89	95	96		13.125
